,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,반대매매 3개월 없어졌다 ㅋㅋ 대박,67,0,0
1,2022-07-01,오늘 93300원 52주 신저가 기록,56,0,1
2,2022-07-01,일단 내년 6월까지는 계속,93,2,2
3,2022-07-01,싼거 같아 사면 꼭 물리는데,101,2,0
4,2022-07-01,"국민의암 윤재앙 경제폭망, 국제왕따.",95,5,4
5,2022-07-01,쓰레기 입니다,77,0,1
6,2022-07-01,뚝뚝 두두득~~~,141,2,1
7,2022-07-01,헤어질결심  천만?,195,1,2
8,2022-07-01,내가보기에,119,0,4
9,2022-07-01,가즈아~^^,70,0,1
10,2022-07-01,하안가시원하게 한번만 가즈아,59,0,0
11,2022-07-01,동시호가 허매수 들어오는거 보니 오늘도 ...,142,1,1
12,2022-07-01,-44% 에서...,290,2,2
13,2022-07-01,나라망신 윤재앙 외교대참사,169,7,2
14,2022-07-01,답글:정정  나라망신 문재앙 외교대참사,42,1,0
15,2022-07-01,cj enm 4만원 위에서는 매수 금지,209,2,0
