,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,롯데카드 인수 추진,1,0,0
1,2022-07-01,문정부에서 코스피 3300이상,43,0,0
2,2022-07-01,7월 한미  역전되면..무슨일이 생길까?...,93,0,0
3,2022-07-01,뭔 개 뼈다귀 같은 소리를 하고 있냐.,43,2,0
4,2022-07-01,100  만원가보자그,123,2,0
5,2022-07-01,주식,81,1,0
6,2022-07-01,★KB금융 주가 전망,123,0,0
7,2022-07-01,개미는 홍어 거시기,105,1,0
8,2022-07-01,오늘도 KB 이정도면 아주 뜨끈함,93,0,0
9,2022-07-01,코스피지수가 저  모양인데,121,1,0
10,2022-07-01,이렇게 된거,151,1,0
11,2022-07-01,39000원 기다린다. 내년 폭락올때까지...,109,0,0
12,2022-07-01,보리고개,122,0,0
13,2022-07-01,카벵 .카페이  지분손실 엄청난다.,293,3,1
14,2022-07-01,본전 언제 될까?,355,0,1
15,2022-07-01,답글:본전 언제 될까?,111,1,0
16,2022-07-01,궁민다중는다 대출금리 팍팍내려라,70,0,0
17,2022-07-01,★KB금융 주가 전망,222,0,0
18,2022-07-01,외국인,239,0,1
19,2022-07-01,이거 주가반영 더 기다리면 되나?,442,0,0
20,2022-07-01,금리올려서 물가잡겠다는 황당논리,254,1,6
21,2022-07-01,자사주 관련,262,0,0
22,2022-07-01,위험에 대비하세요,207,1,1
23,2022-07-01,금리올려물가잡는다는 황당논리,306,1,9
24,2022-07-01,래리 서머스,208,3,1
25,2022-07-01,대출금리내려라 궁민 다 중는다,222,0,3
