,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,개미는 정부와 기관의 개돼지 호구 먹잇감...,25,1,0
1,2022-07-01,윤재앙 ㄱ 새끼 탈중국 (미)ㅡㅡㅡ친ㅡㅡ...,24,0,1
2,2022-07-01,엔솔 분리전에도,46,1,0
3,2022-07-01,문정부에는 코스피 3300이상,99,2,1
4,2022-07-01,40만원까지 열려있네요,130,2,2
5,2022-07-01,lg 정말 나쁜 회사!,153,2,0
6,2022-07-01,차트 보니 답없네 4자보겠다.,180,0,2
7,2022-07-01,헬지 화학? 어게인,168,1,0
8,2022-07-01,어종오,221,0,0
9,2022-07-01,모간 변태냐,179,0,0
10,2022-07-01,포기다~,154,0,0
11,2022-07-01,아무리,191,7,1
12,2022-07-01,여기 곰탱이들,146,0,0
13,2022-07-01,짜증난다,174,0,0
14,2022-07-01,오늘 물타기했지,199,0,2
15,2022-07-01,죽엇다깨도..,207,1,0
16,2022-07-01,50깨면 헬게이트 열리겠죠,152,0,0
17,2022-07-01,■ 헬쥐assHole주식으로 인해서,140,0,0
18,2022-07-01,이러다가는l,236,1,0
19,2022-07-01,정상주가는,201,0,0
20,2022-07-01,LG화학,215,1,0
21,2022-07-01,"신기한 영상, 유령 윤석열?",269,5,3
22,2022-07-01,현정부가 밀고있는 산업들,341,4,0
23,2022-07-01,12에 아가리쩌억 달러빛회사채남발 빚덩어...,217,0,0
24,2022-07-01,살려주세요 살려주세여 55,257,0,2
25,2022-07-01,LG화학 목표주가,324,1,0
26,2022-07-01,어때요 내말이 맞지요? OK??,261,0,0
27,2022-07-01,조중동 항문견 기더기들 니들이 인간이냐,235,9,2
28,2022-07-01,숨쉬고 있냐?,203,0,0
29,2022-07-01,주가 꼬시기,241,1,0
30,2022-07-01,Lg 와의 영원한 결별,280,3,1
31,2022-07-01,계속 현금화하라고 사회운동을 펼치는 이유,306,1,3
32,2022-07-01,개미들 힘을 보여줍시다..벌떼 매수 외인...,275,1,0
33,2022-07-01,물적분할,272,1,1
34,2022-07-01,지수가 생각보다 심각하다,281,1,1
35,2022-07-01,"비둘기파 메스터 美 연은 총재 ""7월 0...",286,0,1
36,2022-07-01,개미털기 직이네,303,2,0
37,2022-07-01,1년뒤 25온다..ㅋㅋ 2년대세하락.,290,4,1
38,2022-07-01,답글:1년뒤 25온다..ㅋㅋ 2년대세하락.,173,0,0
39,2022-07-01,에라이 진짜. 토나온다...,278,1,0
40,2022-07-01,회사는 좋으나 주식은 위험하다,334,2,1
41,2022-07-01,현금관망신 3억 대기중,325,1,3
42,2022-07-01,답글:현금관망신 3억 대기중,307,0,0
43,2022-07-01,"성탄절이 토요일, 일요일일 경우 월요일을...",272,0,4
44,2022-07-01,결국엔 시간싸움이다. 이종목은 승리한다.,486,6,1
45,2022-07-01,4만 화학,301,0,1
46,2022-07-01,나토가입 한것 때문에 문제될 듯,352,0,1
47,2022-07-01,LG화학 주식들고 있는 평신들!!!  에...,364,0,0
