,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,♧마지막 물량 다음주 받아주세요♧,32,0,1
1,2022-07-01,20년 후에 100만원 갈 거 같은데?,39,0,2
2,2022-07-01,투표 다시 못하나?,36,2,2
3,2022-07-01,죄태원이도 주가는 어쩔 수 없느니라.,38,0,2
4,2022-07-01,ㅋㅋㅋ,49,4,2
5,2022-07-01,참 인간들 다양하네,46,3,2
6,2022-07-01,13만원까지 각오해라,38,0,3
7,2022-07-01,대차수량 보소,70,1,1
8,2022-07-01,이가격,72,2,0
9,2022-07-01,일단 도망쳐,62,1,0
10,2022-07-01,횡재세,56,0,0
11,2022-07-01,"하단지지점 붕괴, 15만원까지 봐라",188,0,2
12,2022-07-01,Sk온,144,0,2
13,2022-07-01,욕심내지 않습니다,170,1,2
14,2022-07-01,추정퍼 6,117,0,0
15,2022-07-01,Sk온 물적분할,568,6,4
16,2022-07-01,기름값 10원 내렸다 . 이게 정유사 담...,134,0,0
17,2022-07-01,공매도치다가,152,2,0
18,2022-07-01,윤돌대가리  탈중국 한마디에,267,9,5
19,2022-07-01,어자피 유가는 100달러선에서 유지한다,174,9,1
20,2022-07-01,이거 10만원 이상에 사신분 손들어보세요,390,2,3
21,2022-07-01,기습적인 폭락이니...,169,2,3
22,2022-07-01,기관 외국인 공매도,176,3,2
23,2022-07-01,진보정부 보수정부 차이,245,16,6
24,2022-07-01,개미털이용 상승이었구나,128,1,0
25,2022-07-01,오늘 종가에 한국항공우주등 방산주,181,0,0
26,2022-07-01,시간외 떡상중..푸근하다,726,2,3
27,2022-07-01,윤석렬은 당장 공약이행하라,318,19,0
28,2022-07-01,거래량있는 기가막힌 장대음봉 출현,131,3,2
29,2022-07-01,정유로 반짝오르고,84,1,0
30,2022-07-01,27%하락,127,5,0
31,2022-07-01,물적분할 한다며..,85,0,1
32,2022-07-01,다들 농약먹구 다죽자,77,1,0
33,2022-07-01,윤무당 OOO,80,3,2
34,2022-07-01,윤석열 욕나오네,201,32,2
35,2022-07-01,오늘 몇번이나 매수하고 싶었는데,336,1,0
36,2022-07-01,Sk온이 아마도 만년 적자사업이 될것 같...,162,0,0
37,2022-07-01,미친주식...ㅋㅋ,111,1,0
38,2022-07-01,당분간 게시판에 올라올 글들,99,1,1
39,2022-07-01,아직 죽는소리 안나오네,88,1,0
40,2022-07-01,사업부장들은 뭐하시는겁니까!,81,1,0
41,2022-07-01,윤통 탄해해라,171,21,1
42,2022-07-01,하락장에  배터리  대장주격이네요.,176,0,1
43,2022-07-01,오늘 176500원 52주 신저가 기록,109,0,0
44,2022-07-01,미국국기에 대한 경례까지 우리 각카가 해...,220,9,0
45,2022-07-01,?석열이가,116,6,1
46,2022-07-01,내가 윤씨쪽 다시 뽑나 봐라,278,25,4
47,2022-07-01,애들아 진짜 무서운이야기 해줄까,275,14,4
48,2022-07-01,177000원에 입성한 뉴비 형님들께 인...,492,6,6
49,2022-07-01,쳐다만 보면 또 지르네.,158,1,0
50,2022-07-01,177000  2638 주 며수,185,1,0
51,2022-07-01,긴급속보,341,1,1
52,2022-07-01,몰라 그냥 오늘 추매함. 월욜날은 다시 ...,221,0,2
53,2022-07-01,이게 나라냐 개들이 20만주로 개차반,160,6,0
54,2022-07-01,나라가,103,6,0
55,2022-07-01,오늘 하락이유..,444,8,1
56,2022-07-01,불과 20일 사이에 시황이 많이 바뀌었나...,229,6,1
57,2022-07-01,실적이 좋다고 하는데,175,1,0
58,2022-07-01,7월말까지는 답이 없음,148,0,0
59,2022-07-01,국가에 반항하는 군...,127,0,0
60,2022-07-01,윤무당 블랙리스트,242,7,3
61,2022-07-01,개관넘들,166,11,0
62,2022-07-01,윤가 찍고 주식으로  돈벌겠다는 틀닥네들...,191,26,0
63,2022-07-01,오늘첨입성햇는데?,314,1,1
64,2022-07-01,개미들의 원성이 클수록,152,1,0
65,2022-07-01,2022년 대한민국 대통령,158,18,2
66,2022-07-01,황재세 거둬라 나쁜 SK자식들 뜨거운맛을...,106,3,0
