,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,한국인의 자랑,23,0,3
1,2022-07-01,3만즌자,19,0,0
2,2022-07-01,맞네요 1998년 7월 현금 배당락 폐지,204,0,2
3,2022-07-01,통신주밖에대안이 없구나 개폭락장에서는..,232,4,4
4,2022-07-01,skt인버스 성능 좋네,143,2,0
5,2022-07-01,고만 팔아라 자식아 ㅋㅋ,128,1,0
6,2022-07-01,외국인 잔머리 짱!,379,5,1
7,2022-07-01,경기가 안좋을수록..,648,6,1
8,2022-07-01,푼돈 배당받고 고점에 물린 하수들 많네요,756,4,10
9,2022-07-01,일희일비 하는 사람들이 진짜 많구나 ;;...,251,2,2
10,2022-07-01,초장올려 놓고,195,2,0
11,2022-07-01,초반에 기선제압이네! 외인이,158,0,0
12,2022-07-01,[세계화의실체는 우리들돈으로 우리들멸망하...,108,0,4
