,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,넷마는처음이지?,12,0,0
1,2022-07-01,북핵무기보유국에 더하여 (+전쟁수행능력+...,10,0,0
2,2022-07-01,오랜만에 글을 남기네요.,98,8,1
3,2022-07-01,펄어비스 망함 ㅋㅋㅋ,88,0,0
4,2022-07-01,넷마블이 가진 지분만 돈이 얼만데?,56,0,0
5,2022-07-01,저번에 인수한 도박 게임회사,46,0,0
6,2022-07-01,공매알바들,43,0,0
7,2022-07-01,2분기도 적자날거 같은데ㅋㅋ,75,0,2
8,2022-07-01,넷마블 ~주가방어  좀 합시다!,48,0,0
9,2022-07-01,평단 71500 1500주,131,1,0
10,2022-07-01,오늘 아침에 동시호가 보고 지금보니 또 ...,94,1,0
11,2022-07-01,넷마블이 퍼블리싱 하는게임중에 플레이스토...,122,0,0
12,2022-07-01,고평가,44,0,1
13,2022-07-01,팬데믹보다 더하다,42,0,0
14,2022-07-01,확실히 공매도 맛집 공매도 단타로 치고 ...,57,0,0
15,2022-07-01,pbr 0.99는 뭐다?,167,0,0
16,2022-07-01,기관,58,0,1
17,2022-07-01,가장 무서운 건 아직 오지도 않았는데 엄...,163,2,0
18,2022-07-01,반등하는척 하락,53,1,0
19,2022-07-01,오늘 66100원 52주 신저가 기록,70,0,0
20,2022-07-01,우리나라는 외국인 놀이터,77,0,0
21,2022-07-01,넷마블도 자회사 상장함?,176,0,0
22,2022-07-01,아 ㅅㅂ,161,1,0
23,2022-07-01,오늘 7만 300  ㅡㅡ 67400 으로,89,0,0
24,2022-07-01,답글:올려주는척하고 밑장 빼기,87,0,0
25,2022-07-01,그냥,44,0,0
26,2022-07-01,동시호가 주가조작 심하네 ㅋ,58,0,0
27,2022-07-01,Bts도 한철이다,44,0,0
28,2022-07-01,종가호가 장난치냐?,182,1,0
29,2022-07-01,막판 보합 뻥카,48,0,0
30,2022-07-01,방씨야,103,6,0
31,2022-07-01,베스파 처럼 권고사직 받아라~,126,4,0
32,2022-07-01,또 하염없이 하락~~,39,0,0
33,2022-07-01,"넷마블, 2022년 2Q 대한민국 100...",109,1,0
34,2022-07-01,넷마주주 아직 살만한가? 세상에  적자나...,191,4,2
35,2022-07-01,오늘이 7월 최저점이길......,200,4,1
36,2022-07-01,코스피고 공매도고 뭔 상관이야,128,5,0
37,2022-07-01,바닥이 어딜까???,78,2,0
38,2022-07-01,개미형들 빨리사~~,151,1,1
39,2022-07-01,세나레볼 나오면 10만원 기정사실이다,309,9,1
