,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,來美安으로 이사 가고 싶다,39,2,0
1,2022-07-01,★주식 하기 전에 답하라…비관론자가 던진...,78,4,0
2,2022-07-01,ㅇ ㅓ 머낫...,51,4,0
3,2022-07-01,문정부에서 코스피 3300이상 올렸놓은걸,145,3,11
4,2022-07-01,아따 거참 욕한번 시~~~~원하게 묵었다...,60,2,0
5,2022-07-01,텐버린 치던애,97,3,9
6,2022-07-01,오늘도 외인은 담았구나 ㅎㅎ,150,14,0
7,2022-07-01,더워서 그런듯,119,2,0
8,2022-07-01,담아둘 주식,202,3,0
9,2022-07-01,잠잠하다 했더니,108,2,0
10,2022-07-01,매년 1800씩 입금 시켜주는데 뭘 팔어...,283,3,0
11,2022-07-01,답글:삼전특별배당까지해서 배당률 3%,239,0,1
12,2022-07-01,답글:삼전특별배당까지해서 배당률 3%,195,3,0
13,2022-07-01,답글:내년에 더 좋을수 있지 맞아,146,0,1
14,2022-07-01,답글:내년에 더 좋을수 있지 맞아,122,0,0
15,2022-07-01,답글:아 저능아구나,113,0,3
16,2022-07-01,답글:아 저능아구나,72,2,0
17,2022-07-01,답글:아 저능아구나,28,0,0
18,2022-07-01,아니좀 이거사지말고 네이버.카카오 많이빠...,446,0,10
19,2022-07-01,낄낄낄낄낄낄낄낄낄낄낄낄낄낄낄,337,1,5
20,2022-07-01,이:이제부터 웃음기 사라질거야 제:제갈공...,156,0,0
21,2022-07-01,좋아 아주 익숙한 트렌드야,217,3,1
22,2022-07-01,오늘은 마너500물산 이길,156,0,0
23,2022-07-01,삼물이 곧~~~,204,0,0
24,2022-07-01,답글:쪽쪽,136,0,1
25,2022-07-01,★한동훈 법무부 장관이 뉴욕남부검찰청 찾...,216,5,1
26,2022-07-01,묻지도 따지지도말고 무조건 사라 왜냐고,344,3,2
27,2022-07-01,왜 안떨어질까요.,455,10,0
28,2022-07-01,답글:바로 이거야,163,2,0
29,2022-07-01,낄낄낄낄낄,161,1,2
30,2022-07-01,경제 안보 입에 달고 살더니,317,5,2
31,2022-07-01,합병할때 약속한,255,3,0
32,2022-07-01,아고,148,2,0
33,2022-07-01,삼성물산은,210,2,0
34,2022-07-01,아...,170,1,0
35,2022-07-01,양적완화 때문에 떨어진다고 하는건 공부좀...,200,3,0
36,2022-07-01,오늘종가는 125500,180,3,0
37,2022-07-01,중요한 자린데,383,4,1
38,2022-07-01,3500주 조금전 매수햇다,300,0,3
39,2022-07-01,답글:칭찬해주셔서 갑사합니다,323,0,2
40,2022-07-01,답글:칭찬해주셔서 갑사합니다,152,0,1
41,2022-07-01,[부동산폭락은 우리안에서지만 공매도는 국...,140,1,0
42,2022-07-01,이 패턴 손이 기억한다 니가 팔면 쫙가,116,0,0
43,2022-07-01,에초에 삼성은 물산으로 비지니스 하다가 ...,287,2,0
44,2022-07-01,물량 매집하는 저점 윗호가(122000)...,113,0,0
45,2022-07-01,외국인이랑.연기금 조금씩 물량넘겨준다 개...,242,0,2
46,2022-07-01,네옴교도 빗길에 교통사고 나서 불구되기를,118,0,1
47,2022-07-01,삼성물산 목표주가,275,4,0
48,2022-07-01,답글:상양알치 은근히 앵벌이 광고하네,32,0,0
49,2022-07-01,12층 안착,86,0,0
50,2022-07-01,자 연기금 선수 팔기시작했죠?,107,0,1
51,2022-07-01,답글:니마늘 동해안에서세일시작했죠?,78,0,0
52,2022-07-01,요시 천원!,77,0,1
53,2022-07-01,개인들이,172,1,0
54,2022-07-01,이 회사,88,0,0
55,2022-07-01,"★건설주 이슈, 삼성물산",111,0,0
56,2022-07-01,개며니들 오지게던지는구나..,110,1,0
57,2022-07-01,파란색보니,182,0,2
58,2022-07-01,646조에,81,0,0
59,2022-07-01,"왜, 개미들만 계속매도?",85,0,0
60,2022-07-01,ㅋㅋㅋ 끝났구나,230,0,4
61,2022-07-01,646조,114,0,0
62,2022-07-01,■힘내,75,0,0
63,2022-07-01,공매도 샹 진짜,123,0,1
64,2022-07-01,리포트 발행?네 per19배 목표가치.하...,456,0,2
65,2022-07-01,시세 끝.,169,1,3
66,2022-07-01,모간이가.키움증권한테 매도넘기는데 무슨....,151,0,1
67,2022-07-01,키움증권 매수 상위.1위네.ㅋㅋㅋㅋㅋ 외...,154,0,1
68,2022-07-01,당분간 떨어질듯,203,4,1
69,2022-07-01,물산 대기 호재는 SMR과 네옴시티...,194,1,2
70,2022-07-01,늘 싸게 보이는 가격 때문에 매수 - 후...,171,0,0
71,2022-07-01,자 기도 합시다 삼성물산 10배 가게,173,7,2
72,2022-07-01,기관 외인 연개금 3박자 쪼개기,142,0,1
73,2022-07-01,이재용.정의선도 나섰다… 빈살만의 640...,460,8,2
74,2022-07-01,yijy보니까 쳐물린 평단 도배 생각나네...,243,1,0
75,2022-07-01,답글:때로는,189,1,0
76,2022-07-01,답글:때로는,132,0,0
77,2022-07-01,답글:yijy보니까 쳐물린 평단 생각나네ㅋㅋ,119,0,0
78,2022-07-01,[세계화실체 그리고 공매도신디케이트..인...,164,1,0
79,2022-07-01,이런 장세에서도 상한가,330,2,0
80,2022-07-01,yijy****  야,149,1,1
81,2022-07-01,답글:미 개인소비물가 6.3%↑…더 가파른 긴...,165,0,0
