,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,전라도,9,0,2
1,2022-07-01,"윤 통 님 ,. . 정 말 드릴 말ㅇ ㅣ...",13,0,1
2,2022-07-01,아직 안끝났다,9,1,1
3,2022-07-01,2찍들 윤돼지 공약이 뭔지도 모를걸?,24,7,2
4,2022-07-01,■ 사람들이 아무리 개돼지여도 ■,15,2,2
5,2022-07-01,요즘 2찍 2030 근황,21,3,1
6,2022-07-01,반도체 재고쌓여가는 장기불황중에,15,1,1
7,2022-07-01,바이든을 비롯한 각국 정상들이 아마 다 ...,20,1,1
8,2022-07-01,베스파 무리한 임금상승 상폐,10,0,1
9,2022-07-01,조만간 ? 모지리덕에,12,2,1
10,2022-07-01,8만부터,9,0,1
11,2022-07-01,현재의 한국 주식시장 흐름은,15,0,2
12,2022-07-01,비나이다 비나이다,17,0,4
13,2022-07-01,좌익의 괴로움,9,0,2
14,2022-07-01,윤가찍고 국짐 찍은 2새기들아 살만하냐,17,4,3
15,2022-07-01,달러 강세 + 금리하락 = 미증시 강세 ...,18,1,1
16,2022-07-01,어찌됐건 월욜날  아침에 오르면,11,0,0
17,2022-07-01,"여가부페지, 군대 월급 200만원 언제?",15,1,1
18,2022-07-01,존경하는 문재인 전 대통령님의 업적,47,11,7
19,2022-07-01,악마종자들은 부정선거 수사 언급만해도,14,0,3
20,2022-07-01,필라델피아지수는?,15,0,1
21,2022-07-01,경제는 대통령이 살리는게 아닙니다!!!,24,5,1
22,2022-07-01,역시 호구들은 어쩔수없는 호구들,15,2,3
23,2022-07-01,tsmc,22,0,1
24,2022-07-01,요새 2찍 2030 근황,30,6,1
25,2022-07-01,"러시아, 독일 가스관 끊어버렸다 !!!",27,2,1
26,2022-07-01,뭐 어때,17,6,1
27,2022-07-01,오세훈 민주당에 막힌 서울바로세우기,23,0,7
28,2022-07-01,100%,16,3,1
29,2022-07-01,미장 오르는거보니,35,1,2
30,2022-07-01,우파경제 기본펀디멘탈중시/ 좌파 신성장버...,21,0,7
31,2022-07-01,5만원되면 산다고 4월에 글썼는데,18,0,1
32,2022-07-01,"오늘이,,,",21,2,1
33,2022-07-01,2번 없는 세상에서 살고싶다고요?,25,4,6
34,2022-07-01,좌익들이 사회주의는 좋아하지만 북한은 절...,19,1,3
35,2022-07-01,육십대,15,1,1
36,2022-07-01,2찍남 ㅊㅋㅊㅋ,19,4,1
37,2022-07-01,우크라가 러시아에  항복  선언,23,2,1
38,2022-07-01,윤재앙은 군대 조차 안갔다왔는데,21,6,1
39,2022-07-01,유로 스톡스 매도 !!!,12,0,1
40,2022-07-01,담주 월욜 폭등각 !!!!!,48,9,2
41,2022-07-01,● ㅋ  삼전 바닥은~~~* ●,26,0,7
42,2022-07-01,나스닥 선물하고 5백은 떨어지는데,26,0,1
43,2022-07-01,●윤석열 리스크  중국 건들어 주가 폭락...,39,14,1
44,2022-07-01,악마종자들아 625전쟁이,23,0,5
45,2022-07-01,씹좃전자,12,0,1
46,2022-07-01,2찍들이 없는 세상에서 살고싶어요 추천,29,14,2
47,2022-07-01,빨리 금리 두배 인상해라,18,0,1
48,2022-07-01,그거 알아? 삼전 주가는 지금 들고있는 ...,28,0,1
49,2022-07-01,1301돌파!!!,16,0,1
50,2022-07-01,빙딘가튼것들ㆍ,13,0,2
51,2022-07-01,갱상도 욕먹는 이유는.,25,5,1
52,2022-07-01,2번 찍는 보수 ㄱ 새끼 들,43,18,2
53,2022-07-01,삼전,26,3,5
54,2022-07-01,나스닥 양전했네,26,1,2
55,2022-07-01,아놔~천공스승인지 뭔지 이놈이 대한민국 ...,33,7,2
56,2022-07-01,9월까지는 장 안좋은거 다 알잖아,18,0,4
57,2022-07-01,[증권사리포트] 저점매수!,16,0,1
58,2022-07-01,필반 NVDA MU 개작살 중,18,0,1
59,2022-07-01,오오,21,1,1
60,2022-07-01,석열이 국민세금으로,31,11,2
61,2022-07-01,예수금이 뭔가요?,21,0,1
62,2022-07-01,오늘 잡은이가 승자네.,23,0,3
63,2022-07-01,급등 하거 같아 불안하지?,27,2,1
64,2022-07-01,달러 약세 전환시 = 골드 강세 전환할 ...,32,2,1
65,2022-07-01,형님들 충격이구만유..,38,1,2
66,2022-07-01,내가 내발등 찍은2,53,13,1
67,2022-07-01,매수 타이밍 불쌍해서 알려 준다,40,0,1
68,2022-07-01,● ㅋ 이게 종토방 이냐? ●,29,3,4
69,2022-07-01,8층,18,2,1
70,2022-07-01,윤재앙 기네스북 등재 축하,75,11,1
