,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,"■■■ 속보, 공매도 시장교란범",9,0,0
1,2022-07-01,○ 셀트리온과 헬스케어 드디어 비상 준비...,25,0,1
2,2022-07-01,코스피,44,1,1
3,2022-07-01,개미는 정부와 기관의 호구이자 먹잇감입니...,32,3,0
4,2022-07-01,고전 시조,45,1,0
5,2022-07-01,코스피,36,2,0
6,2022-07-01,죽고 싶다,62,5,1
7,2022-07-01,셀트는 윤서결 리스크 예외 ㅋ,61,4,3
8,2022-07-01,대국민 서명 받아,62,5,3
9,2022-07-01,장강태아자씨거니가촬영할때방구를뀌건트림을하...,48,0,2
10,2022-07-01,https://youtu.be/5VG2y...,65,0,1
11,2022-07-01,별걱정을다하신다 털보김어준이돈번골로tbs...,46,0,0
12,2022-07-01,https://youtube.com/sh...,70,0,1
13,2022-07-01,ㅋㅋㅋㅋㅋㅋㅋㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋ,106,1,4
14,2022-07-01,문정부에는 코스피 3300이상 3500 ...,246,22,3
15,2022-07-01,후원금 많이 내면 셀트 주가는 오른다?,89,2,1
16,2022-07-01,답글:공견충 쓰레기님 오랫만에 오셨네,28,0,1
17,2022-07-01,권정호 목에힘주고 설레발치는거보니?,145,8,2
18,2022-07-01,답글:권정호 목에힘주고 설레발치는거보니?,95,2,6
19,2022-07-01,답글:권정호 목에힘주고 설레발치는거보니?,43,0,1
20,2022-07-01,요즘 같은 셀트 모습,205,6,0
21,2022-07-01,덩호는 셀트 사이비 전문가?,95,5,3
22,2022-07-01,한동훈 지렸다. 솔까 나도 지렸다. 그래...,114,1,4
23,2022-07-01,공매쳐서 계곡 바캉스간다던 친구어딨냐,67,0,0
24,2022-07-01,답글:지금 오토바이 운전하느라 바쁘다 ㅋㅋ 찾...,41,0,0
25,2022-07-01,한동훈의 FBI 출장. 단두대 주문하러 ...,75,0,1
26,2022-07-01,그래도 셀트가.괜찮다,87,0,2
27,2022-07-01,오르면 뭐하노,241,12,0
28,2022-07-01,결국,71,0,1
29,2022-07-01,◆오늘 장!!!,434,28,3
30,2022-07-01,기관들140만주 2400억 순매수,436,17,4
31,2022-07-01,공매들 제삿날이 다음주 던가,216,5,3
32,2022-07-01,@@하한가예고--2분기 실적개판---22...,233,1,6
33,2022-07-01,@@하한가예고--2분기 실적개판---22...,125,1,3
34,2022-07-01,재맹이 나자바바라윤짜장!,105,0,0
35,2022-07-01,공매도 폐지 투쟁 합시다 !,151,23,0
36,2022-07-01,"셀트가 무서운게,,,",484,4,8
37,2022-07-01,ANPARAMA 오늘 공매도 현황및 시간...,366,16,1
38,2022-07-01,"월요일 상한가는 232,500원입니다",462,26,3
39,2022-07-01,10만원만 더 오르면 본전이다.,461,14,0
40,2022-07-01,답글:10만원만 더 오르면 본전이다.,91,2,0
41,2022-07-01,2년전 39만원때 못판게 후회 되지만,496,7,6
42,2022-07-01,신용몰빵,197,4,5
43,2022-07-01,답글:신용몰빵,91,0,2
44,2022-07-01,저점에서 손절한 ㅇㅁ디진 놈들 ㅋㅋ,170,3,1
45,2022-07-01,존나 비싼 셀트와 쌈바,331,1,9
46,2022-07-01,존나 비싼 셀트삼형제,196,1,6
47,2022-07-01,이번 하락장중 외인 순매수,290,8,3
48,2022-07-01,《삼성바이오  대비 초저가》,208,6,5
49,2022-07-01,답글:[삭제된 게시물의 답글][삭제된 게시물의...,107,1,1
50,2022-07-01,■■ wyno 좀 띨띨한 [공견] ■■,162,5,2
51,2022-07-01,헌신발신고 수염안깍고쑈하덜말고,126,1,2
52,2022-07-01,■■ ghdr 365일 마지막 탈출기회 ...,154,4,1
53,2022-07-01,두달전만 해도 놀리는 애들,277,4,5
54,2022-07-01,34만원,498,13,3
55,2022-07-01,이런 하락장에 잘  버텨줬는데~,180,0,3
56,2022-07-01,윤석렬 탄핵 보다?,193,5,2
57,2022-07-01,슬슬  목표액 도달하네...,348,8,2
58,2022-07-01,외놈들이,185,0,2
59,2022-07-01,존버,158,1,2
60,2022-07-01,주린인들 잘들어라. 셀트는 니들이 먹을수...,351,10,3
61,2022-07-01,조정을 빨강불로 하네~~~,225,9,3
62,2022-07-01,이야 오늘 파랑불인줄 알았는데,167,2,0
63,2022-07-01,오늘 갈등좀했네,269,5,4
64,2022-07-01,오늘은 오를줄 알았노?,245,2,0
65,2022-07-01,셀트가 짱이야,461,23,3
66,2022-07-01,손절한 P흉신들 ㅋㅋ배아파 뒤지는소리,264,3,4
67,2022-07-01,연기금 회식하나...,229,1,2
68,2022-07-01,와 ㅋㅋㅋ,308,4,5
69,2022-07-01,그래 니가 대빵이다,289,4,1
70,2022-07-01,텄다 ㅌㅌㅌㅌ,200,1,0
71,2022-07-01,십팔만원 맞추고 끝내려는겨,182,0,1
72,2022-07-01,그래봐야,298,1,6
73,2022-07-01,족스피 운지,186,1,1
74,2022-07-01,강려크하네,243,7,4
75,2022-07-01,셀트리온 강하네,244,3,1
76,2022-07-01,22만아래에선 여유있게 매수하라고.,364,7,4
77,2022-07-01,또털렸쥬?ㅋㅋㅋㅋ,330,13,3
78,2022-07-01,불쌍한 단타들...,213,5,3
79,2022-07-01,힘내라 힘,125,2,1
80,2022-07-01,오늘,128,1,1
81,2022-07-01,분명히 말한다...팔아라,224,1,8
82,2022-07-01,유튜브 방송 구인글(수당 o),123,0,1
83,2022-07-01,이슈,121,0,1
84,2022-07-01,신한넘들,165,1,2
85,2022-07-01,이런~,122,0,1
86,2022-07-01,오늘도 선방,154,3,0
87,2022-07-01,역시 약속의 두시 떡락타임,128,2,2
88,2022-07-01,프로그램,205,3,3
89,2022-07-01,개인은 자금이 한계가 있습니다,140,3,1
90,2022-07-01,답글:윤대통 아주 잘하고 잇어요,71,0,2
91,2022-07-01,수급 털고...더 크게 대 상승 가즈아~...,105,2,2
92,2022-07-01,하방시작 이번엔,204,5,3
93,2022-07-01,■■재로남불...미치광이...셀트리온.....,109,2,5
94,2022-07-01,명예회복 공매도 재개 했습니다.,158,2,8
95,2022-07-01,셀트리온,92,0,2
96,2022-07-01,불금인데,123,2,1
97,2022-07-01,아 글씨,97,1,1
98,2022-07-01,"셀트리온, 미국·유럽서 가속 페달…5월 ...",217,1,2
99,2022-07-01,17은지켜라,105,2,1
100,2022-07-01,셀트..더 크게 장기 대 상승 가보자~~,150,5,2
