,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,3대1로 액면 분할 했나요??,27,0,0
1,2022-07-01,주식투자와 윤석열 보유국...,50,6,1
2,2022-07-01,3500억 공매도치는 서씨 좀 이유좀 들...,43,0,0
3,2022-07-01,석열이가 중국 깠는데 중국은 그래도 손잡...,141,0,0
4,2022-07-01,서씨가 공매도 주범이여,32,0,0
5,2022-07-01,밥쳐먹고 공매도만 치나 검찰청에 끌려가야...,39,2,0
6,2022-07-01,그래도 여기 윤석은열 찍은 넘 많더라,37,2,0
7,2022-07-01,윤석열 보유국,64,7,2
8,2022-07-01,윤통?,36,2,1
9,2022-07-01,"목표가 30,000원",34,1,0
10,2022-07-01,여기 정치글 올리는,56,2,4
11,2022-07-01,답글:정치하는 돼지새끼 때문에,90,12,1
12,2022-07-01,답글:중국 방역 완화되서 개방한데,63,0,0
13,2022-07-01,여기 정치글 올리는 또라ㅇ 당은,25,0,3
14,2022-07-01,"오늘도 공매도가 78702주, 외국인이 ...",65,0,0
15,2022-07-01,안녕하세요 리헌상입니다,32,0,1
16,2022-07-01,인도 VS 중국,126,9,1
17,2022-07-01,아모레 선제타격?,94,7,1
18,2022-07-01,100% 진실에 가까운 야기들 ....반...,139,20,0
19,2022-07-01,위험한 리더의 3가지 유형,260,42,2
20,2022-07-01,매국주주들은 새겨들어라,97,0,0
21,2022-07-01,그놈의 mou 갖고 속는 2찍 2대남 놈...,150,19,0
22,2022-07-01,ㅎㅎ 기관 개털렸네요 외인이랑 같은팀 아...,115,0,0
23,2022-07-01,윤대통령,221,1,35
24,2022-07-01,여가부폐지에 뇌의탁한 좆대남들 자검좀,75,12,0
25,2022-07-01,윤재앙 조만간 중국에 선제타격 하겠다고 ...,111,19,0
26,2022-07-01,양키들 뭘 믿고 쇼커버링하나요,56,0,1
27,2022-07-01,지금 이제 나라가 정상화 되는 과정이다,174,1,33
28,2022-07-01,답글:지금 이제 나라가 정상화 되는 과정이다,104,1,0
29,2022-07-01,ㅂ ㅅ을  뽑은댓가,95,19,1
30,2022-07-01,축하합니다...드디어 대한민국이 1위를 ...,203,27,2
31,2022-07-01,OOO 또 중국 저격질이네,106,10,2
32,2022-07-01,중국 관련 기업들 다죽었다 복창,93,7,3
33,2022-07-01,하락장에 그나마 다행입니다.,52,0,1
34,2022-07-01,베충이들아,79,7,3
35,2022-07-01,윤통 귀국하니 하락을 멈추네 역쉬~,110,4,15
36,2022-07-01,외국 나가선 무시나 당하고....,119,18,2
37,2022-07-01,국민들의 소원,167,7,4
38,2022-07-01,윤재앙 통화 스왑도 못해,129,23,1
39,2022-07-01,미래가 암울하다,197,28,1
40,2022-07-01,바닥이긴 한가보네...,84,1,0
41,2022-07-01,지수대비 진짜 강하네..,73,1,0
42,2022-07-01,윤재앙아 통화스왑 못하냐??... 능력이...,127,11,0
43,2022-07-01,?이 돌아왔다,90,8,2
44,2022-07-01,?새끼 제일 많이 뽑은 동네가 어디지?,190,16,0
45,2022-07-01,ㄱㅛㅇ의 주식 선제타격 화끈하구마...,68,3,0
46,2022-07-01,살려주세요 ㅡㅡ,41,0,0
47,2022-07-01,윤재앙 진짜 ㅋㅋㅋ,173,32,0
48,2022-07-01,중국 저가수입품 없이 인플레 어케 막을라...,150,20,1
49,2022-07-01,부동산 카페 가봐,310,19,1
50,2022-07-01,축하드립니다,68,0,0
51,2022-07-01,윤석열의 집값 안정화 방법,191,28,1
52,2022-07-01,숲을 봐야지,55,0,2
53,2022-07-01,고마워요 윤서결~,112,5,0
54,2022-07-01,윤통님,113,2,13
55,2022-07-01,"경제수석 이란 놈이 국가경제를 파탄내냐""",91,7,1
56,2022-07-01,중국 관련주,46,1,1
57,2022-07-01,아모레 주주이면서 2번찍들 니들은,148,21,1
58,2022-07-01,누군 중국 좋아서 입쳐닫고 있냐,147,21,2
59,2022-07-01,이대로는 나라망하겠다..,72,8,1
60,2022-07-01,찢형이 그립습니다. 찢형이 옳았습니다.,113,22,2
61,2022-07-01,가마우지 경제라고 들어봤냐?,68,5,0
62,2022-07-01,4만원 기억,38,0,0
63,2022-07-01,윤통님 귀국하셨다,226,3,40
64,2022-07-01,엊그제 138500에 털은기념으로ㅋㅋ,39,0,0
65,2022-07-01,쥴리가 잘못했네,54,8,1
66,2022-07-01,여기서 30프로 빠져야 적정가치,39,2,1
67,2022-07-01,중국으로 수출하는 기업들 폭망 중...,58,6,0
68,2022-07-01,대통령이 다 뜻이 있죠,151,2,14
69,2022-07-01,'문'이 그립다,53,4,4
70,2022-07-01,대통령이라는게 어떻게 안정감이 눈곱만치도...,86,17,1
71,2022-07-01,근데 ?은 뭐가 그리 좋은거야?,49,3,0
72,2022-07-01,나라 꼴 자~~알 돌아간다,124,8,1
73,2022-07-01,멍청한것들 각자도생이다,42,1,0
74,2022-07-01,손가락 잘라라 2찍 ㅅ ㅐ끼들아,69,16,1
75,2022-07-01,예수님을 능가하는 보수의 기적!!!,144,22,0
76,2022-07-01,답글:예수님을 능가하는 보수의 기적!!!,59,4,0
77,2022-07-01,"거니 목걸이가 1억600만원, 헐",61,7,0
78,2022-07-01,ㅋㅋ 한달전에,72,3,1
79,2022-07-01,탄핵이 답이다,111,21,2
80,2022-07-01,잘못뽑은 업보다,132,19,0
81,2022-07-01,"'中 소비주' 투자는 미친 짓""…尹 '탈...",265,26,3
82,2022-07-01,탈중국하려면 조용히 하지,180,32,0
83,2022-07-01,고마워 하세요 윤정부때문에 지금주가 보합...,149,6,9
