,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,"""매도가 매도를 부른다"" 증권사, 코스피...",16,0,0
1,2022-07-01,"답글:""매도가 매도를 부른다"" 증권사, 코스피...",21,1,0
2,2022-07-01,상반기 무역적자 103억 달러...역대 ...,87,2,1
3,2022-07-01,답글:상반기 무역적자 103억 달러...역대 ...,77,2,1
4,2022-07-01,답글:상반기 무역적자 103억 달러...역대 ...,65,2,2
5,2022-07-01,미국으로 이마트 모두 이전해야만,63,1,0
6,2022-07-01,30만원!,112,2,0
7,2022-07-01,멸공한번 더하고…중국은 멸치로 떼버리고,56,2,2
8,2022-07-01,“멸공” 딱 하나로만…주가를 반토막 내버...,51,1,1
9,2022-07-01,"코스피, 1년 8개월 만에 2300 깨졌...",60,1,2
10,2022-07-01,"답글:코스피, 1년 8개월 만에 2300 깨졌...",63,1,1
11,2022-07-01,반년새 시총 489조 날린 韓증시...최...,102,1,1
12,2022-07-01,답글:반년새 시총 489조 날린 韓증시...최...,70,0,0
13,2022-07-01,이 얼마나 좋은 멸공이냐,74,2,0
14,2022-07-01,요즘엔 왜 멸공안하노?,64,1,0
15,2022-07-01,세상에 머리에 든거없이 아무리 무식해도 ...,155,10,6
16,2022-07-01,답글:세상에 머리에 든거없이 아무리 무식해도 ...,127,2,4
17,2022-07-01,미국형님들 일본형님들 ~~~~~~,59,0,1
18,2022-07-01,시간이 지나고 나니 내말이 맞제?,159,1,2
19,2022-07-01,"""각하 2300도 무너졌습니다"" ~",137,4,2
20,2022-07-01,"답글:""각하 2300도 무너졌습니다"" ~",144,1,2
21,2022-07-01,아무래도 쓱닷컴과 이베이가 문제겠죠,97,0,0
22,2022-07-01,좀.ㅡ가자,51,0,0
23,2022-07-01,엠병하네......,54,0,0
24,2022-07-01,답글:엠병하네......,98,0,1
25,2022-07-01,"증권가, 7월 코스피 2,200까지 추락...",119,1,3
26,2022-07-01,"답글:증권가, 7월 코스피 2,200까지 추락...",105,0,1
27,2022-07-01,한국 1인당 국민소득이 여기까지 올수있었...,95,1,0
28,2022-07-01,발기부전 개마트 오후에음봉맞겟군,88,1,2
29,2022-07-01,앵글로 섹슨족 파티에 ~,99,4,2
30,2022-07-01,윤재앙,84,1,3
31,2022-07-01,중국관련주들 개작살이 났는데....,152,1,1
32,2022-07-01,"""역사는 반복된다"" 이말이 오늘따라 소름...",157,2,1
33,2022-07-01,[부동산폭락은 우리안에서지만 공매도는 국...,66,0,0
34,2022-07-01,20일선 못뚫었네호,163,2,3
35,2022-07-01,멸공!!,136,1,1
36,2022-07-01,[단독]잠실에 ‘LG 돔구장’ 생긴다.....,296,3,0
37,2022-07-01,답글:[단독]잠실에 ‘LG 돔구장’ 생긴다.....,175,0,1
38,2022-07-01,[뉴욕증시]'52년래 최악 상반기' 막판...,164,1,5
39,2022-07-01,답글:[뉴욕증시]'52년래 최악 상반기' 막판...,205,1,1
40,2022-07-01,"루비니 ""스태그플레이션 채무위기 온다…증...",203,2,2
41,2022-07-01,"답글:루비니 ""스태그플레이션 채무위기 온다…증...",134,0,1
42,2022-07-01,이마트 소재 좋다,363,5,0
43,2022-07-01,[세계화의실체는 우리들돈으로 우리들멸망하...,74,0,0
44,2022-07-01,ㅋㅋㅋㅋㅋㅋ,120,0,0
