,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,월요일 종가를 알려드림,6,0,0
1,2022-07-01,영두 요즘도 회원받음?,20,0,0
2,2022-07-01,카카오 대표님,22,0,1
3,2022-07-01,카카오 공매도가 너무나 많네요,24,1,0
4,2022-07-01,개미님들 우리는 정부와 기관의 호구 먹잇...,25,1,0
5,2022-07-01,너희들은  신분이 뭐냐? 부자냐? 중산층...,34,1,0
6,2022-07-01,대국민 서명 받아,29,1,0
7,2022-07-01,옛날 박스권 주가 복귀하면,43,0,0
8,2022-07-01,쿠팡봐라,55,0,1
9,2022-07-01,시장주도자들과 공매도,42,1,0
10,2022-07-01,합법 ㅅㄱ 나라,32,0,0
11,2022-07-01,코로나 분위기,57,2,1
12,2022-07-01,카카오구룹이나 더러운 친일수구세력이나 이...,48,0,1
13,2022-07-01,자사주 매입 소각 한다며,68,0,0
14,2022-07-01,카카오가 삼성전자 10만원만든다,74,0,0
15,2022-07-01,(  김범수 니만 봐 . ),40,0,0
16,2022-07-01,블랙 먼데이,50,0,1
17,2022-07-01,"형님들, 다음주에 카카오 오를 것 같죠?",67,1,1
18,2022-07-01,내일 시초에 팔아라 다시는,106,2,2
19,2022-07-01,개미 정말 돈 만타~,42,0,0
20,2022-07-01,https://youtube.com/sh...,37,0,0
21,2022-07-01,간만에 보는 제대로된 전망분석,71,1,0
22,2022-07-01,적정주가 2만원..,43,0,1
23,2022-07-01,"10,000원 깨지면 분할매수 들어간다",40,0,1
24,2022-07-01,카카오는,48,1,0
25,2022-07-01,4만원 지킬까요,56,1,0
26,2022-07-01,한동훈이,73,5,3
27,2022-07-01,웅장한 후지산...,37,0,0
28,2022-07-01,문정부에는 코스피 3300 이상,75,7,4
29,2022-07-01,끝났다!!,53,1,0
30,2022-07-01,액면가 100원짜리,50,1,0
31,2022-07-01,올해3만원 본격인플레 내년 1만원,75,4,0
32,2022-07-01,윤석열 리스크 주가 폭락,116,10,4
33,2022-07-01,어쩌다가..,44,0,0
34,2022-07-01,오늘만,56,0,0
35,2022-07-01,전환사채 리스크를 못 피할듯~,84,1,0
36,2022-07-01,다들 농약먹구 다죽자,179,4,1
37,2022-07-01,[이건 기회야],62,0,0
38,2022-07-01,반등 하긴 하겠죠??,69,1,1
39,2022-07-01,카카오 이름 들어간 것들은,68,4,6
40,2022-07-01,와~ 카카오 보니 주식하기 겁난다.,73,0,0
41,2022-07-01,키움 매수? ㅜㅜ,49,0,0
42,2022-07-01,결국 9천손절 ㅠㅠ,106,2,0
43,2022-07-01,3만원대가,83,4,1
44,2022-07-01,카카오 까는것들,68,0,2
45,2022-07-01,유영두 할아버지 보고 시퍼요~^^,140,4,1
46,2022-07-01,유튜브에서,122,2,0
47,2022-07-01,주식 이름에,87,8,2
48,2022-07-01,주린이들 카카오 가즈아~~!!,58,0,1
49,2022-07-01,와 몇년만에  대형주 샀는데,76,1,2
50,2022-07-01,카카오,57,0,1
51,2022-07-01,주가하락율 세계1위,229,7,0
52,2022-07-01,카카오 전부 합병하고,97,7,0
53,2022-07-01,[[ 루나코인의 최후 ]] 다음은 (( ...,76,0,2
54,2022-07-01,반대매매유예 월 폭등3개월,132,0,1
55,2022-07-01,"가자 5만원,,,, 그리고 중국에 팔려라...",86,3,0
56,2022-07-01,유튜브 유영철 영감탱이 틀니 아작내고 싶...,165,6,0
57,2022-07-01,2만원대도 가치를 보면 못들어 간다.,63,0,0
58,2022-07-01,이거 3만원 이상에 사신분 손들어보세요,120,4,5
59,2022-07-01,코스피 바닥은?,70,0,0
60,2022-07-01,요즘도~?,70,5,0
61,2022-07-01,공매도 폐지 투쟁 합시다 !,139,14,1
62,2022-07-01,공매도 기관.해외투자자.개인 조건 통일시...,79,2,0
63,2022-07-01,다음주 5만원대~~,64,1,0
64,2022-07-01,한국**TV 단톡방,64,0,0
65,2022-07-01,윤석렬은  주식시장 박살내는 공매도와,151,10,0
66,2022-07-01,답글:윤석렬은  주식시장 박살내는 공매도와,6,0,0
67,2022-07-01,조옥같,65,4,0
68,2022-07-01,개미 주주들은 안타깝지만,141,3,0
69,2022-07-01,"평단가..87,445원.",359,0,1
70,2022-07-01,아직도 시총 29조야?? 요즘 거품 쫙쫙...,70,2,0
71,2022-07-01,대장주의 말로,75,1,1
72,2022-07-01,하아...,252,0,2
73,2022-07-01,남궁훈대표의 15만원 공약은 아무래도. ...,140,2,0
74,2022-07-01,한국경제 카카오 3만원이야기,158,0,0
75,2022-07-01,카카오,60,0,0
76,2022-07-01,또 상장한다며 ㅋㅋ,136,4,0
77,2022-07-01,BPS가 25000원이다. PBR 0.5...,76,1,0
78,2022-07-01,보이싱보다무서운 단톡방,62,0,0
79,2022-07-01,이런주식 멀리해야되는 간단한 이유,114,1,0
80,2022-07-01,"배당금 1주당 삼전1444원, ㅋㅋㅇ는5...",148,2,0
81,2022-07-01,미래 수출을 위해서라도 원전보다는 풍력 ...,90,2,4
82,2022-07-01,공매도 20만건,83,2,0
83,2022-07-01,금융위기 족집게 예측 '닥터 둠'의 재경...,155,1,0
84,2022-07-01,666 악마 숫자까지 찍었으니 고마해라.,78,0,0
85,2022-07-01,아직도 코로나 이전 주가의 두배이상이다,114,2,1
86,2022-07-01,야이! 주식 JUNNA게 못하는 새기들아...,148,8,1
87,2022-07-01,"니들,,",80,0,0
88,2022-07-01,와 8만원에 손절친게 신의한수였네,350,14,2
89,2022-07-01,오늘 66600원 52주 신저가 기록,81,0,0
90,2022-07-01,미선물 개폭락중,402,4,1
91,2022-07-01,너무너무비싸네,86,0,0
92,2022-07-01,카카오 다 합쳐라!!!,168,8,0
93,2022-07-01,ㅎㅎ,57,0,0
94,2022-07-01,삼 가 고인의 명복을 빕니다.,115,0,0
95,2022-07-01,이제 들어올려고 봤더니,83,0,0
96,2022-07-01,종토방도 이젠 재미없네,76,0,0
97,2022-07-01,48000원 언제오나요,76,0,0
98,2022-07-01,카카오 sk 셀트 사는넘은 뭐다?,132,1,1
99,2022-07-01,형 말 믿어라,201,0,1
100,2022-07-01,제 발등을 찍은 카카오,266,2,2
101,2022-07-01,오늘장팔자 -,151,1,1
102,2022-07-01,카톡마저미워지려고하네,86,1,0
103,2022-07-01,월요일 매도해야것다..,135,3,0
104,2022-07-01,개미탕이네,74,0,0
105,2022-07-01,3천원오면 들어가라,71,0,0
106,2022-07-01,개돼지님들 오늘도 희망회로 잘돌리셧?니까...,70,0,0
107,2022-07-01,확실히 개미들 멍청하긴해 ㅋㅋ,122,3,2
108,2022-07-01,"희망도 없고,",93,3,0
109,2022-07-01,육카오,61,0,0
110,2022-07-01,이건 4짜가 맞다고 생각한다..,80,1,0
111,2022-07-01,답글:이건 4짜가 맞다고 생각한다..,38,0,0
112,2022-07-01,앵두헝이,107,0,0
113,2022-07-01,사자마자 물렸다,238,0,4
114,2022-07-01,카카오 적정가 알려준다,160,1,1
115,2022-07-01,참마 개미만 열라 사대는구나,107,3,0
116,2022-07-01,이거 코로나전에 2만원대 였다니깐,160,6,1
117,2022-07-01,고고고!!!,89,1,0
118,2022-07-01,40000까지빠지겠네,135,2,1
119,2022-07-01,한국주가 최저점을 향한 곡소리!,131,6,1
120,2022-07-01,숨도못쉬겟다 개미지옥이다 개카오,106,1,0
