,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,근데 따지고 보면 현대모비스는 내린게 아...,63,0,0
1,2022-07-01,ㅈ스래기잡주ㅋㅋㅋ,18,0,0
2,2022-07-01,LIKEBEE   네이버에,84,1,0
3,2022-07-01,죄송합니다 안깝치겠습니다,316,3,0
4,2022-07-01,외국형들 놀이터네,90,0,0
5,2022-07-01,주가,99,1,0
6,2022-07-01,역시나 염이사님 말씀이 옳았네...,485,2,9
7,2022-07-01,이트레이드 생수 진짜싸다ㅡㅡ다른건별루고,86,0,0
8,2022-07-01,주가,155,2,0
9,2022-07-01,재수도 더럽게없는주식,257,1,1
10,2022-07-01,적정주가,352,4,2
11,2022-07-01,저번주 진입한 신용 영끌러입니다,368,3,3
12,2022-07-01,★★★주식담보대출/신용 금리이벤트★★★,112,1,1
13,2022-07-01,얘는 한번식보면,136,3,0
14,2022-07-01,머선일이죠?,324,4,0
15,2022-07-01,동호가 또장난질,154,1,0
16,2022-07-01,평단가 205800원. 2500주,740,14,4
17,2022-07-01,"공매도 급소를 노려라: 상한가 매도, 윗...",111,0,1
