,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,미증시상승중,6,0,0
1,2022-07-01,Porsche GT4e performan...,15,0,0
2,2022-07-01,개미분들 우리는 호구입니다. 정부 공매와...,51,4,0
3,2022-07-01,외인,51,0,0
4,2022-07-01,현대차노조 파업 찬/반투표,112,0,0
5,2022-07-01,180  200주 담궜씁니다 잘했다고 해...,154,5,0
6,2022-07-01,반도체 ?,115,0,1
7,2022-07-01,문정부 일때 코스피 3300 였는데...,289,6,2
8,2022-07-01,현대차 노조 갈아마셔도 시원찮음....,123,5,0
9,2022-07-01,파업가결,346,2,1
10,2022-07-01,"@@하한가예고 공급대란---연료탱크,,반...",155,1,1
11,2022-07-01,"@@하한가예고 공급대란---연료탱크,,반...",102,0,0
12,2022-07-01,파업 생산차질  실적악화,213,0,2
13,2022-07-01,아마 파업가능성 99프로 ㅋㅋㅋ,231,0,1
14,2022-07-01,한일 건강한 관계로 노력하라!!!,102,1,0
15,2022-07-01,9월말 50만원 나만 보이냐?,160,1,6
16,2022-07-01,답글:이 SAI GGY    MI쳤나?????...,115,0,0
17,2022-07-01,코스피 하락에  현대차는 ~~~,175,1,0
18,2022-07-01,이번 반기배당 얼마예상인가요?,535,1,0
19,2022-07-01,해외에서전달대비 판매량증가가 중요하다.,171,3,0
20,2022-07-01,윤석렬은  당장  공매도 금지 및,164,6,0
21,2022-07-01,점?가칭규가...,138,0,1
22,2022-07-01,현대차 2분기 실적,475,4,1
23,2022-07-01,전기차구입은  선택이아니라 목숨을건 투쟁...,173,0,0
24,2022-07-01,유독히 저평가된 한국주가의 곡소리!,191,1,1
25,2022-07-01,파업은 파업으로 결정납니다.,460,0,1
26,2022-07-01,판매대수가 예상치와 부합해서 다시한번 실...,291,6,1
27,2022-07-01,"주주들이 합심해서,, 강성노조 못때려잡노...",176,6,1
28,2022-07-01,미국의 영업이익 기여 및 전체 영업이익 ...,261,6,0
29,2022-07-01,유럽과 미국의 분기별 판매량 과 향후예상,228,5,0
30,2022-07-01,판매대수의 추이가 중요하다.,198,2,1
31,2022-07-01,"외인,기관보다 개인이 많이 턴거에 긍정적",194,1,1
32,2022-07-01,아니 이젠 판매대수 가지고 떠드는거.,174,0,0
33,2022-07-01,이시기에 이정도 선방이면,184,1,0
34,2022-07-01,찬티들의 자위에 속지 말아라~,186,1,1
35,2022-07-01,"속보)미국, 현대차 6월 선방한 것으로 ...",359,4,0
36,2022-07-01,수출동향과 현대차발표와 정확히 일치하네요...,438,6,2
37,2022-07-01,조졌네,327,1,7
38,2022-07-01,6월 실적 공시!,455,5,0
39,2022-07-01,잠정실적나옴....,373,0,0
40,2022-07-01,답글:잠정실적나옴....,252,0,3
41,2022-07-01,와~~개관들,316,1,0
42,2022-07-01,어여 주식판 떠라~,181,0,1
43,2022-07-01,시총 5위 ㅊㅋㅊㅋ,223,2,0
44,2022-07-01,댓글 쓰는 인간들은,168,0,0
45,2022-07-01,개인 투자자로써,176,0,1
46,2022-07-01,전고점 오려면 10년  걸릴까요?,232,0,0
47,2022-07-01,"아이오닉 미국, 유럽 뿐만 아니라 인도네...",273,0,1
48,2022-07-01,●●● 속보=========,289,3,0
49,2022-07-01,답글:[삭제된 게시물의 답글]아직도 흥보시키 ...,181,0,0
50,2022-07-01,"'닥터 둠' 루비니 교수 ""주가 50% ...",204,0,0
51,2022-07-01,바이든한테 이용당하고 팽당했는데도 실실쪼...,328,12,4
52,2022-07-01,중국 저가수입품 없이 인플레 감당못함 ㅋ...,193,4,0
53,2022-07-01,현대차는 국내용 성장성 없음,158,0,0
54,2022-07-01,여긴 노조원들 인건비 땜에,164,1,0
55,2022-07-01,경제파탄원흉 윤가놈을,178,6,3
56,2022-07-01,비야디 알리바바 텐센트 떠오르는 중국,144,0,0
57,2022-07-01,현대차 싸게 줘서 고마워,173,0,0
58,2022-07-01,현대차 날아라..,156,0,0
59,2022-07-01,현금관망신 현금 3억대기중,152,0,0
60,2022-07-01,나토에 원전 세일즈하러 간다고 할때 말리...,186,2,0
61,2022-07-01,오늘은 6월달 자동차 판매량 발표합니다.,274,2,0
62,2022-07-01,윤무당 탈중국 연설 꽃피는중,209,8,0
63,2022-07-01,야!!!!,178,1,1
64,2022-07-01,또 파업,243,3,1
65,2022-07-01,장경태할배요 옵서버자격으로가서 구석에처박...,204,1,3
66,2022-07-01,와 요즘 lp들은 실력 진짜 없네 ㅋㅋ,243,0,0
67,2022-07-01,부분파업이냐 전면파업이냐만 남음,250,1,0
68,2022-07-01,개인 투자자로써,299,0,3
69,2022-07-01,잘몰라서 묻습니다.,328,0,0
70,2022-07-01,하반기실적더좋은호재공시에~,377,8,1
71,2022-07-01,이런장에서 빨간불,224,0,0
72,2022-07-01,현대차 노조 파업하면 끝장내라,359,9,1
73,2022-07-01,답글:잡아다 못 패지요?,213,1,0
74,2022-07-01,삼전 나락인데 현차는 뭐임,451,0,0
75,2022-07-01,머스크 도지코인 손절하고 흉기줍줍중,331,3,0
76,2022-07-01,물량,222,0,0
77,2022-07-01,자사주5천억취득현대기아그룹납품호재공시나온,376,5,1
78,2022-07-01,독일에서 디젤게이트 현지검찰이 수사한다메,479,0,7
79,2022-07-01,"경축! 시가총액 네이버 넘음, 6위 입성",291,7,0
80,2022-07-01,장기투자 하시는 분들 힘내세요,360,1,0
81,2022-07-01,파업해봐야 지들만 손해지,355,8,0
82,2022-07-01,계속 현금화하라고 사회운동을 펼치는 이유,348,0,1
83,2022-07-01,계속 현금화하라고 사회운동을 펼치는 이유,226,0,0
84,2022-07-01,5프로 뛰어주셈 단타한번해보자.외인양아치...,206,0,0
85,2022-07-01,노조 집행부의 책임전과,250,2,0
86,2022-07-01,똥렬이 온다니 주식시장이 공포로,229,1,2
87,2022-07-01,"현대차 아이오닉 5, 美 IIHS 충돌평...",287,0,0
88,2022-07-01,현대차노조vs김정은일당vs푸틴일당vs아베...,210,0,0
89,2022-07-01,생산하는 회사가 없어서 똥차라도 사갔는데,203,0,0
90,2022-07-01,흉기 유럽에서 디젤게이트,204,0,1
91,2022-07-01,고수다 10만원 올때까지 잔차 탄다,218,0,3
92,2022-07-01,프로그램애들 때문에 주가 빠지는구나,226,0,0
93,2022-07-01,오늘은 오르는 날이 아니여,223,0,2
94,2022-07-01,횡보,220,0,0
95,2022-07-01,현대차 관건은 파업이지.,409,0,0
96,2022-07-01,오늘은,243,1,0
97,2022-07-01,"비둘기파 메스터 美 연은 총재 ""7월 0...",257,0,1
98,2022-07-01,흉기 특,203,0,0
99,2022-07-01,다음주 20만 가즈아ㅏㅏㅏ,215,0,0
100,2022-07-01,얼마 까지 가긋냐 나19층에 산호구,362,0,1
101,2022-07-01,반등시 빨리 현금화해야 합니다,273,0,0
102,2022-07-01,개미가 사면,234,0,0
103,2022-07-01,아메리카대륙 노후원전90기 석탄발전소50...,229,0,0
104,2022-07-01,또 파랭이 가나요?ㅠㅠ,231,0,1
105,2022-07-01,잡주,215,0,2
106,2022-07-01,"현대차_갖 고계신 .분만 ,.,..",245,0,2
107,2022-07-01,달려라 현대차,267,2,0
108,2022-07-01,곧 폭락,267,0,2
109,2022-07-01,네이버 시총 잡았다,337,5,1
110,2022-07-01,이제 현대차가 테슬라 HMM급,317,4,1
111,2022-07-01,현대차  3분기 실적 컨센,318,1,0
112,2022-07-01,싸바랄,353,1,0
113,2022-07-01,어제 미국증시 대폭락하던데,292,0,0
114,2022-07-01,정신 못차리는 현대차 주가?,261,0,0
115,2022-07-01,현대도 이젠 젊은이들 많아서 무식하게,335,2,0
116,2022-07-01,유신의 심상치 않은 최근 동향(장문),268,0,1
117,2022-07-01,19층에 산 호구있니 그게나다,418,1,5
118,2022-07-01,테슬라망해라,252,0,0
119,2022-07-01,"성탄절이 토요일, 일요일일 경우 월요일을...",256,0,2
120,2022-07-01,현대차 디젤게이트는 거짓이다.,341,2,0
121,2022-07-01,현대차가 대장주이다~~,349,10,0
122,2022-07-01,오랜만에 들어와보니 별에별 틀딱아재들,290,1,2
123,2022-07-01,속보)  아이오닉 6  선보여,595,2,5
124,2022-07-01,속보))  아이오닉6,393,2,6
125,2022-07-01,[부동산은 최대 -90%까지주저앉을것],360,2,1
126,2022-07-01,집 살 수 있는 방법,338,5,0
127,2022-07-01,6천만원 아이오닉6 공기저항계수 0.21...,445,2,0
128,2022-07-01,2050년 500만 나만 보이냐?,822,3,6
