,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,급히  떨어지면 또 급히,13,0,0
1,2022-07-01,개미님들 우리는 정부와 기관의 호구이자 ...,18,2,0
2,2022-07-01,>>,56,8,2
3,2022-07-01,lg전자 역대 pbr 0.6까지 갔던 전...,320,0,15
4,2022-07-01,윤똥 지지율 곧 30대 진입한다.,142,11,6
5,2022-07-01,왜 우리나라 사람들은 남이 못되기를 바람...,234,18,4
6,2022-07-01,우량주!,356,13,0
7,2022-07-01,윤통님 다음주 10만 부탁해요!~~,320,7,9
8,2022-07-01,ㅋㅋ  우리나라 주식장이 끝나야  미선물...,176,3,0
9,2022-07-01,imf금융위기를 유발한 일본의 공격,218,3,10
10,2022-07-01,시외 뭐냐 현기증난다,424,5,1
11,2022-07-01,시간외 뭔데 씹빡 장난하지마라 개 ㅈ 같...,436,2,1
12,2022-07-01,얘는 PER 10이하에서 사야 수익이 날...,159,1,3
13,2022-07-01,헬쥐 종목들 공매도 주타켓,98,0,0
14,2022-07-01,주봉에서만 11주연속 음봉이네ㅜㅜ,126,3,0
15,2022-07-01,공매도 15만건이다,121,0,0
16,2022-07-01,뭐에 씌웠나...신기가 느껴지는,182,3,2
17,2022-07-01,공매도에 대차거래에 오를수가 없네요,127,2,0
18,2022-07-01,윤썩열  두목의  업적.,263,22,3
19,2022-07-01,폭락장 홀로 상승....역시 lg전자,258,4,7
20,2022-07-01,겨우3%,150,0,0
21,2022-07-01,엘전 어제 매수 오늘 추매,148,1,0
22,2022-07-01,외국인들은 계속매도야...코스피..코스탁,122,0,0
23,2022-07-01,결국 ..,137,1,0
24,2022-07-01,이 주가에도,112,0,0
25,2022-07-01,헐... 연기금 단타쳤네..,165,1,0
26,2022-07-01,애플카 찌라시 나올때도 되었는데...,138,0,0
27,2022-07-01,외인과 연기금이 단타로,164,3,2
28,2022-07-01,오늘 선방했음..,182,2,0
29,2022-07-01,월요일...,290,3,3
30,2022-07-01,그래도 오늘 같은날 올라서 좋네,125,3,0
31,2022-07-01,한번에 만원만 쏘아주면 십만원인데!,99,0,1
32,2022-07-01,공매 ㅈㄴ게 치는 모간이 오늘,192,0,0
33,2022-07-01,개석열이가 질알하건 말건 엘쥐는 가자,164,7,1
34,2022-07-01,??????대깨문=대깨항??????,175,4,2
35,2022-07-01,Lg는 오늘 버티는 이유가 뭘까,323,0,1
36,2022-07-01,오늘 멸치 ㅆx 새끼들 아니었음..,158,1,0
37,2022-07-01,♥한동훈 법무부장관이 뉴욕남부검찰청 찾는...,319,10,11
38,2022-07-01,답글:김건희 수사 왜 안한다냐?,133,7,3
39,2022-07-01,윤석열 마누라 김건희,327,16,10
40,2022-07-01,코로나 반등조짐~~,182,1,0
41,2022-07-01,????경제는 대통령이 살리는게아니다??...,156,2,3
42,2022-07-01,★ 와 엘전 지수만 좋았다면 95000원...,198,8,1
43,2022-07-01,내일 절에 등달러가요 1년등이요,124,0,3
44,2022-07-01,이런,128,2,0
45,2022-07-01,오늘 공매도 14만주? ㅋㅋㅋ,164,1,0
46,2022-07-01,윤주댕이의 귀국선물,130,6,2
47,2022-07-01,??????현시간 유일한 정부대책????...,216,6,2
48,2022-07-01,외인이 공매도 쳤구만,127,0,0
49,2022-07-01,보합이군,95,0,0
50,2022-07-01,제발 무능한 새끼는,132,11,3
51,2022-07-01,이런개후레개주식,97,0,0
52,2022-07-01,폭락장에 버텨서 좋긴한데,113,0,0
53,2022-07-01,"팁, 현대건설로 얼른 갈아 타세요",124,1,2
54,2022-07-01,개미만 또 당했어,136,2,0
55,2022-07-01,8만원,101,0,0
56,2022-07-01,또 빨구싸냐 씹빡,105,1,1
57,2022-07-01,공매도 타령하지말고,112,5,2
58,2022-07-01,개인들 잘 팔더만 흠,107,0,0
59,2022-07-01,지수 작살났는데 빨갱이면 만족해야제,121,2,0
60,2022-07-01,"걱정마라,, 곧 윤무당 증시대책 나온다....",157,3,4
61,2022-07-01,??????히???????,91,1,0
62,2022-07-01,또또 물렸네 ㅉㅉ,95,0,0
63,2022-07-01,공매있는한상승없음,100,1,0
64,2022-07-01,할말이없다..해줄말도없구,94,0,0
65,2022-07-01,오늘도 8만전자냐,133,0,0
66,2022-07-01,몰아내자 공매도~,127,4,1
67,2022-07-01,이거 15만부터 계속 데드캣바운스 아니냐...,119,1,0
68,2022-07-01,공매도에 대한 저만의 생각...........,129,6,1
69,2022-07-01,전단지 외교...,157,5,4
70,2022-07-01,ㅂ     ㅅ 아 이럴때 주주위해 자사주...,131,2,0
71,2022-07-01,>>,111,8,0
72,2022-07-01,연기금 간부들 당장 숙청하라~,126,7,0
73,2022-07-01,삼전 5만 엘전 만원할때,126,0,1
74,2022-07-01,그래도 감사합니다.,112,0,2
75,2022-07-01,전시  상황으로 바뀌고 있습니다.,161,5,1
76,2022-07-01,오전에..피하라구말씀드렸는데,104,0,0
77,2022-07-01,역시 질질질 황제주  9만 결국 못지키네,90,0,0
78,2022-07-01,Lg가 나의 무덤이 될줄이야,129,0,0
79,2022-07-01,역쉬 lg네,102,0,0
80,2022-07-01,엘전 밴츠에 디스플레이 납품건으로 개미 ...,196,1,0
81,2022-07-01,또 개미만당했네,133,1,0
82,2022-07-01,완전지랄을하시네,142,2,0
83,2022-07-01,"증권가, 7월 코스피 2,200까지 추락...",231,1,1
84,2022-07-01,5년간 이리 갈 듯,141,0,0
85,2022-07-01,평단145000,326,2,1
86,2022-07-01,이준석이....,186,1,1
87,2022-07-01,답글:이준석이....,93,0,0
88,2022-07-01,넌 뭐야,119,0,1
89,2022-07-01,더이상떨어질데가없다,139,2,1
90,2022-07-01,이주식 올라도내려도거래읍따ㅡㅡ청약과열이라...,141,0,0
91,2022-07-01,답글:이주식 올라도내려도거래읍따ㅡㅡ청약과열이라...,81,0,0
92,2022-07-01,주식은 종목선정이다,144,2,0
93,2022-07-01,얼라?,139,3,0
94,2022-07-01,기회줄때 열심히 모아둬라....하반기 전...,458,11,5
95,2022-07-01,이주식은 한두달에 한번씩 이럼,187,4,0
96,2022-07-01,형들 차트는 좋지 않아 이거?,252,1,0
97,2022-07-01,삼전에서 넘어 왔소.,213,0,0
98,2022-07-01,아이코,119,3,0
99,2022-07-01,프로그램,169,1,0
100,2022-07-01,오늘 시장만 좋았어도 9만3천 뚫는거였는...,156,5,2
101,2022-07-01,작년에  애플카 팔이 해서  주가올리더니,170,3,0
102,2022-07-01,주식 입문 3년차..,358,0,2
103,2022-07-01,엘지 공장 14조면 비싼건가요,159,0,0
104,2022-07-01,빨간불이라서 들어가는 흑우 없지?,120,0,0
105,2022-07-01,안티 씨레기 씨이ㅂ놈들아,115,3,0
106,2022-07-01,넌 왜 오르냐,137,1,0
107,2022-07-01,매력적 인수가치,253,1,2
108,2022-07-01,야구장에 1000억 쓴단다ㅋㅋㅋ,186,4,0
109,2022-07-01,사랑해요♡LG♡,112,0,2
110,2022-07-01,6만5천원까지 차트상 하락,210,1,4
111,2022-07-01,쓸데없는소리좀마라,126,1,0
112,2022-07-01,탈출은 지능순,114,1,1
113,2022-07-01,오늘도 오전 내내,139,1,2
114,2022-07-01,지수가 안도와주네,138,1,1
115,2022-07-01,80층에서,142,1,1
116,2022-07-01,돼지리스크 심각..,149,7,2
117,2022-07-01,와우 뭐냐,115,0,0
118,2022-07-01,엘전이 이런장에서 오르는 이유는?,195,1,0
