,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,15만주 ㅠㅠ,20,0,0
1,2022-07-01,가뜩이나 떨어졌는데 불난집에 휘발류 뿌리...,35,3,0
2,2022-07-01,개미는 기관과 정부의 개돼지 호구 먹잇감...,21,0,0
3,2022-07-01,자사주    처분이라고라,35,0,0
4,2022-07-01,사장ㄴ 머리털 뜯으러가실분?,25,1,0
5,2022-07-01,"쥐. 닭, 돼지한테 빨래질 당하는 저능아...",23,0,0
6,2022-07-01,종토방에서 정치 이야기 하지 말라는데,45,4,1
7,2022-07-01,naver고객센터,48,1,0
8,2022-07-01,성남 FC 후원금,31,1,1
9,2022-07-01,산이 높았다,31,0,0
10,2022-07-01,열받네..,51,2,0
11,2022-07-01,+네이버 옥주현 기사 댓글 언제 닫을거?...,49,0,0
12,2022-07-01,문정부 일때 코스피 3300대...,64,5,2
13,2022-07-01,매입/소각은 커녕 스톡 그랜트 위해 처분,59,0,0
14,2022-07-01,육개장,33,0,0
15,2022-07-01,아니 자사주를 파는건 좋은데,142,1,0
16,2022-07-01,이거 15만원 이상에 사신분 손들어보세요,136,2,3
17,2022-07-01,답글:이거 15만원 이상에 사신분 손들어보세요,5,0,0
18,2022-07-01,● 월요일 쩜하,45,0,0
19,2022-07-01,왜 자사주 매각,317,0,0
20,2022-07-01,네이버..,55,0,0
21,2022-07-01,● 쩜하,82,6,0
22,2022-07-01,너무하네요,86,2,0
23,2022-07-01,공시 정신나간거보소 ㅋㅋ,191,8,0
24,2022-07-01,눈을 의심케 하는 자사주 처분 공시,417,16,1
25,2022-07-01,공시 미친거 아니냐!,209,15,1
26,2022-07-01,무차입 공매도 제도에 대해 묻습니다,99,3,0
27,2022-07-01,대한민국의 세계 제일 공매도 시스템,144,2,0
28,2022-07-01,직원들 돈으로 주면,115,0,0
29,2022-07-01,OOO들이네 이거,137,10,0
30,2022-07-01,무슨짓인지 생각이 없는  애들인가?,170,12,0
31,2022-07-01,원전?,80,0,2
32,2022-07-01,자사주처분,658,9,0
33,2022-07-01,풍력 태양광 수소산업이 원전산업보다 크고...,162,3,1
34,2022-07-01,왜? 한국주가만 최저점을 향하나?,130,8,3
35,2022-07-01,외인 입질,149,0,0
36,2022-07-01,300원오면,81,0,0
37,2022-07-01,많이 배고프다,133,0,1
38,2022-07-01,메릴린치가 놀고있네,121,0,0
39,2022-07-01,골드만    히바리가   없노  ?,60,0,0
40,2022-07-01,동시호가,209,1,0
41,2022-07-01,초일류 우량주 naver,207,2,0
42,2022-07-01,네이버 화이팅!,116,1,0
43,2022-07-01,올라가자,65,0,0
44,2022-07-01,같이 떨어져도 올라도 카카오보단 네이버,264,5,0
45,2022-07-01,월요일 반대매매는 우짤거야,175,2,0
46,2022-07-01,대통령 경제무능,259,23,2
47,2022-07-01,네이버만 카카오에비해 계속 적게떨어지네,121,0,0
48,2022-07-01,(긴급) 공시떳네 ㅋㅋㅋ,342,0,1
49,2022-07-01,"'닥터 둠' 루비니 교수 ""주가 50% ...",191,1,0
50,2022-07-01,와 ㅅㅂ,267,16,1
51,2022-07-01,게이버 99000원에 아가뤼 신나게 쩌어...,100,2,1
52,2022-07-01,주가가 떨어지는 이유는 단순하다,167,1,1
53,2022-07-01,대표님 부탁드리옵니다,116,2,0
54,2022-07-01,그저 살려달란 말밖에,71,0,0
55,2022-07-01,물리신분들 필독 (고수글),168,3,0
56,2022-07-01,"1차 저항선 150.000원""대세 하락 ...",120,1,0
57,2022-07-01,네이버 1년전에 50만원일때 딱 1년이면...,327,1,2
58,2022-07-01,그만좀 패라.......,128,0,1
59,2022-07-01,형은 곧 죽어도70000원 기다리고있다,97,3,1
60,2022-07-01,와..코스피..나라 망했냐?,269,5,0
61,2022-07-01,무식한 대통령 때문이야,209,17,1
62,2022-07-01,이제 그만 떠납니다,246,4,1
63,2022-07-01,17만원 대기,113,2,0
64,2022-07-01,17만원 언제오나요,248,4,4
65,2022-07-01,8올까요..내년에 지수1500놀까요,194,2,2
66,2022-07-01,NAVER 목표주가,156,0,2
67,2022-07-01,대재앙!! 공매도 금지해라!!,130,6,0
68,2022-07-01,내가 말햇제,97,1,0
69,2022-07-01,"코스피 2000, 코스닥500시대",167,7,0
70,2022-07-01,정부는 공매도  금지하라,89,3,0
71,2022-07-01,쉴 만큼..쉬었으면 이제는 올라가자,51,0,0
72,2022-07-01,가자 코스피 1600,68,2,0
73,2022-07-01,기다려봐,157,2,1
74,2022-07-01,개나소나 주식사서 파이어족,126,1,1
75,2022-07-01,미리 예상해주셔서 감사합니다 ㅠ,122,0,1
76,2022-07-01,야~~~~,67,0,0
77,2022-07-01,야는 한번 파랭이로 방향 잡으면 파랭이....,90,0,0
78,2022-07-01,모두 죽는다. 지금이라도 공매도 금지청원...,128,3,0
79,2022-07-01,망했네 망했어.,129,4,0
80,2022-07-01,쥐기네,111,1,0
81,2022-07-01,카카오 + 네이버,332,3,0
82,2022-07-01,역시 올린만큼 하락시키는구나?,197,0,2
83,2022-07-01,삼전 신저가...,111,0,0
84,2022-07-01,윤빡대가리가 너무 능력이 뛰어나서. 한국...,122,8,0
85,2022-07-01,18만원에 매수 대기중입니다.,68,0,0
86,2022-07-01,IT계 임금상승으로 순이익 하락.,72,0,0
87,2022-07-01,[예수께서는 고난의 광야에 홀로셨다 홀로...,50,0,0
88,2022-07-01,카카오 인건비 폭증으로 당분간 수익성 기...,69,0,1
89,2022-07-01,15만원에 사세요,181,1,0
90,2022-07-01,29만원때 손절 못친게 한이다,190,2,1
91,2022-07-01,7월 첫날부터..,86,2,0
92,2022-07-01,"염xx : ""지금은 여기에 주목할 때""",312,6,0
93,2022-07-01,대한민국 1등,74,0,2
94,2022-07-01,요즘 누가 네이버쓰냐??,337,1,2
95,2022-07-01,195000원 어떻게든 내려오겠지.,73,0,0
96,2022-07-01,코스피지수가 올라간다 이제는 반격이다 반...,112,0,3
97,2022-07-01,조중동 항문견 기더기들 니들이 인간이냐,106,10,1
98,2022-07-01,윤석열 중국 러시아 적으로 간주?,183,2,0
99,2022-07-01,자꾸 떨어지다가 배당율 1% 되겠네요,166,0,0
100,2022-07-01,쭉 밀린다...,145,0,0
101,2022-07-01,월봉상,182,1,2
102,2022-07-01,잡주라니까,112,3,0
103,2022-07-01,아모레도,102,0,0
104,2022-07-01,이 미친 엿같은 회사,116,5,0
105,2022-07-01,내가 말 했지...,167,1,1
106,2022-07-01,이거 또 신저가 보러가냐..,146,1,0
107,2022-07-01,항복,192,0,0
108,2022-07-01,금감원장과 윤석열이 주식을 박살내고 있다...,261,29,3
109,2022-07-01,네이버는 코스피와 같이 가는데,141,1,0
110,2022-07-01,너만 바라보면...,95,0,0
111,2022-07-01,이러다 앞에 진짜 1보것다,215,5,1
112,2022-07-01,게이버 99000원에 아가뤼 신나게 쩌어...,99,2,1
113,2022-07-01,이제 좀 올라야 하지 않나?,187,6,3
114,2022-07-01,윤석열=최수연,156,13,0
115,2022-07-01,빨리 빨리 올라가자,92,1,4
116,2022-07-01,"성탄절이 토요일, 일요일일 경우 월요일을...",156,1,0
117,2022-07-01,애플 인앱결제?,139,2,1
118,2022-07-01,신냉전시대 개막...,103,1,0
119,2022-07-01,[세계화의실체는 우리들돈으로 우리들멸망하...,70,0,0
120,2022-07-01,"이재명후보 ""코스피 5000 만들겠습니다...",447,39,4
121,2022-07-01,주주는 아니지만,134,0,1
122,2022-07-01,요즘..,158,1,0
129,2022-07-01,답글:내가 생각하는 진정한 바보 윤재앙,112,2,8
133,2022-07-01,답글:현재 윤석열이 만든 한국의 위치,94,0,2
