,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,정신줄놓았나요,23,2,0
1,2022-07-01,정신차리시길,91,0,0
2,2022-07-01,포스코,64,1,2
3,2022-07-01,주식과 부동산,79,1,4
4,2022-07-01,문정부에서 코스피 3300이상 만들어 놓...,78,4,7
5,2022-07-01,답글:윤똥이라 그래,39,1,1
6,2022-07-01,자사주 소각 미끼 낚시질?,61,1,2
7,2022-07-01,"적자 골프장 사고, 적자 기업 사주고",70,2,1
8,2022-07-01,포스코홀딩스  테라테크노스 478억원에 ...,389,7,3
9,2022-07-01,답글:포스코홀딩스  테라테크노스 478억원에 ...,117,1,2
10,2022-07-01,"◐자사주소각,배당30%→상한가",69,0,2
11,2022-07-01,강봉리튬과 천제리튬을 보면 포스코 미래가...,124,1,5
12,2022-07-01,다불어좀 빼라.  개정우 야,63,4,2
13,2022-07-01,"강봉리튬 시총 48조, 천제리튬 38조",145,1,3
14,2022-07-01,1일 인사위원회를 열어 징계 수위를 결정...,125,2,2
15,2022-07-01,자사주 제외하면 시총이 18조도 안된다,146,3,3
16,2022-07-01,답글:[삭제된 게시물의 답글]포로노홀딩스,90,1,1
17,2022-07-01,"궁금한가,자사주 소각이 언제 이루어지는지...",273,11,3
18,2022-07-01,답글:공매도단문  글들로 게시글이 바로 다음페...,129,1,2
19,2022-07-01,최정우를 대표로 도둑놈들이 넘 많다,106,3,1
20,2022-07-01,포스코 상장하면,202,3,4
21,2022-07-01,자사주 소각 발표 빨리 해라,184,8,2
22,2022-07-01,코스피 2000 깨져야,157,5,3
23,2022-07-01,허허.... 어이구야...,126,1,1
24,2022-07-01,오늘 23만 깨지네,163,4,3
25,2022-07-01,주식은 해서는 안 되는 거였다.,216,7,1
26,2022-07-01,결국은 파랭이,106,3,1
27,2022-07-01,하나님 오늘은 상승으로 마감시켜주세요,185,4,4
28,2022-07-01,금일 고점에서 매수한 사람없지???,280,3,1
29,2022-07-01,답글:금일 고점에서 매수한 사람없지???,147,0,2
30,2022-07-01,휴 ....,120,1,1
31,2022-07-01,답글:♣지하? 암반수 밑에 마그마 미테 내핵,170,1,3
32,2022-07-01,빨리 안기 내려오나,101,1,1
33,2022-07-01,보합 직전!,75,0,1
34,2022-07-01,답글:[삭제된 게시물의 답글]이미 그것보다 세...,146,0,2
35,2022-07-01,최정우 아직 짐 안쌌나?,104,4,1
36,2022-07-01,연기금 뻘짓이냐 무슨 소스 있어 팔다가 ...,206,6,2
37,2022-07-01,얼마나 거품이 많으면 아직도 52주 최저...,186,1,1
38,2022-07-01,종가 보합 내지 하락이겟네,118,1,1
39,2022-07-01,원화 무보증 공모사채 발행 성공한 포스코...,180,2,4
40,2022-07-01,평단 30만 700주입니다... 언제오나...,479,4,2
41,2022-07-01,뽀리노 홀딩스 고평가!!! 적정주가 20...,168,3,1
42,2022-07-01,포스코 채권 발행,166,3,2
43,2022-07-01,최정우는 주주들에게 미안하지도 않은가?,209,4,2
44,2022-07-01,종토방에  온통  욕도배뿐  ㅠㅠ,168,1,4
45,2022-07-01,연개금 사는척 연기,154,5,2
46,2022-07-01,회사가 여직원 갖고노는거만 관심있지,122,3,2
47,2022-07-01,포홀 토론실에는 스마트한 리더가 없는게 ...,248,3,3
48,2022-07-01,튀어~~~,113,4,2
49,2022-07-01,내가 어제 말한대로지?,218,4,1
50,2022-07-01,답글:포홀 주특기...곧 하락 전환할 수도.....,176,1,3
51,2022-07-01,"주가 -50% 폭락, 무능력자는 사퇴하라...",134,9,3
52,2022-07-01,현재 외국인 사고팔고 합은??,96,0,2
53,2022-07-01,직원 주주 모두 최악이라 하는 ㅎㅈ,97,2,1
54,2022-07-01,개정우 직원들도. 최악이라 카더랑깨.  ...,104,6,1
55,2022-07-01,현대제철 처럼 5일선이라도 밟아 보자,77,1,2
56,2022-07-01,개정우 소각전까지는,71,2,1
57,2022-07-01,단타 성공ㅋ 2퍼 수익 전량매도 성공ㅋ ...,199,3,1
58,2022-07-01,개잡주,81,1,2
59,2022-07-01,현대제철이 좋긴해,106,1,2
60,2022-07-01,답글:[삭제된 게시물의 답글][삭제된 게시물의...,141,1,2
61,2022-07-01,섹스코,113,2,2
62,2022-07-01,이제는 자사주소각 발표를 해야할 시점,136,4,2
63,2022-07-01,주가 왜곡,171,8,4
64,2022-07-01,답글:왜이런글에도 올리자마자 반대를 누르니,89,1,1
65,2022-07-01,답글:포스코 압수수색 가즈아~~~,78,1,1
66,2022-07-01,포스코 왜 이레~~~,109,2,2
67,2022-07-01,오늘부터사면되나요?,108,1,3
68,2022-07-01,"포스코 성폭력 간부 ""강제추행 없었다고 ...",124,3,3
69,2022-07-01,답글:포스코 성폭행 관련 그외 등등 전방위 압...,78,2,1
70,2022-07-01,최정우는 주주들에게 미안하지도 않은가?,87,3,2
71,2022-07-01,오늘 전저점 또 갱신 합니다,86,1,1
72,2022-07-01,손절할 때 아니다,183,1,2
73,2022-07-01,답글:[삭제된 게시물의 답글]모세 또 나왓다,129,1,2
74,2022-07-01,19만원,234,5,5
75,2022-07-01,[신냉전으로소프트랜딩하잔자들 공매도신디케...,120,1,1
76,2022-07-01,최정우,232,15,2
77,2022-07-01,가치,142,2,3
78,2022-07-01,개정우,204,6,2
79,2022-07-01,자사주소각은 연말에 하냐?,467,7,2
