,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,Porsche GT4e performan...,10,0,0
1,2022-07-01,문정부에 코스피 3300 이상,93,4,4
2,2022-07-01,답글:문정부에 코스피 3300 이상,63,3,2
3,2022-07-01,기아.6월5월대비 자동차판매10.2%증가,348,9,2
4,2022-07-01,기아의 현대캐피달 지분 40%,313,2,1
5,2022-07-01,유일하게 버티는종목….,269,4,1
6,2022-07-01,아니 이런 침체기에,204,4,0
7,2022-07-01,2010년 10월 이후 최대 실적,261,6,0
8,2022-07-01,연말까지 5만원까지 내려 꽂는다.ㅋ,204,1,17
9,2022-07-01,아사리판에,272,5,0
10,2022-07-01,역시,256,9,1
11,2022-07-01,79000원 마감 콜~♡♡♡,203,0,0
12,2022-07-01,기아,302,7,0
13,2022-07-01,지금 상황에선 기아가 제일 안전하다.,403,6,1
14,2022-07-01,기아는 선방하네.. 이정도 지수가 조정받...,568,15,2
15,2022-07-01,코스피지수가 저런데,246,2,0
16,2022-07-01,삼성이 멱살잡고 끌어내리네,225,1,0
17,2022-07-01,박쥐원의일갈 즌서가 아직나이창창하니훌훌털...,196,0,0
18,2022-07-01,그냥두면 윤짜장 재임중10만원찌근다나이어...,229,0,0
19,2022-07-01,하여튼기관놈들,223,2,0
20,2022-07-01,그동안 실적없이 오른 거품주들.,428,0,0
21,2022-07-01,10만 기아 가즈아 !!!!!!,189,0,0
22,2022-07-01,기아야 너만맏는다,330,5,0
23,2022-07-01,아마도 오후장은,347,1,0
24,2022-07-01,자사주5천억취득현대기아그룹납품호재공시나온,404,10,0
25,2022-07-01,이개잡주왜 지져분하냐,194,0,0
26,2022-07-01,오후되면 기관놈들 매도전한,222,0,0
27,2022-07-01,물가는 정점을 지나는중.,271,1,0
28,2022-07-01,"비둘기파 메스터 美 연은 총재 ""7월 0...",242,0,0
29,2022-07-01,호재공시에,386,5,0
30,2022-07-01,c8,324,2,0
31,2022-07-01,★★★주식담보대출/신용 금리이벤트★★★,220,0,0
32,2022-07-01,코스피봐라,439,7,1
33,2022-07-01,불안한징조,352,2,0
34,2022-07-01,애플카,379,5,0
35,2022-07-01,반등시 빨리 현금화해야 합니다,322,0,2
36,2022-07-01,염별할 시궁창에 쳐발을주,245,0,0
37,2022-07-01,5천원 처 내리건,237,0,1
38,2022-07-01,아이 씌ㅡ팔련,264,1,0
39,2022-07-01,하여튼co놈개잡주야,206,0,0
40,2022-07-01,쓰레기아,196,0,0
41,2022-07-01,기아,206,0,0
42,2022-07-01,이개잡주은이니다,254,1,1
43,2022-07-01,여기까지입니다.,262,0,2
44,2022-07-01,이젠,252,4,0
45,2022-07-01,현대는벌써 복구했네..,333,1,2
46,2022-07-01,오늘 모처럼 날씨도 화창한데,296,3,0
47,2022-07-01,5일선~~,462,4,0
48,2022-07-01,오늘,744,1,15
