,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,오늘 양봉은,116,1,0
1,2022-07-01,공매도 금지 가능성,178,2,4
2,2022-07-01,롯데케미칼 신규 투자와 장기 전망,168,1,0
3,2022-07-01,롯데야,131,0,1
4,2022-07-01,"[뉴스] 롯데케미칼"" 일진머티리얼즈 인수...",391,5,4
5,2022-07-01,우리나라는 빨리 전기차 전환과 신재생에너...,192,1,1
6,2022-07-01,똥빈상,161,1,0
7,2022-07-01,바나듐이온배터리연계 전기차충전소,321,3,2
8,2022-07-01,연기금 간부들 당장 숙청하라~,265,9,2
9,2022-07-01,개미들 부지런히 파네요,530,5,5
10,2022-07-01,도지 나 아래망치,204,0,1
11,2022-07-01,주주분들은 안오른다고 신세타령하지만,449,3,5
12,2022-07-01,적색경보,232,1,0
13,2022-07-01,뉴스만 좋으면 뭐한다요,201,0,1
14,2022-07-01,급등,469,2,2
15,2022-07-01,이젠 국제유가 오르기는 틀렸다...,358,0,1
16,2022-07-01,월요일 폭락 예상,352,7,0
17,2022-07-01,26년자)188500에 다 ?고 갑니당~...,477,4,4
18,2022-07-01,답글:26년자)188500에 다 ?고 갑니당~...,187,0,0
19,2022-07-01,사지마~~주가 일부러 띄우는거야~~,313,3,2
20,2022-07-01,"전세계 최고급,휴대폰, 차량 , 비행기,...",390,3,1
21,2022-07-01,뉴스가 이렇게 쏟아지는데 안가네,467,3,0
22,2022-07-01,널뛰기네,333,1,0
23,2022-07-01,26년차)186000,367,0,0
24,2022-07-01,롯데지주의 핵심 날개인데 이가격이 잘못됐...,333,1,0
25,2022-07-01,경기침체로 국제유가,364,3,1
