,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,바닥끝,17,0,1
1,2022-07-01,Per 6,11,0,1
2,2022-07-01,테슬라. 기판 그거 다 소용없어요,70,1,2
3,2022-07-01,머스크 '라이다 장치 쓰는것 멍청한짓',57,0,0
4,2022-07-01,쏘주 사오랑께 3,41,1,1
5,2022-07-01,나도 삼성폰 삼성티비 삼성냉장고,45,0,0
6,2022-07-01,자사주 매입하라고!,42,1,1
7,2022-07-01,조사해봤는데,134,2,0
8,2022-07-01,삼성전기 주가에 대한 사견,249,2,6
9,2022-07-01,삼기는 121000원   c파하락은 물건...,113,0,0
10,2022-07-01,테슬라카메라모듈 계약때문에 들어왔는데.....,110,0,0
11,2022-07-01,이야 개미ㅅㄲ들 돈많아,77,0,0
12,2022-07-01,공매도쩌네 더내릴랑가보다,82,0,0
13,2022-07-01,매수기회~3분기부터~하반기~\실적↑급반등,210,16,1
14,2022-07-01,답글:가짜뉴스에 속지말자!,75,2,0
15,2022-07-01,6월에 개스피 300포 이상 하락 했쟈~,82,0,0
16,2022-07-01,소형주보다못한 기업으로 전락하였나,54,0,0
17,2022-07-01,"테슬라, 리오, 루시드, 현대기아, 애플...",290,0,1
18,2022-07-01,희망없는주식 그냥 버리시죠,208,8,1
19,2022-07-01,여러분 희망을 가집시다.,274,3,0
20,2022-07-01,공시 발표 안할수도,200,3,1
21,2022-07-01,삼성에스디에스보다 주가가 낮아졌네,114,2,0
22,2022-07-01,액면가 100원 삼성물산 주식가격과 같아...,90,0,0
23,2022-07-01,LG 이노텍과 시총 1억차이 같아지네,143,2,0
24,2022-07-01,개스피 바닥 찍은 거 처럼  보이는 분?,80,0,0
25,2022-07-01,오리가족 못 찾았나봐?,88,2,0
26,2022-07-01,염모씨 가치주 삼성전기!,167,4,0
27,2022-07-01,동호가,108,0,0
28,2022-07-01,삼기 주주인내가,118,0,2
29,2022-07-01,하한가 쳐맞지 말구   손절혀~  언능,110,1,3
30,2022-07-01,차량용 MLCC  증가,188,1,1
31,2022-07-01,내일 하한가 맞으면 어칼라구?,183,1,0
32,2022-07-01,증시부터 선제타격,170,2,1
33,2022-07-01,ㅋㅋㅋㅋㅋㅋ,109,2,0
34,2022-07-01,거니 설마??,178,2,1
35,2022-07-01,윤짜장 쥴리만,152,8,3
36,2022-07-01,퍼벙퍼벙~반대매매 터진다~,105,0,0
37,2022-07-01,신용물량  다 털어라~~~,140,2,0
38,2022-07-01,짜증난다.. 하 내 평단오려나.. 128...,159,1,0
39,2022-07-01,답글:짜증난다.. 하 내 평단오려나.. 128...,279,0,0
40,2022-07-01,삼성도 맛탱이가고,139,2,0
