,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-01,상승중인 건설주… 해외사업 수주 기대감 ...,9,1,0
1,2022-07-01,매수자는    신중하십시요,132,2,4
2,2022-07-01,도대체 니들,91,0,4
3,2022-07-01,여긴 똥줄 타는건 공매도임 ㅋㅋ,203,9,2
4,2022-07-01,한숨만나온다,290,4,0
5,2022-07-01,시외 상한가 맞네,304,5,1
6,2022-07-01,아사리판에,168,3,0
7,2022-07-01,둔촌주공 ‘변경계약 무효’ 갈등 없던일로...,221,4,1
8,2022-07-01,640조 바람잡아서,173,1,1
9,2022-07-01,"기관,외인들이 저점에서 물량 다 가져가네",170,5,0
10,2022-07-01,둔촌주공 전철 피하자’...공사비 인상 ...,154,3,2
11,2022-07-01,앞으로의 증시 대세는 원전건설 및 수주 ...,220,8,0
12,2022-07-01,삼 엔는 잘가네,80,0,0
13,2022-07-01,선진국 편입지수,144,5,0
14,2022-07-01,다음주는 건설주 차례다 빨리 팔아라,218,2,3
15,2022-07-01,7월 초하루부터,110,1,0
16,2022-07-01,정부 공매도  금지,263,13,0
17,2022-07-01,종가는 41000원 이하로,168,3,0
18,2022-07-01,대박한번내라,134,1,1
19,2022-07-01,야 튀어라,138,0,2
20,2022-07-01,외인 기관  연기금 매수 ~~~,180,2,1
21,2022-07-01,현대건설 계속 홀딩하고 있는 이유,346,4,0
22,2022-07-01,LIKEBEE  네이버에,188,3,1
23,2022-07-01,"★건설주 이슈, 현대건설",182,1,0
24,2022-07-01,한강다리에 그물막 설치해라,370,12,0
25,2022-07-01,5만 위에서 놀자 ~~~,176,6,0
26,2022-07-01,"나는  최소한  68,000 원대 까지는...",525,9,0
27,2022-07-01,튀어라,278,2,0
28,2022-07-01,공매도 저리 쌓였는데,254,1,0
29,2022-07-01,금일 8~9% 상승 예상~,234,6,1
30,2022-07-01,주가 챠트와 주변 여러상황을 종합해 보면...,224,2,0
31,2022-07-01,사우디 네옴시티 수주전에 건설 관련주 부...,271,3,0
32,2022-07-01,'no look handshake',303,0,4
33,2022-07-01,이재용.정의선도 나섰다… 빈살만의 640...,474,8,0
34,2022-07-01,레미콘. 파업,250,0,1
35,2022-07-01,이제너차례야,325,4,0
