,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,루나코인  상폐..  사건의 정리,10,0,0
1,2022-07-05,개같이 물린 사람인데요,91,0,0
2,2022-07-04,"하락주범은 게미, 보조는 기관",97,0,2
3,2022-07-04,한국식 공매도는 범죄다! 즉각철폐!,87,6,0
4,2022-07-04,개기금. 개관들,102,2,0
5,2022-07-04,탈탈털어 부었다. 살돈 제로다,221,2,0
6,2022-07-04,외국인 수급 변화 및 경제 지표 분석,243,1,0
7,2022-07-04,여러분은 지금 분노의 단계를 지나고 계십...,316,5,3
8,2022-07-04,오늘이,216,2,1
9,2022-07-04,[필독] 자이언트스텝,354,5,1
10,2022-07-04,우리회사 과장님 평단 87만..,610,5,0
11,2022-07-04,I~c8 디지것네.,424,1,5
12,2022-07-04,뇌썩열 리스트 누구인가?,280,3,1
13,2022-07-04,물적분할 보상해라,291,4,1
14,2022-07-04,동학개미의 눈부신 활약,378,1,1
15,2022-07-04,헬화 이미지..,295,2,1
16,2022-07-04,형이 정리할께,332,4,3
17,2022-07-04,체결이 올라가는데,397,1,1
18,2022-07-04,다 말아 올리는 차트네....,587,1,0
19,2022-07-04,더러운 친일수구세력이 설치게 해놓고 나라...,369,15,1
20,2022-07-04,개인이 투매?,481,3,0
21,2022-07-04,대통하나 잘 못 뽑아서,455,17,13
22,2022-07-04,윤짜장의 마이웨이 양산문씨한것처럼고대로 ...,357,2,3
23,2022-07-04,437  또  오네요!,363,2,0
24,2022-07-04,눈에 보이게,286,0,0
25,2022-07-04,개미는 꿈도 못꿀,463,1,1
26,2022-07-04,"개xccc,들",365,2,0
27,2022-07-04,[PBR10도넘게상장시키고 또 150삼청...,340,0,0
28,2022-07-04,더러운 친일수구세력이 설치게 해놓고 나라...,495,11,6
29,2022-07-04,답글:더러운 친일수구세력이 설치게 해놓고 나라...,420,4,4
30,2022-07-04,무정부 시대에,526,6,3
31,2022-07-04,LG화학 목표주가 (저평가우량주 종목 고...,623,3,4
32,2022-07-04,에효…,378,0,0
33,2022-07-04,LG전자 공시,485,0,0
34,2022-07-04,달려라 하니,374,0,0
35,2022-07-04,물적분할 보상해라,442,2,0
36,2022-07-04,외국인 이탈 가속화=윤석열 리스크,510,6,2
37,2022-07-04,쥐화학,439,1,0
38,2022-07-04,지금이라고 매도하세요,436,0,1
39,2022-07-04,47  매수,505,3,1
40,2022-07-04,쏠쏠한 재미,476,0,2
41,2022-07-04,"성탄절이 토요일, 일요일일 경우 월요일을...",407,0,4
42,2022-07-04,올해 20  깨진다,591,0,1
43,2022-07-04,쓰리바닥을 만들고 있으니...,781,0,0
44,2022-07-03,[주식시장은6개월선반영 이젠 추세상승탈것...,933,0,2
45,2022-07-03,이번주 30  깨진다,853,0,1
46,2022-07-03,"월스트리트 저널 ""험난한 하반기""…미 의...",912,1,0
47,2022-07-03,■ 헬쥐assHole주식으로 인해서,981,2,0
48,2022-07-03,껍데기의 최후,1018,0,1
49,2022-07-03,이런 종목은,1166,0,0
50,2022-07-03,제발 엘지 솔루션 분할상장에서 돈많이벌어...,1160,1,0
51,2022-07-03,100% 손절을 못하겠으면 30%라도 손...,1468,1,2
52,2022-07-03,이준석의 증거인멸 교사범죄 들통!!,1553,3,1
53,2022-07-03,고려아연과의 폐배터리사업 방문 후기,1838,0,0
54,2022-07-02,나꼼수 팅팀들 주진우한테가서  여당당수라...,1732,2,0
55,2022-07-02,●에코캡 LS 50억 제3자 유상증자 투...,1122,0,0
56,2022-07-02,옛날 주가로 돌아갈려는 성질이 있다,1309,2,0
