,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,22년 2분기 매출/영익 추정,207,3,0
1,2022-07-04,피살·불태워져 유기되는 6시간여 빤히 보...,148,2,0
2,2022-07-04,한국식 공매도는 범죄다! 즉각철폐!,128,2,0
3,2022-07-04,1년후 뉴스,250,0,2
4,2022-07-04,[전문가들 웃김] 한국증시에 대한단상,334,6,2
5,2022-07-04,그냥 기다리면된다,318,7,0
6,2022-07-04,독일 불합격이면,495,0,10
7,2022-07-04,답글:시간외  보고 글 좀 써라,799,9,0
8,2022-07-04,솔까 기아차는 만드는 족족 잘만 팔려나간...,397,10,0
9,2022-07-04,기아10만원간다,351,8,1
10,2022-07-04,리콜에대한 생각은 없누?,299,0,1
11,2022-07-04,"배현진이 낳냐, 박지현이 낳냐?",389,1,1
12,2022-07-04,어거지로,300,2,0
13,2022-07-04,한국장만,339,4,0
14,2022-07-04,적정가 2마논 가즈아,392,0,6
15,2022-07-04,1시 15분에 뭔일 있었음?,401,1,0
16,2022-07-04,매매동향 보니,341,0,1
17,2022-07-04,기아10월부터 EV6 증산,384,0,0
18,2022-07-04,13만 간다,393,5,2
19,2022-07-04,외국인 수급 변화 및 경제 지표 분석 글,385,1,0
20,2022-07-04,또동시호가에,412,0,0
21,2022-07-04,오늘  기아보면서 그래!!!,430,4,0
22,2022-07-04,악재 해소했으니 ...,453,5,0
23,2022-07-04,기아 내일 오를까요? 내릴까요?,673,4,0
24,2022-07-04,불기둥가즈아,356,5,0
25,2022-07-04,중국산중국산하는데...,402,3,0
26,2022-07-04,6만무새 비행준비 완료~,450,1,6
27,2022-07-04,친일파들 물러가라.,389,6,2
28,2022-07-04,"코스피, 코스닥",340,2,0
29,2022-07-04,모간하고 친일세력.,382,0,2
30,2022-07-04,니로ev 중국산배터리에 겨울철 주행거리 ...,365,1,0
31,2022-07-04,답글:[삭제된 게시물의 답글]더러운 친일수구세...,374,1,0
32,2022-07-04,"코스피 1,900p 다음 지지선(월봉분석...",442,1,1
33,2022-07-04,도라도리정부,485,17,7
34,2022-07-04,노조,450,8,9
35,2022-07-04,한국주식시장은 미국의 자본에.,433,9,1
36,2022-07-04,노조,356,0,2
37,2022-07-04,머또터졌냐??,477,5,0
38,2022-07-04,답글:머또터졌냐??,416,2,0
39,2022-07-04,우와c8,439,4,0
40,2022-07-04,아시아다오르데,612,9,0
41,2022-07-04,못가네,446,1,0
42,2022-07-04,"[속보] 그린피스 ""현대·기아차 독일 주...",1191,2,9
43,2022-07-04,"답글:[속보] 그린피스 ""현대·기아차 독일 주...",609,3,0
44,2022-07-04,기아랑 현대차랑,528,6,0
45,2022-07-04,상한가 가봅시다~~~,432,4,0
46,2022-07-04,새키 잘버티네,404,2,0
47,2022-07-04,스포티지 하이브리드 18개월,525,4,0
48,2022-07-04,윤석열 누가 찍었냐,577,21,3
49,2022-07-04,상계동 쬐그만소형평수13평1억이하가 작년...,456,0,0
50,2022-07-04,내연차 안팔려도되... ev6만 잘팔리면...,435,0,0
51,2022-07-04,막물이다 먼저 나오는 사람이 승자다,422,1,5
52,2022-07-04,마지막 탈출 기회~,394,0,1
53,2022-07-04,우리나라장은 도리도리아니다,439,6,0
54,2022-07-04,기아도,427,1,1
55,2022-07-04,LG전자 공시,489,0,0
56,2022-07-04,기아,420,0,0
57,2022-07-04,"후회하지 말고, 반등시 현금화하세요",522,1,0
58,2022-07-04,누가 장난하니~ 이제그만 처올립시다!!!,394,0,0
59,2022-07-04,단타애들에게속지마라,394,0,0
60,2022-07-04,염병할 코스피,420,1,0
61,2022-07-04,봉고 ev 냉동탑차 출시?,452,1,0
62,2022-07-04,외국인들은,481,0,0
63,2022-07-04,주식시장 악재=윤석열 리스크,494,4,1
64,2022-07-04,8만 가즈아,472,7,0
65,2022-07-04,어닝서프라이즈,544,4,0
66,2022-07-04,엉아말이 정확하지,481,2,0
67,2022-07-04,프로그램,442,0,0
68,2022-07-04,불기둥가즈아,418,0,0
69,2022-07-04,기자들이 대부분2030이라 안나온다,467,0,0
70,2022-07-04,조중동 다닌다 매출액2천억짜리 순수익몇십...,452,0,0
71,2022-07-04,조중동 매출액,493,1,1
72,2022-07-04,현대 기아차 3류엔진 누가사냐,628,1,8
73,2022-07-04,하고많은좋은장소놔두고조용한시골동네로 왜이...,510,0,5
74,2022-07-04,꼭꼭준돌이 재맹이여야혀,515,0,1
75,2022-07-04,모델 와이 !!,567,1,0
76,2022-07-04,음~,681,1,5
77,2022-07-03,작년에 차많이 팔렸음,981,0,1
78,2022-07-03,8만원 물린 귀신들 때를기다리는듯,832,1,1
79,2022-07-03,기사떴네.,987,1,2
80,2022-07-03,러시아 국민차였던 기아차,1605,11,23
81,2022-07-03,답글:러시아 국민차였던 기아차,883,2,1
82,2022-07-03,이종혁 반장  기아차 상담,1726,0,15
83,2022-07-03,답글:이종혁 반장  기아차 상담,972,0,0
84,2022-07-03,양산문씨 눈치몬채게 3쿳션으로 외곽에서치...,1362,4,3
85,2022-07-03,아파트싸이클 대시세 작년6월경끝났딴다인덕...,1478,2,0
86,2022-07-03,억울하게총살화형당한해수부공무원아들의절규ㅡ...,1494,4,4
87,2022-07-03,#주가하락의 주범은 공매도가  아니다,1574,3,0
88,2022-07-02,민주당 아그들윤짜장 흠집낼라다 바이든이 ...,1782,0,7
89,2022-07-02,금요일 미증시 gm이 오른이유,1293,7,0
90,2022-07-02,신평변호사의결론ㅡ어이윤짜장 당신하고자픈대...,1070,0,2
91,2022-07-02,앞으로의 예측,1207,0,6
92,2022-07-02,결국 숨기고 숨길라해보이 터지는구나,1148,0,5
93,2022-07-02,이대진 큰아부지 그리고 김기현변호시님 이...,1082,0,0
94,2022-07-02,답글:[삭제된 게시물의 답글]월요일,1434,3,0
95,2022-07-02,현대,1580,5,2
96,2022-07-02,하반기 주식시장이 상승할 것이라고 보는 ...,1599,2,1
97,2022-07-02,고생많았죠,1586,5,0
98,2022-07-02,진짜 코스피 1300간다,1590,5,7
99,2022-07-01,Porsche GT4e performan...,1557,0,1
100,2022-07-01,답글:[삭제된 게시물의 답글]문정부에 코스피 ...,801,12,4
101,2022-07-01,기아.6월5월대비 자동차판매10.2%증가,1134,20,2
102,2022-07-01,유일하게 버티는종목….,921,11,1
103,2022-07-01,아니 이런 침체기에,720,9,0
104,2022-07-01,2010년 10월 이후 최대 실적,763,8,0
105,2022-07-01,연말까지 5만원까지 내려 꽂는다.ㅋ,736,1,21
106,2022-07-01,아사리판에,749,7,0
107,2022-07-01,역시,724,9,1
108,2022-07-01,79000원 마감 콜~♡♡♡,668,0,0
109,2022-07-01,기아,780,7,0
110,2022-07-01,지금 상황에선 기아가 제일 안전하다.,927,9,1
111,2022-07-01,기아는 선방하네.. 이정도 지수가 조정받...,1091,16,2
112,2022-07-01,코스피지수가 저런데,702,2,0
113,2022-07-01,삼성이 멱살잡고 끌어내리네,677,1,1
114,2022-07-01,박쥐원의일갈 즌서가 아직나이창창하니훌훌털...,638,0,0
115,2022-07-01,그냥두면 윤짜장 재임중10만원찌근다나이어...,675,0,0
116,2022-07-01,하여튼기관놈들,669,2,0
117,2022-07-01,그동안 실적없이 오른 거품주들.,888,0,0
118,2022-07-01,10만 기아 가즈아 !!!!!!,635,0,0
119,2022-07-01,기아야 너만맏는다,788,5,0
120,2022-07-01,아마도 오후장은,791,1,0
121,2022-07-01,자사주5천억취득현대기아그룹납품호재공시나온,858,10,0
122,2022-07-01,이개잡주왜 지져분하냐,634,0,0
123,2022-07-01,오후되면 기관놈들 매도전한,662,0,0
124,2022-07-01,물가는 정점을 지나는중.,715,1,0
125,2022-07-01,"비둘기파 메스터 美 연은 총재 ""7월 0...",685,0,0
126,2022-07-01,호재공시에,834,5,0
127,2022-07-01,c8,778,2,0
128,2022-07-01,★★★주식담보대출/신용 금리이벤트★★★,657,0,0
129,2022-07-01,코스피봐라,890,7,1
130,2022-07-01,불안한징조,792,2,0
131,2022-07-01,애플카,825,5,0
132,2022-07-01,반등시 빨리 현금화해야 합니다,767,0,2
133,2022-07-01,염별할 시궁창에 쳐발을주,683,0,0
134,2022-07-01,5천원 처 내리건,673,0,1
135,2022-07-01,하여튼co놈개잡주야,641,0,0
136,2022-07-01,기아,640,0,0
137,2022-07-01,이개잡주은이니다,689,1,1
138,2022-07-01,여기까지입니다.,696,0,2
139,2022-07-01,이젠,685,4,0
140,2022-07-01,현대는벌써 복구했네..,768,1,2
141,2022-07-01,오늘 모처럼 날씨도 화창한데,733,3,0
142,2022-07-01,5일선~~,897,4,0
143,2022-07-01,오늘,1181,1,15
144,2022-06-30,내일 물지옥,1253,1,9
145,2022-06-30,노사합의,954,8,1
146,2022-06-30,공시 뭔가 냄새가 난다,1578,12,1
147,2022-06-30,자 잘봐라 개미들아,863,16,1
148,2022-06-30,잼있어,727,0,7
149,2022-06-30,드가지말라 했다,732,1,1
150,2022-06-30,노조새긔들땜에 되는일이 없네,832,11,5
151,2022-06-30,오전부터,670,4,0
152,2022-06-30,조심,665,0,3
153,2022-06-30,동시호가 매일매일 장난질.,651,6,0
154,2022-06-30,긋봐  어제폭락 회복할렴,652,2,2
155,2022-06-30,헙??????,598,2,0
156,2022-06-30,현대랑 기아랑 온도차 엄청나네,660,2,0
157,2022-06-30,낼 쭉 빠지면 담고,649,3,0
158,2022-06-30,또co놈차,600,4,0
159,2022-06-30,동호가 보고 지리지 마라,634,1,0
160,2022-06-30,동시호가,614,3,0
161,2022-06-30,오늘도 동시호가 장난질.,603,1,0
162,2022-06-30,기아는 동시호가 왜맨날 장난질이지?,590,2,0
163,2022-06-30,퍼가 6도 안된다,630,9,0
164,2022-06-30,오늘도,621,4,0
165,2022-06-30,물량쌓아놓고,627,1,0
166,2022-06-30,참 복이없는게,668,5,1
167,2022-06-30,내일도간단,744,1,3
168,2022-06-30,참으로 기분나쁜 하락아니냐?,733,5,0
169,2022-06-30,별거지같은차,605,5,0
170,2022-06-30,현기아 호재네,850,2,1
171,2022-06-30,폭우테마...,608,2,0
172,2022-06-30,이젠,625,6,3
173,2022-06-30,아..현대차나 더살껄..,631,4,2
174,2022-06-30,빅뉴스..헐 대박사건...소름돋는,787,2,2
175,2022-06-30,오늘 2분기,613,1,0
176,2022-06-30,현대가 역시 안전해,609,3,0
177,2022-06-30,월봉상,601,0,4
178,2022-06-30,결론은 2틀만에 11% 하락이네,650,2,0
179,2022-06-30,배팅합시다..3500원 상승?  & 보합...,576,1,0
180,2022-06-30,답글:배팅합시다..3500원 상승?  & 보합...,564,1,0
181,2022-06-30,와co놈주,576,2,0
182,2022-06-30,오후장,913,3,0
183,2022-06-30,여보세요  양산문씨바꿔주세요! 정권바뀌었...,724,0,9
184,2022-06-30,코스피지수는,627,4,0
185,2022-06-30,어제 떨어진 5천원,855,4,0
186,2022-06-30,매수 찬스,661,3,0
187,2022-06-30,해결 된건가?,674,1,0
188,2022-06-30,정말개같이간다,664,6,1
189,2022-06-30,거짓멀,714,0,4
190,2022-06-30,내 이럴줄 알았지,840,4,0
191,2022-06-30,코인,647,1,0
192,2022-06-30,정수기옷에인공기붙?나다시보자 역시거니는옷...,718,2,9
193,2022-06-30,동유럽과 협력에서 드러난것은 방산과 원전...,749,2,0
194,2022-06-30,기아차,901,4,0
195,2022-06-30,대박,893,2,2
196,2022-06-30,어제 종가 매수 후 오늘 3% 수익내고 ...,1155,7,2
197,2022-06-30,십만기아,712,6,0
198,2022-06-30,중.러.지정학리스크 본격 부각,740,4,3
199,2022-06-30,오히려~~,697,3,0
200,2022-06-30,어제 무서워서 팔거나,773,6,0
201,2022-06-30,실적턴어라운드↑전세계발표호재공시내용,915,12,0
202,2022-06-30,조 심,659,1,1
203,2022-06-30,참  위기는  기회이네요  ㅋㅋㅋ,908,5,0
204,2022-06-30,가랑이찢어지네..,624,1,0
205,2022-06-30,기아형!! 믿고 1억 어제 박았어,891,6,5
206,2022-06-30,6만무새 비행준비 완료~,717,0,4
207,2022-06-30,한국과 동유럽이 밀착하고 있기 때문에 현...,721,1,0
208,2022-06-30,반등이,913,4,1
209,2022-06-30,불기둥가즈아,634,3,0
210,2022-06-30,"[YTN 속보]중국의 강력한 경고""한국,...",1360,14,6
211,2022-06-30,밑에 뷰신  에라,656,2,0
212,2022-06-30,불기둥가즈아,675,2,1
213,2022-06-30,독일 간나놈들,712,3,0
214,2022-06-30,5천원 내리고9백원 오르고,620,0,1
215,2022-06-30,오늘72000까지,847,2,9
216,2022-06-30,급등 냄새가,947,6,0
217,2022-06-30,여기가,746,1,0
218,2022-06-30,재맹이한테점점조여오는윤짜장의사시미칼 ㅡ재...,771,2,8
219,2022-06-30,3월14일 최저가 조만간 뚤릴꺼 같은 예...,740,2,3
220,2022-06-30,애플카 삼성카 엘지카,748,2,0
221,2022-06-30,양산문씨가온갖곳에싸논설사떵치우기바쁜윤짜장,697,2,6
222,2022-06-30,조만간 7만원 위태 할듯하다,816,4,14
223,2022-06-30,"연기, 외국 어제 대량매도",766,2,8
224,2022-06-30,답글:[삭제된 게시물의 답글]평단 4만 이상 ...,612,1,0
225,2022-06-30,"현기차 디젤게이트, 장투족은 안심해도 되...",1216,16,3
226,2022-06-30,어 ㅇ ㅡㅣ  난클났네,766,0,2
227,2022-06-30,종토방 개미들이 다 하락 예상,870,4,2
228,2022-06-29,74000원까지 관망,848,1,1
229,2022-06-29,답글:74000원까지 관망,447,0,0
230,2022-06-29,내일 또 -6% 예정,448,4,4
231,2022-06-29,육ㅇ개장?,377,1,0
232,2022-06-29,같이 의논해 봅시다. 장상인?,477,3,1
233,2022-06-29,삼전10만원 = 기아 8만원 진입입니다,610,1,9
234,2022-06-29,주가 높네,414,1,1
235,2022-06-29,내일 ..허를 찌를듯~,575,4,1
236,2022-06-29,5만원 갈것같아;;,456,0,1
237,2022-06-29,76100,427,0,0
238,2022-06-29,지금일까?  망설여 지네...,763,0,0
239,2022-06-29,가자 5마넌,487,0,0
240,2022-06-29,과신하지말라,455,0,5
241,2022-06-29,국토교통부 BMW 압수수색,622,7,2
242,2022-06-29,내일두 내리나여?,668,0,3
243,2022-06-29,범 위 가,450,1,3
244,2022-06-29,기아는 떨어질수록  바구니에 주서담아요,548,7,1
245,2022-06-29,그냥 쇼네,597,11,1
246,2022-06-29,전 정권에서  독일차 수사했을때 생각해 ...,866,3,3
247,2022-06-29,악재는 적고,590,6,2
248,2022-06-29,담주에,512,8,1
249,2022-06-29,뉴스봐라 심각하다 별거 아닌 문제가 아니...,1119,4,7
250,2022-06-29,OOO들 돈 달라고 압수수색하네,510,5,0
251,2022-06-29,개미 무엇?,594,3,3
252,2022-06-29,주식이야기 하고 노는방입니다.,501,1,1
253,2022-06-29,간만에 세일 해주니 시외 진입,950,7,5
254,2022-06-29,Kia~,535,1,0
255,2022-06-29,기아,611,5,1
256,2022-06-29,윤석열과 함께하는 온국민 부자되기 프로젝...,747,8,14
257,2022-06-29,국내에서 하던 못된짓을 해외에서도 하네~...,593,4,2
258,2022-06-29,좀 과하다는 느낌.,1285,31,2
259,2022-06-29,배기가스 후속조사 vs 재조사?,1273,11,0
260,2022-06-29,개인100만주?ㄷ ㄷ,739,4,0
261,2022-06-29,"아,,,",776,3,1
262,2022-06-29,이것들은 진짜,698,14,1
263,2022-06-29,어제 종가에 매도했는디;;,1124,3,1
264,2022-06-29,기아차,656,6,1
265,2022-06-29,한방에 다 빠졌네.,876,3,0
266,2022-06-29,역시 자동차주 최고~~~~~,1118,7,12
267,2022-06-29,오늘 시초에산사람 골때리겠내 ㅎㅎ,1021,2,10
268,2022-06-29,2만5천원 애개뤼 쩌어어엌 ㅌㅌㅌ,569,3,0
269,2022-06-29,다행히 69로 끝났네요,643,2,5
270,2022-06-29,기아.현대,628,3,5
271,2022-06-29,나쁜지 한겨,577,1,0
272,2022-06-29,반등하는줄 껄껄껄,620,1,0
273,2022-06-29,걱정말어 ㅋㅋㅋ 낼 어차피 반등해,825,15,8
274,2022-06-29,답글:걱정말어 ㅋㅋㅋ 낼 어차피 반등해,598,0,3
275,2022-06-29,이젠,1804,4,2
276,2022-06-29,답글:미국 얼바인 시민입니다,563,6,1
277,2022-06-29,지금이. 젤 비싼가격,548,3,2
278,2022-06-29,"작정했다. 골드만, UBS, 모간서울 폭...",757,2,3
279,2022-06-29,정지해,554,2,0
280,2022-06-29,독일 검찰의 압수 수색,1459,35,0
281,2022-06-29,기아 내일부터는.,814,3,1
282,2022-06-29,며칠 열심히오르더만..,557,3,0
283,2022-06-29,기아 목표주가,697,6,0
284,2022-06-29,속보,725,5,0
285,2022-06-29,개인빼곤 다 엄청 던지네요.,657,2,0
286,2022-06-29,악재에 잘버티네,728,0,5
287,2022-06-29,공매도 대여서비스 취소시킴,707,6,0
288,2022-06-29,"외,연, , 기관",643,2,0
289,2022-06-29,외국인들,745,4,0
290,2022-06-29,이젠,650,3,1
291,2022-06-29,이정도면 공매도 없애야될듯,571,5,1
292,2022-06-29,빚투 영끌 동학개미들,553,3,0
293,2022-06-29,6만무새 비행준비 완료~,646,2,3
294,2022-06-29,국제적 왕따 윤석열이ㅋ,898,15,12
295,2022-06-29,답글:국제적 왕따 윤석열이ㅋ,482,3,1
296,2022-06-29,오늘 들어왔는데 곧바로 올라주네요?,576,4,0
297,2022-06-29,현기,817,7,0
298,2022-06-29,역시 오후 되니 ...,652,5,0
299,2022-06-29,내글맞지?어제나온기사로,709,0,3
300,2022-06-29,이런일이 저런일 다있지 사업하다보면,526,2,0
301,2022-06-29,오늘 사는 날은 아닌것같다,539,1,3
302,2022-06-29,전기차 판매량 봐라ㅋㅋ,704,5,1
