,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,엄마 미안해,85,2,0
1,2022-07-04,바보들인가?,98,0,0
2,2022-07-04,언능 털어,201,3,4
3,2022-07-04,이게 나라냐?,615,18,18
4,2022-07-04,답글:이게 나라냐?,451,13,10
5,2022-07-04,답글:이게 나라냐?,234,2,1
6,2022-07-04,이 ㅅ val련은 맨날 지수보다 더빠지네,324,4,0
7,2022-07-04,서울강남구압구정 롯데하이마트점에,397,5,0
8,2022-07-04,역시 월요일 폭락,330,0,0
9,2022-07-04,역시 재벌 2세 3세 회사는 건드는게 아...,378,6,0
10,2022-07-04,진짜 욕나오게하네,347,3,0
11,2022-07-04,이화전기는 배터리 진술한다고 상한가,418,4,0
12,2022-07-04,너도 용쓴다 용써.ㅋ,325,0,0
13,2022-07-04,연기금,432,4,0
14,2022-07-04,회사망했나,493,2,0
15,2022-07-04,지금은 줍줍의 시간,532,1,5
16,2022-07-04,Need reduce 1y-trade v...,356,0,1
17,2022-07-04,26년차)181500  1차 재매수~^^,453,1,2
18,2022-07-04,투자도 많은데 인수도 한다고??,496,2,0
19,2022-07-04,바나듐 2차전지 양산을 위한 GIGA,414,0,0
20,2022-07-04,일진머티얼즈 인수하게 되면 주가 폭락하게...,989,9,3
21,2022-07-04,일진 먹고 상한가 가자~ㅎ,678,1,2
22,2022-07-04,"롯데건설의 최대주주, 롯데건설 요즘 사고...",538,0,0
23,2022-07-03,증시안정책 개시! 월욜부터 폭등각?,1765,11,5
24,2022-07-02,향후 상승기에는 70만원까지는 오른거로 ...,2372,7,13
25,2022-07-02,듀퐁 머티리얼,1281,1,0
26,2022-07-02,100% 손절을 못하면 30% 라도 손절...,1492,3,8
27,2022-07-02,좋은 기업 들어온다~~ 상한가 가자~~~...,1400,5,2
28,2022-07-02,매수가 및 목표가 수정2,1594,1,6
29,2022-07-01,오늘 양봉은,1859,4,3
30,2022-07-01,롯데케미칼 신규 투자와 장기 전망,850,3,2
31,2022-07-01,롯데야,685,2,1
32,2022-07-01,"[뉴스] 롯데케미칼"" 일진머티리얼즈 인수...",1280,7,5
33,2022-07-01,우리나라는 빨리 전기차 전환과 신재생에너...,705,2,1
34,2022-07-01,똥빈상,636,1,0
35,2022-07-01,바나듐이온배터리연계 전기차충전소,839,4,2
36,2022-07-01,연기금 간부들 당장 숙청하라~,756,9,2
37,2022-07-01,도지 나 아래망치,686,0,1
38,2022-07-01,주주분들은 안오른다고 신세타령하지만,1027,3,5
39,2022-07-01,적색경보,697,1,0
40,2022-07-01,뉴스만 좋으면 뭐한다요,660,0,1
41,2022-07-01,급등,943,2,2
42,2022-07-01,이젠 국제유가 오르기는 틀렸다...,824,0,1
43,2022-07-01,월요일 폭락 예상,814,8,0
44,2022-07-01,26년자)188500에 다 ?고 갑니당~...,976,4,4
45,2022-07-01,답글:26년자)188500에 다 ?고 갑니당~...,875,0,0
46,2022-07-01,사지마~~주가 일부러 띄우는거야~~,760,4,2
47,2022-07-01,"전세계 최고급,휴대폰, 차량 , 비행기,...",853,4,1
48,2022-07-01,뉴스가 이렇게 쏟아지는데 안가네,936,3,0
49,2022-07-01,널뛰기네,779,1,0
50,2022-07-01,26년차)186000,831,0,0
51,2022-07-01,경기침체로 국제유가,812,3,1
52,2022-06-30,코스피 30%  하락할 때 롯케는 45%...,1048,11,1
53,2022-06-30,바닥은 모르겠고,692,3,0
54,2022-06-30,롯케 시총 6조...상승시 수익은 더 커...,931,1,12
55,2022-06-30,로ㅅㅡ떼노 케미카루와,561,3,0
56,2022-06-30,본격적인 장대양봉 직전에,1440,4,18
57,2022-06-30,주가 수준이,781,4,0
58,2022-06-30,자사주 매입 3천억...,1083,1,7
59,2022-06-30,개관들 손절에 주의하세요..,704,4,0
60,2022-06-30,배당하면 배당한만큼 주가떨어지자나요 그거...,654,0,2
61,2022-06-30,5년간 하락했네,680,6,3
62,2022-06-30,팬대믹 가격,620,4,0
63,2022-06-30,롯케가 18만 이라,784,4,1
64,2022-06-30,sk바이오사이언스 손절치고 일로 갈아탈려...,839,2,3
65,2022-06-30,만쉐이,625,1,0
66,2022-06-30,욕은,563,0,0
67,2022-06-30,기회,596,0,0
68,2022-06-30,180500,614,0,0
69,2022-06-30,20만원에서 빌빌거리고 있어도,702,11,0
70,2022-06-30,어이가 업긴하다,670,6,0
71,2022-06-30,다음 반등 꼭지는,597,0,0
72,2022-06-30,롯데 경영진 이놈들 돈쌓아놓구 뭐하냐??,688,5,1
73,2022-06-30,석화주 왜 떨어짐?,588,0,0
74,2022-06-30,주담 전번 아시는분,708,4,0
75,2022-06-30,오늘 180500원 52주 신저가 기록,628,0,0
76,2022-06-30,2차전지소재주 떨어질땐,697,2,0
77,2022-06-30,롯케 성장성이 좋은 회사인데,817,0,6
78,2022-06-30,오! 또다시 신저가 경신,643,0,0
79,2022-06-30,ㅋㅋ,668,2,0
80,2022-06-30,진짜 너무하네,652,1,0
81,2022-06-30,물타자~~,622,0,2
82,2022-06-30,지금이니!!!!!!,622,0,0
83,2022-06-30,ㅋㅋㅋㅋ진짜 ㅈ같네,688,5,0
