,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,2022.7. 4. 카메라모듈 관련산업 ...,38,0,0
1,2022-07-05,7월8일 테슬라 5조 공시,114,3,0
2,2022-07-05,테슬라공시보고,100,2,0
3,2022-07-04,프로그램매수↑기타법인금융투자=연속매수↑호...,71,5,0
4,2022-07-04,일년만에,103,3,0
5,2022-07-04,내일 싯가에 걍 정리혀~   그후 개박살...,72,0,1
6,2022-07-04,한국식 공매도는 범죄다. 즉각철폐!,89,5,0
7,2022-07-04,4ㅡ5조 테슬라 공급 단독 보도 낸 기자,189,10,0
8,2022-07-04,주식 거꾸로 하는 형아들 봐라,185,0,3
9,2022-07-04,스마트폰 안팔리자… 전장부품으로 눈돌린 ...,164,4,0
10,2022-07-04,개미털기야,100,2,1
11,2022-07-04,나좀 살려주라,88,0,0
12,2022-07-04,삼선전자는 올랐는데 삼기는 오늘 왜빠졌나,118,3,0
13,2022-07-04,결국엔 믿음으로 간다,159,3,2
14,2022-07-04,중국자금 이탈,160,1,1
15,2022-07-04,삼성전기 분석(3개 사업부에 대한 뷰),214,1,0
16,2022-07-04,10만 8천,168,2,5
17,2022-07-04,32억 ㅅㅂ 장난해 지금??,364,5,0
18,2022-07-04,"삼성전기, 카메라모듈 'IT→전장' 전환...",210,2,0
19,2022-07-04,삼성전기,147,2,0
20,2022-07-04,t159 오리 같은 새끼,144,6,0
21,2022-07-04,"삼성전기 ""고부가가치 전장용 카메라 모듈...",239,0,0
22,2022-07-04,반포대교 남단에서 정모,115,1,1
23,2022-07-04,쫄지들마라ㅡ싸게 주면 땡큐여,152,3,0
24,2022-07-04,"삼성전기, 전장 사업 본격화…테슬라 등 ...",262,1,0
25,2022-07-04,삼기 우  진행상황이 진짜베기 아녀?,102,0,0
26,2022-07-04,오늘 삼전도 2% 가까이 상승,200,4,0
27,2022-07-04,하. 거의 두달간 이렇다할 반등 한번 없...,197,5,1
28,2022-07-04,12만원 딱 오면 1차매수 갑니다.,230,5,1
29,2022-07-04,시총 9조도 무너지겠네,115,1,0
30,2022-07-04,이렇게 형편없는 기업으로 전락,124,1,0
31,2022-07-04,내평단 156000원,399,6,1
32,2022-07-04,11만원대,143,1,0
33,2022-07-04,성열이가 말아먹네....,125,3,2
34,2022-07-04,역시 삼성...매일 매일 하락 하락 하락...,121,2,0
35,2022-07-04,언능   돔황차~,102,0,0
36,2022-07-04,삼성전자가 오르니까 곧 삼전기도,213,1,1
37,2022-07-04,지수반등해도 못올라간다고 했제?,140,1,1
38,2022-07-04,좋은말할때,171,1,1
39,2022-07-04,삼기,148,1,0
40,2022-07-04,어쩌다이리됐을꼬,131,1,1
41,2022-07-04,솔직히.,205,4,1
42,2022-07-04,지수 대비 2배 가량 빠진 대형주는,156,0,2
43,2022-07-04,중요한 포인트 필독 테슬라 관련,138,0,0
44,2022-07-04,최대주주도 처 파는 종목이네요,205,4,2
45,2022-07-04,시장 꼬라지 보니,161,2,0
46,2022-07-04,염블리 염승환입니다,192,0,2
47,2022-07-04,테슬라 수주도 노출된 재료,171,3,0
48,2022-07-04,미친 연기금,184,4,0
49,2022-07-04,더러운 넘들이 설치니 부폐지수 올라가니 ...,127,2,2
50,2022-07-04,하락장에서 지수보다 크게 빠지는 대형주는,162,3,1
51,2022-07-04,공매금지만해도,191,7,2
52,2022-07-04,ghjk=qqww,130,3,0
53,2022-07-04,인생 뭐 있나...,144,2,0
54,2022-07-04,저평가,142,0,0
