,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,1년후 뉴스,13,0,0
1,2022-07-04,뭐땀시 오르냐 공매때문에 다들 병나게 생...,42,0,0
2,2022-07-04,근본대책이 없다는 윤무능,250,12,7
3,2022-07-01,기다리다 지치겠다,513,5,1
4,2022-07-01,넌 누구냐???,210,5,0
5,2022-07-01,"현대해상 +5.5%, DB손보 +3.5%",251,4,0
6,2022-06-30,마지막 139주,477,3,5
7,2022-06-29,개미 집으러고  지랄,319,4,0
8,2022-06-28,지저분하게 매도치네,308,8,0
9,2022-06-28,속터져 ㅋㅋㅋ,270,7,0
10,2022-06-27,심상치 않은 경제상황에,252,4,3
11,2022-06-24,이건 뻔한 스토리 아닙니까...,635,8,0
12,2022-06-24,할배화재,375,10,0
13,2022-06-23,코스피 2300 깨지려고 나락가는데 그나...,337,4,3
14,2022-06-23,오늘 매수하신분,597,9,3
15,2022-06-22,기관 + 외인  오늘 왜 매수 했을까?,709,0,3
16,2022-06-22,폭락할때가 다가온다,225,6,2
17,2022-06-22,평온하누 ㅋㅋ,233,4,3
18,2022-06-22,다들어디갔노?,169,0,6
19,2022-06-22,뭔일 있어요?,197,0,3
20,2022-06-22,"★ 한국 주식 시장 전망, 유망 섹터 분...",188,0,3
21,2022-06-19,★ [삼성화재&삼성생명] 믿기 어려울 정...,1126,4,8
22,2022-06-17,하락을 위한 상승,879,16,2
23,2022-06-17,좋은일 있나 요?,727,5,7
24,2022-06-17,캬 좋다~,291,2,4
25,2022-06-17,어쩐일로 오르나 했더니,543,8,2
26,2022-06-17,어차피 지수 흐르면 다 빠집니다.,265,4,1
27,2022-06-16,하.,241,6,0
28,2022-06-16,여윽시 삼성 묻은 주식 ㅋㅋㅋㅋㅋ,210,6,0
29,2022-06-16,무슨 자신감인지,278,6,1
30,2022-06-16,몰빵했다던 주린이님들~,620,8,1
31,2022-06-16,꼴깝.,214,3,0
32,2022-06-16,뭐임 얘는 코스피 인버스임??,210,2,0
33,2022-06-15,내계좌 중 유일하게 양봉,259,1,2
34,2022-06-14,"1차 18만원, 2차 16.7만원 테스트...",604,7,5
35,2022-06-14,진짜 궁금해서,336,16,0
36,2022-06-14,다 올라오는데 ~,196,4,0
37,2022-06-14,삼성 묻은 주식 사지 말라니까 ㅋㅋㅋ,175,4,0
38,2022-06-14,능력없는 이재용 일가들,204,3,2
39,2022-06-14,염치없는 삼화 임원들,226,6,0
40,2022-06-13,내일,436,9,1
41,2022-06-13,주식 접습니다,626,12,2
42,2022-06-13,오늘 장초,341,1,3
43,2022-06-12,내일,373,5,1
44,2022-06-10,임원 물갈이 필요함,364,18,1
45,2022-06-10,손보사들도 갈수록 경쟁이 치열해 지네요....,349,5,1
46,2022-06-10,용이를 때려잡아야 되는겨.,265,5,3
47,2022-06-10,공매도 상위 10위권 종목 삼성화재,312,11,0
48,2022-06-08,언론과 개관,655,5,4
49,2022-06-08,단타,292,3,1
50,2022-06-08,거들떠보지도 맙시다,355,15,0
51,2022-06-07,역시 삼성 묻은 주식은 사면 안 돼 ㅋㅋ...,521,10,2
52,2022-06-07,무기력한 삼화,623,20,0
53,2022-06-04,30만원 가보자ㅋㅋㅋ,427,2,4
54,2022-06-03,와 평단 다와가네??,848,3,2
55,2022-06-03,OOO  개잡주,188,4,0
56,2022-06-03,구가야 .너 뒤질래.지금 머하고있어 .,157,0,2
57,2022-06-03,분기배당,875,1,5
58,2022-06-03,보험사가 per 10배면 잘 받았다...,328,2,1
59,2022-06-03,도대채 이시팍 주시기를 우째야 허네.,237,2,0
60,2022-06-03,삼성화재에 주주가치는 없다,232,5,0
61,2022-06-02,공매도나 두들겨맞고 이름이 아깝다,422,8,0
62,2022-05-31,단일가 거래가 무슨 하루종일 거래의 2배...,1030,3,5
63,2022-05-31,"DB, 현대, 메리츠와 비교해 보세요.....",828,19,1
64,2022-05-31,요것들,344,4,3
65,2022-05-31,재용이가 대표 회장인감.,255,2,1
66,2022-05-31,답글:재용이가 대표 회장인감.,2716,2,0
67,2022-05-31,진짜 조센징의 보험에 대한 마인드 자체가...,406,5,9
68,2022-05-30,보험사 채권손실 벌써 15兆…집단 부실사...,492,2,2
69,2022-05-30,2류 삼성금융,278,12,0
70,2022-05-30,놀이터구먼,329,15,1
71,2022-05-29,너무 맞는 내용 같아서 다른 토론방 글을...,474,1,6
72,2022-05-28,단타,378,4,1
73,2022-05-27,무능경영진 갈아치워 제발,496,14,3
74,2022-05-26,이거 갑자기 왜,709,9,2
75,2022-05-26,에라이 식팍  회사 부리나  파악 나버려...,237,5,1
76,2022-05-26,금리 올렸는데 왜?,855,0,3
77,2022-05-26,군침,175,0,4
78,2022-05-26,좀 기다려라 22만 짜리다,286,3,5
79,2022-05-26,삼성화재 위기 아닌가??,465,2,3
80,2022-05-26,반기배당,459,9,2
81,2022-05-26,악재에서 사라,212,2,3
82,2022-05-26,금리인상,204,2,2
83,2022-05-26,정말 조가턴 회사네 니기미 쉬빨.,196,4,0
84,2022-05-26,금리인상 호재아닌가,274,0,5
85,2022-05-25,오늘 하루도 수고하세요 ^^,269,2,2
86,2022-05-24,주가 짜증나는 19ㅡㅡ;,218,4,0
87,2022-05-24,17까지 내려라 마,181,2,1
88,2022-05-24,회사가 만만해서 공매도가 판을 치겠수?,240,4,2
89,2022-05-24,내릴땐 일등,262,5,1
90,2022-05-24,어제 추가 매수 했는데 ^^,410,0,7
91,2022-05-24,오늘 과연 어디까지 올릴 것인가,182,0,4
92,2022-05-23,경영진 물러나라,230,8,0
93,2022-05-23,오 많이 올랐네,198,3,2
94,2022-05-23,최저점 177.000원,428,5,0
95,2022-05-23,회사가 얼마나 무능해 보이면,426,13,2
96,2022-05-20,늘 그렇듯,379,6,1
97,2022-05-20,바닥 인가요?,343,0,8
98,2022-05-20,에쓰오일로 인한 손실규모 최대100억원,872,6,2
99,2022-05-20,삼성,278,5,0
100,2022-05-20,넌 아니다,233,3,1
101,2022-05-20,대형폐기물!,242,4,1
102,2022-05-20,에쓰오일 울산공장 화재,395,5,2
103,2022-05-20,S오일 공시 떳다 불난거 전액 보상보험,503,4,1
104,2022-05-20,S-oil 불난거 보상해줘라,238,4,0
105,2022-05-19,맞다! 삼화 자동차보험 갱신안한다  18...,232,2,2
106,2022-05-19,대형 쓰레기주!,136,1,2
107,2022-05-19,금리인상 수혜주,341,2,4
108,2022-05-19,답글:금리인상 수혜주,1055,3,0
109,2022-05-18,참 잼없는 주식!,287,0,4
110,2022-05-18,왜 ??,402,2,1
111,2022-05-18,정말 짜증나는 삼화,205,5,0
112,2022-05-18,빨리 가자~~~,127,0,2
113,2022-05-18,삼성증권이 매도 엄청나네..,222,0,4
114,2022-05-18,오늘 21층 안가면,240,1,2
115,2022-05-17,개미지옥,341,5,2
116,2022-05-17,형들아,157,0,4
117,2022-05-17,"외인, 개관!  수정!",191,0,2
118,2022-05-17,생명 오르는데 화재는 정반대네,156,1,3
119,2022-05-17,개관놈들 공매도 먹잇감이나 되는 쓰레기 ...,165,2,0
120,2022-05-17,개관들 공매도에 놀아나기나 하고 정말 엿...,145,2,0
121,2022-05-17,짱나는 애니카,145,3,0
122,2022-05-17,증말 더러운 주식이구만 삼화쓰레기,195,6,0
123,2022-05-17,일봉 음봉5개 내일부터 이제 오를때,299,1,4
124,2022-05-17,변비 세력님 아!,134,0,3
125,2022-05-17,거래량이 거의 변비수준이네,156,1,2
126,2022-05-16,게에 OOO 회사 정말 욕나온다.,172,5,0
127,2022-05-13,시원하게 올려줍소 쫌,358,2,2
128,2022-05-13,삼화 정말 엿같은 주식이다,191,3,0
129,2022-05-13,빙신 주식,190,8,0
130,2022-05-13,실적 되게 이쁘게 찍힌거같은데,450,0,6
131,2022-05-12,"공매도,",207,4,4
132,2022-05-12,동부화재에게 밀리네,200,4,1
133,2022-05-12,삼성화재 IR 전화번호가 어떻게 되나요,214,0,2
134,2022-05-12,1프로대 상승 ..ㅎㅎ...,166,5,0
135,2022-05-12,우선주 사서 배당이나 받으러 가자,198,4,0
136,2022-05-12,토끼라 종가 보합이다 개미 오지게 꼬시뿌...,260,6,0
