,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,뭔 놈의 화장품주여 얼어죽을,4,0,0
1,2022-07-05,석열이 자지 각질 벗기라고 ㅋㅋ,19,0,0
2,2022-07-04,2분기 실적악화 소식을,57,1,0
3,2022-07-04,거래량 190000주인데 공매도가 800...,97,0,1
4,2022-07-04,어떻게 될까?,40,0,0
5,2022-07-04,한국식 공매도는 범죄다! 즉각철폐!,40,1,1
6,2022-07-04,외국인이 매도로 전환하면,43,0,0
7,2022-07-04,큰일이로다.,56,20,2
8,2022-07-04,지지율 의미없다,55,12,1
9,2022-07-04,중국하고 사이가 최악으로 가고네요,70,2,0
10,2022-07-04,탈중국 과 일본 교류,45,1,5
11,2022-07-04,답글:탈중국 과 일본 교류,27,0,0
12,2022-07-04,이든이형은 중국 관세 내린다는데,89,6,2
13,2022-07-04,한국은 자본주의 체제 전환에 처참히 실패...,86,15,1
14,2022-07-04,공매도 개혁에 힘을 모읍시다,49,0,0
15,2022-07-04,尹 뻘짓할 ?,67,10,1
16,2022-07-04,당장은 우량주니까 버티겠지만,110,1,2
17,2022-07-04,바이든 이놈이 젤 문제다,197,11,2
18,2022-07-04,자유민주주의국가로써 공산주의 국가랑 교류...,129,4,18
19,2022-07-04,만약 이재명이 되었으면 최소한 횡보장이나...,163,28,3
20,2022-07-04,13억중국시장 버리고 60억 외국시장 얻...,202,3,22
21,2022-07-04,답글:13억중국시장 버리고 60억 외국시장 얻...,152,11,1
22,2022-07-04,답글:13억중국시장 버리고 60억 외국시장 얻...,33,0,0
23,2022-07-04,답글:13억중국시장 버리고 60억 외국시장 얻...,65,1,0
24,2022-07-04,안티 십세이키들 니들이 공매도 보다 더나...,83,5,1
25,2022-07-04,가격이 코로나 터져서 주식 박살난 그때까...,72,0,2
26,2022-07-04,날날이 신기록 갱신중..오늘 공매도42....,164,2,1
27,2022-07-04,낼은 3프로 상승,134,3,3
28,2022-07-04,아모레퍼시픽 흐름.,97,0,1
29,2022-07-04,3월 9 일 전후로 게시판 글보면,137,7,1
30,2022-07-04,매매동향,127,1,1
31,2022-07-04,내가 중국이어도,174,16,1
32,2022-07-04,와 공매42%,198,2,0
33,2022-07-04,"코스피 1,000가봐라 윤 눈하나 깜짝 ...",152,11,1
34,2022-07-04,윤석열 너무 무능해보여요ㅋ,251,31,1
35,2022-07-04,목표가 20만원 갑시다,241,6,10
36,2022-07-04,중국시장 필요없음. 목표가 19만,416,8,19
37,2022-07-04,정치병ㅠ,200,3,13
38,2022-07-04,기업들 그냥 나둬도 시원찮을판에,160,11,3
39,2022-07-04,윤두창,138,15,1
40,2022-07-04,게시판이,181,4,15
41,2022-07-04,지금 당장 탄핵은 힘들고,180,27,8
42,2022-07-04,양산의 관종 문씨!!!,206,5,25
43,2022-07-04,답글:피임좀 해라 막 싸질러대지말고,115,2,0
44,2022-07-04,이 주식을 살리고 싶으면..,140,11,3
45,2022-07-04,탈중국이라,130,9,2
46,2022-07-04,외인들이 계속 사들이고 있는데,459,6,2
47,2022-07-04,시진핑 연임까지 흐를듯,126,3,2
48,2022-07-04,코로나 시국에 누가 화장품 사냐?,69,0,4
49,2022-07-04,난 강남부자야 강남 30억집,184,2,3
50,2022-07-04,여사님이,204,17,2
51,2022-07-04,화장품은 이미 망한 주식입니다,143,2,2
52,2022-07-04,윤석열 탄핵전까지는 계속내릴껍니다,248,34,4
53,2022-07-04,그냥놔둬라,65,0,0
54,2022-07-04,탈중국화  왜치는데,178,20,5
55,2022-07-04,오를땐 500원,112,1,0
56,2022-07-04,나락으로 가는구만,87,2,0
57,2022-07-04,중국 보복들어왔나,99,4,1
58,2022-07-04,윤도리정권때는 중국주 안산다,118,16,3
59,2022-07-04,장사 안되서 재고 남을텐데,111,2,1
60,2022-07-04,모르겠다 그냥 나라 망해라 ㅠ-ㅠ,150,25,2
61,2022-07-04,대한민국서 금융자산은 자산이아님,102,3,0
62,2022-07-04,재앙은  윤짜장  일의키고,135,18,2
63,2022-07-04,이거 사느니 미국 에스티로더를 사셈,86,1,1
64,2022-07-04,지금이 매수타이밍,116,1,6
65,2022-07-04,"경제,주식,지지율 그 딴거 신경 안쓴다.",128,12,1
66,2022-07-04,탈중국,98,10,0
67,2022-07-04,건희는 무슨 화장품일까,149,6,1
68,2022-07-04,윤핵관이 할일!!!,112,23,1
69,2022-07-04,내가 수도없이 얘기 했건만,119,3,1
70,2022-07-04,나토는 사실상 중국을 적으로 규정했다,127,8,2
71,2022-07-04,주가 꼬라지봐라ㅋㅋㅋㅋ,108,8,1
72,2022-07-04,세계 증시가 대세하락 하고 있는데 ㅉㅉㅉ,157,1,8
73,2022-07-04,한중관계 악화로 사실상 하락세,97,4,0
74,2022-07-04,탈중국 하더라도,158,32,2
75,2022-07-04,[PBR10도넘게상장시키고 또 150삼청...,65,0,0
76,2022-07-04,회장과 사장 이사들까지 전부다 사퇴 해라,56,0,0
77,2022-07-04,탈중국은,178,1,12
78,2022-07-04,답글:탈중국은,94,3,3
79,2022-07-04,돌열이한테 감사해라,144,17,2
80,2022-07-04,탈중국을 계획 했으면,116,20,2
81,2022-07-04,그냥 나라 망해라 나도 모르겠다 이제,75,3,0
82,2022-07-04,나도 탈중국 찬성야,157,28,2
83,2022-07-04,상폐되나요?,64,1,0
84,2022-07-04,문재인,122,19,3
85,2022-07-04,죽을 맛,139,1,0
86,2022-07-04,싸이가 부릅니다2,123,8,0
87,2022-07-04,중국이 한마디만 하기를 기다리고있습니다,198,5,0
88,2022-07-04,한국은 중국이랑 통일이 되어야함..,120,1,7
89,2022-07-04,나도 한 번 불러보자,93,5,1
90,2022-07-04,미국과 동맹인데 언제적이고 떼놈들 눈치봐...,146,4,15
91,2022-07-04,(성지순례) 윤석열 수혜주 ~!,123,10,2
92,2022-07-04,주가전망,206,0,7
93,2022-07-04,짜장,102,10,1
94,2022-07-04,탈중국 대놓고 한다잖아 ㅋㅋ,170,17,1
95,2022-07-04,무능하고 부패한 정권때문에 ㅋㅋㅋ,195,22,2
96,2022-07-04,윤설열 수혜주,183,16,2
97,2022-07-04,"바그네-사드, 콜걸-탈중국 ㅋㅋㅋㅋ",172,25,1
98,2022-07-04,윤씨정부에선 주식  신경 안씀.,142,13,1
99,2022-07-04,한국은 지리적 특성상 친북중러/반미일이 ...,167,0,5
100,2022-07-04,"중국이 시비걸면,,, 하한가  나옵니다,...",121,1,3
101,2022-07-04,내 이랄줄 알았다 ㅋ,107,7,3
102,2022-07-04,중국이 한마디 하면 폭포수 나온다,123,4,3
103,2022-07-04,아모레주주발 범국민 광화문 촛불집회 갑시...,135,26,6
104,2022-07-04,윤대통령 이해합시다,157,5,8
105,2022-07-04,사드보다 더 큰 보복이 시작된다,183,23,5
106,2022-07-04,다르긴 다르지..,126,8,2
107,2022-07-04,이렇게 된건 아무래도,114,10,2
108,2022-07-04,안녕하세요 리헌상입니다,92,1,0
109,2022-07-04,중국 보복하면,126,3,3
110,2022-07-04,윤석열 리스크주식 중국관련주,179,37,2
111,2022-07-04,여기 주주들도 윤 뽑은사람 많았을텐데,205,30,2
112,2022-07-04,화장품 엔터 게임 사지마세요,476,11,3
113,2022-07-04,외인 공매도는 정부 꼬라지 보면 당연한 ...,204,11,1
114,2022-07-03,인조때,231,26,4
115,2022-07-03,니들도 다 알잖아 현재 중국이랑 아퍼주...,258,3,12
116,2022-07-03,중국 한국 나토가입 편들지말고 있어라,155,4,2
117,2022-07-03,다빼라 6짜 올때까지 외인놈들 사서,97,0,0
118,2022-07-03,중국 빼면 다끝난다 화장품 재고 넘치겠네,114,5,1
119,2022-07-03,중국 불매운동 한국제품 NO,110,1,1
120,2022-07-03,중국 한국 꼴보기 실다,103,3,1
121,2022-07-03,바닥처럼 보이는가??,95,1,1
122,2022-07-03,외국인은 산다.,131,1,0
123,2022-07-03,형들 “보이지않는 손” 보손동생 왔다~ㅎ,171,0,1
124,2022-07-03,국민발암주 등극 !!,121,0,0
125,2022-07-03,대통령을 잘못 뽑은게 아니라,395,3,33
126,2022-07-03,답글:대통령을 잘못 뽑은게 아니라,344,36,3
127,2022-07-03,유? 말 맹신하고 그러지 마라,196,1,0
128,2022-07-03,"드라마 ""안나"" 꼭 봐라. 퀸건희 감동실...",253,9,1
129,2022-07-03,중국과는 끝났다는 윤석열에게 기대하기보다,311,25,2
130,2022-07-03,다들 왜 그러시지?,343,2,4
131,2022-07-03,중국과 단교하라고,297,13,2
132,2022-07-03,2찍들에게 제안한다.,336,23,3
133,2022-07-03,정부정책에 맞서는 주식하는 개미들,264,3,9
134,2022-07-03,하반기 주식시장이 상승할 것이라고 보는 ...,240,0,3
135,2022-07-03,"주가 빠지는 근본원인,10년전 비교",272,1,1
136,2022-07-03,[이젠 위협과위기감속에 23년초까지상승할...,149,0,1
137,2022-07-03,윤무식이 뽑은 2찍 인간이하것들 봐라 ㅋ...,269,10,4
138,2022-07-03,윤죄~  셀프 한한령,407,15,1
139,2022-07-02,탈중국 반대하는 사람들 특징,340,2,23
140,2022-07-02,15년~16년 중국내 한류열풍때 아니면,310,10,3
141,2022-07-02,외국인이 계속 사고 있고,202,1,1
142,2022-07-02,여기 정치글 쓰는 넘들땜시,247,8,34
143,2022-07-02,윤석렬 캐나다총리와 회담장면,387,23,3
144,2022-07-02,윤석열이는 사팔로 군데 안갔다왔다고,188,9,1
145,2022-07-02,러시아의 일본 싸다구가 보이는가,173,14,1
146,2022-07-02,자기 주가 반토막이나도,203,22,1
147,2022-07-02,영부인이 급 한인상점에 가게된 이유,262,4,0
148,2022-07-02,지금도 고점이다,232,2,2
149,2022-07-02,[세계적역병말미에 국제분쟁 그리고..],153,0,0
150,2022-07-02,윤서결 dog ship  bird gi,349,44,3
151,2022-07-02,중국을 조져야합니다.,280,2,24
152,2022-07-02,전세계를 상대로 세일즈 해야 할사람이..,317,30,0
153,2022-07-02,대통령 하나가 주가를 개박살 내는구나.....,257,19,2
154,2022-07-02,주위에 보면 군대 안갔다온 애들이 아가리...,248,24,0
155,2022-07-02,영부인이 한인상가에 급하게 간 진짜 이유,306,20,1
156,2022-07-02,윤씨 캐나다총리와 만난 영상좀 보세요,302,17,1
157,2022-07-02,윤서결이 자진사퇴를 시켜야 우리가 삽니다...,250,19,5
158,2022-07-02,2찍 하고 살림 살이 점 나아 졌냐 ㅋㅋ...,227,11,0
159,2022-07-02,자본시장법 불법 공매도 처벌수위 링크 -...,141,0,0
160,2022-07-02,불법공매도 기획조사 - 검찰공화국,251,6,0
161,2022-07-02,검찰공화국 1탄 - 불법공매도 때려잡자 ...,194,0,3
162,2022-07-02,와 살다살다 윤죄앙 코미디 ㅋㅋ,499,53,2
163,2022-07-02,2찍들은,414,44,1
164,2022-07-02,아모레 6만가자.,229,2,1
165,2022-07-02,칼잡이는 칼을 뽑을때를 아는기여,174,0,0
166,2022-07-02,딱 3군데만 찍어서 깜방 보낸다,338,1,0
167,2022-07-02,"불법 공매도 - 검찰 구형 상향 조정, ...",189,0,4
168,2022-07-02,공매도 금지가 아니여 조사해서 깜방이여,153,0,0
169,2022-07-02,미국 반도체지수가 폭락.,390,5,0
170,2022-07-02,오늘 오른 이유,297,1,1
171,2022-07-02,[강강수월래~~],148,0,0
172,2022-07-01,국민이 검사 윤석열 뽑은게 불법 공매도 ...,180,0,5
173,2022-07-01,검찰공화국에서 검찰이 공매도 조지는데,79,0,2
174,2022-07-01,경제위기,118,22,1
175,2022-07-01,공매도 거래역사 1위 아모레는 검찰 조사...,98,0,1
176,2022-07-01,검찰애들이 국민 영웅으로 떠오르는 순간은...,80,0,1
177,2022-07-01,꽁밭매는 서경배는,86,1,1
178,2022-07-01,3대1로 액면 분할 했나요??,94,0,0
179,2022-07-01,주식투자와 윤석열 보유국...,159,19,2
180,2022-07-01,3500억 공매도치는 서씨 좀 이유좀 들...,121,1,1
181,2022-07-01,석열이가 중국 깠는데 중국은 그래도 손잡...,312,3,3
182,2022-07-01,서씨가 공매도 주범이여,88,0,1
183,2022-07-01,밥쳐먹고 공매도만 치나 검찰청에 끌려가야...,97,2,1
184,2022-07-01,그래도 여기 윤석은열 찍은 넘 많더라,143,16,1
185,2022-07-01,윤석열 보유국,158,17,2
186,2022-07-01,윤통?,93,6,1
187,2022-07-01,"목표가 30,000원",91,2,1
188,2022-07-01,여기 정치글 올리는,123,3,10
189,2022-07-01,여기 정치글 올리는 또라ㅇ 당은,79,0,6
190,2022-07-01,"오늘도 공매도가 78702주, 외국인이 ...",139,1,0
191,2022-07-01,인도 VS 중국,193,16,1
192,2022-07-01,아모레 선제타격?,150,9,2
193,2022-07-01,100% 진실에 가까운 야기들 ....반...,214,31,0
194,2022-07-01,위험한 리더의 3가지 유형,363,55,2
195,2022-07-01,매국주주들은 새겨들어라,154,0,1
196,2022-07-01,그놈의 mou 갖고 속는 2찍 2대남 놈...,214,24,0
197,2022-07-01,ㅎㅎ 기관 개털렸네요 외인이랑 같은팀 아...,172,0,0
198,2022-07-01,윤대통령,319,1,45
199,2022-07-01,여가부폐지에 뇌의탁한 좆대남들 자검좀,126,14,0
200,2022-07-01,윤재앙 조만간 중국에 선제타격 하겠다고 ...,174,25,0
201,2022-07-01,양키들 뭘 믿고 쇼커버링하나요,101,0,1
202,2022-07-01,지금 이제 나라가 정상화 되는 과정이다,254,2,40
203,2022-07-01,답글:지금 이제 나라가 정상화 되는 과정이다,161,2,0
204,2022-07-01,ㅂ ㅅ을  뽑은댓가,150,23,1
205,2022-07-01,축하합니다...드디어 대한민국이 1위를 ...,272,31,2
206,2022-07-01,OOO 또 중국 저격질이네,157,12,2
207,2022-07-01,중국 관련 기업들 다죽었다 복창,156,11,3
208,2022-07-01,하락장에 그나마 다행입니다.,96,0,1
209,2022-07-01,베충이들아,125,7,3
210,2022-07-01,윤통 귀국하니 하락을 멈추네 역쉬~,173,4,18
211,2022-07-01,외국 나가선 무시나 당하고....,175,22,2
212,2022-07-01,국민들의 소원,221,7,5
