,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,cera야~~~,2,0,0
1,2022-07-04,1년후 뉴스,40,0,0
2,2022-07-04,여기 왜있노,266,2,10
3,2022-07-04,오늘도 변함 없이,229,6,0
4,2022-07-04,무증해라 ㅡ,338,6,2
5,2022-07-04,나같으면 변동없는,172,0,3
6,2022-07-04,지수,187,1,2
7,2022-07-04,맥쿼리는 숏커버링중?,239,6,1
8,2022-07-04,어떤시끼가  호재 띄우며 바람잡고 무더기...,238,3,2
9,2022-07-04,"상한가  나올시점  ㅡ 기관, 외국인  ...",338,3,2
10,2022-07-03,유한양행 지표,344,0,3
11,2022-07-02,유한양행 목표주가 (저평가우량주 종목 고...,604,6,0
12,2022-07-04,답글:유한양행 목표주가 (저평가우량주 종목 고...,137,0,0
13,2022-07-01,공매도3일간 한자리  그러나 오늘 다시 ...,270,2,5
14,2022-07-01,오늘도 엘지에너지솔루션,323,3,0
15,2022-07-01,유한양행 목표주가,464,2,6
16,2022-07-01,[세계화실체 그리고 공매도신디케이트..인...,212,0,0
17,2022-06-30,"■전진바이오팜,4700원",273,0,1
18,2022-06-30,엘지에너지솔루션을 보면 만족,243,7,0
19,2022-06-30,세상의 1% 부자들은,360,1,3
20,2022-06-30,단거리선수들 불나방 팔랑개비들은 우야든둥...,224,0,2
21,2022-06-30,JP모건+신한 또 장난질 ㅠ,342,5,2
22,2022-06-30,꽁매,298,3,0
23,2022-06-30,아마츄어 바이오 동아리,209,0,0
24,2022-06-29,주인 없는 회사,281,2,1
25,2022-06-29,유한양행에 화장지 천연펄프값 올라가는거,282,1,2
26,2022-06-29,cera야 잘지내니?,274,0,2
27,2022-06-29,단거리선수들 불나방  팔랑개비들은  우야...,182,0,4
28,2022-06-29,[자본시장감독 첫과끝은 호가거래조사이다!...,158,0,0
29,2022-06-28,돈벌고 싶은자 유한을 사라,346,4,4
30,2022-06-28,석렬아 공매도 제도 없애라 우이구 속 터...,374,7,1
31,2022-06-28,[MSCI캐치프레즈걸어놓고 코스피공정따위...,236,0,0
32,2022-06-28,공매도 주포 모건형제 출현 조심하세요 ㅠ,280,2,3
33,2022-06-27,유한양행 목표주가,925,3,7
34,2022-06-27,제발 공매도 추이를 보고 매수하시길 ㅠ,426,4,2
35,2022-06-27,유한양갱....,248,1,0
36,2022-06-27,오늘 왜그랫 낼은 크게,257,1,5
37,2022-06-27,넌?,172,0,0
38,2022-06-27,불쌍한 주주들 ㅋㅋㅋ,311,4,1
39,2022-06-27,유한은 시간싸움 30프로 안전마진,307,4,3
40,2022-06-27,렉라자 망했나요?,491,6,4
41,2022-06-27,조욱제 이놈!!! 주주를 졸로 보냐!!!,380,14,0
42,2022-06-27,답글:[삭제된 게시물의 답글]오후   ㅡ   ...,1047,0,0
43,2022-06-26,[물가인상으로경기침체맞지말고vs물가억제로...,229,1,0
44,2022-06-26,주가관리 못하는 경영진은 다 때려쳐라(냉...,250,2,0
45,2022-06-26,[호랑이가죽..인간은죽어 자동차와아파트를...,239,0,0
46,2022-06-24,유한양행,460,2,1
47,2022-06-24,윤짜장대단하다.,829,24,20
48,2022-06-24,답글:윤짜장대단하다.,1328,8,1
49,2022-06-23,이제야 언론과 카페에서 공매도 문제를 ㅠ,578,7,2
50,2022-06-23,꽁매승,183,3,0
51,2022-06-23,석열이가 대한민국 증시 다 말아먹는구나,439,31,14
52,2022-06-23,양행,170,0,0
53,2022-06-23,"여긴 ,,, 1년이 지나도 100원띄기 ...",212,3,0
54,2022-06-23,답글:[삭제된 게시물의 답글]문재인이 퍼질러놓...,1155,8,2
55,2022-06-22,엉클 죠 바이든 묘수인가?,206,2,2
56,2022-06-22,공매도에 또 당하셨습니까?,329,1,5
57,2022-06-22,먹방 유튜버 대통,226,5,2
58,2022-06-22,연기금 개x끼들,316,9,1
59,2022-06-22,어허 참나,375,2,2
60,2022-06-22,제자리네~,413,9,0
61,2022-06-22,연기금 가지고 지랄염병떠는시끼들 땜시 국...,254,8,0
62,2022-06-21,식약처 임상승인.독점권은 유한양행.,627,18,1
63,2022-06-21,이 쓰레기 보다 못한 회사야,294,15,1
64,2022-06-21,역시 오늘도 공매도 꼬시기 ㅠ,183,2,0
65,2022-06-21,상폐만이 유한이 살길이다,221,3,5
66,2022-06-21,지금들어가면 안돼는이유?,376,6,2
67,2022-06-20,3상 발표예상,822,14,5
68,2022-06-20,말그대로....,260,1,0
69,2022-06-20,유한양행사랑해,363,6,1
70,2022-06-20,오늘도 OOO,334,7,1
71,2022-06-18,[여성들에대한 깊은이해는 그사회의성숙도의...,424,0,7
72,2022-06-17,금리인상구간에,482,0,0
73,2022-06-17,바닥을 기고있는 것은 사실이지만,778,2,6
74,2022-06-17,또 시작 꼬시기 & 외국계 매도세력들 등...,392,2,3
75,2022-06-16,아직도 이주식 보유개미들,696,6,9
76,2022-06-19,답글:아직도 이주식 보유개미들,1063,0,0
77,2022-06-16,조욱제씨! 글로벌 50위는 언제하나요?,366,4,8
78,2022-06-16,보셨나요? 공매도세력 장난질 ㅠ,456,4,1
79,2022-06-16,유한 조욱제는 사퇴해라,339,12,4
80,2022-06-16,목요일은 먹이 너무 타서...한잔해야징,180,0,0
81,2022-06-16,쓰레기 회사,241,5,2
82,2022-06-16,이 회사 무엇보다도 경영실적이 너무 엉망...,361,3,3
83,2022-06-16,오늘같은 폭락장세에 3년만에 거래재개하는...,407,0,1
84,2022-06-16,공매도와 대차잔고 심각한상황 ㅠ,293,2,2
85,2022-06-15,"코스피, 코스닥 중장기 단계별 지지선 분...",184,0,0
86,2022-06-15,오늘은 셀트리온  빠져서 빠진것임,248,4,1
87,2022-06-15,진짜 적당히해라,421,11,2
88,2022-06-15,시총 3조대 진입,256,1,0
89,2022-06-15,욱제야 제발 제발. 정신좀 차려라. 부탁...,235,8,1
90,2022-06-15,이거 배당주 아니야?,807,5,2
91,2022-06-15,조가튼 개악주,276,4,0
92,2022-06-15,[신냉전맞아 자유민주세계다짐이 비열한자본...,200,0,0
93,2022-06-14,음~~,406,2,5
94,2022-06-14,조욱제가 대표이사 되고,411,11,0
95,2022-06-14,[인간사회는 정글같은 힘의논리사회가아니다...,230,1,1
96,2022-06-14,고점에서 잘 들 팔았는가 ㅋㅋㅋ,520,1,6
97,2022-06-14,회복하는중,236,0,3
98,2022-06-14,3만8천원쯤,371,2,3
99,2022-06-13,이게 공매도의 위력입니다 ㅠ,428,4,2
100,2022-06-13,[결과 다나온거가꾸 으째대네 씨부렁씨부렁...,192,0,0
101,2022-06-13,유한 우 랑 시세연전,192,0,0
102,2022-06-13,[WeAreTheWorld-KoreaCo...,255,0,1
103,2022-06-12,특정 국가출신 외국인 유권자 민심 왜곡,295,2,5
104,2022-06-12,"22~23년 코스피, 코스닥 지지선 예측",476,1,2
105,2022-06-12,"다우,나스닥,S&P 지수 예측",262,0,0
106,2022-06-12,월요일 테마,390,1,0
107,2022-06-11,공매도를 봐야만 하는 이유,381,3,0
108,2022-06-11,20만원 가자며 !?,339,3,1
109,2022-06-11,"주식농부가 되어, 씨앗을 뿌리자!",267,0,0
110,2022-06-11,월요일 상승을 기대합니다 !,493,0,0
111,2022-06-10,공매 및 하락에 대한 생각,530,15,3
112,2022-06-10,이미지 쇄신하세요,180,0,0
113,2022-06-10,"다음주 53,000",396,1,5
114,2022-06-10,ㅋㅋ 무슨회사망한것도아니고,396,8,2
115,2022-06-10,손절ㅠㅜ,468,11,0
116,2022-06-10,54500-56000원 까지는 열어놔야겠...,384,4,4
117,2022-06-10,가자,296,10,0
118,2022-06-10,다우나스닥 ㅡ개박살  ㅠㅠ났다,345,3,2
119,2022-06-10,제발 공매도 추이 좀 보고 매수하세요 ㅠ,521,9,5
120,2022-06-09,지독한 박스권 돌파는 언제?,275,1,0
121,2022-06-09,머지 ㅡ막판  40 억넘은매수는,509,3,0
122,2022-06-09,먼회사가 항상 그자리고ㅡ매수한 네가 잘못...,246,2,1
123,2022-06-09,OOO 회사,249,6,1
124,2022-06-08,[나라가매냥시끄러워야하는게 금융주의위해선...,226,0,0
125,2022-06-08,공매도 5일연속 급증(개미절대매수금지구간...,382,3,4
126,2022-06-08,목표가 조정,335,2,3
127,2022-06-08,별 일 다 있네,454,1,3
128,2022-06-08,간다   상안가ㅡㅡㅠㅠㅠ,182,0,0
129,2022-06-08,가보자 ㅡ우리도,146,0,0
