,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,탈양양 선언!,78,0,0
1,2022-07-04,금일 줏가하락 요인.,375,2,0
2,2022-07-04,헛발질,360,2,0
3,2022-07-04,분할매수 타이밍 진입,240,1,0
4,2022-07-04,조선해양,239,0,0
5,2022-07-04,이래서 한국증시는 쓰레기야,421,7,0
6,2022-07-04,엊그제 조선주 빅사이클 시작한다는 눔아,418,0,3
7,2022-07-04,환율좋고 실적좋은데 이유없이 뺀거보니,591,2,3
8,2022-07-04,근1년간 최저점이라고 생각했지만 더 내려...,407,2,2
9,2022-07-04,권오갑만 나오면 주가 예외없이 폭락.ㅎ,357,4,0
10,2022-07-04,컨테이너선 한척 가격이 3000억원을 넘...,522,1,0
11,2022-07-04,마!!!!!,350,0,0
12,2022-07-04,개~같은 사기꾼  정몽준.,459,14,0
13,2022-07-04,88100,422,1,1
14,2022-07-04,충격적인 친환경 선박가격 1년만에,775,1,1
15,2022-07-04,된장,597,0,1
16,2022-07-04,조선업분석,442,0,3
17,2022-07-04,조선업 분석자료 참고 하세요,392,0,0
18,2022-07-04,아니 배는 중국배가 부러졌는데 왜 박살나...,656,2,0
19,2022-07-04,"세력,주포,큰손행님들",513,2,2
20,2022-07-04,공매도,581,20,0
21,2022-07-04,목표가,498,1,1
22,2022-07-04,형님들,421,0,1
23,2022-07-04,이정도면  김 명신이 일가가 인버스나 공...,705,28,4
24,2022-07-04,정말 무섭다.,723,5,1
25,2022-07-04,수주 잘 된다더만,997,5,3
26,2022-07-04,OOO거/... 진짜,577,2,2
27,2022-07-04,한국조선해양 목표주가 (저평가우량주 종목...,824,5,1
28,2022-07-04,21세기 한국이 고려의 신돈 러시아 라스...,612,4,0
29,2022-07-04,오를때는 개잡주 내릴때는 대장주,515,3,1
30,2022-07-04,왜이러지,828,1,0
31,2022-07-04,조선주 패대기,806,3,3
32,2022-07-04,이놈은 정씨에 바치교 현중에 치이고,552,3,0
33,2022-07-04,윤씨 덕분에 떨이지네,932,28,10
34,2022-07-04,모건이,596,1,2
35,2022-07-04,■■민주당은 586 운동권 출신들을 모두...,563,10,13
36,2022-07-03,한국금융 3대 사기,1244,30,0
37,2022-07-03,등신 시끼,957,3,1
38,2022-07-03,내일 어케될거 같아욤?,1082,0,7
39,2022-07-03,광대와 푸틴의 전쟁은 탈탄소정책에 대항한...,1355,8,2
40,2022-07-03,■7월 첫째주간증시일정(4~8)■,1375,2,1
41,2022-07-03,이준석의 증거인멸 교사범죄 들통!!,1528,11,2
42,2022-07-02,핵융합 에너지의 꿈을 실현하는 중대한 돌...,1697,0,0
43,2022-07-02,이제 하반기 입니다.,1057,3,4
44,2022-07-02,회사가 도ㆍ 독 놈  회사라   ㅅㆍ 놈...,1070,4,0
45,2022-07-02,윤종말  주가조작 콜걸이 왕이다,1381,24,8
46,2022-07-02,한국조선해양 목표주가 (저평가우량주 종목...,1576,1,1
47,2022-07-01,2022년 하반기장세는 빅싸이클시작,1864,8,4
48,2022-07-01,시대의  1등주에 투자하라,846,6,3
49,2022-07-01,최근 폭락장에서 조선 섹터가 상승하는 이...,651,1,0
50,2022-07-01,조선주 기자재주,627,0,0
51,2022-07-01,우째,646,2,1
52,2022-07-01,한국조선해양 목표주가,1083,4,1
53,2022-07-01,튀어라,924,0,5
54,2022-07-01,야들아,877,4,2
55,2022-07-01,외국인,640,0,2
56,2022-07-01,미포가 주포인가?,700,1,0
57,2022-07-01,돔황챠,585,0,0
58,2022-07-01,바닥치고 상승그림ㅡ좋다ㅡ가자,742,3,0
59,2022-07-01,기도,753,0,1
60,2022-06-30,이거보고 윤석열이 왕따라고 생각하면,897,4,5
61,2022-06-30,반대매매,521,1,2
62,2022-06-30,현중 상장만 아니었으면,799,13,0
63,2022-06-30,올 하반기 이후 시대의 1등주는 조선업,671,2,1
64,2022-06-30,돈깡보고 147000에 들어와,967,12,1
65,2022-06-30,개미 피빨아먹는 악덕기업,527,13,0
66,2022-06-30,형님들,536,1,0
67,2022-06-30,당장 중고선박 시장을 봐야 하는 진짜 이...,607,1,0
68,2022-06-30,5일연속 우상향인데,970,2,1
69,2022-06-30,대장주 빠지고 잇다,889,0,2
70,2022-06-30,매출과 이익이 증가하는 저평가 기업에 투...,745,4,3
71,2022-06-30,.,524,2,1
72,2022-06-30,정몽준 권오갑 쓰레기들,632,18,1
73,2022-06-30,가끔은 두자릿수 상승 좀 해라,553,4,1
74,2022-06-30,오늘 방역로봇출시가 호재임?,631,0,0
75,2022-06-30,거래량이 제대로터졌으면...,540,0,0
76,2022-06-30,올해와 내년 시대의 1등주는 조선업이 될...,886,7,1
77,2022-06-30,1년만에 정리했네요. 안녕히 계세요.,1808,27,1
78,2022-06-30,98층,934,8,3
79,2022-06-30,목표가 근처 왔네 ㅋㅋ,813,3,1
80,2022-06-30,실적턴어라운드\전세계발표호재공시내용,882,12,2
81,2022-06-30,평단 10만원인데,744,6,2
82,2022-06-30,현중 미포 시다바리.ㅎ.,802,6,2
83,2022-06-30,"미포조선 92,000원",819,4,0
84,2022-06-30,한국조선해양 목표주가,816,2,0
85,2022-06-30,미포,676,5,0
86,2022-06-30,★ 역시  위로  향해,696,2,6
87,2022-06-30,급등하고도 욕쳐드시는 주식...,707,8,0
88,2022-06-30,2분기 실적은 좋을수 밖에 없다!,655,4,0
89,2022-06-30,정신못차릴정도로 오르길,653,7,0
90,2022-06-30,삼프로,747,4,1
91,2022-06-30,역시 내가 매도 하니 오르네,715,6,1
92,2022-06-30,왜양봉요?,586,0,0
93,2022-06-30,조만간 미포에 역전 당하겠네,668,1,1
94,2022-06-30,오늘도,764,3,1
95,2022-06-30,정몽주 장난한다,880,7,7
96,2022-06-29,요놈 외인이 매집하더만,1001,7,0
97,2022-06-29,현대중공업지주 오일뱅크 IPO 통과! 님...,1358,15,1
98,2022-06-29,질질 끌지말고,591,3,0
