,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-04,네,79,0,0
1,2022-07-04,전쟁으로 파괴된 지역이,92,0,0
2,2022-07-04,현건 우크라이나 재건 사업 참여 희망합니...,101,3,0
3,2022-07-04,윤석열이 공약이행하라,294,17,1
4,2022-07-04,현대건설은,209,7,1
5,2022-07-04,3만원,98,0,5
6,2022-07-04,그나마,163,5,0
7,2022-07-04,6일연속 상승하고 하루 떨어졌다고 ? 거...,198,3,0
8,2022-07-04,건설테마 아니고 원전 테마로 간거라 큰일...,262,2,2
9,2022-07-04,마!!!!!!!!,116,0,2
10,2022-07-04,대기업에 1틱 노답 수준ㅋㅋㅋ,131,0,1
11,2022-07-04,개미파는거 다받아먹고있네,140,0,0
12,2022-07-04,짜장뽑은죄... 망국의 길로(속보),239,14,5
13,2022-07-04,오늘 지수 하락원인 중국 부동산발.. 사...,193,0,0
14,2022-07-04,중국 탑10 부동산업체 회사채 미상환으로...,203,0,3
15,2022-07-04,개미털기  다털리네,110,0,0
16,2022-07-04,"코스피, 코스닥",87,0,0
17,2022-07-04,털리는 개미,82,0,0
18,2022-07-04,추매타이밍,90,0,0
19,2022-07-04,"심약한  개미들은 나가시오,  흔드는  ...",208,1,2
20,2022-07-04,타낵보다,105,0,0
21,2022-07-04,겁나,111,0,0
22,2022-07-04,한 줌도 안되는  무속세력과,173,9,0
23,2022-07-04,국짐검새강남쌍도흉노미제일제간첩들인,163,3,3
24,2022-07-04,물리면  약도없다    세력들   빠져나...,243,2,2
25,2022-07-04,건설주들  다시 상승 하네요,246,1,1
26,2022-07-04,금일4~5% 상승합니다,489,4,2
27,2022-07-04,추매 기회,155,0,2
28,2022-07-04,앞으로의 증시 대세는 원전건설 및 수주 ...,295,2,1
29,2022-07-04,외국인들,126,0,0
30,2022-07-04,올라줘,177,2,1
31,2022-07-04,요즘들어,122,0,0
32,2022-07-04,일단 오늘만 올려줘,331,0,2
33,2022-07-04,서광 보이는 둔촌주공 파행…서울시 합의안...,369,3,0
34,2022-07-04,재건축·재개발 수주 보니…현대건설 독주 ...,333,5,0
35,2022-07-03,레미콘파업  협상  타결완료~,229,8,0
36,2022-07-03,‘네옴시티’ 수주 대전 ‘제2의 중동 봄...,228,6,1
37,2022-07-03,현대건설 기계,159,2,1
38,2022-07-03,민족사관고 설립 최명재 이사장,254,4,1
39,2022-07-03,현산도,177,0,2
40,2022-07-03,국토부 투기과열지구 및 조정대상지역조정안,389,6,0
41,2022-07-03,꽃피는봄날,352,1,3
42,2022-07-02,31000원 매수 탓점,216,1,4
43,2022-07-02,윤석열이 공약 지켜라,226,3,1
44,2022-07-02,지금 상승은  단시일내 급락했던 주가가 ...,362,13,0
45,2022-07-02,악장개장에,295,3,0
46,2022-07-02,애애앵~~~,199,0,3
47,2022-07-02,상승추세 전환,485,13,0
48,2022-07-02,간밤  미국증시   반도체주 폭락 vs ...,664,19,1
49,2022-07-01,애내들은 벌었으면 ...,267,8,0
50,2022-07-01,상승중인 건설주… 해외사업 수주 기대감 ...,453,10,1
51,2022-07-01,매수자는    신중하십시요,551,5,9
52,2022-07-01,도대체 니들,235,0,5
53,2022-07-01,여긴 똥줄 타는건 공매도임 ㅋㅋ,362,14,2
54,2022-07-01,한숨만나온다,457,5,0
55,2022-07-01,시외 상한가 맞네,469,6,1
56,2022-07-01,아사리판에,270,6,0
57,2022-07-01,둔촌주공 ‘변경계약 무효’ 갈등 없던일로...,351,5,1
58,2022-07-01,"기관,외인들이 저점에서 물량 다 가져가네",276,8,0
59,2022-07-01,둔촌주공 전철 피하자’...공사비 인상 ...,239,3,2
60,2022-07-01,앞으로의 증시 대세는 원전건설 및 수주 ...,335,9,0
61,2022-07-01,삼 엔는 잘가네,150,0,0
62,2022-07-01,선진국 편입지수,228,6,0
63,2022-07-01,다음주는 건설주 차례다 빨리 팔아라,319,2,4
64,2022-07-01,7월 초하루부터,182,1,0
65,2022-07-01,종가는 41000원 이하로,243,4,0
66,2022-07-01,대박한번내라,198,2,1
67,2022-07-01,야 튀어라,202,0,2
68,2022-07-01,외인 기관  연기금 매수 ~~~,242,3,1
69,2022-07-01,현대건설 계속 홀딩하고 있는 이유,430,5,0
