,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-05,개미등골 빼먹는 공매도 금지해라,9,0,0
1,2022-07-04,참나,155,1,0
2,2022-07-04,형 어제 꿈을 꿨는데,73,2,0
3,2022-07-04,외국인 수급 변화 및 경제 지표 분석 글,80,1,0
4,2022-07-04,바닥을 몇번,63,1,0
5,2022-07-04,27층 보이나요?,160,1,0
6,2022-07-04,보합이네,105,3,1
7,2022-07-04,잘 생각해봐..,397,1,0
8,2022-07-04,남 내리니까,130,4,0
9,2022-07-04,이제 악재 머 남았냐,252,2,0
10,2022-07-04,생각을 해봐라.,187,2,1
11,2022-07-04,몰락하는회사 처참하게 무너지다,129,1,1
12,2022-07-04,진짜 개잡주네 어휴,152,2,2
13,2022-07-04,계속 현금화하라고 사회운동을 펼치는 이유,267,4,0
14,2022-07-04,애플카 다시와줘,198,2,0
15,2022-07-04,주가,151,1,0
16,2022-07-04,미국현지 현대모비스 반응,511,7,2
17,2022-07-04,아가리들 갑자기 요기로 모이냐 ㅋㅋㅋ,158,1,0
18,2022-07-04,사지 마라 부채 비율이 아주 높다,449,2,0
19,2022-07-04,윤짜장 ㅡ아이대표도 나오셨군요ㅡ솔직한표현...,134,0,0
20,2022-07-03,이런상상을 해본다ㅡ시세 15억짜리아파트 ...,345,2,2
21,2022-07-03,직장인 놀리는 법안이네. ㅋㅋㅋㅋㅋㅋㅋ대...,286,1,0
22,2022-07-03,이준석의 증거인멸 교사범죄 들통!!,317,4,1
23,2022-07-03,홀딩유효,321,2,0
24,2022-07-02,지씨피는대로  ㅡ내가한건연애고 니가한건불...,216,0,0
25,2022-07-02,하반기 주식시장이 상승할 것이라고 보는 ...,476,2,4
26,2022-07-02,애플카로 오른거 다 떨어진줄 알았는데,341,4,0
27,2022-07-02,아 살까말까,277,1,1
28,2022-07-01,ㅈ스래기잡주ㅋㅋㅋ,180,1,0
29,2022-07-01,LIKEBEE   네이버에,198,3,0
30,2022-07-01,죄송합니다 안깝치겠습니다,606,3,0
31,2022-07-01,외국형들 놀이터네,165,0,0
32,2022-07-01,주가,172,1,0
33,2022-07-01,역시나 염이사님 말씀이 옳았네...,733,2,18
34,2022-07-01,이트레이드 생수 진짜싸다ㅡㅡ다른건별루고,158,0,0
35,2022-07-01,주가,211,2,0
36,2022-07-01,재수도 더럽게없는주식,353,1,1
37,2022-07-01,적정주가,462,4,2
38,2022-07-01,저번주 진입한 신용 영끌러입니다,474,3,4
39,2022-07-01,★★★주식담보대출/신용 금리이벤트★★★,169,1,1
40,2022-07-01,얘는 한번식보면,196,3,0
41,2022-07-01,머선일이죠?,397,4,0
42,2022-07-01,동호가 또장난질,208,1,0
43,2022-07-01,평단가 205800원. 2500주,908,15,4
44,2022-06-30,어우무셔,245,0,0
45,2022-06-30,현대차파업은 현대차부도,127,1,0
46,2022-06-30,허,102,0,0
47,2022-06-30,현대차  주가 차이 뭐같네,134,0,0
48,2022-06-30,평단가,685,9,0
49,2022-06-30,오늘이 반기배당락이었나?,289,1,0
50,2022-06-30,더 빠질게 있구나?,166,1,0
51,2022-06-30,"와, 이 와중에 자동차주는",193,0,0
52,2022-06-30,역시나 염이사님 말씀이 옳았네...,347,1,16
53,2022-06-30,주가,142,1,0
54,2022-06-30,더런노무시키,144,1,0
55,2022-06-30,이젠,297,3,1
56,2022-06-30,홀딩유효,192,1,0
57,2022-06-30,더 빠질게있냐?,194,5,0
58,2022-06-30,다 그런거지,181,2,0
59,2022-06-30,머선일이고~~~??,359,1,0
60,2022-06-30,와 내릴땐 같이내리고,243,5,0
61,2022-06-30,주가,121,0,0
62,2022-06-30,그래더,118,0,1
63,2022-06-30,내릴땐 왕창,120,0,1
64,2022-06-30,불사조 넘버원 절대사랑,162,0,2
65,2022-06-30,장난하나 주가관리안하나,98,0,0
66,2022-06-30,한심하고 더럽고 추접한 회사,119,0,0
67,2022-06-30,주가,99,0,0
68,2022-06-30,모비슨 바이오도 아닌게,231,2,0
69,2022-06-30,좋다고 하는 주식쟁이 너무 많아서,234,0,2
70,2022-06-29,나원?~,230,0,0
71,2022-06-29,안타깝다...,199,1,0
72,2022-06-29,1년반만에,146,0,0
73,2022-06-29,홀짝이냐?,199,2,0
74,2022-06-29,10만원 고향집 가는 길이 아직 멀고 험...,196,2,1
75,2022-06-29,얻어맞고 터지고,225,1,1
76,2022-06-29,주가,182,1,0
77,2022-06-29,염승사자 3대장의 운명,728,15,0
78,2022-06-29,양산문씨가자리잡은집뒤통도사쪽ㅡ  거제가 ...,273,0,7
79,2022-06-29,독일 배출가스,326,2,0
80,2022-06-29,홀딩유효,242,2,0
81,2022-06-29,현대모비스,224,2,0
82,2022-06-29,이젠,322,4,0
83,2022-06-29,개같은주식,209,4,0
84,2022-06-29,인생 2가지 부류,320,10,0
85,2022-06-29,주가,135,2,0
86,2022-06-29,진짜 징하네,171,1,0
87,2022-06-29,독일 검찰 배기 조작혐의 악재는 모비스꺼,814,2,7
88,2022-06-29,30만원,202,0,2
89,2022-06-29,25만원,296,0,1
90,2022-06-29,3일 오른거 한방에,147,1,0
91,2022-06-29,한국주식은 장투하면  3가지 잃게된다,228,2,0
92,2022-06-29,멕시코공장은 현대모비스랑 같이 들어가 있...,273,0,0
93,2022-06-29,탈출기회 주는거 보니,177,0,0
94,2022-06-29,정말이지 그지같아서,127,0,0
95,2022-06-29,3일 기어 오른것 한 나절만에 미끄러지네...,180,1,0
96,2022-06-29,어제 팔길 잘했네ㄷㄷ,178,2,0
97,2022-06-29,모비스는 10년째 하락중,202,2,0
98,2022-06-29,이젠,316,5,2
99,2022-06-29,간만에 함 와봤는데,219,2,0
100,2022-06-29,주가,169,1,0
101,2022-06-29,확실한건 이제 모비스는 바닥 확인 했다는...,571,1,3
102,2022-06-29,모비스꺼,162,0,0
103,2022-06-29,또또 동호가장난질,152,0,0
104,2022-06-29,수주공시 한번뜰때,255,2,0
105,2022-06-29,이거 모비스랑 상관있음?,698,1,2
106,2022-06-29,나락행,157,0,0
107,2022-06-28,내일 매수합시다,233,0,0
108,2022-06-28,★현대모비스 주가 전망,333,0,0
109,2022-06-28,재맹이가  낙선되니  모가지날아갈아그들 ...,217,0,4
110,2022-06-28,여기 회장님 따님 결혼한다고 오른건가요?,355,0,0
111,2022-06-28,우하향 주가의 서두주자,147,0,0
112,2022-06-28,백해련민주당의원이시비걸기를윤짜장17시간 ...,167,0,8
113,2022-06-28,횡보,186,1,0
114,2022-06-28,170000,174,0,3
115,2022-06-28,3년을,185,0,0
116,2022-06-28,에이 더럽다.더러운회사,181,1,0
117,2022-06-28,주가,178,1,0
118,2022-06-28,현대차 국내법인 3563억 최대적자발생,403,1,3
119,2022-06-28,현대 모비스 무슨 일 났어요?,413,2,1
120,2022-06-28,울나라좋은나란지 알고고마워혀라 푸틴암살안...,242,1,0
121,2022-06-28,음,425,1,0
122,2022-06-28,현대차 파업 부도위기 시작되다,828,2,9
123,2022-06-27,윤짜장이 떠나니 증시가 오르는구나.,573,11,11
124,2022-06-28,답글:유럽증시 폭락 ?,318,1,1
125,2022-06-27,부도위기 대폭락 처참하게무너지다,345,2,3
126,2022-06-27,개부럽네 진짜 푸근한자리네,207,0,0
127,2022-06-27,홀딩유효,159,0,0
128,2022-06-27,평단가,320,5,0
129,2022-06-27,김창룡이욜마 윤짜장이파논함정에 빠졌는데 ...,179,0,3
130,2022-06-27,"올해도 중간배당 한다고 하네요,,",921,1,0
131,2022-06-27,기술적  반등인가  ㅡㅡㅡ  추세  상승...,254,0,0
132,2022-06-27,자사주 매입 소각,335,0,0
133,2022-06-27,역시 개잡주로다,168,0,0
134,2022-06-27,하..,148,0,0
135,2022-06-27,저 무거운 현차가 6프로ㅜ넘게 가눈데,214,0,1
136,2022-06-27,모비스 비중 줄이고,419,1,0
137,2022-06-27,츠밥,186,1,0
138,2022-06-27,외국인연속매수↑100만명×유료회원가입비=...,307,14,2
139,2022-06-27,모비스를 왜 샀을까 현대차를 안 사고.....,291,1,4
140,2022-06-27,부도위기 처참하게 무너지다,219,1,1
141,2022-06-27,도대체 PER 얼마까지 공매도 칠거냐,258,1,0
142,2022-06-27,25이상은,518,0,1
