,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-09 18:39,엘지화학의 절호의 기회,381,0,3
1,2022-07-09 18:12,일론  머스크의   트위터  계약파기,288,0,0
2,2022-07-09 16:50,헉 이쥐식,300,0,0
3,2022-07-09 16:22,Sk이노베이션은 7개 자회사 sk온 sk...,335,0,0
4,2022-07-09 14:44,녹색채권 3억불,481,1,3
5,2022-07-09 12:49,월요일 57층부터 시작하자,506,3,2
6,2022-07-09 10:09,준서기  나깽판치고국힘당폭파시키고나갈꾸야,482,0,0
7,2022-07-09 09:23,52 아래에서 재매수,625,2,2
8,2022-07-09 08:22,이준석의 증거인멸 교사범죄 들통!!,634,2,0
9,2022-07-09 05:33,월봉 차트 ㅎ,730,1,0
10,2022-07-08 23:37,[국내경제를비유하자면..1000일묵은숙변...,711,0,2
11,2022-07-08 22:55,●LG화학 플라스틱 관련주 상승이유 ●,667,1,0
12,2022-07-08 18:07,550000시가 매도,778,3,2
13,2022-07-08 15:25,종가 최저가로 끝난다.,979,0,5
14,2022-07-08 15:20,갭,794,0,3
15,2022-07-08 15:06,[허구를믿는능력vs절차와단계를믿는능력]],768,0,1
16,2022-07-08 14:45,다음주 목요일 옵션만기일,910,2,1
17,2022-07-08 14:26,1천 5백 먹고 갑니다,937,1,0
18,2022-07-08 14:22,오늘은 아베데이!!!   맥주 무료!! ...,814,1,3
19,2022-07-08 14:20,분기실적 3배 차이 나는,815,1,0
20,2022-07-08 14:11,실적 폭망한 엔솔 상승율,818,1,0
21,2022-07-08 14:01,장마감하고 매매동향,792,0,0
22,2022-07-08 13:59,세력들 비싸게 매수해야했는데,773,0,0
23,2022-07-08 13:55,100만원갑니다..,855,1,2
24,2022-07-08 13:54,달려라 하니,740,0,0
25,2022-07-08 13:53,엔솔 날아가는데,783,1,0
26,2022-07-08 13:24,준돌이 ㅡ신당하기전에 당슬쑥밭만들어놓고 ...,805,1,1
27,2022-07-08 13:22,꼭,740,0,0
28,2022-07-08 13:20,Lg는 항상 나이게 플러스구나 긋~!!,778,1,0
29,2022-07-08 13:19,"후회하지 말고, 반등시 현금화하세요",760,0,0
30,2022-07-08 12:57,55못넘은게 골드만이 있었네,822,1,0
31,2022-07-08 12:52,ㅎㅎㅎㅎㅎ 또 장 안좋아지면 들어가야징~,755,0,0
32,2022-07-08 12:51,베어마켓,753,0,0
33,2022-07-08 12:37,"후회하지 말고, 반등시 현금화하세요",833,1,0
34,2022-07-08 12:18,금욜은,786,0,1
35,2022-07-08 12:01,재매수 엿본다.,898,0,0
36,2022-07-08 11:53,오늘은 단투로,794,0,2
37,2022-07-08 11:52,왜 이럴까?,771,0,0
38,2022-07-08 11:27,정유주가 엘지화학이다,816,0,2
39,2022-07-08 11:09,종가에 55 넘으면,928,1,0
40,2022-07-08 10:52,설마,909,1,0
41,2022-07-08 10:50,왜 오르는지 알려줄게,1049,2,1
42,2022-07-08 10:45,이번주 기관/외국인 동반 순매수 상위 종...,908,2,0
43,2022-07-08 10:43,왜 올라 왜왜오왱,815,0,0
44,2022-07-08 10:34,어흠 오늘  15주 매도 했다  잘있거라,971,5,0
45,2022-07-08 10:00,형님들,918,1,0
46,2022-07-08 10:00,정유주 넘많이 상승,854,0,0
47,2022-07-08 09:53,유가하락&양극재,946,3,0
48,2022-07-08 09:48,그러게 어제 성격급한 개미들은,936,0,0
49,2022-07-08 09:48,90층 한숨이..,1100,9,0
50,2022-07-08 09:40,정유주에 무슨미래가 있다고 손절,866,0,0
51,2022-07-08 09:36,반팔고,882,1,0
52,2022-07-08 09:35,개미님들 본주 확인하고,842,0,0
53,2022-07-08 09:29,아니 무슨 호재있냐?,1071,1,0
54,2022-07-08 09:29,형아 엔솔도 챙겨라 혼자가지말거~~,848,1,0
55,2022-07-08 09:28,속으시면 않됩니다,867,1,0
56,2022-07-08 11:08,답글:속으시면 않됩니다,772,1,0
57,2022-07-08 09:12,100만,906,1,0
58,2022-07-08 09:05,속으시면 않됩니다,916,1,0
59,2022-07-08 09:03,지수  흐르네!!,836,0,0
60,2022-07-08 09:01,시작부터 떡상이네?,851,0,0
61,2022-07-08 08:29,"성탄절이 토요일, 일요일일 경우 월요일을...",832,0,1
62,2022-07-08 08:29,■인기급증■윤쩍벌 양복바지 미스터리영상,869,1,0
63,2022-07-08 07:40,50대이상  나이드신분들 ㅡ이거테스트하고...,857,0,0
64,2022-07-07 21:57,"윤석열,대통령실 직원들의 문제제기도 묵살",1197,10,1
65,2022-07-07 20:06,김영익 교수도,819,2,3
66,2022-07-07 15:33,목표가 하향. 적정가 32만원 제시,750,0,5
67,2022-07-07 15:08,장기 하락,697,1,2
68,2022-07-07 15:04,50만원일때,828,3,3
69,2022-07-07 14:49,환율 상승으로 만든 거품실적이니 반등시 ...,662,0,2
70,2022-07-07 14:47,달리는 말에 채찍질 더한다~,636,1,2
71,2022-07-07 13:41,연기금 개미들 잘 털어내넹,729,1,1
72,2022-07-07 12:34,심리,717,2,0
73,2022-07-07 11:58,달려라 하니,648,0,0
74,2022-07-07 11:18,9백만원 벌고 간다...껄걸,1091,2,0
75,2022-07-07 11:03,무상증자,923,1,3
76,2022-07-07 10:57,여기저기 jp모건 때문에,741,3,0
77,2022-07-07 10:39,ㅇ얘는  ~,701,0,1
78,2022-07-07 09:43,계속 현금화하라고 사회운동을 펼치는 이유,804,1,1
79,2022-07-07 12:31,답글:계속 현금화하라고 사회운동을 펼치는 이유,659,0,0
80,2022-07-07 09:26,살짝 올려 개미꼬시고 종가 하한각~!,785,5,1
81,2022-07-07 09:25,오늘은,655,0,0
82,2022-07-07 08:17,"성탄절이 토요일, 일요일일 경우 월요일을...",672,0,4
83,2022-07-07 04:21,"윤석열친구 민간인 신씨,집무실 매일 출근",940,11,6
84,2022-07-07 03:12,40만 빨리가...,919,0,2
85,2022-07-07 01:56,석열이 찍은 댓가다ㅋ,841,6,3
86,2022-07-07 00:40,또또 유가폭락중 정유주들 다이빙하고들 있...,892,1,0
87,2022-07-06 20:11,?헌하고시퍼여,938,1,0
88,2022-07-06 18:46,삼성이렉걸어가자꾸돈훔처간다,469,0,0
89,2022-07-06 17:36,더러운 친일수구세력이 설치니 나라꼴이 개...,519,9,3
90,2022-07-06 17:32,윤재앙,521,9,4
91,2022-07-06 15:37,드뎌 2300 깨지는 날이군,600,2,3
92,2022-07-06 15:33,2200도  깨지긋네!,565,2,0
93,2022-07-06 15:23,이 쉐리는 맨날 옵션 만기일이냐???,571,2,0
94,2022-07-06 15:13,"반대매매 엄청 들어오네,,",582,0,1
95,2022-07-06 15:05,매도물량은..,539,0,0
96,2022-07-06 15:05,한시적이라도,529,1,0
97,2022-07-06 14:58,매일 퍼~런 음봉..,515,0,1
98,2022-07-06 14:15,윤짜장 장모가공매도 치냐,579,12,1
99,2022-07-06 14:02,유가가 오른다,613,3,1
100,2022-07-06 13:13,이빙신,594,1,1
101,2022-07-06 11:34,유가가 떨어지면 화학주에겐 호재인데,668,2,0
102,2022-07-06 10:47,증권사가,635,1,0
103,2022-07-06 10:41,주주들은 윤무시기 열심히,630,2,2
104,2022-07-06 10:35,금융당국,634,3,0
105,2022-07-06 10:03,아니 카카오보다 시총이 높다구??,617,1,0
106,2022-07-06 10:06,답글:아니 카카오보다 시총이 높다구??,709,0,0
107,2022-07-06 09:48,개관매도물량소화,723,3,0
108,2022-07-06 09:26,이늠은,644,2,1
109,2022-07-06 09:25,yhna님 보고 계시나요?,594,2,0
110,2022-07-06 09:24,몇백주 가지고,584,1,1
111,2022-07-06 09:06,"속지마시고, 주식보유 축소 현금화 전략",687,2,3
112,2022-07-06 09:05,달려라 하니,574,0,1
113,2022-07-06 08:20,lg화학 수소사업,645,0,1
114,2022-07-06 03:21,환 율 정 책,742,0,0
115,2022-07-06 02:41,외환위기에 대한,743,0,0
116,2022-07-06 01:20,윤석열 나토에 왜 갔지?,965,5,1
117,2022-07-05 23:10,반등주면 정리하는게 요즘 주식정석,865,2,0
118,2022-07-05 20:37,그래 다 좋다,493,3,1
119,2022-07-05 20:21,[속보]김건희가 친구를 1호기에 태우고 ...,662,10,9
120,2022-07-05 18:11,삼성전자 보세요,642,5,0
121,2022-07-05 18:11,단일가 51만원에,582,0,0
122,2022-07-05 15:21,동시호가  창  보이나?,655,1,0
123,2022-07-05 14:03,코스피,599,0,1
124,2022-07-05 13:24,[국가지식자폐하면안된다!!],552,0,0
125,2022-07-05 12:56,엘화는  4에  담고  5에  버리고  ...,655,2,3
126,2022-07-05 12:36,모처럼,644,2,1
127,2022-07-05 12:26,오늘도 외국인 매도로,618,0,0
128,2022-07-05 12:21,연4%에 매월100만원 원리금 나가는데ㅡ...,683,1,1
129,2022-07-05 11:18,말아 올린다고했쥬??,706,1,0
130,2022-07-05 11:06,이런날은 상한가를 가도 됩니다,659,3,0
131,2022-07-05 09:29,ㅆ ㅐ ㅂ ㅆ ㅐ ㄲ ㅡ ㄹ,635,0,1
132,2022-07-05 09:36,답글:ㅆ ㅐ ㅂ ㅆ ㅐ ㄲ ㅡ ㄹ,725,0,0
133,2022-07-05 09:24,쌍바닥찍고V급등호재공시는,763,8,0
134,2022-07-05 09:07,속으시면 않됩니다. 반등시 매도 현금확보,659,0,2
135,2022-07-05 08:00,"성탄절이 토요일, 일요일일 경우 월요일을...",629,0,5
136,2022-07-05 01:31,루나코인  상폐..  사건의 정리,949,2,0
137,2022-07-04 23:01,"하락주범은 게미, 보조는 기관",877,0,4
138,2022-07-04 22:48,한국식 공매도는 범죄다! 즉각철폐!,456,14,0
139,2022-07-04 20:59,탈탈털어 부었다. 살돈 제로다,674,2,0
140,2022-07-04 18:29,외국인 수급 변화 및 경제 지표 분석,602,1,0
141,2022-07-04 18:23,여러분은 지금 분노의 단계를 지나고 계십...,696,6,3
142,2022-07-04 18:10,오늘이,556,2,1
143,2022-07-04 16:57,우리회사 과장님 평단 87만..,1067,8,1
144,2022-07-04 16:28,I~c8 디지것네.,815,1,5
145,2022-07-04 16:18,뇌썩열 리스트 누구인가?,612,3,1
146,2022-07-04 15:40,동학개미의 눈부신 활약,717,1,1
147,2022-07-04 15:19,헬화 이미지..,624,2,1
148,2022-07-04 15:05,형이 정리할께,680,4,3
149,2022-07-04 14:35,체결이 올라가는데,725,1,1
150,2022-07-04 13:54,다 말아 올리는 차트네....,920,1,0
151,2022-07-04 13:50,더러운 친일수구세력이 설치게 해놓고 나라...,697,16,1
152,2022-07-04 13:30,개인이 투매?,811,3,0
153,2022-07-04 13:26,대통하나 잘 못 뽑아서,787,19,13
154,2022-07-04 13:18,윤짜장의 마이웨이 양산문씨한것처럼고대로 ...,679,2,3
155,2022-07-04 13:05,눈에 보이게,610,0,0
156,2022-07-04 12:43,개미는 꿈도 못꿀,793,1,1
157,2022-07-04 12:00,"개xccc,들",689,2,0
158,2022-07-04 11:49,[PBR10도넘게상장시키고 또 150삼청...,662,0,0
159,2022-07-04 10:44,더러운 친일수구세력이 설치게 해놓고 나라...,815,11,6
160,2022-07-04 11:49,답글:더러운 친일수구세력이 설치게 해놓고 나라...,785,4,4
161,2022-07-04 10:25,무정부 시대에,844,6,3
162,2022-07-04 10:23,LG화학 목표주가 (저평가우량주 종목 고...,953,3,4
163,2022-07-04 10:11,에효…,695,0,0
164,2022-07-04 10:07,LG전자 공시,804,0,0
165,2022-07-04 09:48,달려라 하니,689,0,0
166,2022-07-04 09:40,외국인 이탈 가속화=윤석열 리스크,826,6,2
167,2022-07-04 09:06,지금이라고 매도하세요,751,0,1
168,2022-07-04 08:48,쏠쏠한 재미,792,0,2
169,2022-07-04 08:29,"성탄절이 토요일, 일요일일 경우 월요일을...",721,0,4
170,2022-07-04 01:50,쓰리바닥을 만들고 있으니...,1102,0,1
171,2022-07-03 22:32,[주식시장은6개월선반영 이젠 추세상승탈것...,1246,0,2
172,2022-07-03 20:39,"월스트리트 저널 ""험난한 하반기""…미 의...",914,1,0
173,2022-07-03 17:06,■ 헬쥐assHole주식으로 인해서,982,2,0
174,2022-07-03 16:51,껍데기의 최후,1020,0,1
175,2022-07-03 14:11,이런 종목은,1169,0,0
176,2022-07-03 13:21,제발 엘지 솔루션 분할상장에서 돈많이벌어...,1163,1,0
177,2022-07-03 00:12,고려아연과의 폐배터리사업 방문 후기,1845,0,0
178,2022-07-02 20:55,나꼼수 팅팀들 주진우한테가서  여당당수라...,1734,2,0
179,2022-07-02 16:33,●에코캡 LS 50억 제3자 유상증자 투...,1124,0,0
180,2022-07-02 14:35,옛날 주가로 돌아갈려는 성질이 있다,1313,2,0
181,2022-07-02 13:29,[사랑은 유혹을위한 위선행위..],1137,0,0
182,2022-07-02 11:44,대책이 없다고  말한 현 정부,1359,11,1
183,2022-07-02 10:30,우리나라 현상황의 악재들,1382,10,0
184,2022-07-02 10:52,답글:우리나라 현상황의 악재들,1474,6,0
185,2022-07-02 09:23,LG화학 목표주가 (저평가우량주 종목 고...,1409,1,0
186,2022-07-02 09:00,하반기 주식시장이 상승할 것이라고 보는 ...,1320,0,0
187,2022-07-02 03:33,"석열이 땜에 친환경에너지,배터리는 다 망...",1550,3,2
188,2022-07-02 01:50,[주꼐서 그들과함꼐 이야기함에..],1356,0,0
189,2022-07-01 22:16,개미는 정부와 기관의 개돼지 호구 먹잇감...,1493,3,2
190,2022-07-01 21:38,엔솔 분리전에도,549,4,0
191,2022-07-01 17:46,40만원까지 열려있네요,604,2,2
192,2022-07-01 17:22,lg 정말 나쁜 회사!,639,7,0
193,2022-07-01 16:00,헬지 화학? 어게인,626,1,0
194,2022-07-01 15:10,어종오,680,0,0
195,2022-07-01 15:10,모간 변태냐,633,0,0
196,2022-07-01 15:10,포기다~,610,0,0
197,2022-07-01 15:07,아무리,667,8,1
198,2022-07-01 15:06,여기 곰탱이들,595,0,0
199,2022-07-01 14:44,짜증난다,628,0,0
200,2022-07-01 14:43,오늘 물타기했지,648,0,2
201,2022-07-01 14:39,죽엇다깨도..,658,1,0
202,2022-07-01 14:35,50깨면 헬게이트 열리겠죠,596,0,0
203,2022-07-01 14:19,이러다가는l,684,1,0
204,2022-07-01 14:14,정상주가는,650,0,0
205,2022-07-01 13:38,"신기한 영상, 유령 윤석열?",718,5,3
206,2022-07-01 13:21,현정부가 밀고있는 산업들,815,4,0
207,2022-07-01 12:37,12에 아가리쩌억 달러빛회사채남발 빚덩어...,659,0,0
208,2022-07-01 12:32,살려주세요 살려주세여 55,697,0,2
209,2022-07-01 12:29,LG화학 목표주가,779,1,0
210,2022-07-01 12:22,어때요 내말이 맞지요? OK??,708,0,0
211,2022-07-01 11:46,숨쉬고 있냐?,641,0,0
212,2022-07-01 11:42,주가 꼬시기,682,1,0
213,2022-07-01 11:22,Lg 와의 영원한 결별,722,3,1
214,2022-07-01 10:59,계속 현금화하라고 사회운동을 펼치는 이유,750,1,3
215,2022-07-01 10:54,개미들 힘을 보여줍시다..벌떼 매수 외인...,715,1,0
216,2022-07-01 10:39,물적분할,713,1,1
217,2022-07-01 10:10,"비둘기파 메스터 美 연은 총재 ""7월 0...",725,0,1
218,2022-07-01 09:58,개미털기 직이네,746,2,0
219,2022-07-01 09:46,1년뒤 25온다..ㅋㅋ 2년대세하락.,732,4,1
220,2022-07-01 14:24,답글:1년뒤 25온다..ㅋㅋ 2년대세하락.,641,0,0
221,2022-07-01 09:39,에라이 진짜. 토나온다...,717,1,0
222,2022-07-01 08:55,회사는 좋으나 주식은 위험하다,773,2,1
223,2022-07-01 08:51,현금관망신 3억 대기중,761,1,3
224,2022-07-01 07:59,"성탄절이 토요일, 일요일일 경우 월요일을...",705,0,4
225,2022-07-01 07:24,결국엔 시간싸움이다. 이종목은 승리한다.,926,6,1
226,2022-07-01 06:37,4만 화학,734,0,1
227,2022-07-01 06:35,나토가입 한것 때문에 문제될 듯,789,0,1
228,2022-07-01 06:18,LG화학 주식들고 있는 평신들!!!  에...,800,0,0
229,2022-06-30 23:24,이거보고 윤석열이 왕따라고 생각하면,962,2,0
230,2022-06-30 23:15,윤석렬 너무 욕하지 말아라..,540,1,8
231,2022-06-30 21:45,시가총액 상위 종목들 분석,696,8,1
232,2022-06-30 20:49,노룩악수,547,9,3
233,2022-06-30 20:31,ㅎ,550,14,6
234,2022-06-30 20:22,다시 50밑으로 가는구나ㅜㅜ,576,5,2
235,2022-06-30 17:32,이제부터 본격적으로,655,2,3
236,2022-06-30 16:35,59만 바닥인줄 샀다가,770,1,3
237,2022-06-30 15:45,대단하다,963,4,3
238,2022-06-30 15:43,탈중국  발언으로  개미에게는  물탈수 ...,807,9,4
239,2022-06-30 15:39,석열이는 아직도 공매도 한시중단 안하네,750,15,4
240,2022-06-30 15:38,윤통 적당히하지 중국손절 발언은 왜,922,16,4
241,2022-06-30 15:34,다,614,2,1
242,2022-06-30 15:32,ㅎㅎ 햐 진짜 이개잡주 장투가버리네,643,2,1
243,2022-06-30 15:31,왓더 뻑,609,2,1
244,2022-06-30 15:26,"윤꽐라 탈중국,중국손절 발언으로",759,9,5
245,2022-06-30 15:13,6월말,578,0,1
246,2022-06-30 14:44,손놓고 있지말고,654,1,1
247,2022-06-30 14:31,2번 찍세들아...,669,10,7
248,2022-06-30 14:30,공매도,583,0,1
249,2022-06-30 14:23,나원.. 오보 한방에 바닥을 가려하네.,791,0,1
250,2022-06-30 14:14,감히 우리 개를 건드려!!??,594,0,1
251,2022-06-30 14:09,경영진은,580,1,1
252,2022-06-30 14:08,챠트를 보는 이유는?,607,0,2
253,2022-06-30 14:06,근데 왜 외국인은 매수냐,734,1,2
254,2022-06-30 13:58,그냥,551,0,1
255,2022-06-30 13:57,주식의 본질,580,1,1
256,2022-06-30 13:43,대량거래 장대음봉은,651,2,1
257,2022-06-30 13:30,이런것도 우량주라고 것도 탑 10종목?,628,1,4
258,2022-06-30 13:24,개잡주 탈출해라,572,0,3
259,2022-06-30 13:19,결국 전종목 눈물을 머금고,734,4,2
260,2022-06-30 13:12,3 .2 .1 번지....어쩐지 하락장에...,601,1,1
261,2022-06-30 13:12,"60일선,",557,0,1
262,2022-06-30 12:51,누굴까,662,1,1
263,2022-06-30 12:50,개미 반대매매,637,0,2
264,2022-06-30 12:47,꽉잡으세요,606,0,1
265,2022-06-30 12:35,어제  개처박더니  오늘은  우주최강  ...,621,0,1
266,2022-06-30 12:32,이런것도 우량주라고 ㅎㅎㅎ  지나가는 견...,567,0,3
267,2022-06-30 12:09,바닥찍고급등호재공시소식에,754,8,1
268,2022-06-30 11:22,쥴리거니,619,2,1
269,2022-06-30 10:47,디비하이텍 영업이익8천억 영업이익률 50...,620,0,1
270,2022-06-30 10:39,분할매수 구간,632,1,1
271,2022-06-30 10:29,중.러.지정학리스크 본격 부각,704,10,2
272,2022-06-30 10:10,물적분할 당한 주주들에게,775,0,6
273,2022-06-30 10:09,LG화학 목표주가,749,1,1
274,2022-06-30 09:55,흐른다  물흐르듯  흐른다,598,0,2
275,2022-06-30 09:15,수출기업들 큰일났네,809,6,4
276,2022-06-30 08:57,"[자막뉴스] 중국의 강력한 경고 ""한국,...",959,1,3
277,2022-06-30 08:50,전국민이 차기 정권은 민주당이 되야한다고...,806,11,10
278,2022-06-30 11:45,답글:전국민이 차기 정권은 민주당이 되야한다고...,548,0,2
279,2022-06-30 08:35,"성탄절이 토요일, 일요일일 경우   월요...",617,0,1
280,2022-06-30 08:23,"속보>>>>>>""""""""""""""""",892,1,2
281,2022-06-30 08:05,오늘 45  박살나나,641,0,2
282,2022-06-30 06:45,엘화가 엔솔 보호예수 풀린거 팔아치우면 ...,842,0,3
283,2022-06-30 05:10,윤?가리는 이미 터졌다.,800,4,5
284,2022-06-30 01:37,오늘  쉬바  4자  보이면    우짜냐...,857,3,4
285,2022-06-30 01:09,교훈..,843,2,1
286,2022-06-30 01:03,국제 왕따 석열이ㅋ,1045,17,8
287,2022-06-30 00:12,대박 대박 대박이네요,1079,2,2
288,2022-06-29 21:25,-7% 하락 개오바 ㅋㅋ,1235,11,6
289,2022-06-29 20:32,낼고점,500,7,2
290,2022-06-29 19:59,개미꼬신 후,534,1,0
291,2022-06-29 19:45,공매도,453,1,1
292,2022-06-29 18:59,이 회사는 고무다라이 만드는 회사다.,595,1,0
