,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-09 12:30,문재인 이재명 욕하니까 지워삐네,654,6,10
1,2022-07-10 00:42,답글:문재인 집권기간 무역수지,209,0,1
2,2022-07-09 10:57,8월 MSCI 일정 및 편입 편출 종목 ...,753,2,0
3,2022-07-09 09:54,20평형  전세가격이1억 이해가 안간다 ...,642,0,0
4,2022-07-09 09:31,기아차노조가 파업하면 어려운 상황이 닥칠...,800,5,1
5,2022-07-09 08:50,정권바뀌니 내부고발자 마구폭로 ㅡ불안혀서...,719,2,4
6,2022-07-09 07:30,현대차.기아..6월 자동차판매 V자 반등,914,8,0
7,2022-07-09 07:12,기아..프랑스자동차시상식  3관왕수상,697,0,0
8,2022-07-09 06:44,정보첩보를 얼마나다급혔쓰면지워버렸나,679,0,2
9,2022-07-08 21:04,다음주가,1173,11,1
10,2022-07-08 18:31,기아에 허덕이는 한주였군,778,5,1
11,2022-07-08 18:15,아베사망.,897,1,0
12,2022-07-08 17:51,쓰레기 기아 같은  한주네,758,3,1
13,2022-07-08 21:15,답글:쓰레기 기아 같은  한주네,796,5,0
14,2022-07-08 16:50,이준석의 증거인멸 교사범죄 들통!!,790,4,2
15,2022-07-08 16:36,문제많은 문재인과 문제인들,796,10,9
16,2022-07-08 15:50,일본 아베 피습사건 시간이후,874,2,0
17,2022-07-08 15:48,전라도출신이 주식얼마나 할까,882,3,2
18,2022-07-08 15:25,아오 18!,833,4,0
19,2022-07-08 15:19,ㅋㅋㅋ,786,0,0
20,2022-07-08 15:17,테슬라5조수주공시,1025,2,3
21,2022-07-08 14:42,징글징글한주네,819,6,0
22,2022-07-08 14:16,계속말했다. 완성차<부품주<전기차부품주라...,932,0,2
23,2022-07-08 14:02,넥슨게임즈 이어서 기아도 단타~스윙 맛집...,780,0,0
24,2022-07-08 13:54,일본의 몰락은 현기차에 대형호재,890,6,0
25,2022-07-08 13:43,페인트 작전,793,0,0
26,2022-07-08 13:22,모비스날아가는데,827,1,0
27,2022-07-08 12:55,간만에 쌍끌이 매수군,878,7,0
28,2022-07-08 12:42,현차눈치,849,3,0
29,2022-07-08 12:29,"기아 잘 하고 있다, 어제의 눈물의 30...",929,3,0
30,2022-07-08 12:27,외국인연속매수↑100만명×유료회원가입비=...,851,2,0
31,2022-07-08 11:59,페인트 작전중,854,0,1
32,2022-07-08 11:44,신규매수,1392,3,2
33,2022-07-08 11:43,주린이,939,1,0
34,2022-07-08 11:32,올라도참더럽게,859,4,1
35,2022-07-08 11:20,완성차<부품주<<<전기차부품주,953,1,2
36,2022-07-08 11:00,다 팔고,951,11,2
37,2022-07-08 10:05,78 넘자,1083,13,2
38,2022-07-08 09:55,기아주 개잡주,910,6,3
39,2022-07-08 09:44,어지간하다,965,14,0
40,2022-07-08 09:36,속으시면 않됩니다,1017,3,6
41,2022-07-08 09:31,상승기원,890,7,2
42,2022-07-08 09:24,"외국인들, 기관들 동시매수중",1071,8,2
43,2022-07-08 09:20,아따 키움개미형님들 오지게 파네,877,1,0
44,2022-07-08 09:15,역시 쓰레기은쓰레기다,887,1,0
45,2022-07-08 09:13,역시 기아도...,892,3,0
46,2022-07-08 09:09,또또 꼬부라진다,922,6,2
47,2022-07-08 09:28,답글:또또 꼬부라진다,883,0,1
48,2022-07-08 09:07,빙신,853,1,0
49,2022-07-08 09:05,구마넌 가즈아 ~,860,5,0
50,2022-07-08 08:58,어휴,855,2,0
51,2022-07-08 08:56,개같은주,844,1,1
52,2022-07-08 08:56,독일 검찰조사...,888,2,0
53,2022-07-08 08:17,오늘 폭등이네,1028,6,1
54,2022-07-08 01:46,"윤석열,대통령실 직원들의 문제제기도 묵살",1229,21,9
55,2022-07-08 00:44,독일 검찰 조사 별거없는듯!,1357,12,1
56,2022-07-07 22:05,개미는 대차서비스로 공매도 동조한다,1153,10,0
57,2022-07-07 21:48,내일은 더 싸게 살수 있는 기회를 달라,524,3,4
58,2022-07-07 21:37,역대최악의 대통령 문재인,782,14,41
59,2022-07-07 19:12,한국인 특징,740,12,2
60,2022-07-07 19:06,기아도 곧 하한가 찍겠네,938,4,18
61,2022-07-07 18:52,글로벌 환경을 주목하고 파업협상을 하라,599,9,0
62,2022-07-07 18:47,ㅋㅋ,538,8,0
63,2022-07-07 18:09,반도체 업황 굿이네요 삼성전자 체크하세요,602,3,2
64,2022-07-07 17:17,검찰은 진실을 밝혀라~~,619,4,1
65,2022-07-07 16:12,아무리 비싸도 전기차는 팔린다. .,682,9,0
66,2022-07-07 16:04,켐핑시즌 전기차 폭발적증가.,655,5,0
67,2022-07-07 15:45,눈물의,712,11,0
68,2022-07-07 15:33,C8,674,14,1
69,2022-07-07 15:23,거래상 호재는,1063,6,0
70,2022-07-07 15:17,정말어이없다,711,9,0
71,2022-07-07 15:17,ㅈㄹ,612,5,0
72,2022-07-07 15:10,KB저가튼쉐ㅋ 매도65037주=연기금쥐쉐...,665,3,0
73,2022-07-07 15:09,정말 장난 심하네,624,4,0
