,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-08 15:35,악의 축이네,237,7,0
1,2022-07-08 14:38,ㅅㅂ 그저께 왜 12000 빠졌던거야.....,522,7,2
2,2022-07-08 09:56,하락이 두렵냐?,199,0,3
3,2022-07-08 09:04,18만일때 안산사람,470,4,3
4,2022-07-07 19:48,금리,439,8,1
5,2022-07-07 18:03,진짜 7월 8월에 보험주에 무슨일 일어나...,476,5,18
6,2022-07-07 14:31,개미들 떨어지게 더 떨어뜨려라,152,4,0
7,2022-07-07 12:03,하반기 시작됐다ㅎ,276,4,4
8,2022-07-07 11:56,찔끔 올리고 개미 태워 또 폭락시킬거지,174,6,0
9,2022-07-07 09:29,지수 올라도 오르는건 성장주.,214,2,0
10,2022-07-07 09:07,이가격에안사면,257,5,3
11,2022-07-06 20:47,초초우량주가ㅡ6%하락?,407,3,8
12,2022-07-06 18:22,굳이?,429,5,8
13,2022-07-06 18:13,와우 이렇게 싸게 ㅡ아ㅡ좋다,395,1,5
14,2022-07-06 16:21,으흐 다시한번 이렇게 기회가 ㅋ,312,3,5
15,2022-07-06 15:52,흠,190,4,1
16,2022-07-06 15:44,와ㅡ종가에 다 담갔다,539,1,5
17,2022-07-06 15:03,올 10월에 가격예성,350,4,1
18,2022-07-06 14:48,참 이상하다,300,1,4
19,2022-07-06 14:37,자사주,260,3,3
20,2022-07-06 14:14,삼성화재 현찰 3억 매수 대기중,825,18,16
21,2022-07-06 14:09,조심하자 아직 바닥 아니다...,408,5,0
22,2022-07-06 14:05,악인들,223,6,2
23,2022-07-06 14:02,ㅇ아,210,2,1
24,2022-07-06 14:01,망했다,330,10,6
25,2022-07-06 14:00,자사주 사자,183,1,2
26,2022-07-06 13:59,자사주 사자...,167,1,2
27,2022-07-06 13:54,미쳤다 개 특가 세일..,324,0,6
28,2022-07-06 14:06,답글:돔황촤,538,2,1
29,2022-07-06 13:54,역시...,263,9,5
30,2022-07-06 13:36,존버,463,1,4
31,2022-07-06 13:25,야  / 망했냐?,179,3,0
32,2022-07-06 13:24,장 막판에,248,6,3
33,2022-07-06 13:17,시장논리,190,3,0
34,2022-07-06 12:53,ㅋㅋ 7월달에는 금용 보험주가 타켓,291,3,2
35,2022-07-06 12:51,문제가 너무 쉽지 않습니까?,229,2,3
36,2022-07-06 12:41,정부가 금리가지고 왜 이래라 저래라함?,240,7,3
37,2022-07-06 12:28,삼성화재가 문제인게,344,0,3
38,2022-07-06 11:33,보험주들 폭락이유 아시는 분?,1473,1,4
39,2022-07-06 12:25,답글:보험주들 폭락이유 아시는 분?,747,3,3
40,2022-07-06 11:30,185000원에,407,2,5
41,2022-07-06 11:22,겨우 증권사 하나에 놀아나네,308,3,1
42,2022-07-06 11:20,상승,156,0,3
43,2022-07-06 11:19,집팔고,395,5,3
44,2022-07-06 11:16,이렇게 또 한방맞으면,183,2,0
45,2022-07-06 10:59,상승 꼴지 하락 일등,196,3,1
46,2022-07-06 10:58,이유나 알자,219,1,3
47,2022-07-06 10:51,"코로나때처럼 117,000원 찍으러 가자",196,3,0
48,2022-07-06 10:38,공매,209,3,1
49,2022-07-06 09:41,남들 오를때 떨어지고 남들 내릴때 더 내...,218,6,0
50,2022-07-06 08:27,밤새 미국장 보험주가 안좋았습니다,556,7,1
51,2022-07-05 16:39,날씨덥네,238,4,0
52,2022-07-05 15:44,오늘 개미들 많이 물려구나,216,6,0
53,2022-07-05 15:26,모욕감,257,12,1
54,2022-07-05 14:02,역시 개미들 매수하는구나,189,0,5
55,2022-07-05 13:24,현대해상으로,218,4,0
56,2022-07-05 13:19,쌍도들아.이것이 너희가 뽑은 윤도리다.,259,11,7
57,2022-07-05 00:24,1년후 뉴스,274,0,6
58,2022-07-01 11:22,기다리다 지치겠다,656,5,2
59,2022-07-01 11:01,넌 누구냐???,242,6,0
60,2022-07-01 09:40,"현대해상 +5.5%, DB손보 +3.5%",310,4,0
61,2022-06-30 15:12,마지막 139주,581,3,5
62,2022-06-29 10:44,개미 집으러고  지랄,340,4,0
63,2022-06-28 10:49,속터져 ㅋㅋㅋ,284,8,0
64,2022-06-27 23:58,심상치 않은 경제상황에,286,4,5
65,2022-06-24 10:09,이건 뻔한 스토리 아닙니까...,684,8,0
66,2022-06-24 07:35,할배화재,402,10,0
67,2022-06-23 15:44,코스피 2300 깨지려고 나락가는데 그나...,349,4,3
68,2022-06-23 11:07,오늘 매수하신분,636,9,3
69,2022-06-22 17:06,기관 + 외인  오늘 왜 매수 했을까?,742,0,3
70,2022-06-22 16:44,폭락할때가 다가온다,241,6,2
71,2022-06-22 12:12,평온하누 ㅋㅋ,244,4,3
72,2022-06-22 11:24,다들어디갔노?,179,0,6
73,2022-06-22 11:04,뭔일 있어요?,207,0,3
74,2022-06-22 10:20,"★ 한국 주식 시장 전망, 유망 섹터 분...",195,0,3
75,2022-06-19 07:51,★ [삼성화재&삼성생명] 믿기 어려울 정...,1145,4,8
76,2022-06-17 14:27,하락을 위한 상승,892,16,2
77,2022-06-17 13:59,좋은일 있나 요?,735,5,7
78,2022-06-17 13:51,캬 좋다~,298,2,4
79,2022-06-17 11:40,어쩐일로 오르나 했더니,549,8,2
80,2022-06-17 09:41,어차피 지수 흐르면 다 빠집니다.,271,4,1
81,2022-06-16 16:33,하.,246,6,0
82,2022-06-16 16:13,여윽시 삼성 묻은 주식 ㅋㅋㅋㅋㅋ,215,6,0
83,2022-06-16 16:02,무슨 자신감인지,293,6,1
84,2022-06-16 12:06,몰빵했다던 주린이님들~,634,8,1
85,2022-06-16 09:29,꼴깝.,219,3,0
86,2022-06-16 09:28,뭐임 얘는 코스피 인버스임??,214,2,0
87,2022-06-15 15:42,내계좌 중 유일하게 양봉,263,1,2
88,2022-06-14 18:01,"1차 18만원, 2차 16.7만원 테스트...",611,7,5
89,2022-06-14 15:33,진짜 궁금해서,343,16,0
90,2022-06-14 15:08,다 올라오는데 ~,198,4,0
91,2022-06-14 14:38,삼성 묻은 주식 사지 말라니까 ㅋㅋㅋ,177,4,0
92,2022-06-14 09:51,능력없는 이재용 일가들,208,3,2
93,2022-06-14 09:47,염치없는 삼화 임원들,228,6,0
