,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-10 02:02,삼시세끼도 힘들다,17,0,0
1,2022-07-09 22:35,[썩은고구마에참기름발르면 코구마되냐??],40,0,0
2,2022-07-09 17:12,"탈중국, 선제타격 합니다. 멧돼지",93,1,0
3,2022-07-09 17:03,여기 PER이 50밴데 에스티로더가 PE...,127,1,0
4,2022-07-09 15:20,7월8일 김대통령 일정,171,5,0
5,2022-07-09 14:57,환율 상승에 주식반등 믿기 어렵다.,95,1,0
6,2022-07-09 08:56,주가가 떨어져서 저평가인줄알지만,257,2,2
7,2022-07-09 08:41,개인투자가 공매도참여증가세,123,1,0
8,2022-07-09 07:54,코로나 다시 유행,279,3,1
9,2022-07-09 01:21,[자유민주진영은 전유엔미대사해리스기고문다...,107,0,1
10,2022-07-09 01:11,아베 총살보면 모르냐?,334,9,3
11,2022-07-09 00:21,안 될놈은 죽어도 안 되는 겨,348,2,5
12,2022-07-08 23:55,"탈중국, 반공산주의",89,1,3
13,2022-07-08 19:35,엘생같이 미쿡이라도 진출혀라,98,2,0
14,2022-07-08 15:32,윤씨 임기동안 ?트됨,255,3,3
15,2022-07-08 13:52,예전에는,208,2,1
16,2022-07-08 13:32,아모레 주주분들은 그분한테 인사해야해요,257,3,6
17,2022-07-08 13:20,ㅎㅎ 경기침체면 누가 화장품 쓰냐구?,369,1,1
18,2022-07-08 13:20,이놈만 파랗네,163,1,1
19,2022-07-08 13:15,다 빨간색인데 ㅎㅎ 너만 ...,160,2,1
20,2022-07-08 13:12,아베 문제 생기면 호재임?,145,0,1
21,2022-07-08 13:03,외교 참~ 잘하시는 윤재앙 정권 ㅋㅋ,203,13,2
22,2022-07-08 12:59,오늘은 보합,143,1,0
23,2022-07-08 12:57,어린 노무스키도,138,4,0
24,2022-07-08 12:28,[지금은없는데 예전엔 테마주정리있었는데],123,0,0
25,2022-07-08 12:22,"난, 기권자인데 2찍님들 질문",210,7,3
26,2022-07-08 11:23,이제 별수없다~,306,2,1
27,2022-07-08 11:08,왕이랑 박진 만났다 ㅋㅋ,390,8,2
28,2022-07-08 11:05,해도해도 넘무한 리딩,157,0,1
29,2022-07-08 11:03,향후 2년은  경기침체....향후 주가 ...,217,1,0
30,2022-07-08 10:41,와 이라노,236,2,0
31,2022-07-08 10:23,이건 아니지,184,1,0
32,2022-07-08 10:15,실외마스크 의무화,239,2,2
33,2022-07-08 10:12,윤석열 지지율 떡락하노,188,6,3
34,2022-07-08 09:32,124 ~ 135,207,1,1
35,2022-07-08 09:25,해도해도 넘무한 리딩,248,2,0
36,2022-07-08 09:08,공매도 때려잡기 좋은 날,256,1,1
37,2022-07-08 09:06,코로나 재확산 마스크 다시 쓴다 ㅋ,210,5,3
38,2022-07-08 08:41,굳이 호재라고 할건 아니지만,184,0,2
39,2022-07-08 00:10,실적으로 보나  기업 가치로 보나,590,6,2
40,2022-07-07 23:42,주가가...,160,2,1
41,2022-07-07 23:16,나스닥 선물이 폭등중이다.,183,0,1
42,2022-07-07 23:14,윤대통령  만세!,184,3,11
43,2022-07-07 22:21,윤짜장,102,6,2
44,2022-07-07 20:20,물건은 잘팔려서,147,2,2
45,2022-07-07 20:05,미친 윤정부,201,14,6
46,2022-07-07 19:26,올리고올리고올린다.,109,0,1
47,2022-07-07 19:19,올리고  올리고.,88,0,1
48,2022-07-07 18:36,단기10만원까지도..,110,0,0
49,2022-07-07 17:58,16만 언제 오나,137,2,0
50,2022-07-07 15:57,오르는것도 대통령님 탓이냐?,408,12,12
51,2022-07-07 15:52,이게 다 윤석열 대통령 덕이다,246,6,12
52,2022-07-07 15:28,한번 이베스트 반대매매 가봅니다 ㅋ,220,4,0
53,2022-07-07 14:55,여기가 보살들 계신 그곳이 맞나요?,213,0,0
54,2022-07-07 14:28,주가전망 2,290,3,0
55,2022-07-07 13:19,공매도 때려잡기 좋은날.,280,2,1
56,2022-07-07 12:57,오늘 주가 왜 오르냐?,295,7,3
57,2022-07-07 12:47,아무레,174,2,0
58,2022-07-07 12:39,정치충들이 훈수두면 뭐다?,175,1,1
59,2022-07-07 11:47,또또 반등하는척 한다,322,5,1
60,2022-07-07 11:47,에휴 그래도 희소식인데 ㅡㅡ,322,3,2
61,2022-07-07 10:29,16만에 물려서 해탈중인데,640,7,0
62,2022-07-07 09:57,블핑 컴백한다더라 광고하나줘라,389,1,2
63,2022-07-07 09:18,최소...,520,3,4
64,2022-07-07 08:59,목표주가에 대하여,366,5,2
65,2022-07-07 08:41,아모르 아모르 파튀~~,153,1,0
66,2022-07-07 08:39,오늘 제대로  폭락하겠네 ~~,173,1,0
67,2022-07-07 07:24,중국 수출시대가 끝나긴 뭘끝나 무식한  ...,303,6,2
68,2022-07-07 06:44,선생님,168,2,0
69,2022-07-06 22:09,올해,339,2,3
70,2022-07-06 22:08,아모레,113,0,1
71,2022-07-06 21:52,윤석열 보유국의 아모레...,133,4,3
72,2022-07-06 21:50,올랐다.,94,0,1
73,2022-07-06 21:27,나라가 망해간다,122,4,2
74,2022-07-06 19:15,이쯤 되면 IR가서 소액주주 엿먹이려고,105,1,0
75,2022-07-06 18:32,아모레 20만원 언제?,382,0,2
76,2022-07-06 18:06,와..진짜  요놈씨.키.?이 로 대가팍이...,108,1,1
77,2022-07-06 17:10,안끝났다,155,1,0
78,2022-07-06 16:54,뉴스,148,0,1
79,2022-07-06 16:02,항상 오늘이 최고가다,190,9,2
80,2022-07-06 15:30,2번행님이 탈중국한다자네,168,2,7
81,2022-07-06 15:15,"尹정부 ""희토류 탈중국"" 선언",283,6,5
82,2022-07-06 15:14,너도다시,142,2,0
83,2022-07-06 15:09,중국이 일본과 다르게 한국에는 우호적임,185,4,2
84,2022-07-06 13:37,탈중국에 대한 대안을 제시해봐라,320,26,6
85,2022-07-06 14:51,답글:전세계 어느나라도  탈중국 대안은  없음...,263,2,3
86,2022-07-06 13:05,장기적으로 탈중국 효과 반영,281,5,12
87,2022-07-06 12:08,이섹히는 왜 쳐오르는거임?,288,3,0
88,2022-07-06 11:11,"큰손 개미들이 붙었구만,,,, 주가는,,...",290,1,2
