,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-10 00:17,LIKEBEE 네이버에,52,2,0
1,2022-07-08 14:48,유한 양갈보 양행 파이프라인 실패했나보군,320,4,6
2,2022-07-08 13:52,ㅂㅅ  오늘도 일 질질싸고있네 ㅠㅠ,272,4,3
3,2022-07-08 09:48,금일오전 공매도 7월6일 데자뷰?,342,3,1
4,2022-07-08 08:18,"상한가  나올시점  ㅡ 외국인, 기관  ...",457,1,4
5,2022-07-07 21:09,칭구cera야 기분 나쁘진 않지?,251,0,3
6,2022-07-08 14:52,답글:칭구cera야 기분 나쁘진 않지?,232,0,1
7,2022-07-07 20:32,매출 그저들어오겠네요,239,2,1
8,2022-07-07 19:59,공매도 얼마만인가 3%?,229,2,2
9,2022-07-07 17:53,이야 대차봐라,195,1,1
10,2022-07-07 12:42,무증해라ㅡㅡ,286,6,2
11,2022-07-07 11:46,아주 빙신 삽질 하네,331,3,2
12,2022-07-06 10:52,cs 골드만jp모건 맥쿼리,520,8,3
13,2022-07-06 09:29,연기금 OOO들의 패대기,289,5,1
14,2022-07-06 08:38,기사 공유,331,2,0
15,2022-07-05 23:40,?거니는  당장  공매도  6개월 금지하...,169,3,0
16,2022-07-05 16:25,시총봐라 악장수 게쓰레기,203,4,1
17,2022-07-05 12:44,오늘도,256,4,1
18,2022-07-05 10:22,오전 공매도 주포 골드만~,424,3,2
19,2022-07-05 09:42,상폐,244,3,1
20,2022-07-05 02:00,cera야~~~,280,1,0
21,2022-07-04 22:55,1년후 뉴스,276,0,3
22,2022-07-04 16:20,여기 왜있노,481,2,11
23,2022-07-04 14:31,오늘도 변함 없이,322,7,0
24,2022-07-04 12:35,무증해라 ㅡ,467,7,2
25,2022-07-04 11:26,나같으면 변동없는,248,1,4
26,2022-07-04 10:32,지수,248,1,2
27,2022-07-04 10:13,맥쿼리는 숏커버링중?,318,7,1
28,2022-07-03 10:45,유한양행 지표,442,1,3
29,2022-07-02 09:47,유한양행 목표주가 (저평가우량주 종목 고...,651,6,0
30,2022-07-01 23:51,공매도3일간 한자리  그러나 오늘 다시 ...,285,2,5
31,2022-07-01 11:54,오늘도 엘지에너지솔루션,337,3,0
32,2022-07-01 09:57,유한양행 목표주가,482,2,6
33,2022-07-01 00:36,[세계화실체 그리고 공매도신디케이트..인...,222,0,0
34,2022-06-30 23:59,"■전진바이오팜,4700원",289,0,1
35,2022-06-30 17:41,엘지에너지솔루션을 보면 만족,253,7,0
36,2022-06-30 16:03,세상의 1% 부자들은,376,1,3
37,2022-06-30 12:06,단거리선수들 불나방 팔랑개비들은 우야든둥...,234,0,2
38,2022-06-30 11:11,JP모건+신한 또 장난질 ㅠ,353,5,2
39,2022-06-30 06:27,꽁매,310,3,0
40,2022-06-30 01:16,아마츄어 바이오 동아리,221,0,0
41,2022-06-29 15:57,주인 없는 회사,292,2,1
42,2022-06-29 14:33,유한양행에 화장지 천연펄프값 올라가는거,290,1,2
43,2022-06-29 11:39,cera야 잘지내니?,286,0,2
44,2022-06-29 11:36,단거리선수들 불나방  팔랑개비들은  우야...,191,0,4
45,2022-06-29 09:28,[자본시장감독 첫과끝은 호가거래조사이다!...,166,0,0
46,2022-06-28 17:47,돈벌고 싶은자 유한을 사라,355,4,4
47,2022-06-28 09:33,[MSCI캐치프레즈걸어놓고 코스피공정따위...,241,0,0
48,2022-06-28 09:13,공매도 주포 모건형제 출현 조심하세요 ㅠ,285,2,3
49,2022-06-27 18:59,유한양행 목표주가,932,3,7
50,2022-06-27 18:12,제발 공매도 추이를 보고 매수하시길 ㅠ,432,4,2
51,2022-06-27 15:58,유한양갱....,252,1,0
52,2022-06-27 15:05,오늘 왜그랫 낼은 크게,261,1,5
53,2022-06-27 14:56,넌?,177,0,0
54,2022-06-27 14:43,불쌍한 주주들 ㅋㅋㅋ,316,4,1
55,2022-06-27 14:03,유한은 시간싸움 30프로 안전마진,310,4,3
56,2022-06-27 13:14,렉라자 망했나요?,493,6,4
57,2022-06-27 12:07,조욱제 이놈!!! 주주를 졸로 보냐!!!,384,14,0
58,2022-06-27 10:27,답글:[삭제된 게시물의 답글]오후   ㅡ   ...,1048,0,0
59,2022-06-26 21:14,[물가인상으로경기침체맞지말고vs물가억제로...,230,1,0
60,2022-06-26 17:27,주가관리 못하는 경영진은 다 때려쳐라(냉...,252,2,0
61,2022-06-26 01:56,[호랑이가죽..인간은죽어 자동차와아파트를...,240,0,0
62,2022-06-24 23:49,유한양행,462,2,1
63,2022-06-24 09:40,윤짜장대단하다.,831,24,20
64,2022-06-23 20:19,이제야 언론과 카페에서 공매도 문제를 ㅠ,580,7,2
65,2022-06-23 16:17,꽁매승,184,3,0
66,2022-06-23 15:37,석열이가 대한민국 증시 다 말아먹는구나,442,31,14
67,2022-06-23 14:30,양행,171,0,0
68,2022-06-23 12:39,"여긴 ,,, 1년이 지나도 100원띄기 ...",213,3,0
69,2022-06-23 11:01,답글:[삭제된 게시물의 답글]문재인이 퍼질러놓...,1156,8,2
70,2022-06-22 23:21,엉클 죠 바이든 묘수인가?,207,2,2
71,2022-06-22 20:04,공매도에 또 당하셨습니까?,330,1,5
72,2022-06-22 16:50,먹방 유튜버 대통,227,5,2
73,2022-06-22 14:26,연기금 개x끼들,317,9,1
74,2022-06-22 11:14,어허 참나,376,2,2
75,2022-06-22 09:34,제자리네~,414,9,0
76,2022-06-21 17:47,식약처 임상승인.독점권은 유한양행.,628,18,1
77,2022-06-21 12:36,이 쓰레기 보다 못한 회사야,295,15,1
78,2022-06-21 10:02,역시 오늘도 공매도 꼬시기 ㅠ,184,2,0
79,2022-06-21 09:28,상폐만이 유한이 살길이다,222,3,5
80,2022-06-21 09:24,지금들어가면 안돼는이유?,378,6,2
81,2022-06-20 19:17,3상 발표예상,824,14,5
82,2022-06-20 16:39,말그대로....,261,1,0
83,2022-06-20 15:06,유한양행사랑해,364,6,1
84,2022-06-20 09:58,오늘도 OOO,335,7,1
85,2022-06-18 00:34,[여성들에대한 깊은이해는 그사회의성숙도의...,425,0,7
86,2022-06-17 18:41,금리인상구간에,483,0,0
87,2022-06-17 16:20,바닥을 기고있는 것은 사실이지만,782,2,6
88,2022-06-17 09:52,또 시작 꼬시기 & 외국계 매도세력들 등...,393,2,3
89,2022-06-16 23:02,아직도 이주식 보유개미들,697,6,9
90,2022-06-19 02:00,답글:아직도 이주식 보유개미들,1064,0,0
91,2022-06-16 19:04,조욱제씨! 글로벌 50위는 언제하나요?,367,4,8
92,2022-06-16 16:38,보셨나요? 공매도세력 장난질 ㅠ,457,4,1
93,2022-06-16 12:57,유한 조욱제는 사퇴해라,340,12,4
94,2022-06-16 12:42,목요일은 먹이 너무 타서...한잔해야징,181,0,0
95,2022-06-16 10:48,쓰레기 회사,242,5,2
96,2022-06-16 09:39,이 회사 무엇보다도 경영실적이 너무 엉망...,362,3,3
97,2022-06-16 06:38,공매도와 대차잔고 심각한상황 ㅠ,294,2,2
98,2022-06-15 22:36,"코스피, 코스닥 중장기 단계별 지지선 분...",186,0,0
99,2022-06-15 19:20,오늘은 셀트리온  빠져서 빠진것임,249,4,1
100,2022-06-15 14:26,진짜 적당히해라,422,11,2
101,2022-06-15 13:37,시총 3조대 진입,257,1,0
102,2022-06-15 10:02,이거 배당주 아니야?,809,5,2
103,2022-06-15 08:56,조가튼 개악주,277,4,0
104,2022-06-15 00:27,[신냉전맞아 자유민주세계다짐이 비열한자본...,201,0,0
105,2022-06-14 16:10,음~~,407,2,5
106,2022-06-14 15:17,조욱제가 대표이사 되고,412,11,0
107,2022-06-14 10:05,[인간사회는 정글같은 힘의논리사회가아니다...,231,1,1
108,2022-06-14 10:00,고점에서 잘 들 팔았는가 ㅋㅋㅋ,521,1,6
109,2022-06-14 09:30,회복하는중,237,0,3
110,2022-06-14 00:12,3만8천원쯤,372,2,3
111,2022-06-13 15:48,이게 공매도의 위력입니다 ㅠ,430,4,2
112,2022-06-13 15:30,[결과 다나온거가꾸 으째대네 씨부렁씨부렁...,193,0,0
113,2022-06-13 14:45,유한 우 랑 시세연전,192,0,0
114,2022-06-13 01:27,[WeAreTheWorld-KoreaCo...,255,0,1
115,2022-06-12 19:45,특정 국가출신 외국인 유권자 민심 왜곡,295,2,5
116,2022-06-12 05:31,"22~23년 코스피, 코스닥 지지선 예측",476,1,2
117,2022-06-12 05:25,"다우,나스닥,S&P 지수 예측",262,0,0
118,2022-06-12 01:34,월요일 테마,390,1,0
119,2022-06-11 21:31,공매도를 봐야만 하는 이유,381,3,0
120,2022-06-11 16:20,20만원 가자며 !?,339,3,1
121,2022-06-11 10:56,"주식농부가 되어, 씨앗을 뿌리자!",267,0,0
122,2022-06-11 09:24,월요일 상승을 기대합니다 !,493,0,0
123,2022-06-10 19:53,공매 및 하락에 대한 생각,531,15,3
124,2022-06-10 18:13,이미지 쇄신하세요,180,0,0
125,2022-06-10 15:24,"다음주 53,000",396,1,5
126,2022-06-10 14:19,ㅋㅋ 무슨회사망한것도아니고,396,8,2
127,2022-06-10 12:54,손절ㅠㅜ,468,11,0
128,2022-06-10 11:56,54500-56000원 까지는 열어놔야겠...,384,4,4
129,2022-06-10 09:53,가자,296,10,0
130,2022-06-10 07:57,다우나스닥 ㅡ개박살  ㅠㅠ났다,345,3,2
131,2022-06-10 05:38,제발 공매도 추이 좀 보고 매수하세요 ㅠ,521,9,5
132,2022-06-09 20:35,지독한 박스권 돌파는 언제?,275,1,0
133,2022-06-09 17:48,머지 ㅡ막판  40 억넘은매수는,509,3,0
134,2022-06-09 15:06,먼회사가 항상 그자리고ㅡ매수한 네가 잘못...,246,2,1
135,2022-06-09 11:35,OOO 회사,249,6,1
136,2022-06-08 21:05,[나라가매냥시끄러워야하는게 금융주의위해선...,226,0,0
137,2022-06-08 18:17,공매도 5일연속 급증(개미절대매수금지구간...,382,3,4
138,2022-06-08 17:57,목표가 조정,335,2,3
139,2022-06-08 15:29,별 일 다 있네,454,1,3
140,2022-06-08 15:08,간다   상안가ㅡㅡㅠㅠㅠ,182,0,0
141,2022-06-08 15:02,가보자 ㅡ우리도,146,0,0
142,2022-06-08 14:08,공매도 정리 좀해라!,200,1,0
143,2022-06-08 11:56,개 쓰레기 회사,403,9,2
144,2022-06-08 11:14,너무 심하네,233,4,0
145,2022-06-08 10:49,하락 1등주,298,9,0
146,2022-06-08 09:50,주가하락시키는 공시 만발 개악주,302,8,0
147,2022-06-08 08:03,코로나와 동급 격상 원숭이두창 관련주 진...,280,0,0
148,2022-06-08 07:58,슬슬 공시 나오네 ㅡㅡ가보자   상안가,221,0,0
149,2022-06-07 19:51,계속 말씀드렸듯이 개미 매수세 강함 ㅡ ...,252,1,0
150,2022-06-07 19:02,기관놈의 자슥들은 투자의견은 높게 발표하...,197,5,0
151,2022-06-07 15:41,당분간 절대 추매 금지,278,6,1
152,2022-06-07 15:32,역시 개기금 세키들,225,5,0
