,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-09 20:54,7월  초인데 수주 목표인 22조 500...,429,4,0
1,2022-07-09 20:07,"■■ 사회,공산주의 민주당과 국제관계",337,1,2
2,2022-07-09 12:33,이준석의 증거인멸 교사범죄 들통!!,528,0,0
3,2022-07-09 04:29,겨우 20% 조정받은 것 뿐인데,869,0,0
4,2022-07-09 00:23,LIKEBEE  네이버에,1036,2,1
5,2022-07-08 22:00,"현대삼호중공업, 연내 상장 안한다고 합니...",1250,7,5
6,2022-07-08 20:46,국내 멧돼지는 누가 처리하냐~,746,10,2
7,2022-07-08 18:43,배당은 계속 없었나요 ?,903,3,1
8,2022-07-08 18:20,지친다,677,0,0
9,2022-07-08 17:18,2차전지 투자하고 싶은데...,890,6,2
10,2022-07-08 16:50,시외빠질거같드만,726,0,0
11,2022-07-08 15:23,망했다...망했어..이주식 50만원 오긴...,1108,8,5
12,2022-07-08 15:18,올해 주총때 가삼현이 자사주 매입과 배당...,860,15,2
13,2022-07-08 15:13,나스닥선물 ㅡ하락중ㅡ다음주 옵션,742,0,2
14,2022-07-08 14:57,피용신 18  조선해양,785,5,1
15,2022-07-08 14:40,현중보다 한조에 비중을 더 가져간 이유....,1230,21,1
16,2022-07-08 14:37,징징 거리니까~~,754,1,0
17,2022-07-08 14:31,현대미포는 1척 수주해도~~,901,2,0
18,2022-07-08 14:28,수주한 배가~~,725,0,1
19,2022-07-08 14:13,이렇게 푸대접,822,3,0
20,2022-07-08 14:04,내가털면 갈거같은디,709,0,0
21,2022-07-08 13:59,권오갑 정기선은 간접살인자들임,750,5,1
22,2022-07-08 13:52,다음주 금요일 실적 발표나고 반등 할듯 ...,822,3,0
23,2022-07-08 13:43,합병해라,815,4,0
24,2022-07-08 13:18,8퍼 폭락할땐 죽어라내리더니,772,3,0
25,2022-07-08 13:11,LNG선 10척을 수주했는데,846,2,0
26,2022-07-08 12:58,사기꾼 정몽준 개~같은 쌔ㄱ끼,819,11,0
27,2022-07-08 12:42,여기도 총 맞으면 호재,869,6,2
28,2022-07-08 12:38,권오갑 정기선은 아베보고 느끼는게 없나?,831,9,1
29,2022-07-08 12:36,아베사망,855,4,3
30,2022-07-08 12:19,오갑이가 년말까지 한조 없에고ㅡ,860,1,0
31,2022-07-08 12:05,이걸 떨구네 와,829,5,0
32,2022-07-08 11:52,한국에 유독 악랄했던 아베가,820,1,0
33,2022-07-08 11:49,아비커스 현대글로벌서비스 한조로 가지고 ...,813,5,0
34,2022-07-08 11:47,한국조선해양,825,9,0
35,2022-07-08 11:37,한국조선해양 심심해...,813,9,0
36,2022-07-08 11:35,한국조선해양 심심한데...,790,5,0
37,2022-07-08 11:34,권오갑 또라이 대우인수가비극시작,787,6,1
38,2022-07-08 11:30,그룹에서 한조 지우기시작,860,1,2
39,2022-07-08 11:27,악재만 반영하는 이유가 뭐야,857,1,0
40,2022-07-08 11:24,향후 호재투성이에,799,2,0
41,2022-07-08 10:28,악재만 찾아 다니는 주식,861,8,0
42,2022-07-08 10:26,마구마구,892,2,0
43,2022-07-08 10:24,미포가 뒤집을듯.ㅎ,826,3,2
44,2022-07-08 10:19,이 잡주는 누구든 믿으면 안됨,806,1,1
45,2022-07-08 10:16,자사주 매입 공약 시행해라.,843,11,0
46,2022-07-08 10:16,코스피 3천 못가면 10만 돌파 불가.,743,0,1
47,2022-07-08 10:04,2023년 2024년 주도주가 조선업 이...,842,2,1
48,2022-07-08 09:27,대호재,951,7,0
49,2022-07-08 09:20,답글:[삭제된 게시물의 답글]와 매도물량 올려...,882,0,0
50,2022-07-08 09:09,한조는 현중의,785,0,0
51,2022-07-08 09:00,원인이 유가 였는지 오늘 한번 보자..,883,2,0
52,2022-07-08 08:45,철광석 철강 가격하락,819,0,1
53,2022-07-08 08:21,수주 잘하고 후판가 떨어지고,868,5,1
54,2022-07-08 08:18,■인기급증■윤쩍벌 양복바지 미스터리영상,837,1,1
55,2022-07-08 08:06,한조해.LNG액천가.운반선10척수주.,876,4,0
56,2022-07-07 22:31,어제 3000주,1133,4,0
57,2022-07-07 22:19,유가다시 급등하는데...,910,5,1
58,2022-07-07 21:53,"윤석열,대통령실 직원들의 문제제기도 묵살",596,15,8
59,2022-07-07 21:59,답글:윤두창은 왜 그러는지 모르겠군요,626,6,4
60,2022-07-07 21:12,지친다,538,0,1
61,2022-07-07 19:44,떨어지면 사,567,0,0
62,2022-07-07 19:17,경기침체와 부동산 하락,600,1,0
63,2022-07-07 19:09,돈만 많으면,573,0,0
64,2022-07-07 18:37,민노총 불법행위 단속하면  총파업돌입,578,3,1
65,2022-07-07 17:58,조선주중에제일ㅆㄹㄱ,620,3,0
66,2022-07-07 17:12,초대형 LNG선박 발주가 안 나오는 이유,712,0,3
67,2022-07-07 16:11,하...,658,4,0
68,2022-07-07 16:01,하청노조 불법파업에 *철저한수사*요청,646,2,1
69,2022-07-07 15:43,이 잡주는 임원만 좋은 회사.ㅎ,652,1,1
70,2022-07-07 15:25,금감원장 공매도 감시 강화하겠다더니,649,4,1
71,2022-07-07 15:16,수주 소식에 유가 오르는데..,687,2,0
72,2022-07-07 15:11,공시를 몇군대라 띄우는거야,610,0,0
73,2022-07-07 15:04,정기선 가삼현 권오갑이...,647,12,1
74,2022-07-07 15:02,참 현중 족보가 OOO 족보니,619,7,0
75,2022-07-07 14:59,왜 비실거림,573,0,0
76,2022-07-07 14:51,어제 8% 떨궜으면,681,6,0
77,2022-07-07 14:34,보수인데.. 석열이형 뭐하냐..,633,1,1
78,2022-07-07 14:19,한마디,657,1,0
79,2022-07-07 14:00,오너리스크 망조가 이미 들었음,658,2,1
