,날짜,댓글,조회수,좋아요,싫어요
0,2022-07-10 01:51,8월부터?,64,0,0
1,2022-07-10 00:47,전기차,131,0,0
2,2022-07-09 23:46,문재인이 불안해 하는 이유,186,1,2
3,2022-07-09 22:55,현대차 테슬라 넘어라~,204,0,0
4,2022-07-09 22:34,현기차 노조 실태,271,0,0
5,2022-07-09 22:09,곧 반도체 풀린다고 한다,298,0,0
6,2022-07-09 21:57,[아편전쟁인가??],223,0,1
7,2022-07-09 21:36,주주들에게,240,0,1
8,2022-07-09 21:20,기업이성장한거맞는데,326,0,0
9,2022-07-09 20:34,윤가는,289,5,2
10,2022-07-09 20:06,한미 금리 역전 해도 답이 없다,325,5,1
11,2022-07-09 19:10,냐 아이오닉은 언제 나오는거야,288,0,0
12,2022-07-09 16:03,벌써 2년이 되었네........,585,5,6
13,2022-07-09 15:44,대출많은 강남빌딩 가진 월 1억 버는 놈...,511,1,0
14,2022-07-09 15:34,날씨  선선해지면 파업한다,435,1,0
15,2022-07-09 15:22,7월8일 김대통령 공식일정,540,9,0
16,2022-07-09 15:22,9월말 50만원 나만 보이냐?,514,0,6
17,2022-07-09 13:52,대통령이라는 작자가 바지를 꺼꾸로입고 ~,640,9,2
18,2022-07-09 13:28,지금쯤 세계 정보기관이나 각대사관들은 ~,538,3,2
19,2022-07-09 13:21,주술의 나라가 되었네 ~,580,6,3
20,2022-07-09 11:58,현기차 미국 리콜 30만대 ㅋㅋㅋ,1025,1,7
21,2022-07-09 12:33,답글:[삭제된 게시물의 답글]현기차 미국 리콜...,593,0,0
22,2022-07-09 11:48,아이오닉6  전면부,549,1,0
23,2022-07-09 11:31,그런 촉이라면 주식 접어라,544,1,2
24,2022-07-09 11:01,8월 MSCI 일정 및 편입 편출 종목 ...,638,1,1
25,2022-07-09 10:46,금리랑 집값이랑 상관없다면서요,636,1,0
26,2022-07-09 08:24,이준석의 증거인멸 교사범죄 들통!!,720,4,3
27,2022-07-09 08:07,빨갱이,618,3,1
28,2022-07-09 02:25,전기차는 오픈카(컨버터블)다. 이유는 배...,821,1,0
29,2022-07-08 23:55,"현기년! 목따러 中 BYD, 한국 상륙하...",889,2,1
30,2022-07-08 23:46,미국 금리 3.75까지 상승하면,904,3,3
31,2022-07-08 23:00,질질질 하락하는 종목은,657,0,2
32,2022-07-08 22:56,영국인 식품구매,636,0,0
33,2022-07-08 22:41,[송도신도시에 사우나에서 탕안에중년들이아...,721,0,0
34,2022-07-08 22:18,ㆍ,629,3,0
35,2022-07-08 22:16,9월말 50만원 나만 보이냐?,756,1,4
36,2022-07-08 22:02,현대 PBV차 언제나온가요?,640,0,0
37,2022-07-08 21:00,테실라 잡으러~,686,5,3
38,2022-07-08 20:31,스탈린은자신의 눈을 응시하지 않고 말을 ...,701,1,1
39,2022-07-08 20:25,영업이익의30퍼를왜 노조한테줘야하나요?,915,13,0
40,2022-07-08 19:28,오너마인드.....,680,0,0
41,2022-07-08 19:04,쌍용차 살걸...,703,0,0
42,2022-07-08 19:02,이제 중고차 살만하겠네,747,3,0
43,2022-07-08 18:06,현대차 쓰래기 노조가,899,24,1
44,2022-07-08 17:47,결국 상승세 수순임 팩트!,805,5,2
45,2022-07-08 16:30,테슬라 살걸...,816,1,1
46,2022-07-08 15:47,연말30만원 나만보이나???,1192,1,8
47,2022-07-08 15:44,줄을 서시오~!!!,818,1,1
48,2022-07-08 15:40,잡주,743,0,0
49,2022-07-08 15:16,파업,811,0,0
50,2022-07-08 15:14,[허구를믿는능력vs절차와단계를믿는능력]],739,0,0
51,2022-07-08 14:51,자사주5천억취득현대기아그룹납품호재공시나온,950,2,0
52,2022-07-08 14:47,헐 시바 대박~아이오닉6 주행거리 500...,1198,11,2
53,2022-07-08 14:44,하나님,882,6,2
54,2022-07-08 14:42,와꾸나!와써!드디어!,839,1,0
55,2022-07-08 14:29,"후회하지 말고, 반등시 주식비중 줄이세요",883,4,0
