,정제된 댓글,label
0,오늘도 좋은 하루되세용,1
1,빨개이들 선거 져서 분노표출,0
2,애써 들여다보지 말라 부정을 보았다면,0
3,좋은 뉴스는 많은데,1
4,짜증나네 천주 사자마자물리네,0
5,충격 적인거,0
6,년은 홍어 섬멸의 해,0
7,동학 개미 결국 눈물로 끝날 것 억,0
8,이재명 두렵다,0
9,이스라엘 코로나 환자 명 미만 작,0
10,미장도 좋고 필라델피아 지수도 좋은데,1
11,고작 원,0
12,윤석열 지지계층 강남 구 갑부 만,0
13,보수도 진보도 모르는 것들이,0
14,정부가 대문관리를 잘 해야지,1
15,세계 최악의 전범국은,0
16,북한 윤 취임 축하,1
17,우리 모두 문재인대통령님을 사랑합시다,1
18,문재앙 민주당 지지하면서 주가 내려갔다고,0
19,미국은 미친 영감 한마리 때문에 개박산,0
20,야당도 있어야 제대로 된 국가야,1
21,미안하고 고맙다,1
22,전 민주당 지지자입니다,0
23,떨어지믄 추매재미 올라가면 수익재미,1
24,배은망덕 최재형 도리도리 윤짜장,0
25,비트코인이 계속 오를까봐 걱정된다,0
26,니들 공모주 초딩들 함부로덤비지마 초대,0
27,이재명 지사님 지지해주세요,0
28,좌빨 대깨문들의 특징,0
29,부진은 있지만 몰락은 없다,0
30,가장 무서운,0
31,취임 개월 부정 평가 신기록이네,0
32,안쓰럽다,0
33,충격 선관위 불법 선거사무소 곳,0
34,삼성전자 배당기준일 년꺼 싹다 정,1
35,공포에 사라,0
36,미국은 잘 도 가네,1
37,쩍벙이 지지하면서 여기 있는,0
38,부동산 폭락해 주식 폭락해,0
39,일본에 더 이상 신풍 가미가제는 없다,0
40,개독들은 무당 더 좋아 한다,1
41,미친 주식시장,0
42,민노총 봐주기가 결국 화를 부르는구나,0
43,이재명 명복 빈다 조속히 특검 추진해,0
44,이재명이 많이 해,0
45,문재인 대통령님 감사합니다,1
46,속보 불법공매도 처벌 강화,0
47,어느 대깨문의 고백,1
48,아무래도 지구 종말이 다가온는거 같다,0
49,문재인 조화받은 박원순의 실체 좌파영웅으,1
50,개미 지옥,0
51,공매도 금지 말고는 방법이 없다,0
52,노무현 대통령 최고의 명연설,1
53,살아있는 지옥 대,0
54,문재인 대통령님덕,1
55,확실한건 상방은 자잘해지고,0
56,뭐 서민 피해,0
57,가 어떤 회의를 할지 기대가 된다,1
58,아직도 더불어공산당 지지하는 짐승같은것들,0
59,월요일 기대되네 회복,1
60,죄명이를 음청 좋아하지는 않지만,1
61,하반기 실적 부진 예상,0
62,윤석렬 국힘 지지자들 댓글보면,0
63,삼성전자 주주들은 스스로 부끄러움을 알아,0
64,오늘 나스닥 하락인데도 애플은 잘 버티는,1
65,세계대공황 곱하기 배 충격,0
66,반도체 생산력 강세 만원,1
67,종가 악마가 나오지 않길,0
68,헛소리 집어치우고 금리나 대폭,0
69,선동 거짓말 날조 내로남불 적폐 토착왜구,0
70,단독 충격,0
71,삼성잔자 이거 진짜 중요해,0
72,윤재앙아 공매도라도 정지시키라고 미친,0
73,기관형들 점심시간 시까지다,0
74,차트 볼줄 모르는 애들은 지금 산다,0
75,대주주의 횡포에서 우리를 보호하기위해,0
76,전라도 함부로 야,0
77,한국은 희망이 없은 나라,1
78,떨어져도 좋다,1
79,남조선에서 성공할려면 입닫고 살아라,1
80,가만히 있는 중국 뒤통수를 왜 때려,0
81,나경원 아들딸 입시비리는 누가 보호해 주,0
82,걱정이네요 평단 인데,0
83,삼성전자가 발전할 수 있는이유는 의사파업,1
84,징그럽다 자본주의,0
85,재벌해체하자는 깡패 지지율,0
86,삼전지옥,0
87,국회에 거짓말 탐지기 설치 추한애 조,0
88,저는 삼전 더살려구요,0
89,난세의 영웅 허경영,1
90,돈 가치,1
91,재명이형 이제 감옥 가야지,0
92,를 잊은 기업에게 미래는 없다,0
93,원 주 또 추매 성공,1
94,양키형들 겁나게 파는구만,0
95,민주당 지지자라면 봐주세요,0
96,부자에게 관대한 나라,1
97,추미애 아들 평창 통역병 시켜라 국방,0
98,찍녀들아 도박 빚 갚아,0
99,주식시장 재난,0
100,문재인 대통령님 업적,1
101,강추 종목입니다 잡아두세요,1
102,무기력한 뭉가정권,0
103,오세훈이 보다 박영선이 방역을 잘 할 것,1
104,늬들 잘하는 주가 조작이라도 해라,1
105,스페인과 비슷한 수준의 꿍민소득,1
106,염블리 믿고 삼전 몰빵,1
107,기본소득,1
108,나라 망할 전조 현상,0
109,저가 매수 성공,1
110,여기서 떨어지면 다 손해야,0
111,공포다,0
112,내끼니를 걱정하는 사람은,0
113,팔아줘서 고맙다,1
114,경상돗놈들은 부패,0
115,개미들은 떨어지면 멘붕이라 조언도 안보고,0
116,재용이는 진정으로 해낼 수 있을까,1
117,모르는 것은 부끄럽지 않지만,0
118,도 모든 공기업은 민영화 시키려고 애,0
119,누가 이 여자를 맞이해 줄 것인가,0
120,윤석열 대통령 당선인 인기 상한가 폭등,1
121,전과 범 이죄명 백현동 옹벽아파트 배임죄,0
122,파운드리는 그냥포기해 애플물량이없는파운드,0
123,원 지지해주느냐가 관건이다,0
124,갤 기대됩니다,1
125,지지율 올릴려고 공안정국 조성과 사정정국,0
126,민주당 주사파의 사상을 알아야 대북정,1
127,문죄인은 악마다,0
128,정호영 아들은 당당하게 다시 검사해 증명,0
129,문재인 이순신 친일파을 모조리 때려잡,0
130,삼전을 때려잡고 있으니,0
131,패거리의 한계 국힘 언론 재계,0
132,솔직히 민주당은 무식해 자기들 키운,0
133,법제조쟁이가 국민을 노예 가축으로,0
134,주가 하락 세계 위 공매도 수익 세계,1
135,티켓팅 끊고 갠히 초반부터,0
