날짜,댓글,조회수,좋아요,싫어요
2022-07-11 13:25,13 만원에 9000주  13만 1000...,1,0,0
2022-07-11 13:22,정부가  대중국 관련 수출 비중이높은 회...,3,0,0
2022-07-11 13:11,해뜰날,25,0,1
2022-07-11 12:54,윤정부 참 일 잘한다.,37,1,1
2022-07-11 12:49,오늘샀는데 물렸어요,34,0,1
2022-07-11 12:28,중국  무역제재 착수할듯,82,4,1
2022-07-11 12:02,송혜교 가 모델이네 너무 이쁘다  ★♥,87,1,5
2022-07-11 11:22,[코스피월봉패턴::21년6월정점이후 7월...,138,0,0
2022-07-11 11:06,뭐야 오늘 상폐하는날이야?,72,3,1
2022-07-11 10:13,초등학생도 아는  2분기 중국봉쇄로인한,148,2,2
2022-07-11 09:47,방역까지 강화하면,119,2,1
2022-07-11 09:26,너무하네,261,5,4
2022-07-11 08:20,으흠 13일이 다가오고 있군요,342,4,1
2022-07-10 23:50,[지수폭락시즌때 SuperFall vs ...,151,0,0
2022-07-10 16:01,24만원일때 사서 21만원때 팔았었는데,637,3,0
2022-07-10 08:56,4만원 정도면 살만할듯,564,9,1
2022-07-10 08:03,12만 가즈아아아아,288,5,0
2022-07-10 06:43,7조는 ?,296,2,0
2022-07-10 02:02,삼시세끼도 힘들다,305,2,0
2022-07-09 22:35,[썩은고구마에참기름발르면 코구마되냐??],171,0,0
2022-07-09 17:12,"탈중국, 선제타격 합니다. 멧돼지",226,4,2
2022-07-09 17:03,여기 PER이 50밴데 에스티로더가 PE...,363,4,0
2022-07-09 15:20,7월8일 김대통령 일정,462,14,4
2022-07-09 14:57,환율 상승에 주식반등 믿기 어렵다.,225,3,0
2022-07-09 08:56,주가가 떨어져서 저평가인줄알지만,396,3,2
2022-07-09 08:41,개인투자가 공매도참여증가세,201,2,0
2022-07-09 07:54,코로나 다시 유행,410,5,1
2022-07-09 01:21,[자유민주진영은 전유엔미대사해리스기고문다...,178,0,2
2022-07-09 00:21,안 될놈은 죽어도 안 되는 겨,439,2,7
2022-07-08 19:35,엘생같이 미쿡이라도 진출혀라,112,3,0
2022-07-08 15:32,윤씨 임기동안 ?트됨,286,5,3
2022-07-08 13:52,예전에는,220,3,1
2022-07-08 13:20,ㅎㅎ 경기침체면 누가 화장품 쓰냐구?,424,2,1
2022-07-08 13:20,이놈만 파랗네,171,2,1
2022-07-08 13:15,다 빨간색인데 ㅎㅎ 너만 ...,167,3,1
2022-07-08 13:12,아베 문제 생기면 호재임?,158,0,1
2022-07-08 13:03,외교 참~ 잘하시는 윤재앙 정권 ㅋㅋ,233,16,3
2022-07-10 08:53,답글:외교 참~ 잘하시는 윤재앙 정권 ㅋㅋ,165,1,0
2022-07-08 12:59,오늘은 보합,150,1,1
2022-07-08 12:57,어린 노무스키도,150,4,0
2022-07-08 12:28,[지금은없는데 예전엔 테마주정리있었는데],130,0,0
2022-07-08 12:22,"난, 기권자인데 2찍님들 질문",225,7,3
2022-07-08 11:23,이제 별수없다~,326,2,1
2022-07-08 11:08,왕이랑 박진 만났다 ㅋㅋ,415,8,2
