날짜,댓글,조회수,좋아요,싫어요
2022-07-11 14:27,주가가 개차반이여,20,0,0
2022-07-11 14:10,무식한 윤땜,60,6,0
2022-07-11 13:54,사기꾼 그룹 정몽준 개~씨ㅂ쌔ㄱ끼,77,8,0
2022-07-11 13:37,빨리 팔고 나가야 하겄다~~,95,1,2
2022-07-11 13:34,우와~~,90,1,0
2022-07-11 13:30,ㅇㅇ ㅇㄹ신!,80,2,1
2022-07-11 13:29,같은테마 파업한 회사보다 더 밀림,88,4,0
2022-07-11 13:29,이번주 8만 아래  갈듯....폭락의 시...,90,1,0
2022-07-11 13:01,이젠 미포한테도 밀리겠네.,107,1,1
2022-07-11 12:55,82100원입성..떨어질때마다 물타기.,228,2,0
2022-07-11 12:35,ㅅㅂ 미포한테 따라잡히네,123,3,0
2022-07-11 12:27,■■민주당은 586 운동권 출신들을 모두...,125,2,5
2022-07-11 12:15,정말 개 ㅈ같은 종목이구먼~~,115,1,0
2022-07-11 12:14,간접 살인자들은 매년 배당 잘 처먹겠지....,112,1,1
2022-07-11 12:10,아 오늘이 그날인가.,183,5,0
2022-07-11 12:07,700원차이,126,0,0
2022-07-11 12:03,1800주 갖고 아주 고생한다,145,2,0
2022-07-11 11:55,유증을 하긴할거같습니다,295,1,1
2022-07-11 11:46,국산주식 너무한다,192,1,0
2022-07-11 11:44,와,133,1,0
2022-07-11 11:36,어느그룹이든 껍데기는 있다,150,3,0
2022-07-11 11:10,부정부패의 온상,237,6,2
2022-07-11 11:00,미포에 역전각이구나...,191,4,0
2022-07-11 10:53,ㅈㄹ도 풍년이네 진짜,240,9,1
2022-07-11 10:47,언제올라가???,183,4,0
2022-07-11 10:32,6천주 가지고있는데,274,4,0
2022-07-11 10:25,도대체 정부는 뭘하나..,328,5,1
2022-07-11 10:16,Eu가 대우 인수 파토낸게 고맙네.,264,1,0
2022-07-11 10:09,이미 미포에 밀린지 오래. 미포2018년...,261,1,1
2022-07-11 10:09,바닥 다지기하나..왜이래,215,2,0
2022-07-11 10:06,똥값수주로.. 배 만들수록  적자... ...,322,0,4
2022-07-11 10:01,한조 지금 코로나때가격인데 뭘먹혀..,218,1,0
2022-07-11 10:00,한조 주가 전망,234,2,0
2022-07-11 09:53,개인이 3일 순매수....올라가겠냐......,257,1,0
2022-07-11 09:52,미포한테도 씹히네,209,1,0
2022-07-11 09:37,"뉴스 ,,,,에   팔라고 했다,,,,,...",269,0,0
2022-07-11 09:31,경찰청앞 대우조선임원들  살려달라고  호...,249,1,1
2022-07-11 09:10,심하네ㅋㅋ,266,2,0
2022-07-11 09:06,진짜.ㅎㅎ,267,2,0
2022-07-11 08:22,상한가상한가,338,2,0
