날짜,댓글,조회수,좋아요,싫어요
2022-07-11 16:07,낼은 제발 이 이슈로 날아가 보자,10,1,0
2022-07-11 16:05,속보ㅡ금산분리규제 완화 될듯,10,0,0
2022-07-11 16:01,또 징징거린다,5,0,0
2022-07-11 15:45,눈에 보이는 조작,25,1,0
2022-07-11 15:42,"1,200원 올리고",25,1,0
2022-07-11 15:15,사면 불가,73,6,0
2022-07-11 15:05,가자 나락으로ㅋㅋㅋ,53,3,2
2022-07-11 15:00,삼성생명 이 가격대에도 쫄아서 매수 못하...,77,2,3
2022-07-11 14:53,뉴스 금산분리 조정,164,0,4
2022-07-11 14:48,요즘삼성관련주들 하나같이 주가노는 꼬라지...,62,1,0
2022-07-11 14:45,아무레도 암생길것같다.,51,5,0
2022-07-11 14:39,조작생명 삼전가격 까지 내렸네,71,11,0
2022-07-11 14:10,59층 붕괴5분전,103,1,0
2022-07-11 14:01,"꼬라지하고는, 참더럽게노네",67,4,0
2022-07-11 14:00,결국은 삼전하고 키맞추네..,104,4,1
2022-07-11 13:42,부지런히 떨구는구나,94,5,0
2022-07-11 13:42,쓰레기 2019년 배당 3년간 50%확대...,118,10,0
2022-07-11 13:39,또 지랄하네,71,5,0
2022-07-11 13:32,역대급 거래량 나올 듯,100,4,2
2022-07-11 13:23,이렇게 망하는구나,78,5,0
2022-07-11 13:17,상속승계,92,9,1
2022-07-11 13:11,조작타임이다,80,4,0
2022-07-11 12:57,개삼증,72,2,0
2022-07-11 12:13,현대차증권 목표주가 -20%하향 8만원 ...,181,6,0
2022-07-11 12:04,4만 생명 ㅅㅅ,81,2,1
2022-07-11 11:56,주린이들!  한국은행 콜금리가 오르면,129,1,3
2022-07-11 10:53,삼생주가,215,6,1
2022-07-11 10:28,"금리가 내려도, 올라도",220,4,0
2022-07-11 10:25,어휴 씹!!!!,114,2,0
2022-07-11 09:57,바야흐로 815  특사총력전이다.,189,2,6
2022-07-11 09:52,과연 드라곤의 선택은?,222,1,4
2022-07-11 09:48,진짜 악질생명이네,113,8,1
2022-07-11 09:47,오늘 삼전 삼생  키맞추기,136,3,1
2022-07-11 09:27,삼성생명vs삼성화재,172,5,1
2022-07-11 09:18,"4,200원",135,7,1
2022-07-11 08:58,안티들 어디있나,111,4,1
2022-07-10 19:37,Ifrs 17 도입되면,288,5,5
2022-07-10 15:45,속보ㅡ하나증권 삼성생명유망종목 선정,571,8,6
2022-07-10 14:55,아베로 인하여 생보주 급등? 할듯,297,4,4
2022-07-09 14:50,국내에는 하루일당,470,4,4
2022-07-09 10:02,속보ㅡ삼성생명 실적좋은듯,682,6,2
2022-07-09 07:16,인건비 상승과  원자재 상승은,294,2,2
2022-07-09 04:32,5년간 400조 넘게 늘어난 나랏빚,417,6,5
2022-07-08 22:07,미국 cpi 영향으로 다음주 또 급락이,312,4,6
2022-07-08 21:55,"주가하고 상관없으니  , 들어 보든가  ...",289,3,7
2022-07-08 18:01,글들에  반대  수가 많이  줄었네!  ...,221,0,10
2022-07-08 17:55,월요일 빠지면,217,7,2
2022-07-08 17:48,부자지간 다 디져야 오르는 개삼생,160,6,4
2022-07-08 17:39,"이제4000주, 1차10먼원만가자",177,3,2
2022-07-08 17:03,[속보] 교보생명  ipo탈락...거래소...,335,3,1
2022-07-08 16:38,개미지옥중에는 우량주의 함정이라는것도 있...,227,4,1
2022-07-08 15:37,공매 다주거따,232,4,2
2022-07-08 15:14,1000주 추매,374,7,2
2022-07-08 13:57,저금리엔 배당이라는 메리트가있지..,289,4,3
2022-07-08 13:27,매수 찬스다 ~~~~~~~~~~~~~~~...,439,1,8
