날짜,댓글,조회수,좋아요,싫어요
2022-07-11 14:55,주식소각,134,0,0
2022-07-11 13:34,미래에셋 티비 광고 하더라,76,0,0
2022-07-11 12:55,생각 할 수록 열받네..,93,1,1
2022-07-11 11:08,미래에셋 버리고 타증권사 이동 추천,144,2,1
2022-07-11 10:24,이번주 급등 예정이라네여,215,2,5
2022-07-11 10:34,답글:이번주 급등 예정이라네여,104,0,0
2022-07-11 09:53,미래에셋 엠스탁 원위치 시켜라,121,2,0
2022-07-11 09:17,OOO같이 업뎃햇네,91,4,0
2022-07-11 09:04,장난하나..한숨만..,85,1,0
2022-07-11 08:12,어서 상폐해산하는게,96,1,0
2022-07-10 14:41,MTS 원상복구해놔라 아 개짱나네,253,6,0
2022-07-10 13:17,■미래에셋대우스팩 5호도 인수합병 공시 ...,134,0,0
2022-07-10 04:30,앱 업데이트 왜햇냐,344,3,0
2022-07-09 21:27,미래에셋 버리고 타증권사 이동 추천,173,4,0
2022-07-09 16:05,오래 사세요,124,0,0
2022-07-08 23:40,본사 폭파시켜야,198,5,0
2022-07-08 18:37,아베가 아니라,160,6,1
2022-07-08 17:44,횡령 배임이 아니람 어서 왜 이 모양인지...,142,3,0
2022-07-08 17:18,"●미래스팩3호,당근마켓도 휘어잡는다.? ...",95,0,0
2022-07-08 16:34,미래에셋증권 최악에 쓰레기,151,6,0
2022-07-08 14:50,m stock  화면 난잡하게 변경해서,155,3,0
2022-07-08 13:46,하하 이제 쭉 올려라 시작해,153,0,1
2022-07-08 09:52,●세계1위 메타버스 도전 미래스팩 3호 ...,185,1,0
2022-07-08 09:33,JP 모건,148,0,0
2022-07-08 09:31,잘 안팔리면,130,0,0
2022-07-08 09:13,족까고,121,0,0
2022-07-08 01:49,대가리  찢고싶다,314,15,0
2022-07-07 23:30,누가 장난치는 거야?,196,6,0
2022-07-07 20:32,곧 상폐하고,156,5,2
2022-07-07 16:59,어서 공시해라?,305,8,0
2022-07-07 16:33,미래에셋증권,193,4,0
2022-07-07 15:40,너무 빠지네,237,1,0
2022-07-07 15:36,미셋대우 ~~?,157,3,0
2022-07-07 14:32,상승다이버존스가,239,0,0
2022-07-07 14:23,대단하네,159,1,0
2022-07-07 14:06,사장님 비난은 자재바래여~~,243,2,4
2022-07-07 13:06,악재라도 나온겨?,283,5,0
2022-07-07 13:04,개인들,133,1,0
2022-07-07 12:28,횡령 배임정도의 큰 사건이 분명히 잇는듯,202,4,1
2022-07-07 12:18,거지 색히들 회사 미래...,111,0,0
2022-07-07 11:44,그냥 상폐해,166,6,0
2022-07-07 11:11,하는짓이 보이면 안되지..,125,0,0
2022-07-07 11:10,6300원 깨고갈듯,163,1,0
2022-07-07 10:54,본사 쳐들어가서,173,3,0
2022-07-07 10:45,허허 이름이 잘못되었어,157,0,0
2022-07-07 10:45,미세야~~,105,0,0
2022-07-07 10:41,기타금융,158,2,0
2022-07-07 10:41,보자 보자 하니깐...,155,1,0
2022-07-07 10:27,쓰레기주식,203,7,0
2022-07-07 10:17,주입 매입 소각,189,1,0
2022-07-07 10:16,주식관리,181,8,0
2022-07-07 09:56,연기금,199,2,0
2022-07-07 09:43,이것들,170,1,0
2022-07-07 09:42,꼬라지치고는~~~,97,0,0
2022-07-07 09:05,시총 4조 깨졌네요,231,1,0
2022-07-07 08:54,증권사도 리딩하냐?,118,0,0
2022-07-07 07:51,행주.현만이외 간부급 연봉부터 줄여라  ...,213,4,0
2022-07-07 06:21,상폐전,114,0,0
2022-07-07 04:55,힘내라힘 싸워라 싸워,103,0,0
2022-07-06 20:56,너거 인건비그만 쳐가져가고,165,4,0
2022-07-06 18:52,주식 이거 괜찮은건가요??,244,1,0
2022-07-06 16:04,5500 지하벙커로 가네,131,1,0
2022-07-06 15:39,사지마세요,187,0,0
2022-07-06 15:37,역시,133,3,0
2022-07-06 15:36,골로가겠네,152,7,0
2022-07-06 15:33,기가막히네,138,2,0
2022-07-06 15:33,증권주중에 제일 하락율이 크네요,141,5,0
2022-07-06 15:28,코미디가  따로 없네 ㅎ,146,0,1
2022-07-06 15:23,상폐되는모양새,119,0,0
2022-07-06 15:06,그냥 상폐해라,126,2,0
2022-07-06 14:17,증권사중 똥주...,138,6,0
2022-07-06 14:00,아침에 매수,104,0,0
2022-07-06 13:51,낼 아침에,144,0,0
2022-07-06 13:49,경영진 아웃 시키는 방법이 최선이다,112,2,0
2022-07-06 13:35,지금 CJ CGV 30년짜리 4000억채...,258,1,0
2022-07-06 13:19,대우증권,109,0,0
2022-07-06 13:09,행주같은  대주주가 있는 회사는  짱깨든...,149,5,0
2022-07-06 12:11,기대됨,179,3,0
2022-07-06 11:32,마이너스 8%,275,0,2
