날짜,댓글,조회수,좋아요,싫어요
2020-08-19 20:00,중국의   반도체   굴기,501,2,2
2021-08-11 10:25,      ,310,0,0
2021-04-26 10:58,아 이개잡주만 아니였으면,116,0,0
2022-06-02 09:09,형말들으라혓다,941,0,2
2020-07-08 21:20,개며니언니 배게피자남이랑,405,0,1
2021-11-15 12:06,홍익인간 정신,547,0,1
2020-08-10 12:30,   원올라가기를   ,545,0,0
2020-08-20 10:02,상장폐지,318,1,0
2021-06-09 20:24,개며니언니 첫사랑 여성분,474,0,2
2021-10-07 14:35,어차피  층도 곧 펜트 하우스다,439,1,0
2020-06-07 14:00,마지막주자,1583,5,0
2021-04-22 10:42,왜이리 오르지  ,616,0,0
2021-10-21 14:21,답글            원사이,462,0,1
2021-10-12 15:41,반도체 섹터는 이제 식품 섹터와 같은 선   ,503,0,0
2021-08-23 13:13,실망,739,0,0
2021-03-03 23:28,내가 폭락 예상 시점 알려준다,692,2,0
2021-09-02 11:37,돈몇천 개미들은 빨리나가라,879,1,3
2021-11-20 16:00,갭 뜨면,1237,0,1
2021-12-01 07:01,야드라    ,504,2,0
2022-07-07 14:15,너도좀 폭등해라,625,1,0
2021-04-30 10:47,회사에돈이없어서 자사주를 처분했다던대,555,2,0
2020-08-10 12:45,현대차     기차차     현대모비스    ,638,1,0
2022-06-29 19:41,나스닥 선물 꼬라지 보아하니,522,2,4
2022-04-25 12:16,달러 계속오르고,856,0,2
2021-08-18 01:56,하이닉스   ,792,0,0
2021-08-12 14:19,금감원에민원넣읍시다,227,2,0
2021-02-19 15:22,팔려다가 안팔아요    층입니다,1763,9,0
2020-12-16 19:28,답글 철모르고천방뒤축뙤었던 운동권에서 이제사    ,375,0,0
2020-07-20 09:17,온갖듣보잡개잡주도신고가치는활황에무려 개월   ,815,0,1
2021-04-16 12:01,조삼모사,528,0,0
2020-11-04 21:40,내가 그당시,240,0,0
2020-09-09 09:58,마 여장트렌스를 좋아하는 남자들,419,0,0
2022-02-17 15:45,노무라  SK하이닉스   분기 반도체 가   ,1099,10,0
2022-05-06 00:00,다이빙  다이빙  구멍조끼,1373,1,1
2021-06-19 00:37,마이크론 개 떡락 폭락중 니넨 뒤졌어 이   ,1686,4,3
2022-06-01 03:36,삼성대학교 설립 허용    ,1290,0,2
2020-08-13 17:50,내일급등,799,2,4
2021-04-28 08:44,실적발표,156,2,0
2021-08-12 23:08,근데삼전은 왜 프로밖에 ,365,0,0
2021-06-02 05:11,개며니언니  틀닥들을 향해,707,0,2
2020-09-23 15:35,매동,477,7,0
2021-05-11 10:00,어이 없네 ,418,1,0
2022-06-27 09:51,돌아선건가 ,594,1,0
2020-08-12 16:51,야    너  ,476,2,1
2021-04-04 13:43,국정원딸 스쳐지나간 애들,1242,0,0
2022-02-25 09:49,반도체는    ,654,0,0
2021-02-16 13:15,전군 돌격 빨간불을 지켜내라,535,0,0
2020-08-24 09:14,오늘은   일선,798,2,0
2020-08-17 18:15,SK하이닉스   년 만에 반도체 특허 침   ,1123,4,1
2021-08-12 11:07,  만에 산사람 살아계신가요,299,0,0
2022-07-01 11:38,니들괜찮냐,569,3,1
2021-09-07 12:28,한국도  일본처럼 투자할 곳이 완전히 사   ,608,0,1
2020-10-20 11:27,매도,321,0,0
2021-03-11 12:57,김부선 심정을 충분히 이해해요,562,0,2
2022-02-21 08:39,미선폭락 매쟈는 이미 대피,866,0,2
2021-08-05 11:23,주포 쓰레기 상도덕이 없네 ,576,3,0
2021-03-08 14:19,겁나  불안하네,610,1,0
2020-11-17 15:54,이런 대형주는 보통 얼마나 오래 가지고    ,1612,0,0
2022-02-10 09:41,잘 먹고 갑니다,618,2,2
2021-02-16 13:22,반도체 대장주,591,0,0
2022-02-24 19:10,오늘 내일  매수하면  물릴가 ,1106,3,3
2021-09-27 14:44,  외신 반도체 공급과잉 싸이클 진입 ,869,2,1
2021-03-14 18:29,유럽 최대 데이터센터 전소,1494,16,1
2021-09-30 15:58,그래서     층 언제옵니까 ,1423,11,0
2021-06-09 10:43,기관 애들은,453,0,0
2021-01-21 07:50,단타좀 하지말고,593,0,0
2021-03-16 15:06,허매도 물량 아닌지 의심스럽다 ,690,0,0
2021-04-12 17:25,개며니언니 ,644,1,1
2020-08-07 12:29,   기왕이렇게 된거  만원대 찍자,540,0,0
2021-01-04 10:19,답글 개관넘들의 장난질  이에 개미들이 속아넘   ,717,0,0
2022-03-03 08:26,안초딩과 단일화 끝나면 바로,731,9,7
2021-01-05 16:04,드디어 어렵사리   만선에,848,5,0
2022-02-10 17:08,今天 子  都投了,708,1,10
2020-12-07 20:55,대차상환    만주 후덜덜,1058,9,0
2020-10-22 15:50,대주주 양도세 요건   억원 유지 법안    ,306,8,0
2021-09-09 15:34,카카오 네이버가 폭락해도 하이닉스보다 좋   ,431,3,0
2021-08-17 16:22,모건스탠리 이 새끼들아,1291,19,0
2021-07-28 09:22,두번다시는,449,0,0
2020-12-11 15:40,시,566,0,1
2021-08-04 11:58,비실 비실하네,564,2,0
2021-03-16 01:33,답글 미선물 디졌네 ,438,0,0
2021-04-29 10:02, 마넌 짜리가 비트코인 훈풍에 어거지로    ,99,0,1
2020-08-16 02:39,  ,1829,3,1
2021-05-10 09:16,SK하이닉스 가지고계신분들,716,0,0
2020-06-09 15:02,답글 윤미향저도둑년이지대신자살한사람팔아은근슬쩍   ,534,0,0
2020-12-07 12:38,달리는 말에서 떨어지지 말고 즐겨라,818,3,1
2020-10-21 06:24,답글  삭제된 게시물의 답글 첨엔 청와대 민정   ,362,3,0
2022-01-28 16:17,답글  삭제된 게시물의 답글 이거 무슨 뉴스 ,596,1,0
2021-03-23 00:39,미국의 애플,742,0,0
2020-11-10 09:55,외인 돈버는 꼴은 봐도 하이닉스 오르는    ,438,3,0
2021-01-29 22:13,주주님들 죄송하지만     ,1184,17,14
2021-01-08 15:05,삼전 미쳤네    와     ,922,3,0
2021-04-11 18:27,국정원딸과 헤어진건,1275,1,5
2020-07-27 14:30,깊은,508,0,0
2021-08-12 16:48,퍼온 글,273,0,1
2020-06-23 09:49,진짜 빌빌대는거 짜증나네,634,2,0
2022-04-27 08:28, 천   억원 일회성 판매보증충당부채로    ,954,10,0
2022-02-11 09:34,아오 또 내려가네,789,0,2
2021-01-04 16:43, 참고  현 정부는 코스피 관련 공약 자   ,815,8,0
2021-01-04 12:22,하닉은 삼전있어서,1151,2,0
2021-06-27 12:00,정신병자 두마리,410,2,0
2021-08-12 10:22,왜 한국장만,231,1,0
2020-08-19 20:42,거꾸로가는 주식이네,312,0,0
2021-03-02 10:04,묵사발나네,739,0,0
2021-08-19 21:49,오너가 모건사기라고 한마디하면,472,0,0
2022-04-04 07:56,비덴트 대박 간다,814,0,0
2020-08-15 10:50,대한민국 운명의 시간이 다가온다,1428,10,6
2020-07-07 14:56,하이닉스 좋은 종목인데 왜이러는걸까요,876,3,0
2020-07-06 16:38,SK바이오팜  직원들 사흘 새   억 벌   ,891,0,1
2021-12-23 09:14,오늘을 너무 기대했나    ,641,4,1
2021-12-22 07:33,  ,559,0,0
2021-01-09 21:22,갸 하는 꼬라지가,1060,0,0
2020-08-13 16:33,이러다가,485,2,0
2022-02-04 10:55,끝났다 ,822,1,1
2020-10-29 15:59,답글  삭제된 게시물의 답글 최태원         ,364,0,0
2020-09-23 14:37,어제 매도한  인입니다,453,0,1
2021-09-07 14:50,개관 놈들만 매일같이 죽어라고 파는구나 ,613,2,0
2020-12-30 12:09,소문잔치 먹을게 없다,677,1,0
2021-09-16 12:21,자고 올테니깐 상지면 깨워줘,591,0,0
2020-11-16 11:08,개닉스,497,1,0
2020-12-08 12:56,오늘  크게는 안  바란다,588,0,1
2020-08-16 21:58,         ,1014,0,0
2020-06-04 22:53,개며니언니 ,584,1,0
2020-08-19 23:34,좋니 다시봄,331,0,0
2021-01-23 09:43,미국시장이 상승해도 우리시장이 하락한 이   ,1228,0,2
2020-08-19 09:12,손절해야겠네 개   같은 주식같으니라고,353,0,0
2021-03-08 20:57,SK바이오사이언스 상장  IPO의 모든    ,412,0,0
2020-07-17 15:32,양봉과 다음주는,713,0,0
2021-07-27 20:26,너희가 말하는 마이크론을 보자   마이크   ,642,4,4
2021-10-13 18:48,  인텔   세대 CPU  엘더레이크     ,593,11,0
2021-04-09 09:16,며칠 찔끔찔끔 잡아가더니 오늘은 ,471,0,0
2021-10-08 17:29,아몰라,655,1,2
2021-07-21 11:20,아 진짜    같네,416,0,0
2020-09-16 23:13,내일한번더조정,487,0,6
2021-02-09 06:13,마이크론은 거의 전고점 왔는데 ,931,13,0
2020-07-13 18:11,PER PBR,609,4,0
2021-08-03 09:39,이제 뜰 상황입니다,612,1,0
2021-10-25 17:52,답글 vvon          ,525,0,0
2021-04-23 15:26,이혼한 사람은 또 결혼하려는걸까,504,0,1
2020-07-13 10:24,니들 자신있음 니들 자식들,674,0,0
2022-02-21 11:06,머선일이고,780,1,0
2020-06-16 16:52,귀찬다 걍 북한 박살내고,574,0,0
2021-02-04 10:27,공매도에 대한 이해가 낮다  외국인만 공   ,482,0,0
2020-08-07 10:29,하닉특성상,615,0,0
2021-10-06 11:25, 만원까지 내리겠네  ,461,2,0
2021-03-29 18:23, 만원까지 내려갔던적   있다네요,722,1,1
2021-01-05 23:00,         ,521,2,0
2022-05-26 22:46,야 OOO 여기서 정치 이바구 하지마라,281,2,0
2022-02-12 13:59,당분간 go,1099,0,0
2022-06-15 18:51,하이닉 추세선 무서짐  만 직행,556,0,3
2021-03-23 15:00,답글        물렸습니다   오나요  ,537,0,0
2021-01-22 20:18,대제  상,445,0,0
2021-07-27 13:58,멜치랑 모건이랑 신났고만,590,0,0
2021-08-10 09:17,돔황챠 돔황챠,469,0,1
2021-08-11 12:14,오늘유일하게  프로폭락중인 우량주종목     ,402,5,0
2020-06-23 07:45,         ,677,0,0
2022-02-12 01:23,마이크론 뭔일인데 왜 또 혼자 독주하냐    ,1734,1,0
2020-08-20 15:15,선방했다,407,1,0
2022-06-30 15:41,문재앙 역대무능인줄알았는데,515,8,6
2020-07-29 04:14,답글  삭제된 게시물의 답글 조국  언론 반격   ,218,0,0
2021-12-16 10:46,삼전 진짜 망했네    ,902,0,2
2020-07-29 09:42,개인만사네,528,0,0
2020-08-16 21:15,오씨 마을리  현리,1043,0,2
2020-10-26 13:31,홍남기 기재부 장관 해임을 강력히 요청합   ,350,1,1
2021-04-20 19:40,내일은     원 빠지나  ,789,0,2
2020-07-01 18:21,개며니언니 나   살 할랑께,532,1,0
2021-09-15 20:06,속보   미  증시와  악재,800,0,0
2020-08-21 00:25,오늘 선반영했다 병들아,709,1,2
2021-04-19 10:04,배당 언제  주나요,1057,1,0
2021-03-10 09:46,내가 전화번호 바꾼건,508,0,0
2020-06-04 13:10,화웨이 비중이    정도 될텐데        ,818,0,1
2021-04-15 10:36,하이닉스    주   배당금          ,838,0,1
2021-10-28 10:33,나는 공매도장인,610,0,1
2020-12-02 18:49,개며니언니 ,389,0,0
2021-01-04 10:17,누구에게나 투자전략은 있다,759,0,0
2022-04-04 11:20,분할 매수 해서,875,0,1
2021-09-10 22:57,앗,608,0,1
2021-10-28 12:24,공매야,516,0,0
2020-10-19 20:32,개며니언니 ,306,0,0
2021-02-01 08:54,속지마라    ,583,1,0
2021-08-10 09:40,짧게 얘기한다,498,1,0
2021-05-14 15:40,개같은거 반 뺐다,743,0,0
2021-06-08 16:44,키      개며니언니 ,587,0,0
2020-08-21 09:02,안티들,450,0,0
2021-08-23 18:51,권장소비자가격,892,5,4
2020-08-06 10:56,개미들 팔라고 신호 주는데    ,590,0,0
2020-11-16 12:13,미쳐어,498,0,0
2020-06-10 06:04,니들 인생 살기힘들어서,817,1,0
2021-08-11 15:19,여정 마님께서 화나셨다,273,0,0
2022-01-26 17:38,오늘밤이,754,2,1
2021-08-13 12:44,이게 맞나  ,276,0,0
2021-09-29 12:26,싸보인다고사면또물려,521,1,0
2022-06-15 12:10,어떠한 호재뉴스가 쳐 떠도 내린다    ,590,1,1
2020-08-14 10:34, 만닉스 보냐     ,574,0,0
2020-06-03 19:40,미국오늘나스닥사상최고찍는다,740,7,0
2021-10-28 10:18,하닉,520,0,0
2021-08-13 09:23,Winter is not coming,310,0,0
2021-01-06 09:42, 냉무 오를만하니 오르쥬 당장 용산에 D   ,532,0,1
2020-09-24 09:22,반도체대장주 하이닉스화이팅,237,1,0
2021-03-09 22:41,조만간 올 것  ,990,8,1
2021-10-08 09:24,딱 lg 디스플레이 시나리오네,516,0,0
2021-10-19 09:39,곧,670,1,0
2020-11-14 22:33,이혼할거 같다,909,0,0
2022-05-27 09:10,오르면파는게답,481,0,1
2022-07-05 21:41,낼 시초가      장   ,469,0,0
2021-07-17 18:55,이재명 사이다,1313,1,4
2022-07-01 10:24, 만까지  가능성 있것다,523,0,1
2020-11-10 06:17,내 첫사랑은 위대하다는걸,317,0,0
2020-07-29 11:32,내가 미쳤지   ,533,0,0
2021-11-22 21:44,미장 마이크론 폭락       ,1036,1,4
2021-08-09 14:31,더도 더안바란다   층은 가자 per     ,1012,5,0
2021-10-13 19:44,답글  삭제된 게시물의 답글 SK하이닉스 직원   ,527,1,0
2021-06-09 20:04,SK하이닉스 기업분석 및 주식차트전망,432,0,0
2021-04-22 14:31,어제  프로 떨어졌다구 그래두양봉이내  ,608,0,0
2022-06-25 12:34,주식,1175,0,1
2022-01-25 00:28,기대,838,2,2
2020-06-05 13:28,     원  편안하게  갈듯요 ,867,1,0
2020-12-02 03:30,주식  농사,537,0,0
2021-07-28 13:41, 주봉   선 월봉   선 구간 가격대    ,410,0,0
2020-09-24 23:17,반도체만 수직상승 하네요 휴,1144,10,2
2020-08-20 11:52,개잡주    이것이 답이다 ,306,1,0
2021-08-12 20:34,모건이는 공매충 아니냐 ,218,7,0
2021-08-11 10:14, 만원까진,406,2,1
2022-07-06 12:35,아 팔고나니  얘는 왜 오르는거야 ,550,0,0
2021-11-04 09:35,DDR  출시,642,0,0
2021-09-29 11:27,월화수 반대매매 금액 어마어마하겠네,586,1,0
2021-10-22 15:48,연기금 한달만에 매수,643,0,0
2020-09-16 19:45, 일간      수익 팁 공유,447,2,1
2021-10-28 10:11,공매도 페지 하면 날아간다  ,535,2,0
2022-06-23 13:12,푸틴이 서방 경제 망하는꼴 보려고 장기전,452,5,0
2020-08-19 11:04,오늘따라,394,0,0
2021-08-06 18:44,특등머저리들아,1261,3,8
2022-06-22 11:40,답글 당분간,544,0,0
2022-06-24 09:27, 반대매매 주의  ,557,0,0
2021-08-17 11:53,지금 들어가는거,1165,1,1
2021-09-29 14:09,우량주도 답 없네요  ,605,0,0
2021-03-10 21:27,이제 사면된다 ,944,3,2
2021-06-08 21:22,여기서 허위사실 유포 현재 고소 접수 캡   ,923,21,2
2021-10-28 14:27,개미 다빠지니,692,4,0
2021-10-12 15:14,있는주식만 팔게 해  ,488,2,0
2022-06-23 17:29,곱버스 풀매수 했습니다,664,2,2
2021-04-06 16:01,내일도 연기금이 들어온다면,739,0,1
2021-05-27 12:48,성괴 개며니언니,447,1,2
2020-07-20 14:44,그래도 하이닉스가 갓주식인 이유,973,3,5
2020-08-14 08:36,진짜      갈수도      ,652,0,3
2021-09-09 15:39,불법사찰 국정원아,509,0,0
2021-01-12 16:17,조정,600,2,0
2021-07-16 12:53,어이 없네 ,573,1,0
2022-06-27 13:22,하닉,568,1,3
2021-08-16 22:39,  외신 하이닉스 대규모 적자 초읽기 ,572,1,2
2022-02-09 09:15,증권사 사기꾼들은 적폐다 ,583,2,0
2020-06-03 09:31,개며니언니 애낳고,622,0,0
2020-09-21 14:50,천천히 가도 된다,286,3,0
2022-03-04 11:16,반도체의 대장주 sk하이닉스입니다 인텔인   ,797,3,0
2020-08-19 12:48, 분기  조 천억 적자 부도위기 이래서빠   ,981,2,3
2022-07-02 00:33,바이든이 언급 ,1355,0,1
2021-08-22 19:03,월요일 반도체    회복할거임 ,1427,7,1
2022-01-27 09:59,전저점 깬다 ,588,0,1
2020-07-16 08:57,니들 나한테 이제서야 고발했냐고 하면,703,0,0
2021-05-12 10:08,Sk는 사면안될듯,459,1,0
2020-10-08 08:46,불기둥 예상,581,0,0
2021-10-28 11:25,왜       을 못 뚫는 거냐 ,526,2,0
2020-08-18 11:21,매수세가 없는데 살이유가있나,500,0,0
2022-05-10 06:28,답글 오늘은,654,0,0
2021-01-11 10:42,개관 C 브 라 알 넘들 무려  조 천억   ,618,0,0
2020-08-10 15:37,기관 외국인 금융투자  형제매수,816,5,0
2022-02-02 06:57,안녕하세요 새해 복 많이 받으시고 한번    ,1626,0,0
2022-07-08 15:39,개관놈들,713,1,0
2021-08-12 10:04,투신 연기금 들어온다 ,291,0,1
2020-06-28 00:06,너무 좋다,1975,2,1
2021-07-01 09:21,그저   ,97,1,0
2021-02-21 13:05,국정원딸은 ,1167,0,0
2022-02-04 13:37,전기차,734,0,0
2021-07-23 10:13,개미들아 진짜 팔아주거나 추매하지 말아주   ,582,1,0
2022-01-15 15:34,문재앙   랸아     은 다 듸지란 소   ,1270,4,2
2020-07-10 09:52,대통령이 방문까지 하는데 주식은 왜,887,1,1
2020-12-04 10:16,  만원은,742,1,0
2022-06-03 07:15,답글  삭제된 게시물의 답글   모건스탠리 하   ,957,9,3
2021-11-30 14:35,아깝지만   프로만 먹고 나갑니다,434,0,0
2021-10-15 15:05,좋겟다 sk 하이닉스 주주들은,642,0,0
2020-10-23 10:53,노숙자 거둘었더니,365,0,0
2021-05-11 18:30,   ,410,4,1
2021-08-13 13:32,외국인 조용하니,322,0,0
2021-03-10 14:08,국장 OOO   ,488,0,0
2020-12-01 13:50,             물량,876,4,0
2021-08-30 00:20,강달러요인,1241,0,0
2020-08-29 12:07,정보의 비대칭성,1401,3,5
