날짜,댓글,조회수,좋아요,싫어요
2021-10-06 09:18,오늘도 하락이네,255,4,0
2021-05-14 23:54,염승환 부장은 늘 장기적 관점에서 추천을   ,1759,25,23
2021-04-20 10:17,무상증자 소식 ,679,3,3
2021-05-12 12:41,근래에 보기 힘든 낙폭이네  ,171,1,0
2021-03-14 15:06,주가는,653,0,0
2021-08-24 14:19, 억 못채워간 형이야  잘 놀다 갑니다 ,523,1,3
2021-06-03 12:31,혹시 지금 공매도 잔량 아시는분 ,509,1,0
2021-05-12 09:26,유투브 시끼들 맨날,244,2,1
2022-02-28 10:33, 매일경제  푸틴이 방아쇠 당겼지만  월   ,855,1,3
2022-06-13 09:14,답글 대통령을 OOO을 뽑아 놓으니,178,2,1
2021-02-26 08:35,NASDAQ BITCOIN 선물 동반 대   ,310,0,0
2021-07-09 11:18,반등없으면 곧 지옥행 간다  ,711,1,2
2021-05-13 11:56,  년   만에서 공매도로 반토막 난 전   ,203,1,0
2021-01-07 00:04,저번에도 수급꼬였다고 말씀드렸죠,978,1,7
2021-05-24 10:35,요건힘들겄다 염읍읍이 방송 에서 하도사기   ,400,1,0
2021-01-07 08:31,저가 매수 마지막 기회,361,2,1
2020-07-21 09:13,드디어 가네,491,7,0
2021-02-01 06:24,속보  NASDAQ BITCOIN 선물    ,536,1,3
2021-05-11 17:22,공매도가    ,446,4,0
2021-06-23 12:48,염부장추천주가 수백개,399,0,6
2021-01-13 10:15,시초에 너무 늦게 샀네,321,0,1
2021-05-14 14:00,삼성전기 카메라 모듈 공장 증설    ,458,6,0
2021-04-02 15:04,  ,379,2,0
2021-12-24 09:02,전기야 가자 갈때됐다,377,0,0
2021-03-11 13:56,답글  삭제된 게시물의 답글   지금 팔아야    ,323,3,2
2022-07-11 09:24,기판 소형주만큼 상승해라,80,1,0
2022-06-17 12:34,힘좀내자    ,137,1,1
2021-10-26 20:38,연기금 또라이 꼴통,760,1,1
2022-06-08 10:03,혹시 몰빵하신분 ,325,2,2
2021-10-07 14:13,참나 시키들 더럽게 말 안듣네 만날 당하   ,337,1,3
2021-10-29 09:57,공매 창고 바꿔가면서 열심히 공매치네,255,0,0
2021-08-19 15:03,개관  외계넘들 공매로 매미짭짤하게 보네   ,238,1,0
2022-05-27 08:18,찬티 많네   ,315,3,1
2021-05-18 11:37,아직도 대차잔고 남아있네,302,2,0
2020-07-23 09:31,이눔들아  콩 팥   케사기  옵션 좀    ,526,0,1
2022-07-08 11:56,오늘 같은 날에도 파란 불을 찍네    ,203,2,0
2021-05-03 09:52,  층,399,0,1
2020-06-08 13:30,노텍승,385,2,1
2021-10-27 14:13,실적이나와도  에흐,213,6,1
2022-05-17 18:48, 월 코스피    지수 정기변경 편입 편   ,389,1,2
2020-07-22 14:46,대한민국에 한번에   억 매수가능한사람있   ,505,2,1
2021-08-04 13:56,이런 OOO,424,1,1
2021-05-11 15:34,         주 신규 진입했습니다,296,0,1
2020-12-08 09:15,뚫자 뚫어뻥,508,4,0
2022-06-09 10:23,왜 개미촉수엄금 이냐면,188,0,0
2021-02-20 10:52,경재지 뉴스,1305,13,5
2020-06-08 22:07, 오늘   ,512,4,3
2022-04-07 20:00,게시판 쓰레기들,213,3,0
2021-03-25 14:33,그래도 다행인게 지지라인 지키면서 반등함,298,0,2
2021-05-23 19:58,공매도 공정하게 만듭시다,444,5,0
2022-05-26 14:08,뭔 주식이 이러나,252,3,0
2020-07-14 09:37,한국에 성 ,459,0,0
2020-10-27 09:03,답글  삭제된 게시물의 답글 죡바리강아지 유신   ,401,0,2
2022-06-27 17:55,이거만봐라,315,0,2
2022-06-03 14:32,흑두루미들,413,1,1
2020-09-25 10:30,연말   만,392,5,2
2021-05-12 13:52,         ,191,1,0
2022-03-16 09:43,전강후약 그것은 과학,244,0,0
2020-10-19 16:53,이승만이 필두로  김종필   조희팔  옵   ,594,1,3
2021-05-07 13:31,이기 대체 머선   ,377,1,0
2021-10-06 11:17,전기는 PBR 배 수준인   만이하 주가   ,570,0,3
2021-05-27 10:04,유투브에 주식 분석해주는 사람,271,4,0
2022-05-27 12:16,석렬이 개사기 개장난 선물,346,3,0
2021-12-16 17:01,  님의 뜻을 기억하겠습니다  ,665,20,4
2021-03-08 14:32,관리 좀 해라 ,450,2,0
2021-09-16 11:45,코스피 상폐  순위,341,2,1
2020-08-20 09:58,MLCC 포기하고 마스크 만들었으면,340,3,0
2020-12-17 06:39,답글  삭제된 게시물의 답글 대깨문이 문제가    ,142,0,0
2020-10-21 11:48,참,464,2,2
2022-03-14 11:14,진짜  케 빠지냐,282,0,0
2021-10-25 16:37,차트충으로서,733,4,2
2021-08-03 13:21,아 오늘 같은날 어떻게 안팔고 참지 ,1121,2,2
2020-09-14 04:45,미국의  산불,759,3,1
2021-07-28 13:06,어닝서프 ,263,3,1
2022-03-15 17:01,삼성전기 임원들의 주식  매수    주가   ,654,4,0
2022-04-08 16:41,다음주 cpi발표만 끝나면,729,0,4
2020-06-07 21:40,부산마산 시민을 구하고 대한민국을 구한    ,475,6,6
2021-10-05 12:53, 중 바닥은,493,1,4
2020-08-05 10:26,거래량 이거 실화냐 ,491,0,1
2021-08-04 18:34,  만라인은 철벽라인이다 ,652,4,6
2020-08-16 14:24,진짜 용서할 수 없는 것은,909,7,13
2022-03-04 12:59,Sdi나 전기나,335,1,0
2020-12-09 11:18,양아치전기    고마  포기혀,434,0,0
2021-08-17 20:59,시외거래 상승주목주들 정리,559,0,1
2022-04-20 09:52,  주 신고가 vs   주 신저가,395,3,1
2021-10-13 16:21,형들,334,1,0
2022-06-09 15:39,삼척동자,247,1,1
2021-05-10 10:35,넌 왜 빌빌대냐  ,259,1,0
2022-06-09 12:44,무   물렸나 ,383,3,0
2022-03-21 16:33,잘 들어라 망상그만하고,383,2,1
2022-01-21 15:38,연기금 사모펀드 lg이노텍은 사면서 이건   ,735,2,3
2021-07-28 23:00,게시판 찬티형들 너무 많네 ,239,1,4
2022-02-12 07:04,세상 이슈만 있음 쳐 내림,705,3,0
2022-06-16 15:28,개젓갔구만,151,2,1
2020-07-21 11:41,실적이 안좋다는 oci가 저리 뛰는데 ,430,4,0
2021-08-25 12:27,매도하던 놈들 다 사라졌네,414,3,1
2022-06-20 10:45,미 유대자본과의 전쟁중,169,2,1
2022-07-10 11:21,답글 말은 똑바로 팩트로 말해야지,250,0,0
2021-10-29 15:08,역시 외인,249,1,0
2022-02-17 23:17,보아하니 낼도 걸렀다,416,1,0
2022-04-06 08:05,오늘은   만 지지하기 힘들꺼다,261,1,1
