날짜,댓글,조회수,좋아요,싫어요
2021-07-30 11:17,정말 지겹다     정부야 금융기관을 전   ,417,5,1
2021-03-24 17:39,은행주 가운데 유일하게 양매도 당한 주식,217,1,0
2020-08-05 09:01,믿음을 지키면,117,0,0
2021-12-22 14:07,국민연금이 하도팔길래 계산해봤다,522,6,0
2021-11-08 11:24,경영진 틀딱들 지 자리 지키려고 하는 한   ,155,1,0
2022-02-14 13:52,계속 올라갈 수 만은 없는것    신한지   ,212,1,1
2021-01-18 10:23,시장조성자,279,5,0
2020-12-29 14:31,신한지주 투자  년   ,642,0,1
2021-11-30 15:39,내말대로 되었다      원대 온다햇제    ,292,3,0
2022-07-06 12:20,여름맞이 대바겐세일,133,2,0
2020-11-30 15:03,외국인   만주,214,1,0
2020-12-01 10:42,앗 오야붕kb금융안오르니 나도 떨어져야지   ,171,1,1
2021-10-15 07:03,     보는가,400,7,1
2020-09-03 15:28,월급루팡 정리하고 IT 강화해라,132,0,0
2020-12-29 09:39,금융사,364,4,0
2020-12-07 09:49,하나금융지주 폭락중,397,2,0
2021-10-27 13:38,  양아치 조염병은 주식 매입 및 소각    ,99,2,0
2021-02-08 15:57,주도주 갈아타기,285,3,0
2020-10-23 13:41,월 시초가,215,0,2
2020-07-06 11:58,가즈아,141,1,1
2021-06-24 15:03,물렸어요,760,1,1
2021-01-11 10:28,진짜 보상해라 이거,114,0,0
2022-02-25 13:17,필자가 돌아왔다 ,359,1,4
2021-04-22 08:42,미증시 조정끝내고 활기    년 국고채    ,279,1,1
2020-11-25 11:17,KB살걸 그랬나   ,309,5,0
2022-06-29 11:19,윤뽑아서 좋냐  갱상도 모지리들아,204,17,5
2022-01-18 23:40,미장 금융주 개박살    ,465,2,7
2020-10-16 16:15,주주총회 열어라,238,16,0
2020-06-03 09:24,리밸런씽하자,272,0,2
2020-08-12 17:13,용병들이 매수 한다,285,1,0
2021-02-02 15:34,언제   층 됩니까 ,583,7,1
2021-05-09 17:50,연간 이익이  조가 넘고 매년 증가한다    ,503,9,2
2020-12-15 18:08,사기집단,243,6,3
2021-08-10 10:21,분기배당 분기별    원,194,0,0
2020-07-15 09:54,손절도 못하게 희망주며 서서히 죽여가네요,148,0,0
2020-08-03 15:06,네오플럭스 우선협상자,217,2,2
2020-12-24 17:02,타 금융사,327,4,0
2020-06-09 20:51,차트가 곧 급등 한번 나올꺼같아서,676,2,1
2021-02-08 09:47,회장 교체되면 분기배당 하긋네    ,146,0,0
2020-10-21 11:43,카카오뱅크 공모할때까지 존버하면됨,207,0,1
2020-11-04 09:59,Kb금융 시총은 넘어서자,335,4,2
2020-12-07 22:14,배당은 줄일지몰라도 중간 배당은 한다,238,3,1
2021-11-18 19:45,주주분들,153,2,1
2020-07-22 14:29,세계 꼴찌 수준의 pbr과 배당성향은 좀   ,236,0,1
2020-09-07 14:51,KB금융이 답이다 ,161,0,0
