날짜,댓글,조회수,좋아요,싫어요
2020-12-21 17:20,신의저주종목,188,2,1
2020-10-08 09:29,진짜 할말이 없는 종목이네요          ,173,4,0
2021-04-16 14:03,종가,443,0,0
2021-12-28 19:27,현대엔지니어링,494,1,2
2020-12-21 13:40,현건은 Gs나 대림에 비해,214,1,1
2022-02-28 18:56,답글  삭제된 게시물의 답글 어차피 다음주되면   ,300,2,0
2021-10-27 12:11,그놈에 우선주  공시는,425,3,0
2020-06-22 21:03,초고수가 이야기 해줄께,849,1,1
2021-12-02 17:01,본전오려면 아직멀었다,875,4,0
2021-02-26 09:40,그래      이왕 이리 된거 떡락해라    ,410,4,0
2021-06-09 17:08,  뭉가야     주작질 좀 그만혀라,456,1,8
2020-12-08 09:35,대북주들 다 빨간불이다 이 잡주야,159,1,0
2020-07-23 13:19,아이씨,140,0,0
2021-08-07 20:33,개관들 뻔하지,589,7,0
2021-12-22 09:26,답글  개월차 현대건설 몰빵주주 오늘 예상종가   ,144,2,0
2021-02-15 14:53,수주,666,9,1
2020-06-25 12:30,투자투신기관,190,0,2
2022-05-30 14:13,존 테플턴 가라사데,213,1,0
2020-07-24 18:00,버리고 갑니다,184,3,0
2020-10-22 08:56,현건   현엔 ,264,0,0
2020-11-11 14:46,분명어제,144,0,0
2020-06-22 14:05,계단씩으로  빠지네요,128,0,0
2021-06-02 09:11,답글 전약후강으로 무조건간다   ,113,0,0
2020-07-24 10:14,신풍같은 들어본적도 없는 잡주가,268,7,0
2021-01-26 13:55,     원 무너지고  ,550,3,9
2021-01-13 11:04,노력없이  돈 벌생각하는  분은,220,3,0
2021-12-30 13:16,저승조 조심,361,8,0
2022-02-25 05:58,미 지수 폭등,482,3,0
2020-08-04 09:05,워렌버핏 끈기 절반만이라도 가자,156,2,0
2020-06-23 16:27,그래도  만 천원에서는 반등 한번 보여주   ,345,1,3
2021-05-18 05:49,홀딩만하세요,377,0,6
2020-10-20 09:48,난 대북주로 본게 아니다,450,4,2
2020-09-23 13:40,정권이 바껴야 오르려나,203,5,4
2021-10-13 12:36,사람들이 원하는 주식시장은,526,8,0
2021-04-30 10:23,하루     OOO 전에도 저OOO 하드   ,258,1,0
2020-08-11 17:18,전국에 주유소를 수소 충전소로 다 바꿀라   ,334,1,0
2022-03-18 11:56,     원 밑으로 깨지나,391,1,4
2021-01-21 15:49,외인 기관,531,8,0
2021-12-29 14:26,     원 가자,203,1,1
2021-05-01 23:42,건설업 대호황은 온다  현대건설 차트분석   ,542,3,2
2021-11-25 14:50,손가락을 참고,147,0,3
2021-07-23 19:05,어짜피 연말되면,446,5,1
2020-12-18 04:00,아  미치겠네,208,0,1
2021-12-08 16:38,보약팁,285,2,5
2022-07-01 10:07,한강다리에 그물막 설치해라,439,12,0
2020-09-21 16:17,수주하고 실적좋은데,265,5,0
2020-06-24 09:00,하루만에 먹을려하니 이꼴  ,3880,1,0
2020-07-28 12:58,     원때부터 기관 엄청 사모왔음,361,1,3
2020-07-13 11:30,종합란  BPS   보셨나요,407,7,1
2020-06-26 11:29,코스닥 잡주도 아니고   ,131,1,0
2020-06-21 21:27,개관들 줄기차게 다 던졌네   ,378,5,0
2022-02-27 17:10, 속보  현대건설  연초 정비사업 수주    ,372,4,0
2020-12-17 20:09,현대엔지니어링과 합병하자 ,482,4,5
2021-01-11 09:16,더 올라서 손실만회하자 ,133,2,0
2022-01-12 15:13,너 왜오르냐,211,1,3
2021-02-04 09:25,분노의 힘을 모읍시다       ,160,5,1
2020-11-16 00:36, 께롱이다   차트상 하락은 명백해졌다    ,233,1,1
2020-11-18 06:56,오늘이 중요합니다 ,433,14,1
2021-04-30 22:44,주식의 기본 물음  ,405,7,1
2021-11-06 16:47,요소수 품귀  건설사 타격,804,8,5
2020-06-21 23:03,순간 검색어      ,505,10,3
2020-06-12 10:22,대박세일 중입니다 ,290,2,0
2020-06-23 10:01,현대건설우랑 현대건설이랑 왜이렇게 차이가   ,417,2,0
2020-11-23 07:35,현건이  갈수웁는 이유  딱한가지  새끼   ,284,1,3
2021-07-28 13:29,그만좀 내려라,270,1,2
2022-03-25 10:41,어제 리폿 나온거 보니 하락하겠다 햇더니   ,336,1,2
2022-07-07 12:19,곳곳에 바닥의 신호가 ,235,6,1
2022-02-28 14:00,역시 주주친화적 기업 지건이   ,401,2,1
2021-01-19 18:46,답글  삭제된 게시물의 답글  삭제된 게시물의   ,162,1,1
2020-06-02 17:46,말이많냐,494,5,3
2020-12-29 16:33,내일은      년,361,8,2
2022-06-29 17:55,앞으로의 증시 대세는 원전건설 및 수주    ,734,7,1
2021-04-27 21:47,두번째씁니다       주주입니다,539,3,1
2020-06-24 09:23,현대건설 사옥 폭파하고 싶다,218,9,1
2021-07-28 10:43,아니 외인들 개속 매도물량 푸는데,495,0,3
2021-12-21 08:59, 억도 좋고   억도 좋아요,244,1,1
2021-01-05 13:54,가지고 놀다가,205,2,0
2022-03-11 00:39,답글       할배 홍삼캔디,84,0,0
2022-03-21 21:58,답글  삭제된 게시물의 답글 공매비율   육박   ,190,0,1
2020-09-02 17:17,욕 하도 먹어서,142,0,0
2022-06-16 08:19,수주를 해도   ,251,3,0
2020-12-08 11:23,역시 떨어질땐  등건설,286,6,1
2021-09-02 08:58,상향으로 잘가던 분위기를,715,11,0
2021-08-02 22:16,낼 오전에 디졌다  뉴스좀 막아라 염병,483,0,5
2020-12-02 15:42,이런 상승장에  ,364,7,1
2021-09-02 06:24,쉽게 설명 해 주실분 찾아요 ,933,2,0
2020-07-24 12:33,으이그 또      ,166,0,0
2020-11-12 10:37,수주 연일 대박  ,348,2,1
2020-12-07 13:44,궁디들 가벼운거 보소,170,0,0
2020-09-24 08:40,강제 장기주주모드로 전환   ,207,10,0
2020-09-04 12:34,민나상 주말마다 부실공사 뉴스데스요,204,1,1
2021-08-31 12:29,개미털고 상승하네 역시 뉴스만발하면 폭락   ,454,5,0
2020-06-22 15:05,막판에,245,0,1
2020-06-04 12:16,현대건설,330,2,0
2021-01-21 11:12,한국   위도 아닌 전세계   위 건설사   ,191,3,2
2021-01-12 10:10,그동안 지에스 개미들 놀림감이었는데,347,10,0
2022-01-10 14:47,밑에 후배들 댓글 넘 웃기다   ,288,1,1
2020-11-02 11:05,슬 슬    키움  미래 매수세 올라온다   ,163,0,2
2020-09-04 12:48,혹시 여기 아직도,225,1,3
2021-12-30 09:36,개미 필패네,138,0,0
2020-06-25 14:30,개미지옥,136,0,0
2021-07-24 12:37,팔려는 순간 개폭락,514,4,0
2021-01-05 09:13,올해 건설 반등 ,163,3,0
2020-07-21 10:41,의도적 조정 ,257,4,0
2022-01-28 13:56,유증이 아니라 공모철회공시,619,8,2
2021-11-24 16:18,시외 요동 치는구나,307,0,1
2021-01-12 16:50,안녕하세요,1083,3,0
2020-06-29 09:31,솔직히 올인한사람아니면 개꿀아님  ,314,3,1
2020-06-22 00:31,여기 공매도 있나요  두인이랑 현엘 당해   ,310,1,0
2021-02-04 14:59,대체로 보면,211,0,3
2021-02-04 13:18,  들아 ,242,3,0
2021-11-02 10:57, 요즘두 특정가문 저주하는 제사지내는 성   ,369,1,0
2022-01-18 09:44,    매일 천원씩 빠지는 주식,123,0,0
2022-05-09 16:03,답글  삭제된 게시물의 답글 취임식과  동시에   ,314,1,1
2020-11-06 15:21,쓰레기 회사,263,5,2
2021-04-21 15:51,하루에   원    원씩 올라가자 꾸준하   ,318,5,0
2020-08-13 14:02,갑질한 회사,203,1,1
2020-10-12 08:50,남들은달리는데 기어가나 ,152,2,0
2021-09-17 09:09,공매도 때려잡기 위해,622,11,0
2020-11-18 10:15,   조 수주   하락,165,5,0
2020-10-10 18:34,청와대처원으로몰아내야지 ,204,3,2
2020-08-10 11:47,우리,368,9,0
2020-12-02 10:16,시미나창,197,1,0
2020-11-06 09:43,한가지만 물어봅니다,391,0,0
2021-12-30 15:13,개미가 망쳐놓은 주식   ,360,1,5
2020-06-22 12:33,약속의  시  분,264,1,0
2020-12-14 10:22,잠시잇엇지만,227,1,1
2022-04-06 09:26,주린이 입니다,390,2,0
2021-05-31 11:34,양봉 전환 나이스           ,357,1,0
2020-06-21 21:01,불량 시멘트  끝났다,453,1,2
2020-10-12 14:14,한달만에 연기금 입성    ,234,2,0
2020-06-22 16:50,매복,168,0,0
2022-02-03 11:47,지수 나눠 갖기,201,0,0
2020-07-30 22:29,신의저주종목,304,0,1
2021-05-07 06:20,매수하면주가는무조건하락합니다,408,1,3
2022-01-30 11:09,개미들한테 물량떠넘기려는 계략,557,0,9
2021-01-26 21:18,오늘 작정하고 턴거같은데,755,9,1
2020-12-10 10:27,올랐을때,153,0,0
2020-06-24 11:38,대북주 모조리 상,1687,2,2
2022-02-08 23:59,애미다,192,0,0
2020-11-25 15:49,개인빼거 전부 매수,288,3,0
2020-06-24 06:23,상한가다   ,396,5,3
2020-06-23 11:37,기관 다 떤지네,151,1,1
2021-06-08 09:33,더 담으려했는데   ,137,1,0
2021-08-20 14:59,제가 어제 그제  만 천원까지 열려있다고   ,610,3,0
2021-01-07 00:30,팔라고 하는 인간들아 ,363,9,1
2021-05-18 16:34, 청원마감 D    은성수 사퇴 요청     ,284,2,0
2020-12-30 12:09,존나 누르네 주가조작범들,225,5,0
2020-11-19 10:11,건설주는 갈일좃도없다 어서좃나게팔고lg전   ,170,6,1
2021-07-08 10:56,골로,248,1,3
2020-06-21 20:29,축하드립니다 ,428,8,0
2021-12-13 09:57,답글  삭제된 게시물의 답글   입만 열면     ,264,3,2
2020-06-16 22:28,확실한건 현건은  만원 이상 값어치는 나   ,383,15,0
2020-06-22 17:15,내일 한번 내릴거다 그때 왕창 사놔라 ,302,1,2
2021-07-23 14:20,야   ,163,1,0
2021-04-27 21:10,우와    현건   ,309,0,0
2021-06-13 15:08,투자자님들께  해드릴것은 없고,387,0,0
2022-04-19 09:05,아침인사  ,210,1,4
2021-07-23 16:24,Lg생건 봤지 ,350,0,2
2022-03-03 13:20,     까지공매돈가,304,3,1
2020-06-21 23:49,총 사업비  조원,384,4,0
2021-04-15 09:59,삼성동 GBC 등,233,1,0
2020-10-28 20:37,낼은,472,3,5
2021-04-30 13:26,  바 막걸리 한병 마시고 왔다,249,3,1
2021-12-17 09:09,현건  개월차 몰빵 주주다 종토방 관리    ,188,0,3
2020-06-15 12:00,진찐,205,3,0
2021-08-19 16:12,테이퍼링소식에,542,12,0
2021-01-22 13:54,어닝 쇼크났네  ,434,2,8
2020-08-28 03:39,낼 부터 숏 커버애야지,345,9,3
2020-07-23 13:35,그래도    근방에서 놀아 다행이네  ,301,4,2
2021-12-16 10:30,현엔 상장하면 어떻게 되는거에요 ,523,0,0
2020-07-15 11:14,쓰레기같은 현건,151,0,0
2022-04-28 21:42,오늘 오른이유 좀 알려줘요,543,4,0
