,날짜,거래량,상장주식수
0,2020-06-01,52101756,11262284117
1,2020-06-02,55702080,11262284117
2,2020-06-03,120676283,11262284117
3,2020-06-04,98610055,11262284117
4,2020-06-05,62517160,11262284117
5,2020-06-08,70661751,11262284117
6,2020-06-09,62140084,11262284117
7,2020-06-10,53102398,11262284117
8,2020-06-11,85437688,11262284117
9,2020-06-12,73264594,11257562954
10,2020-06-15,76321081,11257562954
11,2020-06-16,58211401,11257562954
12,2020-06-17,67682901,11257562954
13,2020-06-18,42372718,11244562954
14,2020-06-19,48494933,11244562954
15,2020-06-22,49564232,11244565234
16,2020-06-23,55675104,11244565234
17,2020-06-24,55963869,11244565234
18,2020-06-25,47142771,11244565234
19,2020-06-26,44808509,11244891870
20,2020-06-29,42041737,11244891870
21,2020-06-30,51534288,11244891870
22,2020-07-01,41455835,11244891870
23,2020-07-02,37496613,11244891870
24,2020-07-03,31934741,11244891870
25,2020-07-06,51172208,11244891870
26,2020-07-07,63853667,11244891870
27,2020-07-08,46004745,11244891870
28,2020-07-09,48424892,11244891870
29,2020-07-10,40408684,11244938020
30,2020-07-13,40490946,11244938020
31,2020-07-14,38853657,11244938020
32,2020-07-15,63013949,11244938020
33,2020-07-16,45917838,11244938020
34,2020-07-17,38708557,11244938020
35,2020-07-20,40487570,11244940825
36,2020-07-21,56076810,11244940825
37,2020-07-22,47681123,11244940825
38,2020-07-23,51605962,11244940825
39,2020-07-24,49336679,11244940825
40,2020-07-27,45508643,11244940825
41,2020-07-28,79443079,11244940825
42,2020-07-29,68123646,11244940825
43,2020-07-30,55291417,11244940825
44,2020-07-31,59887419,11244940825
45,2020-08-03,53553981,11244940825
46,2020-08-04,56723957,11244940825
47,2020-08-05,70652527,11244940825
48,2020-08-06,71213336,11244940825
49,2020-08-07,65677293,11245108662
50,2020-08-10,84966156,11245108662
51,2020-08-11,85553205,11245108662
52,2020-08-12,69100609,11245108662
53,2020-08-13,84288755,11245108662
