날짜,PBR
2020-06-01,0.9922316
2020-06-02,1.0095721
2020-06-03,0.9950826
2020-06-04,1.0008395
2020-06-05,1.021526
2020-06-08,1.0417377
2020-06-09,1.0548317
2020-06-10,1.0827855
2020-06-11,1.1005251
2020-06-12,1.0896205
2020-06-15,1.0038335
2020-06-16,1.0709367
2020-06-17,1.0684015
2020-06-18,1.0807161
2020-06-19,1.0967208
2020-06-22,1.13192
2020-06-23,1.1248778
2020-06-24,1.1131616
2020-06-25,1.8262248
2020-06-26,1.7555225
2020-06-29,1.6629897
2020-06-30,1.6545992
2020-07-01,1.6292641
2020-07-02,1.6372536
2020-07-03,1.6507226
2020-07-06,1.6181325
2020-07-07,1.5787526
2020-07-08,1.57156
2020-07-09,1.5654651
2020-07-10,1.6158166
2020-07-13,1.6296567
2020-07-14,1.6328027
2020-07-15,1.6352513
2020-07-16,1.6371406
2020-07-17,1.641152
2020-07-20,1.6841309
2020-07-21,1.6952264
2020-07-22,1.7284074
2020-07-23,1.7801945
2020-07-24,1.8137195
2020-07-27,1.7654042
2020-07-28,1.7614982
2020-07-29,1.7596039
2020-07-30,1.7869418
2020-07-31,1.7989912
2020-08-03,1.8528464
2020-08-04,1.8822597
2020-08-05,1.8718718
2020-08-06,1.8885372
2020-08-07,1.8854846
2020-08-10,1.8961881
2020-08-11,1.8890991
2020-08-12,1.8414096
2020-08-13,1.8659294
2020-08-14,1.826416
2020-08-18,1.7944275
2020-08-19,1.9830077
2020-08-20,2.2604804
2020-08-21,2.1022043
2020-08-24,2.1690602
2020-08-25,2.3394399
2020-08-26,2.3195658
2020-08-27,2.267929
2020-08-28,2.2549267
2020-08-31,2.3475764
2020-09-01,2.3313937
2020-09-02,2.3610811
2020-09-03,2.3970003
2020-09-04,2.3770595
2020-09-07,2.4624314
2020-09-08,2.4338217
2020-09-09,2.3882914
2020-09-10,2.398839
2020-09-11,2.414784
2020-09-14,2.4688892
2020-09-15,2.4648569
2020-09-16,2.5073564
2020-09-17,2.496852
2020-09-18,2.5430298
2020-09-21,2.5234363
2020-09-22,2.5026069
2020-09-23,2.4629855
2020-09-24,2.3165994
2020-09-25,2.310566
2020-09-28,2.3741899
2020-09-29,2.4190516
2020-10-05,2.4535277
2020-10-06,2.4524436
2020-10-07,2.4715877
2020-10-08,2.656391
2020-10-12,2.6571665
2020-10-13,2.6294196
2020-10-14,2.6141167
2020-10-15,2.7704353
2020-10-16,2.6789553
2020-10-19,2.642336
2020-10-20,2.5992458
2020-10-21,2.6229174
2020-10-22,2.7440524
2020-10-23,2.7434938
2020-10-26,2.629899
2020-10-27,2.6569781
2020-10-28,2.7331986
2020-10-29,2.7766385
2020-10-30,2.757022
2020-11-02,2.793829
2020-11-03,2.8725529
2020-11-04,2.9036727
2020-11-05,3.0451846
2020-11-06,3.084013
2020-11-09,3.1206613
2020-11-10,2.9927669
2020-11-11,2.9089384
2020-11-12,2.9162035
2020-11-13,2.911716
2020-11-16,2.9610023
2020-11-17,2.9497218
2020-11-18,2.990344
2020-11-19,3.0113666
2020-11-20,3.0873485
2020-11-23,3.1223724
2020-11-24,3.1406941
2020-11-25,3.0966697
2020-11-26,3.1425152
2020-11-27,3.1438215
2020-11-30,3.157498
2020-12-01,3.210425
2020-12-02,3.2809238
2020-12-03,3.343317
2020-12-04,3.3914812
2020-12-07,3.452847
2020-12-08,3.4078858
2020-12-09,3.450869
2020-12-10,3.471251
2020-12-11,3.4307194
2020-12-14,3.4854667
2020-12-15,3.5244179
2020-12-16,3.5097775
2020-12-17,3.4863353
2020-12-18,3.5191212
2020-12-21,3.5383399
2020-12-22,3.4955716
2020-12-23,3.3707395
2020-12-24,3.370717
2020-12-28,3.27985
2020-12-29,3.5796862
2020-12-30,3.7627435
2021-01-04,4.490476
2021-01-05,4.632248
2021-01-06,4.6370215
2021-01-07,4.6449175
2021-01-08,4.473402
2021-01-11,4.337923
2021-01-12,4.276195
2021-01-13,4.286352
2021-01-14,4.322483
2021-01-15,4.2867184
2021-01-18,4.197623
2021-01-19,4.2098913
2021-01-20,4.3303814
2021-01-21,4.2993116
2021-01-22,4.302816
2021-01-25,4.3580217
2021-01-26,4.331099
2021-01-27,4.3362274
2021-01-28,4.3487215
2021-01-29,4.1095085
2021-02-01,4.1979737
2021-02-02,4.3264136
2021-02-03,4.468644
2021-02-04,4.4476414
2021-02-05,4.426043
2021-02-08,4.4307103
2021-02-09,4.4552317
2021-02-10,4.5366783
2021-02-15,4.6436625
2021-02-16,4.58499
2021-02-17,4.6363935
2021-02-18,4.5668497
2021-02-19,4.4705367
2021-02-22,4.4046216
2021-02-23,4.3314447
2021-02-24,4.330062
2021-02-25,4.6059093
2021-02-26,4.5782747
2021-03-02,4.6000137
2021-03-03,4.640805
2021-03-04,4.6074996
2021-03-05,4.5573235
