날짜,종가,전일비,등락률(%),시가,고가,저가,거래량
2022-06-30,"16,075",-320,-1.95,"16,225","16,265","16,075",274
2022-06-29,"16,395",-85,-0.52,"16,485","16,485","16,395",121
2022-06-28,"16,480",-15,-0.09,"16,595","16,595","16,480",44
2022-06-27,"16,495",280,1.73,"16,430","16,610","16,380",245
2022-06-24,"16,215",225,1.41,"16,045","16,290","16,045",151
2022-06-23,"15,990",-40,-0.25,"16,030","16,180","15,885",175
2022-06-22,"16,030",-455,-2.76,"16,330","16,385","16,060",645
2022-06-21,"16,485",95,0.58,"16,430","16,570","16,405",155
2022-06-20,"16,390",-200,-1.21,"16,460","16,460","16,250",876
2022-06-17,"16,590",-70,-0.42,"16,315","16,620","16,315",821
2022-06-16,"16,660",90,0.54,"16,875","16,945","16,660",583
2022-06-15,"16,570",-365,-2.16,"16,800","16,800","16,555","2,241"
2022-06-14,"16,935",-140,-0.82,"16,800","16,920","16,690","5,187"
2022-06-13,"17,075",-520,-2.96,"17,295","17,295","17,075","2,958"
2022-06-10,"17,595",-155,-0.87,"17,665","17,670","17,595",261
2022-06-09,"17,750",-10,-0.06,"17,755","17,790","17,690",55
2022-06-08,"17,760",35,0.2,"17,800","17,805","17,760",274
2022-06-07,"17,725",-370,-2.04,"18,045","18,045","17,695",133
2022-06-03,"18,095",105,0.58,"18,165","18,165","18,095",441
2022-06-02,"17,990",-175,-0.96,"18,160","18,160","17,990",103
