날짜,댓글,조회수,좋아요,싫어요
2022-05-13 19:02,sbs 는 영업이익    억 나와서 잔치   ,391,1,1
2020-08-05 14:14,영화 다만악 대박임,444,7,1
2020-08-05 11:51,개잡주  희망회로   돌리지  마라      ,144,0,2
2021-10-20 11:56,쉿  설레발금지,157,0,0
2020-06-23 12:44,코스닥 오를 땐,163,0,0
2021-06-30 15:16,답글 핫빛든디 ,131,0,0
2021-08-06 14:54,아이구,216,1,0
2021-03-16 10:03,캐시카우 아이즈원버리면 음반사업 수익나오   ,202,9,1
2020-06-24 11:23,CJ ENM 쓰레기   강성주주님들  ,194,0,0
2020-12-04 09:06,찔금올리고 눌르고 아        내가    ,121,0,0
2022-02-08 21:59,물분 보류,175,2,0
2021-01-11 11:42,바닥권 우량주임,192,0,0
2021-03-04 09:52,오를수밖에 없는 주식,198,0,0
2020-11-03 09:14,역시 실적,228,1,1
2022-01-07 09:25,아이고  그래가,156,0,1
2021-09-30 18:49,이 종목 추천한 사람 주변있냐 근데  ,1079,11,8
2021-08-02 09:37,기존주주인 내말안듣드나    ,379,1,2
2022-05-30 12:50,어익후 똥 밟았네,191,3,1
2020-08-06 14:42,오늘 종가 맞추기,184,0,0
2021-01-29 08:46,오늘주면 튀어라   ,205,0,1
2021-04-28 13:44,Per    공매도 정조준,167,2,1
2022-02-09 10:12,에스엠 인수는 부담  넷마블 주식  반    ,162,1,0
2021-05-28 14:57,조루다,159,0,0
2021-08-11 12:54,답글  삭제된 게시물의 답글 SM 인수가 지옥   ,304,0,1
2020-10-14 08:57,한투도 리포트,238,2,0
2022-02-10 16:06,실적이 얼마나 안좋으면,447,2,2
2021-06-14 22:13,기다리면   ,275,4,1
2020-09-21 10:50,        ,179,0,0
2021-11-15 11:57,그래도 enm추천은 계속된다,348,4,3
2021-02-09 00:59,낼 오르긴한다,201,0,0
2021-02-16 14:25,거래량이 진짜 잣같네 ,191,1,0
2021-07-05 10:20,오늘 전쟁났냐 수급 왜이래,175,2,1
2020-08-06 11:02,아이즈원  월에 온라인 콘서트 한댄다,176,3,3
2022-01-07 13:55,중권방송에서 cjenm,611,0,1
2022-03-13 08:07,이번 정부에서는 CJ그룹이 잘나가겠네요,910,5,14
2021-03-26 12:08,이종목 하루 오른다고 해서,112,1,0
2020-07-15 08:33,어젠 약했어,117,1,0
2021-02-18 14:14,콩알만한 주식들고있으면서 기관 외인 이길   ,275,1,3
2020-08-14 13:11,답글  삭제된 게시물의 답글 명품 CJ 랑     ,147,0,2
2021-02-22 14:30,기관 연기금애들과,133,0,0
2020-06-22 16:18,과연 기관들   ,610,5,1
2021-02-05 15:58,진짜 cgv합병시키는거아니냐    ,580,2,0
2020-11-26 00:45,오늘 떨군이유      ,260,0,2
2021-05-07 13:17,      공매 청원이나 좀 해라 개서리   ,181,3,0
2021-08-13 11:35,이제 곧   본데이     ,760,2,5
2020-08-26 11:31,본주 반등 하는데 뭐하냐      ,178,2,0
2022-04-27 11:08,윤재앙 수혜주   ,216,11,2
2022-02-09 12:55,물적분할 재검토라는건 결국 안한다는거지,245,8,0
2021-11-30 12:52,행님들 지금이라도 팔아야하나요,772,4,1
2020-07-06 15:21,파신분들  ,423,2,0
2020-11-10 13:36,역시,118,0,0
2020-07-11 14:38,조용히들 계시면 어느날   만원대 있습니   ,505,12,7
