날짜,댓글,조회수,좋아요,싫어요
2021-03-02 10:11,KB금융   호재다 주주들아 갭상가자,367,2,2
2022-04-20 10:12,조만간  ,478,3,0
2020-07-28 08:53,오르기보다는,232,0,0
2021-03-09 09:03,악  어제종가에들어와서,227,1,0
2021-07-26 18:52,에이치엘비에서 왔습니다,718,3,7
2021-02-01 10:43,개장전거래       개꿀        ,506,3,0
2020-08-10 12:55,오버슈팅 나오면 신고가까지 볼수 있다,151,2,1
2021-11-26 11:35,탈출,413,1,3
2020-06-16 08:12,어제도    먹고  ,405,2,8
2020-06-17 09:40,최소 어제 가격까지는 터치하니  ,198,0,1
2022-01-13 13:17,감사합니다  잘 먹고 갑니다   ,1035,10,1
2020-08-06 09:38,역시 사람의 욕심은,170,4,0
2021-02-05 09:28,욕나오는데   불확실성 해소인가  ,218,2,1
2022-01-10 22:26,배당도 먹고 주식도 오르고,312,13,0
2022-02-11 09:49,도대체왜 걸어다니면서 담배피는거냐 니들은   ,451,5,3
2021-05-09 21:20,연금에 대한 지급보장에는 문제되지않도록   ,160,0,1
2022-02-11 17:36,개미  프로  정도  보유,560,8,0
2022-07-06 10:47,문재인이 싸 놓은 떵 치기   ,280,6,23
2021-05-08 03:10,기준금리 통화정책 회의보다는 국민연금 보   ,282,0,1
2022-03-07 23:54,내일도   퍼 찍겠네,396,3,0
2020-12-21 12:59,사유화된 민간기업에서 노동하는 국가주체들   ,151,1,0
2020-06-16 23:29,KB ,615,1,5
2022-06-30 13:52,중간배당 입금은 언제쯤  ,635,0,0
2021-03-13 09:04,채권금리가 올라도 시장의 반응이 없음,521,6,8
2020-08-26 11:07,벌써 인도 은행 인수는 주가에 반영된거라   ,386,2,6
2022-02-10 20:16,Kb은행,393,9,1
2020-12-23 13:47,백신이 효과가있다고 장담하고 보증하는 인   ,161,0,0
2021-03-11 15:40,만기일 이런 상황 싫어서 무조건 정리한다   ,579,2,2
2020-11-05 12:38, 만 천,199,1,0
2022-01-12 14:37,답글 궁금한점 ,238,3,0
2020-09-02 10:00,답글  삭제된 게시물의 답글 올해연말 당신의    ,116,2,0
2021-06-04 03:37,팝콘기계 사서 맨날 팝콘만들어서팔면,182,0,0
2021-02-24 09:33,금리인상설돈다,192,4,1
2021-09-02 16:43,우정본부는 블록딜 했다던데 넌 뭐하냐,967,7,1
2020-12-23 13:30,삼만원대 가즈아  ,309,7,0
2021-01-26 22:26,답글 개잡주 낼      ,76,0,0
2020-07-13 13:10,더올라라,524,5,0
2020-12-09 12:42,수학능력시험이 종료된 수험생의 건전한 경   ,152,0,0
2022-06-30 16:29,대출금리 내려라 궁민 다 중는다,121,0,1
2022-01-10 23:01,OOO들,406,0,4
2020-07-07 08:51,오전에 최소      원대 도달,354,3,1
2020-06-04 09:54,손바뀜 ,208,0,0
2020-09-28 08:47,시가   만주 매도합니다,302,1,5
2022-07-04 13:55,블랙먼데이        ,212,6,0
2020-12-20 12:54,KB금융 주식차트분석 및 상승여력 전망,234,0,0
2021-05-03 11:39,지역상품권   지역사랑카드 애용해주세요,162,0,0
2021-09-14 12:24, 차 저항선      원 넘어야 ,259,4,0
2021-07-22 17:08,카뱅 공모가 확정,401,4,1
2020-12-03 14:53,심신의 안정과 정신수양이 필요한 주체를    ,109,0,0
2020-11-25 13:36,Kb증권 팔고 메릴 사네 ,184,1,1
2021-08-04 11:56,  층 거주자입니다 ,522,11,0
2021-01-25 19:24,음,140,2,1
2020-08-26 10:50,얘는  배 배오른주들같이 쳐박네,150,0,0
2021-07-08 13:38,은행주 보험주 철강 조선    계속 조정   ,299,1,1
2022-03-30 11:44,분기배당금,519,0,0
2020-07-24 18:53,재 입성 인사드립니다   ,396,8,0
2020-10-15 09:31,어쭈   너 잘버틴다 ,213,2,1
2021-01-20 09:27,조금만 더,125,1,0
2020-07-12 16:45,두가지 종류의 kb 패배자,650,5,0
2022-07-05 11:51,우리은행의 자사주 취득에 이어 다른 은행   ,204,0,1
2020-10-06 14:14,우매하고 멍청한 개미들   ,755,8,3
2020-07-01 04:36,파월이가  경기바닥첫다,708,9,2
2020-11-02 19:36,부럽,829,2,1
2020-12-07 13:41,주택이 부족하고 주택을 더 공급해야한다는   ,260,1,0
2021-11-05 12:43,  ,377,8,2
2020-06-23 13:20,용트림 한만 보여도  ,195,1,0
2020-07-03 13:33,단거리 손님 거의 하차,380,6,1
2020-06-25 09:49,  층에서 목 놓아 기도 올리고 있습니다   ,347,1,3
2021-03-08 10:18,심약 개미들아   천까진,332,3,2
