날짜,댓글,조회수,좋아요,싫어요
2021-04-21 08:15,  조 억원대 LG디스플레이  올레드도    ,267,6,1
2020-07-12 22:36,답글  삭제된 게시물의 답글 벤츠 납품은 악재   ,273,3,4
2022-07-04 13:22,빨랑 파란불 키자   ,93,0,0
2022-06-28 13:48,법인세  종부세 내리고  ,240,18,8
2022-03-28 08:36,배당금  ,788,0,8
2021-11-24 08:45,LG디스플레이 사망자  명 이거 뭐야,360,1,3
2022-03-18 11:36,테마주여 뭐여,301,2,1
2020-10-21 11:09,LG디스플레이는 ,215,3,0
2020-06-08 21:57,답글  삭제된 게시물의 답글 밑에 글이나 삭제   ,227,3,0
2021-10-13 14:06,LG브랜드가 두산보다 못하네,188,9,0
2022-03-02 14:09,단  도 올라가지 못하게 막네,135,0,2
2021-12-23 13:15,                  ,100,2,0
2021-05-11 16:25,   천에 반등 가능 분할 추매대기,147,2,1
2020-12-04 11:40,  만주,201,1,0
2021-07-05 09:11,오늘부터 공매도 폭격 시작,80,0,2
2021-02-10 15:46,야이 잡 부  랄  쌔   퀴들아,277,4,3
2020-08-24 13:48,     뚫어라    ,152,1,0
2021-09-30 10:26,삼성      짱깨산 부품 얼마나 쓰는겨   ,162,3,1
2021-05-28 18:02,웃기는 개미,320,3,2
2020-10-15 10:26,   찬티들이       클릭하지 마세요   ,130,0,0
2022-02-17 18:32,와   대  박 ,360,5,1
2022-07-08 14:09,엘전은 나락가는데 버티네 ,220,0,3
2021-06-18 12:18,모가니 모가지 날아가불겄네,113,1,0
2021-04-30 13:29,   ,85,0,0
2021-09-07 12:37,Jp모건 형제들 골드만이 UBS CS     ,338,11,1
2022-05-13 10:29,아    미안해   ,309,0,6
2021-06-17 08:44, 엘디스탑 함께해요 ,138,3,0
2020-10-21 19:33,답글  삭제된 게시물의 답글 똥퍼 츨현   똥   ,127,1,0
2020-08-24 09:46,답글  삭제된 게시물의 답글 저는 주식창 한달   ,197,2,0
2021-12-10 00:46,주주들에대한 죄값으로 배당금 이빠이줘라,511,19,1
2021-01-29 11:06,실적발표하고 떡상한다더니   ,192,0,0
2020-10-28 09:44,팔고,151,1,0
2021-05-03 15:08,왜오름 ,136,0,0
2021-11-01 14:48,십자가에 목 메는 패턴이네,252,3,5
2021-08-02 17:13,계단식  하락시작입니다 ,207,6,5
2021-10-01 10:29,코로나 이전을 생각해,248,1,2
2021-03-17 18:23,     원이 심리저항선인거 같네요,257,5,3
2021-09-27 16:08,돈벌려면 이딴 주식 필요엄따,257,9,2
2022-04-08 01:55,이 좋은놈이 안가다니    ,215,4,0
2021-09-16 23:12, 아이폰    BOE 조건부 승인  별    ,489,12,3
2021-08-17 12:31,대표적 공견 놀이터,95,0,0
2021-03-22 14:29,매도하라던 쉐이들,151,0,0
2021-05-24 11:29,애잔하다,150,1,2
2021-04-16 12:23,메르세데스 벤츠   더 뉴EQS  첫 공   ,255,5,1
2022-06-13 13:23,외국형들이 밀어서 반대매매 터트렸네 ,260,7,1
2021-05-13 13:41, 속보 애플 이슈 발생,184,0,0
2022-02-17 09:52,   개잡주 등극,88,0,1
2022-04-11 23:03,지난  년간 중에서 요즘 최후발악 ,480,15,8
2020-11-17 21:44,본준아 꿈은 크게 가져야지    그룹명    ,246,2,0
2021-09-19 16:29,봐봐  전부다 공감만 박히잖아요 ,373,2,9
2021-01-21 09:09,시작 상한가가 오후 하향가던데   ,109,0,0
2020-09-11 15:37,답글                          ,208,0,0
2022-02-24 11:12,기관,102,0,0
2021-04-13 12:05,공매도 세력의 장난이 보이는듯  ,193,5,0
2022-01-05 11:31, 실적반영  초저평가 LG디스플레이      ,213,1,0
2021-07-19 08:12,시민단체 경실련 공매도 서명운동에 동참해   ,129,1,1
2021-05-03 09:24,공매,105,0,0
2021-11-05 09:32,공견들 쫄았네 ,156,1,1
2021-04-07 14:56,치고 올라가기전에 한번 흔들어주는것,254,7,1
2020-12-21 10:23,떨어지거나 말거나,276,3,2
2021-08-28 12:40,답글 반사다,470,23,2
2021-05-14 08:49, 월달에 정리할껄  ,139,3,1
2022-06-14 12:55,액면가     원,121,1,0
2021-01-11 16:01,조만간에 급등할듯   ,1388,7,7
2021-02-09 10:44,오늘 장 왜이러냐,145,0,0
