날짜,댓글,조회수,좋아요,싫어요
2020-12-23 14:09,니들 전부,215,0,0
2022-05-19 10:42,엘전 물리신분들 보세요,391,0,1
2021-05-07 14:54,   가 급등이라는 주린이,463,1,0
2020-06-17 15:50,올라도 내려도 기쁘다  ,845,7,3
2021-01-29 14:06,진짜 싫다,327,2,0
2021-12-09 15:50,강모야  너부터 바까야 쓰긋다,590,20,2
2021-04-30 14:08,은성수의 승리  ,213,1,0
2021-07-07 13:36,아무리 흔들어도 나는   ,438,3,0
2021-01-30 09:39,답글 쌍봉을 쳤는데 아직 주식을 쥐고 있는 사   ,542,0,1
2020-10-06 13:56,개미들아,655,2,6
2021-01-19 19:59,종토방에서 하루종일 죽치는 홍어련들,312,4,10
2020-10-16 16:02,     미만까지는,1605,14,6
2022-04-07 19:02,빠진다고 아가리 터는 새끼들,490,12,3
2021-12-08 11:24,질질 새제 ,456,3,0
2021-01-12 00:21,롤라블   ,588,0,10
2022-05-19 18:56,헬쥐전자는       원 뚫릴각오 해야한   ,350,5,0
2020-06-18 09:55,오래간만에 고향을 오니 좋네      ,492,0,0
2021-04-05 14:44,결국 ,325,1,0
2022-05-11 14:05,엘전,438,0,0
2020-08-10 11:17,Vi걸리겟는걸   ,613,0,1
2021-12-23 12:42,분할 할려고하나 ,707,1,2
2021-01-08 09:31,실적발표 몇시일까요 ,448,0,1
2020-12-30 14:46,연휴끝나문,335,1,0
2020-06-23 15:22,시외 떡락     ,421,2,8
2021-11-22 07:48, 애플카 최대 수혜는 LG전자 LG디스플   ,575,4,1
2020-09-15 01:00,혁신,813,13,4
2021-03-30 09:30,애플이 아니라 마그나가 하고싶다고 이야기   ,448,0,0
2021-06-30 13:16,전장이고 지라  이고,464,3,2
2021-07-08 09:34,      원 매도,424,1,2
2021-09-30 18:20,아닥,230,3,0
2022-04-29 09:42,IR좀 제대로 해라,676,2,0
2022-06-20 14:28,정부는 뭐하냐 ,828,3,3
2022-01-17 10:52, 똥물오줌물도 제대로못튀기는것들이 무슨    ,251,0,1
2021-01-22 09:11,대피,300,0,0
2020-06-05 15:44,다음주엔      원대,862,11,1
2021-10-07 09:35,어종하,273,0,2
2022-03-31 19:13,걸레리콜전자 내일도 하락,612,5,7
2021-09-17 08:35,저 어제 손절함,292,0,2
2021-07-13 17:45,답글 남아공 LG전자 공장 터졌다고해서 놀러왔   ,592,7,0
2022-07-01 10:37,그냥 단타,527,4,0
2021-07-16 09:00,  만 어서 깨러 가자꾸나,468,2,1
2021-04-16 12:17,월요일 매수해야지,497,4,2
2021-04-15 12:18,     층 주주님들은   그냥 조용히    ,477,6,0
2021-01-11 11:53,근데 좀 웃긴게,419,0,0
2022-05-04 14:54,하루종일,689,0,3
2021-11-25 20:53,대한민국의 미래,356,2,4
2022-01-24 22:20,애플    깨짐,578,3,1
2021-08-23 19:24,전기차는 전고체배터리 아님 개망이다 ,920,7,0
2021-03-23 15:57, 년이상 지켜보려고 샀더니만   ,550,6,0
2021-02-22 11:46,하나,305,0,0
2021-01-20 00:33,공매도  월 재개반대 및 공매도 폐지 국   ,374,2,0
2021-09-06 09:01,철수하라,302,2,2
2022-01-14 15:43,월요일부터 날라 가겠네요  ,1460,9,7
2021-10-12 12:09,바보들  ,365,0,0
2021-01-18 10:52,진짜 근데 조만간 애플 뭐시기 기사뜰듯,332,1,3
2022-02-16 13:21,   ,280,1,1
