날짜,댓글,조회수,좋아요,싫어요
2021-02-26 14:21,떨어질때도 놀래키드만,277,1,0
2021-05-18 12:29, 므슨 일이고  가자 쌍      ,870,1,0
2021-04-27 08:43,잡주가되어가는 구나,139,0,0
2021-02-08 08:50,어차피 다시 오릅니다 제발 생각좀  ,103,0,0
2021-02-08 16:32,금요일 신용    억 이거 아작났네,261,6,0
2021-02-25 15:36,여러분 대장주로 오세요,330,0,0
2021-01-11 12:17,조루네 ,290,1,0
2021-01-20 08:44,욕심이 과하면 배터진다,178,0,1
2022-03-03 12:53, 만,445,4,2
2021-02-08 00:12,기사 다시 났어요,305,4,2
2021-02-22 20:00,답글 한숨,400,0,0
2021-02-08 13:03,헤으응 ,210,0,0
2021-02-18 11:41,삼성출판사 나스닥 상장 소문 돕니다 ,547,0,0
2022-03-02 15:21,개주식,297,1,0
2022-04-05 13:12,기아     억  탄소부채  초비상,1105,1,3
2020-11-27 15:09,욕하면서도,612,3,3
2021-03-14 01:00,인도에서 한국의 bmw,1587,1,3
2021-10-16 11:19,아름다운 조정 기아  흙속 진주,1890,2,6
2020-09-17 09:43,미친거래량 머고,236,0,0
2021-01-20 10:36,종목명 기아로 언제바꾸나요,194,0,0
2021-05-13 01:16,미국장 박살나고 있는데   ,1095,2,1
2021-02-03 10:18,계단식 상승,216,0,0
2021-03-10 12:01,매도금지,458,1,1
2021-01-13 15:31,   안착  ,536,12,0
2021-01-30 20:21,애플 이슈 선반영 ,849,8,1
2021-02-06 17:58,토론방을 보니  ,151,2,0
2021-01-17 23:21,  만 가면 차산다 ,503,2,0
2021-02-09 13:13,받치고 있다가 손모가지 날라갈줄 알았다    ,197,0,0
2021-02-07 08:37, 만원주식이,167,1,1
2020-12-15 14:50,노조와는 절대 협상하면 안된다  하시는    ,794,9,4
2021-02-07 19:50,여기,123,3,1
2021-02-03 16:30,    년  월  일,532,1,2
2021-01-20 15:32,털려서 슬프지만,273,4,1
2021-02-08 15:04,빨리팔아 탈출은지능순이다 빨리팔아 마지막   ,100,1,0
2021-09-29 09:19,폭락장이지만,758,1,2
2021-01-20 10:11,한국 개미 거지만들기 프로젝트,171,1,0
2021-03-07 18:48,미국 부양책 뉴스나오고 나서,1162,6,1
2021-02-09 12:33,곧  시에 기아발표 시작이다,310,4,1
2021-02-09 17:45,현대차증권에서 주가방어 공시,452,5,0
