날짜,댓글,조회수,좋아요,싫어요
2022-05-12 12:15,이러지마,166,3,1
2021-06-15 21:17,MARVEL FUTURE REVOLUTI   ,276,2,2
2021-05-26 10:49,    ,158,0,0
2020-09-17 15:41,후     ,721,11,0
2020-06-18 08:45,모지  장시작전왜떨어지지 ,151,3,0
2020-07-06 14:40,       개쳐물렷네,266,0,0
2021-02-05 09:13,개미들이 겁이많아서,305,0,0
2021-07-19 14:07,      원   개 추매,294,0,1
2020-08-04 11:53,상한가까지 오늘 생각하지 말고 사도  찮   ,147,1,1
2021-01-08 11:12,넷마블,310,0,0
2022-04-28 09:12,할말이없다,86,0,0
2020-10-16 06:16,  ,94,0,0
2022-05-12 20:04,아니 근데 인건비가,161,4,0
2020-07-05 20:37,수급이 말해준다,427,3,0
2021-06-10 12:37,넷마블 이쒜끼루들아 ,100,1,0
2020-10-15 11:38,악재는 끝났다    ,139,2,0
2021-06-15 07:04,페미의나라,114,0,4
2020-08-27 14:06,사회적 거리두기  단계 임박  지수하방    ,334,0,0
2020-07-03 12:17,     올리고 설거지시키는 클라스      ,326,1,5
2022-05-25 11:42,종가  퍼 마감,134,0,0
2021-02-26 13:05,더 내려가도 되,138,0,1
2020-09-04 11:23,상매도 걸어 공매 박멸 ,98,5,0
2022-02-15 19:14,덜떨군 게임주들 도장깨기중인거 같은데,341,3,0
2020-08-07 13:43,미국선물봐라  담주 밧데리도 깊은조정시작   ,161,4,0
2020-07-14 22:11,현재 공매도 개선 방안 국민 청원 동의해   ,186,0,0
2020-08-25 13:37,BTS 코인,354,0,0
2021-07-01 13:10,gogu   정신애자 이늠아 ,106,6,2
2022-05-13 10:13,이제들어가면되는거아님 ,197,0,1
2020-07-08 12:01,      만가면 파는새기야 그만팔어라,129,1,0
2020-11-24 17:04,  만원오면사야징 ,163,2,0
2020-08-07 14:58,대박 호재,244,2,0
2021-06-18 12:32,공매도 치는것들,249,0,1
2020-06-24 11:23,그럼 그러취 바로 떨어지네,103,1,0
2021-06-07 15:52,지금 들어가도 돼요 ,670,1,1
2022-01-20 14:14,역쉬 투자의 달인이구먼   ,235,1,2
2021-07-05 20:17,넷마블이 가는길은,182,2,0
2020-10-13 07:44,   설마,172,3,1
2020-08-14 12:12,넷마블 페이스북 처럼 가보자,107,0,0
2020-12-30 13:26,너도좀 가보자,113,0,0
2020-09-03 09:54,방탄소년단이 세운  싱글차트     위는   ,196,0,0
2021-01-13 12:57,사과할건 사과하고  줄건 줍시다,162,0,0
2020-11-18 12:05,세나  실화냐 ,340,3,1
2021-02-05 12:21,설 앞두고,130,0,0
2020-08-13 07:58,이제적금 들어던거 회수 할때이네        ,90,0,0
2021-10-14 14:13,코스피    포인트 내리는동안     원   ,375,1,3
2020-11-12 15:13,  내일도 내리면 종가매수,155,3,1
2022-05-04 10:43,방의장이 쇠파이프 만든다는 강한의지,119,4,0
2021-04-27 11:26,역시 오늘도 고점부근에서 키움 매수세     ,99,2,0
2021-05-04 11:14,이렇게 대놓고 악질적으로 공매처서,143,4,0
2022-01-14 02:25,그래도 넷마블은 오른게없어서 별로안떨어졌   ,201,1,0
2022-04-12 13:23,웹툰회사mou에 오늘은 퍼블리셔   위    ,198,4,1
2020-09-03 07:57,  개잡주전문가입니다   아마도 오늘부터   ,153,2,1
2022-05-27 12:13,오늘부터 공매률 내려갈듯,108,0,0
2021-06-12 10:20,답글 페이트 그래더 오더도 넷마블거란다,400,2,1
2022-04-26 18:23,미안  교환비 다시 나옴 처음 오류였음    ,345,3,1
2021-06-14 09:10,  돌파,129,1,0
2021-09-17 10:15,진짜 기가 맥히게 나왔다   ,119,0,0
2020-10-07 10:03,기를쓰고 처 누르네,227,6,0
2020-07-12 21:37,  개잡주전문가입니다   아마도 오늘부터   ,188,1,0
2021-07-13 10:55,답글  삭제된 게시물의 답글 저기요  여보세요   ,124,2,1
