날짜,댓글,조회수,좋아요,싫어요
2022-02-07 14:49,답글  삭제된 게시물의 답글 평가익,69,0,0
2020-09-21 04:01,주식사랑,465,8,0
2021-07-02 09:51,답글 소액주주 뭉치자,157,5,1
2020-10-25 10:57,물산은 오르고 전자는 내림 ,372,2,0
2020-12-28 14:36,지금사면 꽁돈받는겨,666,2,4
2021-06-18 12:32,답글 안녕하세요 문안인사 드립니다 ,182,0,1
2021-07-16 09:29,답글 누가 판다고했냐  개뿔,447,1,2
2022-07-07 12:32,개털나고 개평받으니까 좋아 ,156,0,1
2020-11-21 16:54, 주식 투자하면 돈 날리는 유형  가지    ,547,12,1
2020-11-10 19:22,애증에 종목,869,16,2
2022-06-21 17:02,지배구조 시나리오 예상,798,8,8
2020-07-07 12:32,지하실까지 가자  ,221,3,0
2020-10-26 11:34,우상향주식,192,1,0
2020-06-25 09:31,매도벽 삼성증권이네     ,213,13,0
2021-04-21 06:40,이재용을 당장 사면하라  문재앙이를 대신   ,400,18,3
2021-02-01 08:48,KCC  국민연금  ,330,1,0
2020-10-26 09:51,      ,182,1,0
2021-06-15 14:58,  만원 깨고 선넘네,355,3,1
2021-05-04 13:20,안티가 너무 많아     찬티튱들 등장좀   ,194,1,0
2022-03-25 05:35,수주할수록 내리는 회사,184,4,0
2021-03-09 15:24,이넘은건설주가아닌가 ,301,8,0
2021-04-26 19:49,삼생 게시판 보면,364,0,0
2021-02-23 18:31,아니,1228,6,4
2020-08-27 15:28,    쓰레기주식     ,202,11,0
2021-08-11 14:50,삼성종합화학 매각한걸로 화나 인수해라     ,317,1,1
2020-07-24 23:47,윤석렬총장 고민의 시간,636,30,3
2020-08-28 08:16,자사주 매입이라도 해라  ,192,8,0
2022-03-17 09:33,낙폭과대주,238,1,0
2022-06-25 14:19,여담입니다만    만약 삼성물산의 삼성가   ,498,16,1
2021-09-09 08:46,홍준표 대통령되면 떡상한다,169,5,7
2021-04-21 11:21,살다살다 이런쓰레기주식은 처음봐요,236,7,0
2020-09-02 02:17,삼물은 ,335,13,1
2020-06-15 12:51,우선주 상이면,518,4,1
2021-01-28 11:14,뉴스에 팔고 악재에 사라,189,1,0
2022-04-21 09:35,여기 왜이렇게 경영자가 많죠 ,104,1,3
2020-09-03 19:40,외 기님들아,208,5,0
2020-12-09 09:44,어차피   월말이면 상속세 부분 오픈된다,325,3,0
2021-02-05 17:05,시장은 항상 옳다  저평가 이유를 분석하   ,713,9,10
2020-10-26 18:28,외국인 저정도 빠져도 외국인지분 퍼도안대,445,1,3
2020-06-15 11:49,못뚤는다,172,0,1
2021-03-02 18:09, 조    억 수주,280,2,7
2021-04-13 09:29,실적좋은것은 알고잇는데,208,0,0
2021-12-29 15:29,배당,649,34,2
2022-04-29 10:38,역시,207,2,0
2020-11-19 14:50,삼성  가문,312,4,1
2022-07-04 14:26,  만원에 팔자가 만주는 깔려 있나부다    ,191,0,2
2021-03-04 10:33, 조 천억수주,169,1,0
2021-11-16 13:22,만약에 이재용이가 사망하면 주가는  올라   ,427,11,3
2020-11-05 09:22,오백물산 또는 일천물산 ,123,0,0
2020-10-06 15:52,공정경제 법 통과되면 물산에 좋은거 아닌   ,294,4,0
2021-02-20 17:00,             원 되면,1143,2,13
2021-03-31 10:59, 주식시장은 데이터에서 그누구도 숨지못한   ,196,1,1
2021-02-02 10:30,      원도 재수 없으면 찍을듯   ,247,4,1
2021-03-25 15:45,오늘 SKT 의 주총 결과로 재벌의 지주   ,1285,22,0
2022-01-28 10:57,지배구조 개선 열차 출발    ,435,14,2
2020-12-09 15:59,모텔신라로 오세요,307,5,1
2022-02-21 10:17,국내 주식으로 돈 벌기에,264,7,13
2021-04-08 15:29,            ,228,1,0
2021-11-26 15:14,  주 최저가달성 기념일,226,2,2
2021-07-27 10:26,오늘그냥   뚫자,289,8,1
2021-12-20 09:29,비용시니가튼 주식,179,9,0
2021-08-07 16:08,답글  삭제된 게시물의 답글 여기가 이재용이    ,435,7,6
2020-08-18 14:35,저승사자 출몰후,144,3,0
2020-10-04 16:04, 경제와  주식은  심리가 큰 영향을 끼   ,380,5,1
2022-05-20 17:10,구주주에게 보상하라 ,367,11,2
2021-10-09 15:32,삼성물산 화요일 하한가 마감,1229,12,14
2021-11-23 20:59,시간외,627,10,7
2021-02-28 11:19,몇년을 내리막길,443,6,0
2021-12-07 09:50, 국가금융자폐 ,171,0,2
2021-04-05 14:20,예언갑니다,763,0,5
2020-06-15 11:40,재용이형 믿었어요 ,199,3,0
2022-05-03 10:03,투표,167,3,1
2022-04-15 16:47,우크라이나가 개 OOO이냐,160,0,0
2020-11-20 19:19,개잡주  ,374,9,2
2021-01-18 15:35,빠르면     늦으면      특사로 사   ,658,2,3
2021-01-08 14:21,       ,564,10,1
2022-04-27 05:48,오늘 미국 폭락,194,1,0
2021-06-03 13:42,이거 수익내기 힘든      ,153,0,0
2022-03-14 09:10,난 항상 일관성 있게 이야기했다 정권교체   ,333,5,3
2020-09-02 21:24,개나 소나 다 두배,349,15,0
2020-10-26 18:08,내일   만원     돌파하겟네요,972,14,4
2022-06-30 19:09,네옴시티 같은 소리 하구 앉었네,662,5,13
2021-06-09 07:33,원전관련주 맞나요,407,1,1
2021-02-22 11:34,아직 사지마   ,388,6,2
2022-04-18 21:36,오늘 발 한짝은 걸쳤습니다  ,195,2,0
2021-04-02 14:30,공매 풀리는 코스피    선매도 공매 안   ,209,0,1
2021-04-08 16:08,건설주 요즘 연중최고가인데 ,505,7,5
2021-05-03 11:38,본좌가 시초에 정리하라고 했지  ,170,0,1
2021-09-29 15:28,Nigimi C  Zot,221,9,1
2020-11-12 12:58,저,303,9,0
2020-06-08 18:08,이재용 구속되고 일본계 미쓰비시랑 경영권   ,425,3,10
2021-02-15 09:40,이거의완전쓰레기잡주군 ,225,0,0
2020-10-27 09:59,투신 이샛기들머하냐,210,3,0
2020-10-26 20:38,외인들,1126,0,2
2021-05-03 09:53,역시 무거워  ,159,2,0
2020-08-10 12:06,삼성생명 지분법 통과되면 삼물한테 좋은거   ,282,4,1
2020-11-12 14:48,어떤 유튜브 좃문가가,934,2,6
