날짜,댓글,조회수,좋아요,싫어요
2021-01-25 09:47,답글 자사주 매입하여 주주들 가치제고를 위하여   ,113,1,1
2020-08-23 02:40,답글  삭제된 게시물의 답글 적정가,374,6,1
2020-10-27 09:33,결국 찐카가 드러나는구나,123,1,0
2020-12-08 09:14,조선도 갈듯,193,3,2
2020-10-19 09:59,삼척동자도 알고 있다  ,342,12,0
2020-11-17 13:23,배당파티 박용진 테마주편입,206,1,1
2022-01-23 19:27,지주사 전환을   월말에 안해서 왜 그랬   ,412,15,4
2020-06-25 14:20,기운들 내라,261,0,3
2022-04-04 14:39,솔직히  만원대는 선넘엇다   ,590,10,5
2021-11-25 15:36,공매  프로 절대상승없다,189,3,1
2020-07-13 11:14,삼썽증권,306,3,1
2021-11-03 15:36,앞에 삼성 붙은거 사지마라,335,14,2
2020-06-29 09:45,하락에 선두자리를 고수합니다 ,264,5,1
2021-07-26 15:38,카카오가    지분 인수하면되겟다,310,9,3
2020-11-11 09:05,지금파는애들,217,4,1
2021-12-06 18:33,답글 현시점 매수로 보는 근거,111,0,1
2020-08-19 14:12,달콤한 말들로 꼬지고 자빠졌네,126,0,0
2022-01-14 17:47,삼생주식은 금리와 관계없다고 쌍것아 ,275,2,1
2021-02-01 10:29,회사이넘들 삼성전자주식은폼으로갖고있나 ,131,2,0
2020-12-30 15:39,답글 그룹에서 삼생은 내년  만원 폭락시킵니다   ,184,3,0
2021-06-22 12:29,하루에 천원씩만 올라두 좋겠네  ,212,1,1
2020-09-01 13:14, 시 상,261,5,1
2021-01-22 13:51,답글 그래 던지라 내가 받을께,129,2,1
2021-10-08 14:52, 전영묵 대표이사 사퇴하라  주가폭락,295,10,3
2020-11-02 12:33,우째 이전보다,273,5,1
2021-05-04 14:35,오  오,281,3,1
2020-06-25 14:07,세법개정해서,343,4,0
2020-08-19 09:44,삼성전자 보유지분가치   조 인데       ,144,3,0
2022-04-13 14:29,모으고 모으고 또 모으네  ,212,2,5
2020-11-02 10:57,못올라게 말뚝박는거냐 ,237,3,1
2020-06-26 18:01,    는  더   야해  올리더라도최소   ,183,1,1
2020-08-14 09:08,용늬 ,90,0,1
2020-10-29 02:10,삼성에서는,501,1,1
2021-11-17 14:37,임원들줄사표내겠군 ,192,0,2
2020-06-26 10:50,마지막 탈출 기회입니다 ,185,2,2
2020-12-22 12:45,삼성생명 배당금 발표 나왔나요 ,271,0,2
2021-08-22 22:43,국내기업 적정가 정리,331,2,1
2020-09-15 09:07,용병 개시들 JP 따라하냐,123,0,0
2021-09-14 09:08,설레발 필패,191,4,2
2021-01-08 09:28,악질도  등,125,6,0
2021-01-22 10:15,흔어서,273,0,3
2020-10-22 14:27,중국에  넘겨라,148,2,0
2022-02-05 15:50,자사주 매입해라 개식니들아  이게 대한민   ,323,11,1
2020-11-13 14:39,삼전 지분 때문에 오신 분,237,1,3
2022-07-08 13:09,어제 종가 누른거 겨우 회복,203,6,1
2021-03-22 01:09,eco자사주매입,309,1,2
2020-08-07 22:31,계단식 하락,636,1,2
2021-10-20 12:20,답글 자사주를,155,0,3
2020-06-20 22:41,삼성생명    곰매알밥들아  ,337,1,4
2020-08-17 22:19,내일 삼전 떡고물좀 떨어지려나 ,468,1,0
2021-11-17 10:08, 만 초반에서    ,145,2,0
2020-08-13 18:14,하루   짜리,351,3,0
2021-11-18 14:51,한생이랑 너무 비교되네,230,2,2
2020-11-26 21:25,근데 징계받으면 뭐  어쩌라고,478,5,2
2021-07-27 11:56,삼성생명 더 이상 떨어지기 어렵다고 봄,360,1,3
2020-09-08 10:12,이거 안봤으마 오늘 팔았을껄   ,260,1,2
2020-08-28 08:41,운명의   MA 도킹     ,111,2,0
2020-08-24 14:12,삼생법 통과시 수십조 삼전 매도        ,172,1,0
2021-02-18 15:46, 거래일,419,3,3
2021-08-11 13:55,이제  빼기시작,442,2,5
2020-06-14 17:39,존리강의 들어보면,255,3,5
2020-08-12 09:34,이 주식은 현재 반의반 토막이다 ,218,1,0
2021-08-28 15:07,답글  삭제된 게시물의 답글 또 다시 준비할때   ,645,9,1
2020-12-31 10:29,삼생   년 년말 목표주가는  만원 입니   ,575,3,5
2020-08-12 14:47,곰매물량 털어버려    동학개미야 가즈아   ,73,1,0
2021-09-01 14:03,드릅게 눌러쌌네,313,13,1
2021-10-06 09:56, 만원 뚫으러 가즈아   ,241,1,1
2021-02-10 11:25,그리고 양키년들은 진짜 양키가 아니야  ,146,1,0
2022-03-26 12:12,미국 채권보고와라 연기금 든신들이 웬일로   ,419,2,2
2021-01-04 11:22,삼생 누르기시작하여 개미 주식 다터러 먹   ,169,0,2
2021-07-09 07:50,삼생 때문에,154,1,1
2021-01-29 17:02,이거 각이 나오네,230,12,0
2021-04-27 09:11,이런지랄은 상하가 징조,244,5,2
2021-04-14 13:43,뭐여 이유가뭐여  ,335,0,1
2021-08-06 11:13,니기미  ,399,5,0
2021-01-01 13:42,답글  삭제된 게시물의 답글 감사합니다 새해    ,324,4,3
2020-09-24 09:14,     갈듯,95,0,0
2020-08-20 09:08,팔지마라 삼생 호재있는데 에휴,121,0,1
2021-10-12 15:10,드라군이 돈빌려달라고 하면 빌려줄 용의가   ,244,3,5
2020-07-14 09:30,자사주 소각해라,193,2,0
2022-02-10 09:18,우리회사도  삼생사장같으면  부러울게,321,7,1
2020-12-18 15:18,삼성생명은 환자들 보험금좀 제때 지급해라,236,3,4
2021-10-29 11:58,삼성생명법을 통과시켜야한다  계열사지원을   ,179,6,3
2020-08-13 17:03,단타 다 빠진듯,163,2,2
2021-08-31 12:40,야 고만 던져라,262,2,1
2020-10-27 22:48,낼   퍼 오르겠네,771,13,3
2020-09-02 09:18,동학개미와 외인들의 애국심 싸움,109,1,0
2020-08-19 17:09,골드만이 저런기사 써준건 오히려 엄청난    ,265,4,2
2021-03-18 15:40,와시   발,163,2,1
2020-08-18 11:45, 만원  천주있는데 팔어  말어 ,290,0,0
2020-08-06 09:32,야들아,144,1,2
2021-04-12 11:40,한화생명 일주일동안    오르는동안 삼생   ,253,6,0
2022-06-13 08:40,환율보소     원,492,6,5
2021-04-14 14:27,못 먹어도 고 ,332,4,0
2020-09-21 15:27,궁금해서 물어 보는데요    ,915,2,14
2020-06-26 10:14,닭의 목을 비틀어도,173,1,4
2021-01-21 16:52,외국인전략,590,0,2
2020-11-18 10:17,무조건   만 갈듯 합니다,415,6,3
2021-03-16 18:38,진인사대천명,386,3,3
2021-08-26 09:49,날라가즈아   ,109,0,1
2020-11-05 09:16,아따메야 ,121,1,1
2020-12-21 16:09,기타법인이 어디여 ,521,5,5
2020-08-13 17:47,종가배팅 ,196,1,1
2022-03-04 10:35,어떻게 해서든 주주돈 빼돌려 성과급 나눠   ,215,11,1
2020-10-26 10:23,삼성생명 상승 투자 분석 및 예측,259,1,0
2021-01-11 15:37,삼성생명 얼마나오를까,845,5,5
2020-06-03 11:56,  삼생이 갈 수밖에 없는 이유  ,774,7,2
2020-10-30 13:15,  나  임직원 조작질로 인해,348,9,1
2021-01-08 17:54,삼성전자로는 거하게 벌었는데,245,3,0
2021-04-09 15:51,테스형 삼생 주가가 왜 이래 ,327,3,1
2020-11-30 11:21,형이다,301,4,2
2021-04-21 12:20,모건형들  시에 온대요,161,0,2
2020-12-21 09:47,대박 시간표  급박하게  다가오고있다,163,3,3
2022-03-16 17:03,주총에서 욕먹을까봐,207,5,0
2022-05-24 08:51,돔황챠   라     너네들은    ,124,0,3
2020-10-26 09:23,만원까지 오르다 하락중,206,2,0
2020-10-25 14:56,삼성생명,279,5,2
2020-09-15 15:03,이제 출발 하려나봅니다 갑시다 ,249,5,1
2021-12-17 10:07,꿀 떨어지는 소리나는 거 봐라   ,256,1,2
2020-12-29 12:33, 만원 이제 안온다,556,6,4
2021-02-23 12:06, 자 달면 너를 반드시 버리리라,539,7,1
2022-01-06 15:53,기타법인 이서현이사장 물량일까요 ,617,4,4
2021-12-23 09:03,주거니 받거니 고만하고 배당이나 주라     ,335,3,2
2021-01-05 11:51,  일선 밑으로 빠지는것보고 던졌습니다,192,3,2
2021-08-20 14:41,OOO주식 작년부터 다른거 다 가는동안    ,169,4,0
2020-10-26 08:58,삼생은 미래가치 따질 필요없을듯요 ,170,3,1
2020-09-09 00:29,삼성생명 무조건 사야할 이유다 ,1299,32,6
2021-12-29 08:29,배당락으로 얼마가 찍힐까 ,539,3,3
2020-08-14 10:30,안팔고 잘참았다,134,2,1
2021-07-03 22:00,삼성생명 목표주가,420,4,4
2021-06-11 09:37, 대표이사 때려쳐라  주가폭락 책임지고    ,217,4,1
2020-08-13 21:54,올해적자만  조나는 sk이노베이션에서 저   ,437,7,1
2022-06-07 15:14,진짜 파렴치하다,202,7,1
2020-08-18 20:35,불사조    ,511,1,1
2021-07-21 18:15,아 좋다,188,4,2
2021-01-04 13:42,주식못하는 사람들 보유종목중,494,7,2
2020-10-25 18:12,드디어,236,2,1
2022-01-24 09:33, 폭락시도 블록딜      원 대표 사퇴   ,152,2,0
2021-04-21 15:18,언론통제를 하지 않고서는 이렇게 조용할    ,1070,43,4
2020-12-11 10:37,답글 야   너는 갈켜줘도 못 주워먹는 빙이잉   ,130,0,0
2020-10-28 15:05,아버지 초상날에도 조작질,195,3,2
2020-12-09 09:23,주주분들 의견 부탁드립니다 ,356,3,1
2020-10-25 10:12,막상 돌아가시니 기분 이상하네요,634,14,1
2021-05-09 14:18,답글 화룡점정은 에피스 상장아니겠나 삼바 시총   ,418,14,0
2020-08-14 10:54,삼성생명이 언제 테마주가 된거야,150,4,1
2020-11-18 10:49,답글  삭제된 게시물의 답글 드라곤의 힘으로    ,115,0,3
2021-04-29 21:29,날파리                      ,327,5,4
2020-08-18 10:23,삼성바이오는   만원 넘었네 ,135,2,1
2020-08-20 10:04,삼바 위등극       ,276,2,3
2020-08-13 15:15,아       방금 매도햇는데,213,0,0
2020-08-13 22:45,딴거 필요없다,380,7,2
2020-11-17 14:01,진짜 먼가 있는갑다 ,290,1,1
2021-11-30 15:52,속보,283,4,1
2021-08-10 09:31,체결강도       초      주,100,0,0
2020-09-01 14:29,세금 제대로 내고 살자 ,150,1,0
2020-12-14 08:14,삼성생명 주주 단톡방입니다,210,0,4
2021-10-28 14:01, 만대,131,0,3
2021-05-07 15:13,한치의 오차도,648,15,3
2020-09-07 00:58,  르끄 찬티 졸라 많네  ,323,6,3
2021-08-05 12:51, 만 천 뚫으면 알지   ,443,2,2
2020-07-29 15:07,삼썽질나 증권,187,5,0
2022-05-16 17:29, 억  가자,334,3,5
2020-11-10 14:12,삼성법때문에  전자지분  처분 ,220,3,0
2022-03-07 11:42,이죄용 이 개 가튼 노메 자식,223,22,3
2021-08-12 15:47,내일 실적발표,854,6,3
2020-12-22 09:51,오를까봐 매도벽 겁나 쌓아 놓고있네,205,4,1
2020-09-25 10:55,오늘부로 조정끝,137,4,3
2020-09-01 14:17,Afro가 상한가 간다고 할 때 알아봤다   ,153,0,0
2020-09-11 14:50,다음주는             원 넘는다   ,383,6,3
2021-11-23 09:39,고배당 고배당 하는데 배당금 만원주나요    ,190,1,4
2020-09-02 11:26,회사의 본질 가치로 판단하면,163,4,1
2020-08-13 20:21,야들아  형이다  필독,216,2,5
2020-06-24 09:10,삼성증권 특명이다 방어해라,121,2,0
2022-01-06 15:24,주주총회때 쳐들어가야합니다,450,21,2
2021-03-21 00:57,궁굼해여,707,0,5
2020-08-22 21:19,삼성생명,416,1,1
2020-08-13 20:05,한심한 찬티들아,431,1,11
2020-08-25 13:38,곧  코로나이전가격      원 간다 ,160,2,3
2021-02-16 09:41,삼생이도 매수 바스켓에 꽂아주면 안되겠니   ,188,4,1
2020-09-04 13:14,월요일의   MA선 자리에서의 치열한 공   ,124,1,1
2020-08-20 08:27,답글  삭제된 게시물의 답글 기관 평단은 생각   ,80,0,0
2021-03-26 22:31,SK그룹 지배구조 해결하네 ,257,1,5
2022-06-09 08:43,자꾸 외국인 수량이 안맞네    ,180,1,3
2020-09-11 13:19,투신하고 진짜 양키가 눈치까고 들어올거야   ,163,3,0
2020-08-19 09:46,삼성생명이 가는 이유  삼성전자 지분때메   ,224,0,0
2020-06-04 23:14,저누,836,16,1
2022-01-28 20:47,작년   년도 배당금     원 배당성향   ,492,22,2
2020-08-13 15:43,실적   년치 이익이,369,0,0
2020-09-10 12:08,현대일렉트릭 팔고,157,0,1
2021-11-24 08:58,반도체 금리인상 고배당 억지로 누른주식    ,130,1,1
2021-11-12 09:42,서현아 니꺼는 그냥 부진이한테 똥값에 넘   ,178,2,1
2020-08-19 01:30,오늘 몽땅 매도하라   ,464,3,9
2020-10-25 14:39,내일 떨어지면 더 고맙고   ,195,2,0
2021-08-17 09:16,죽돌이 COME Back 했다고 저번 주   ,213,1,2
2020-12-21 14:44,재드래곤 재판부 변경   호재 ,483,4,6
2020-08-13 20:42,삼성생명 입장,508,0,4
2020-08-20 12:54,나도 털고 나갑니다,116,1,1
2020-11-25 09:19,삼생이 미쳤네,390,12,0
2020-11-17 08:06,최소 년말 까지 느긋하게 기다리세요 ,239,4,4
2021-10-08 12:55,내가 진짜 궁금한 건   ,266,3,3
2022-05-18 08:02,개인들의 공매도란,173,0,3
2020-12-16 09:45,한생 미친듯이 오르네,269,4,0
2020-11-24 10:36,역시 나의예상이 맞았군,345,5,6
2021-11-25 08:40,삼성전자의       원은 역린과 같은    ,124,0,0
2021-11-30 12:19, 배당수익률      ,253,0,1
2022-02-04 16:45,누가 여의주를 빼앗아가려고 하는가  ,552,12,5
2020-08-11 20:38,떨어질때가 됐는데     ,525,4,5
2021-10-01 09:49,한화생명   프로 오를동안  프로 오르는   ,352,13,0
2021-11-11 23:23,답글  삭제된 게시물의 답글 이재용아 니가 인   ,113,2,0
2020-08-28 10:37,올렸다 내렸다  이제 익숙해집니다   ,114,1,2
2020-08-28 11:06,저번과  같이,231,3,0
2021-01-09 22:00,삼생 담주  만원에 아가리 벌리삼 ,217,0,3
2020-09-03 11:50,그냥 시원하게 올라가자  ,123,0,0
2021-07-06 12:54,힘내,183,1,1
2020-12-09 09:58,이런 기업 마인드로 뭘 하겠나 ,123,3,1
2022-04-15 10:51,금통위 이후 시작해서 많이빠질거라했는데,185,3,1
2020-10-27 08:42,주가 맘대로 누르지 못할것    ,232,5,0
2020-08-18 09:20,금요일 음봉 회복 못하면 망삘인데,135,1,0
2020-08-15 15:39,동학개미들이여   죽돌이를 믿으라   ,283,5,0
2021-03-09 21:11,역대급    등주 삼성생명의 반란   결   ,455,3,3
2021-12-02 09:12,어제 은행    만주 매도 이거 이서현    ,209,0,0
2020-10-26 13:14,오늘 종가 얼마 예상하시나요 ,367,4,0
2021-02-04 10:39,이것만 기억해라 ,150,1,2
2022-03-07 12:48,양심 없는 회사야 주가 방어좀 해라,191,3,1
2020-07-29 15:28,동핵군이 물러가고,270,2,1
2021-11-22 11:06,공매넘들 지옥보내버려라 개그지들,136,1,1
2021-11-15 19:24, 억 손실   이렇게 된이상,449,5,2
2020-09-22 19:13,어이없는 상황,369,2,7
2020-09-17 12:42,이종목은 나만따라오면된다 ,372,4,3
2020-12-22 16:27,이야  만원 맞춘거봐라,454,6,4
2021-06-09 13:22,오르질 못할망정,256,2,1
2020-11-17 18:46,답글 이제  짜는 역사속에 뭍히겠네     ,289,6,7
2020-12-04 09:14,이정도로가면 진짜,148,0,2
2021-09-14 10:30,희망고문같다,404,3,2
2020-06-11 09:32,재용 구속안되니,177,2,0
2020-08-20 19:27,삼생은 코로나보다 삼생법에 영향을 더 받   ,196,3,2
2020-08-11 10:17,   사자마자 떨어지는 클라스 보소,209,2,2
2021-01-11 17:29,지금쯤 최소   만원 가야하는거 아님 ,341,7,1
2020-11-03 12:28,공정거래 위원회에도 담합 의혹 민원 넣어   ,184,1,1
2021-01-06 10:57,답글 상생이 아닌 삼생,115,3,0
2021-12-08 09:54,답글  삭제된 게시물의 답글 너 같은 개하수    ,132,2,1
2022-03-04 12:31,기름값이 오르자  쓰래기 소각열 판매로,233,4,1
2021-11-30 11:02,삼성생명이 아니라,125,3,1
2020-09-08 02:54,에휴    사양산업이라고하는 모지리들     ,287,5,1
2020-10-25 21:21,긴급 속보,466,10,1
2021-11-30 11:24,틀딱주,136,0,3
