날짜,댓글,조회수,좋아요,싫어요
2021-09-17 09:27,아모레가 망하면 한국화장품 시장망하니까    ,252,0,1
2022-05-04 14:53,아모레 판매고가 오르면,374,1,1
2020-11-25 15:43,나라꼴이      ,260,3,0
2021-06-03 12:34,이거 언택트 주였네,369,0,1
2022-04-28 09:57,  분기도 더좋을건 알지 ,145,0,2
2022-04-19 11:12,    외인 파는거 봐라,169,1,0
2022-03-18 13:11,답글  삭제된 게시물의 답글 잘 되새겨 들어라   ,118,1,0
2020-12-14 08:59,시초가 졸라던지네,197,1,0
2021-10-01 11:46,      무너진다  중국에서 안 산데    ,139,1,0
2022-05-31 15:52, 일연속,352,5,0
2020-08-16 19:14,민주당   명심혀라 미국 중국 공산당 도,289,1,1
2022-06-24 07:46, 국제유가는 경기침체예고로 폭락하는것이아   ,216,1,0
2020-06-03 16:50,내도 왈왈이 같이 예측 해볼까    ,324,1,1
2021-12-30 14:28,하 개 잡주,139,1,0
2022-06-22 13:42,자이언트빅스텝,95,0,0
2022-01-12 13:40,자사주매입하라,248,6,2
2022-05-17 10:51,아모레퍼시픽 ,105,1,0
2022-07-08 15:32,윤씨 임기동안  트됨,286,5,3
2022-04-06 20:00,진짜 단순하지만,618,7,3
2020-09-07 08:41, 시장조성자도모자라 하락V뉴딜비즈 이분법   ,153,1,0
2020-06-30 14:32,내일상한가갈꺼지 ,458,7,1
2022-04-18 09:29,바로 회복하지    털리는게 무서운거야,260,3,1
2021-08-12 19:07,허위뉴스라도 좋으니까,456,7,0
2022-06-17 18:16,더 내려라,295,2,4
2020-06-11 15:23,아모르 개잡주,224,5,0
2021-08-02 14:18,지하  층 가는중,155,2,0
2020-06-12 00:09,이놈은 시초가 선방하는척 하다가,202,1,0
2021-12-06 10:55,왜그래   불안하게   ,286,5,1
2021-09-29 03:44,오늘도 개 폭락 ,132,0,2
2020-08-12 12:07,외인들     매도물건 다 받아줘라      ,270,4,2
2022-04-13 18:10,수상    계약밀려들겠네  ,535,3,1
2021-12-16 19:56,  에삿으면,670,2,1
2021-10-01 12:49,추락하는 싱크홀 주식,120,0,0
2021-10-27 12:30,아이고,125,0,0
2020-07-29 11:58,이번주만 버티자,573,2,3
2021-03-10 12:49,신사임당님 뉴스  투자 내용보고 투자하세   ,413,0,0
2022-03-19 12:41,절대   사면   안되는  이유        ,779,7,5
2020-09-18 15:43,답글  삭제된 게시물의 답글 꼰대맞지 ,253,2,1
2020-09-03 21:17,아모레 관점에서  아시아나항공은 제주로    ,254,1,1
2021-03-24 09:14,     별 떨거지들 다기어나와서 까불더   ,124,2,0
2022-01-10 13:49,OOO들아 양봉마무리시켜라,115,0,1
2022-04-08 11:06,오늘,160,1,1
2022-04-20 16:13,튀어야 되나벼   ,197,1,0
2021-09-24 21:20,이게 진짜 코로나 때문인거같어 ,250,1,0
2021-01-08 11:13, 예탁금역풍 이란 단어를 나는 키워드로    ,202,0,0
2020-11-13 06:07,또 신기록   ,453,2,1
2022-05-18 01:22,한동훈이는 중국에서 하는 수법으로 작전치   ,179,2,0
2020-06-30 10:19,중국경제지표 발표   ,589,3,0
2022-03-17 09:35,뭐하는거야  ,134,4,0
2020-11-17 15:53,외인 하루 최다 매수 기록,360,3,0
2020-06-18 08:43,에효   ,160,0,1
2022-04-27 21:59,최소       ,280,3,2
2021-02-12 01:59,매출 왜 이렇게 됐음 ,903,1,0
2020-09-25 08:44,주식을 그렇게했는데 나이를 똥구녕으로 쳐   ,261,2,1
2020-08-13 15:07,잘먹고,453,3,4
2021-02-05 09:56,    개한심 주주들    ,144,1,0
2021-10-29 19:30,아모레 핵심 설화수,317,0,5
2022-03-17 09:59,    재밌게들 논다,142,2,1
2021-08-03 13:54,누가그러더만,252,4,0
2020-06-17 07:37,회사 미래는 직원이 잘알지 ,525,2,2
2021-03-08 11:40,  어차피   만원대는 온다  나도 그걸   ,488,2,7
2020-08-03 17:09,  죽은 자식 부랄 만지기  속담 ,268,4,4
2022-02-25 17:22,개미들이 유입되기 시작했다,502,3,0
2021-10-12 09:56, 분기 실적발표 나야 반등온다,179,1,0
2022-04-07 12:24,무지한 나에게 고점에 사서 장기투자하라는   ,240,1,1
2020-06-30 13:09,중국 최대 온라인여행사  방한상품  판매   ,175,3,2
2021-08-13 18:31,  만쯤에서 기다리고 있음 되는건가,270,1,3
2022-04-15 14:22,여기 배당 진짜 줘여  ,376,1,1
2020-06-30 11:44,최고 수혜주가,170,0,2
2021-08-10 10:35,OOO 오늘 음봉 ,273,2,1
2021-01-28 05:37,한한령 해제되냐 속보,499,3,0
2020-06-10 14:30,드뎌 외국인 매도에서 순매수로  전환중,528,8,4
2022-03-17 09:34,혼자 지옥으로 간다 개 잡주,119,2,0
2021-03-05 14:54,내 평단    에 사니 어제부터 확 떨어   ,592,3,1
2020-08-06 19:29,이거보다 콜비가 훨나은듯   ,172,0,2
2021-10-08 10:17,매일 공매도 타령   ,169,0,0
2021-09-09 13:03,오늘   만 가는건가,79,1,0
2021-01-13 22:47,per가 너무 높당  ,323,1,2
2021-06-28 09:32,아니 대체 왜이렇게 떨어지는건가요,1366,1,0
2022-07-03 10:31,중국과 단교하라고,298,13,2
2022-07-05 17:31,이 종목이,120,2,1
2020-06-30 14:13,기관이 호구도아니고 왜 매집하겠냐,186,1,2
2020-06-29 10:39,금욜 자고 일어나보니,323,3,1
2020-06-30 13:41,아모레퍼시픽       년  분기 Pre   ,148,0,0
2021-09-17 10:58,흥보형 우짤라고,383,8,3
2022-06-30 17:03,외교를 원칙대로 하다니    ,157,29,0
2022-03-20 18:58,요즘 인터넷으로 쇼핑하지    ,444,11,0
2020-12-15 20:52,단타치는 사람들은 주식이 아니라 도박을    ,417,4,2
2021-11-18 10:14,  기분이 좋아요 ,147,1,2
2020-11-25 07:39,  미국 다우지수        돌파,166,2,0
2020-09-28 09:09,왕이방한  시진핑 방한 예고   ,392,0,0
2022-03-19 12:29,  일 중국 광둥성 선전시 봉쇄일부 해제,406,0,2
2021-02-16 14:22,신용이 발목,412,6,2
2022-06-22 23:58,정혜진 현대차증권 연구원 얘는 질이 참    ,191,2,0
2021-02-02 09:39,화장품은 꾸준하다  ,300,4,0
2021-11-26 12:16,와   홍보 계속 틀리네   ,559,10,0
2020-09-07 15:43,IR만 전내 해대면서 회사 조졌다고 광고   ,392,4,0
2022-06-24 19:41,흥보가 입만 닫으면,283,4,0
2020-11-27 13:35,망설이면 품절,351,2,4
2021-12-02 10:25,왜 이리 오르냐 뭔데 ,608,0,0
2022-06-21 10:31,호가창은 올라야 맞는데   ,203,2,0
2021-09-30 11:32,OOO들  오를라니깐  쳐빼는거봐라,128,0,0
2021-09-09 10:49,공시 확인하세요  ,283,0,0
2020-06-04 15:36, 월초에 화장품 관련주 사놓으면,417,2,0
2022-07-04 10:56,나도 한 번 불러보자,117,5,1
2020-07-09 13:26,개 잡주네,143,1,0
2022-04-28 10:44,와   퍼가 오르네 ,161,1,0
2020-11-27 11:13,그이상하네,200,2,0
2021-07-05 10:41,처음주식시작을 아모레로했었는데,292,1,1
2021-09-08 22:04,너는도대체먼데,264,3,0
2022-04-20 15:25,몇개월을 힘들게하더니만  ,351,0,0
2020-07-01 10:09,  만원대 물린 분들도 계시나요 ,349,1,1
2020-09-03 15:43,우와    원 올랐다,288,3,0
2022-04-28 10:09,쫄보에 현실 입니다  ,118,0,0
2021-07-01 14:27,뭔일 있나요  ,242,2,1
2021-08-18 23:56,내일 무조건 장대불기둥 ,232,2,2
2022-03-18 16:50,F F는 어제 오늘 올랐는데,214,2,2
2022-03-15 21:20,향후시나리오 재미삼아,329,2,7
2021-09-28 13:57,거래량터 네,129,1,1
2020-10-30 14:54,마지막 개미 털기가,310,2,5
2020-12-05 14:50,다음주   만 볼듯 중국 주가 한한령해제   ,938,20,5
2020-10-09 08:58,일간투데이 진핑이  사실이냐  방한,560,1,3
2020-09-10 15:42,내일은 거래량실린 장대음봉,393,4,0
2022-01-08 18:39,주주가 되었네요 ,640,13,4
2020-08-23 23:38,급 안티 천국이네,184,0,2
2021-12-16 13:10,오늘 내일 개 박살 나야 하는 이유,323,2,1
2021-05-23 15:20,중국반응 대체로 차분한거보니 okay싸인,401,6,0
2021-10-07 09:53,      흐메 풀싸롱 가는 날이다      ,281,1,0
2020-08-07 09:41,  만,240,0,0
2022-06-21 14:11,상한가에 매도걸어둬,167,1,1
