날짜,댓글,조회수,좋아요,싫어요
2020-08-14 10:05,      내년   만원이다 뭐다 하는    ,259,1,2
2021-05-10 09:21,딱히 악재도 없는데 안 가는 걸 보니,165,0,0
2021-07-09 11:50,개,74,2,0
2021-05-31 12:06,답글 이마트는 백신 접종률 높아질수록,166,1,1
2021-04-14 15:04,뭐여 아직 이마트를 보는사람들이 있는거여   ,260,2,2
2021-06-08 21:26,답글  삭제된 게시물의 답글 매수하고 싶냐 ,69,0,0
2021-09-09 11:51,결국 또        원    ,548,6,0
2022-01-11 04:00,빨갱이 기법 공개,139,2,1
2022-01-09 15:05,윤석열 테마주로 누가 묶어주면 인정한다,101,0,0
2022-04-27 19:45,틀딱주식,80,0,1
2021-01-26 10:05,정용진은 정말 노답이다,113,1,0
2021-11-11 15:24,여기 실적 괜찮네요,290,1,0
2022-02-04 09:50,평단       인데 언제 팔까,787,0,5
2020-06-18 19:50,이마트 무인편의점,345,1,1
2022-02-17 14:46,코로나 끝나면 온라이에서 오프라인이다 알   ,144,0,1
2020-08-18 14:36,  만원에 판 개미들은 얼마나좋으냐,133,3,0
2022-06-22 09:42,선제타격 핵전쟁,108,2,1
2020-09-14 09:06,여기   층인데 아    ,169,0,0
2020-12-17 20:51,답글 유상증     ,157,1,1
2021-07-07 21:33,답글 델타변이     명씩나오고 있는데 이마트   ,90,1,0
2020-09-22 09:18,형들아 이미 들어왔으면,140,2,0
2021-06-25 11:14,결국 승자는,157,1,0
2020-09-28 19:09,답글  삭제된 게시물의 답글 제일 걱정은 민주   ,97,0,1
2020-08-21 18:36,답글  삭제된 게시물의 답글 이 주식  사지    ,220,1,0
2021-11-24 21:18,이마트 박스권 가둬둔게     ,165,1,1
2021-06-25 10:19,이마트 손절하고 카카오 매수해,99,0,1
2021-03-10 09:20,희안한게,143,0,0
2020-08-10 13:32,전량매도  ,138,2,0
2020-09-16 21:12,답글  삭제된 게시물의 답글 민주당은 재난질병   ,98,0,0
2022-01-10 11:44,정용진 군면제,166,6,1
2022-01-08 16:39,미국 최대 무역상대국 짱괴,117,1,0
2020-08-08 18:55,답글  삭제된 게시물의 답글 형 오늘 이마트에   ,147,0,3
2022-01-17 09:14,나도 한때는,164,14,1
2021-02-22 09:10,시작이 좋구만,440,2,0
2021-06-07 16:48,답글  삭제된 게시물의 답글 이베이의 저주가    ,128,0,0
2021-11-25 12:39,콩콩콩하지말고 주가관리좀 하자,203,8,1
2021-04-23 17:51,애는 왜 뉴스보면 이거저것 많이 하고 다   ,323,3,1
2022-06-17 06:48,다우 나스닥 확인하세호 ,143,3,2
2022-04-28 10:43,답글 이마트 살때 마우스클릭한 손으로,266,2,1
2020-11-11 13:47,바이 바이  ,277,1,0
2022-03-01 11:28,답글 뉴스에 팔아라 ,189,0,0
2021-12-23 09:36,용짐이형 무섭다 ,405,7,0
2020-06-26 12:33,신세계 날아간다 너도좀   ,156,2,1
2021-07-19 16:26,솔직히 더 떨어질 줄 알았는데,562,3,2
2020-09-24 11:24,답글  삭제된 게시물의 답글 그냥 놔두면  개   ,64,0,0
2022-06-14 06:35,            ,118,1,0
2022-05-30 09:13,물려있는분들 안타깝지만,183,1,1
2021-06-13 11:43,이마트 구단주 만들지 말고 주가나 관리하   ,291,4,3
2021-01-11 18:19,답글  삭제된 게시물의 답글 이마트 주주들 내   ,149,1,0
2022-02-14 13:37,멸공  ,183,3,3
2020-09-10 19:36,       에서 익절하고 떠납니다,934,23,4
2021-08-11 09:32,   수익 먹고,337,3,3
2021-07-27 15:18,공매   만원대 복귀    ,432,1,6
2021-01-15 09:59,  만원에서 팔기 아까웠는데 더 담을 기   ,375,2,2
2022-03-10 08:03,멸공 ,100,0,0
2021-06-10 12:10,여러분 ,176,2,0
2022-01-10 10:07,멸콩    ,88,1,0
2020-09-07 12:35,  만 뚫으믄 하아  ,177,5,0
2022-05-18 13:46,여기도 많네 많어 ,160,2,8
2020-09-03 15:56,답글  삭제된 게시물의 답글 오늘 수급 존망,147,2,1
2021-01-09 08:42,  만원 지지 하는거보고 더담앗당,268,5,0
2021-01-26 09:22,적자덩어리 공놀이 왜하누   ,91,1,0
2022-02-18 14:01,정용진 부회장님만의 장점,292,3,9
2021-06-18 13:21,시장은 급등 이마트는 폭락,151,0,0
2021-06-08 10:10,답글 정용진 정게에 진출하면   만 간다,125,3,2
2022-06-15 16:48,금리    인상 예상 되네호 ,173,2,3
2022-01-27 14:37,답글  삭제된 게시물의 답글  님들 나 몰빵,112,1,1
2020-08-17 09:29,냉철 분기 이마트좋을것,241,0,0
2020-11-12 15:42, 년 물려있었는데 ,775,7,0
2020-08-10 14:42,떠나며  한마디   만원 까지다   ,382,1,2
2021-01-26 09:37,    ,112,0,1
2021-05-11 16:12,수익 났을때 팔아야 한다,174,6,0
2021-01-11 13:46,love     왜 말이 없누   심심하   ,105,0,0
2020-10-28 18:45,이마트주식 내년에 목표가 어디까지 보세요   ,583,2,2
2020-11-11 23:59,일단,453,1,3
2022-06-13 14:25,Bjt  모지리,150,4,2
2022-02-22 12:29,개잡주보다도 못한주식이네,105,3,0
2022-06-22 09:52, 만원 터치다운 오늘 인가효   내일 인   ,95,1,0
2021-07-08 09:17,나가리다요,138,3,0
2021-05-08 08:11,다 용진이 때문이야   ,447,15,2
2020-09-14 16:29,답글 이마트 낼부터  거래일 연속 하항가  ,207,1,1
2021-12-27 16:18,신세계 이마트 주가 떡상하는 방법,273,1,1
2021-08-05 09:48,아  X 너무한거 아니냐고,308,3,0
2021-08-03 09:19,재용이는 감빵에있어도 회사다챙기고 주가도   ,197,1,0
2021-10-03 19:57,답글  삭제된 게시물의 답글 bjt애 분수를모   ,214,0,1
2020-09-30 14:47,답글  삭제된 게시물의 답글 간첩이 정권을 잡   ,145,0,3
2021-06-17 01:21, 조 언제 회수 할래 ,642,8,4
2021-05-17 14:30,매출 급상승인데 주가 꼬라지하곤,120,0,0
2022-06-30 21:05,답글 멸공 멸공 외친 사람 때문에 이마트는 오   ,188,1,0
2020-07-22 09:11,정용진 유튜버 진용진을 만나자,240,0,1
2021-01-29 12:10,답글  삭제된 게시물의 답글 너무도 달다   ,81,0,0
2021-06-17 15:43,이베이 싸게 인수하려고,326,5,1
2020-06-08 13:09,답글 답답이들아 효성 ,177,0,0
2020-08-24 09:46,개미들도 놀래서 도망가내  ,177,4,0
2021-06-04 09:03,스타벅스 지분 인수   뉴스 좀 내봐요    ,401,2,2
2020-10-23 10:10,   어차피,337,5,5
2021-06-24 20:01,들뜬 개미들 많은거같은데,401,11,3
2022-05-25 11:00,발기부전주식 개마트,119,9,1
2021-01-27 11:59,이십까지 볼랬는데,251,2,1
2021-07-27 12:39,  ,95,2,0
2022-02-17 12:40,멸공,97,1,0
2022-01-09 18:59,멸콩 보고 왔습니다,122,2,0
2021-11-20 12:05,벤츠  유니클로  월마트 CEO가,323,16,1
2021-01-12 12:06,이마트 가지고 있는분들은 필 독,273,0,0
2021-08-13 15:34,슈카형이 광고하니깐 오르네,886,3,8
2022-07-08 10:46,오늘자 선데이서울  ,280,13,5
2022-06-22 10:46,   까지 그냥 다이렉트였네,133,4,0
2021-08-05 10:47,  만 위에 안착하는 과정,311,3,5
2022-01-12 20:42,답글 난 정용진,64,0,0
2022-02-22 19:09,이거  만까지가겟다,191,5,1
2022-01-25 20:24,오늘은 햄버거 처묵 코스프레때문에 바쁘다   ,138,6,1
2022-02-16 14:53,멸공 이겨내자 멸공,106,0,1
2022-03-21 13:30,스벅 상장 시기 빨라지는듯,318,3,1
2020-09-09 15:14,마니오르네,132,1,1
2021-04-13 20:23,답글 불가리스 독점공급 이마트,133,1,1
2021-01-22 11:17,황소 한마리 들어왔는감 ,129,1,0
2021-10-06 18:49,  층,585,3,0
