날짜,댓글,조회수,좋아요,싫어요
2020-08-29 13:49,죽기전 마지막 불꽃,1429,1,1
2021-05-14 19:22,다음주 주가예상  신규매수  물타기 절대   ,1964,6,18
2020-11-13 15:53,dddd또 출몰햇네,533,2,0
2022-02-14 10:11,IR팀 전화번호,1026,11,0
2021-03-17 10:40,오늘  만원도 찍을기세네,618,1,2
2020-09-22 13:26, 만원가면 시총  조원대    ,283,2,2
2022-03-25 13:38,조선 올해도 적자예상  미포  분기      ,906,3,3
2020-12-29 15:19,철저히 소외  똥걸이 파워 죽여준다 ,545,1,0
2021-08-09 13:08,해양플래트 수주,815,1,0
2022-02-16 15:21,카타르는 아직도 꽝 ,1156,13,0
2022-07-07 08:49,한조 매각만이 답인가,677,0,0
2021-08-26 11:47,조선주 수퍼싸이클    개소리,1067,3,1
2021-03-26 11:40,뭐예요뭐예요 웅성웅성,662,4,0
2021-05-26 09:10,가자 한조해 ,426,2,0
2021-09-17 15:03,한조해 다른조선주에 민폐임,484,1,0
2022-01-19 15:10,에휴   ,676,5,0
2021-07-02 06:41,주주가치는 개나 준 회사    ,266,4,0
2021-04-22 15:40,여기 헛꿈 꾸는 인간들만네,1323,1,16
2021-09-30 14:19,음 그냥 이 가격이네,623,3,0
2020-06-03 10:49,물량을,643,1,1
2020-10-26 21:00,내일 급등 이유,569,0,4
2021-05-28 12:53,약,547,1,0
2021-09-08 10:32,일단 어제 전량 매도,666,3,2
2020-06-23 10:24,   또 존버라며 자위할려고 ,652,3,0
2021-06-24 13:00,하락마감할듯,566,0,0
2021-09-23 09:12,양아치회사,516,1,0
2022-03-31 21:03,삼호를 상장하고 현중은 상장하지 말았어야   ,553,7,2
2022-01-04 12:55,뉴스보고 왔습니다,670,0,0
2022-04-19 11:46,현중처럼 쭉쭉 올라갈수 있을까 ,754,6,0
2021-10-26 13:27,역대급 실적 나오는거 아닌가 ,1040,1,0
2021-12-22 20:45,삼호중공업 상장은 피할수없는 선택인듯 싶   ,684,0,2
2020-08-13 08:43,유가,530,2,1
2021-02-22 15:46,번갈아가며       난리구나,750,1,2
2020-08-03 12:46,    억 적자난 삼중은    일선 위에   ,633,1,2
2020-06-29 21:43,   진짜 조선주 사는거 아니라닌까,1122,2,3
2022-04-28 14:47,홈페이지 실적발표 들으세요 주주님들,701,3,0
2021-03-25 15:10,주포가 누구여  ,1158,2,1
2020-06-03 10:07,답글 투기는 확실하게,562,0,0
2021-01-20 14:56,      원 누르는      주 기관,492,0,0
2021-03-16 13:03,한국주식에서 조선주 빼고 사라,1128,9,3
2020-06-30 12:55,구조조정 이유,646,1,0
2021-09-17 10:57,좀 비상식적으로 빼네,475,1,0
2021-07-13 23:36,좀더 오르기를  ,571,1,0
2020-06-02 08:39,답글  삭제된 게시물의 답글 상간다,642,0,0
2021-07-08 12:13,대해적시대 열렸냐   ,87,0,0
2021-01-29 11:33,답글  삭제된 게시물의 답글 수주받으면 머하요   ,468,0,0
2021-04-13 10:45,하락,921,4,1
2022-01-24 02:07,삼성은 왜 물적분할 안하지 ,1150,4,0
2020-09-22 21:57,스트레스로 인한 머리털은 ,315,2,1
2020-10-12 12:50,중이 싫으면 절이 떠나면 된다,445,1,3
2021-04-14 15:53,예상대로 장마감 매동은 기관매수네요 ,973,12,1
2021-07-07 15:32,염승환   행시 놀이해봐요,213,1,0
2020-11-25 08:22,시총이  조야  ,793,0,0
2021-06-18 14:41,속보 조선,671,0,1
2020-10-28 10:01,제발 저점이라 생각하고 개미 들어오지 마   ,568,2,3
2021-04-15 10:09,완전,825,1,0
2021-03-08 14:53,주도주다,692,2,3
2020-07-31 16:04,작년 호주 lng 척     억 계약 해   ,749,1,3
2020-10-28 23:05,내일 시초에 전량매도,747,5,5
2021-12-11 21:47,한조 이제 필요 없어졌으니 회사 문 닫아   ,1635,3,2
2021-07-08 12:13,바겐세일 나이따아 ,116,0,0
2021-10-31 11:09,언제   가느냐,1721,5,0
2021-09-17 12:16,지금사도되나요 ,765,1,2
2020-09-07 10:19,오늘도 연개금     ,589,1,2
2021-08-12 22:58,내일은 좀 많이 떨어지겠네요,1011,4,3
2022-02-04 10:43,바이오  ,834,6,1
2021-09-17 10:22,현중 때매 떨어지는건가여,711,4,0
2020-06-11 09:44,게시판특징 ,689,2,0
2020-06-25 08:59,유가 하락에만 반응하는 조선주,624,2,0
2021-05-03 09:18,다른 조선이랑,775,0,0
2020-07-31 16:49,소란들 마세요,768,4,4
2020-11-27 14:01,미포보다 덜 오르고 더 빠지는 이유라도    ,882,0,0
2021-01-25 11:19,와,480,1,0
2020-07-10 10:07,성님들 몇층에 있소,949,2,2
2020-12-22 09:51,잘 먹었다   ,480,3,3
2020-06-10 11:44,삼중우,655,0,3
2021-06-28 12:42,내놔도,331,0,0
2021-04-16 14:02,챠트가,617,1,0
2021-07-05 19:15,노조에게 바랍니다,525,7,5
2020-06-04 09:48,먼저 파는 자 덜 손해,945,2,7
2021-03-16 12:46,  층 가자 샤발라들아,637,1,1
2021-07-21 17:47,한심한   ,443,2,1
2021-01-27 18:37,주식은 불확실성이 최대의 적이다   ,487,3,3
2022-02-25 14:05,엿 같네   ,977,0,1
2021-06-07 12:09,증말 껍때기 회사 되는것인가  ,917,2,1
2021-11-19 10:56,너희말데로,805,5,0
2022-01-04 15:13,반등입니다  속지마세요,761,3,2
2021-06-23 14:32,완전 쓰레기주식이네  ,454,2,0
2021-01-20 13:42,   만 매수가 맞지  ,428,3,2
2020-06-09 09:33,      에 강력본드 붙여놨나,630,1,0
2020-07-08 23:48,젓두네,839,8,0
2021-05-17 10:46,조선  벌 거래가 죽엇다,709,0,4
2020-08-12 09:59,역시      ,518,0,1
2020-08-18 12:32,불사조와 불나방들 ,508,0,1
2021-09-17 12:29,왜 빠진건가요 ,843,2,0
2022-01-22 10:16,수주  매출  이익이 증가하는  회사에    ,1327,1,2
2020-12-09 15:15,종가 보합   ,483,2,0
2021-06-09 12:24,los        kppv 나오라 오바   ,499,1,1
