,date,title,main,comments,"_summary_
                        looks_count",likes_count,comments_count,looks_count
0,06.20,주식 코인으로 돈을 벌고싶으면,가장 먼저 버려야하는게 본전심리파란불 빨간불 일희일비하지마과감한 손절과 익절 짧게 단타본인만의 기준을 가지고 투자해남의말 물어보지도 듣지도말고물론 내말도 듣지마 너 하고싶은데로 해그리고 그 결과는 너의 능력으로 결정된거니징징대지말고,"과감한 손절과 익절 이러면서 돈번대 ㅋㅋㅋㅋㅋ개그맨이넼ㅋㅋ
주식에도 보이지않는 돈의 가치 하락이 반영됨오늘의 1억과 30년뒤 1억이 같지않듯이 그래서 보유기간이 늘어나면 손실날 가능성이 매우크게줄어든다 닷컴버블도 그때 갈기업 갖고있으면 결국회복함ㅋㅋㅋ문제는 갈기업이 대체뭐냐 이게 가장 어려운거과감한 손익절도 중요하지만 결국 매수근거가 뭐냐가 제일중요하다고생각함 
",423,1,2,
1,06.20,미장 국장 중국장 앞으로 어찌 될지 생각 공유해 보아요,"미장, 국장은 적어도 발목 부근까진 온듯전쟁,인플레이션,금리,경기침체 등 ... 지금보다 더 안좋은 상황이 나오긴 어려워 보임개인적으로 1년내로 경기침체는 안올것 같은데 주가는 경기침체 반영중 쌍바닥이 될지 쓰리 바닥이 될지는 모르겠지만3개월 정도 바닥 다지고 오를듯*바이든은 생각했던것 보다 더 게으르고 멍청했고 파월은 외모만큼 스마트하진 않았다중국장은 이미 바닥 찍고 상승 초기 단계실업률 상승,경기 악화로 지속적 경기 부양책 예상빅테크는 규제 완화중전기차 이차전지 태양광은 단기적 조정 받을수도 있지만 연말까지 많이 오를듯최근 외국인 매수세 강함금리를 내릴수 있는 유일한 나라 달러위안 환율, 미국국채금리 안정적으로 움직여 주면 금리 더 내릴지도빅테크를 공산당이 더이상 때리지 않을것이라 보는 이유는 현재 실업률이 너무 높음. 지원은 모르겠지만 최소한 때리지 않을것이라 보고 만약 정부 지원에 금리까지 낮아지면 가장 많이 오르는 섹터가 될지도",0,378,1,10,
2,06.20,레몬.. 사대안맞는 나쁜눔..,아오.. 6월초 10퍼 손절때렷는데 2연상.. ㅠㅠ 못믿은 내가 흑우지. 음머음머~,"다음 팔것도 미리 좀 얘기해줘
그건 그냥 잘못된 시점에 매수를 한거임
첨주식시잗할때도 레몬으로하고 레몬만 타면 이상하게 손절치다가.. ㅠㅠ 이번에 ㄴ꽤 쎄개데여써..
",203,0,3,
3,06.20,존리는 요새 머함,존리 형 무슨말이라도 해봐,"공매도치고있지않을까
존리 할말 없음
리존ㅅㅂ
존리 이제 슬 오르면 나와서 내가 사라했제 무한반복임 그형은
출국하면 못잡지??미국인인데
부동산 아니라면서 회사돈으로 지인 p2p회사 투자햇다던데 ㅋㅋ 검은머리 외국인 믿을수가 업디
월세 살라고 하더니만   자기는 부동산 튜자 ㅎ
존리는 무슨 존식이지
부동산 투자가 아니고 이자 놀이다
부동산 대출 개꿀~~~~~~
",766,1,12,
4,06.20,홍춘욱 박사는 바이 유지,일주일쯤 전부터 바이 의견이었음https://brunch.co.kr/@hong8706/140?fs=es=cl나도 믿고 들어감.,"문제는 지금이 진짜 pbr 1.0보다 낮냐인듯환율1300원으로 재계산해야 한다는 주장이 있음. ㅠㅠ 
오 좋은의견ㄱㅅ
삼프로 강영현님이 한 주장임1050원으로 계산한 pbr 말고1250원으로 계산한 pbr이 필요하다고 ㅡㅡ 
이분 과거 얘기는 줄줄 잘하는데 미래분석은 별로던데. 작년인가 재작년인가 계속 디플레 얘기만 하더니 지금 무슨 꼴이 됐는지
미래분석 별로인건 ㅇㅈ 본인도 인정하더라고 ㅎㅎㅎ
ㅋㅋㅋ작년여름즘에 홍박사 조선주사야한다 한국조선해양추천해서 좀 삿더니 물리고물타고더물리고물타고..휴
그런 새끼 말 듣는 사람도 있구나ㅋㅋㅋㅋㅋ
너 수준은 알것 같다..
니수준은? ㅋㅋㅋㅋㅋㅋ
너보단 홍박사쪽에 가깝겠지
이런 장에는 잣문가 말 믿지 말고 지표만 보고 들어가는게....
존문가
이 책 수거해서 불지르고 싶을 듯 ㅋㅋㅋ
책팔고 싶은거죠..우리나라는 애초에 pbr개념이 먹히질않아요.그냥 갖다붙이고 싶은거죠. 그냥조금씩 무리않되는선에서 사모으는게 맞겠죠.아주 천천히요 
책팔고 싶은건 맞겠지만, 그렇다고 없는 얘기 지어낼 사람은 아닙니다. 홍춘욱박사보다 인사이트 좋은 사람이 블라에 몇이나 될까 싶네요.(그리고 저pbr전략은 백테스트 해보면 적절한 마켓타이밍과 함께 소형주에서 과거 20년간 연복리 25%정도 나옵니다. 기본중의 기본이라 거의 모든 퀀트책에 빠지지 않고 등장하죠. 통하지 않게 된지 몇년 안돼요.) 
삼프로 나오는분이 경제방송 이랑 다를께있나요
통계적으로 보면 살땐 맞긴하던데
동의함
",450,2,18,
5,06.20,지금 대출 받아 분양받는건 무친짓이겠지,금리 8프로 간다는데,0,514,1,10,
6,06.20, 코스피 평균 PBR 0.9배인데,이정도면 발목이지 않을까?전재산 코스피 지수추종 레버리지 들어갈까 하는데 어떰?더 떨어져야 2000 아니겠어? 투표참여105 하나만 선택할 수 있습니다.,"바닥을 벌써 봤니? 주린이들 꼭 바닥도 안보고 발목찾더라
횽 국민학교 세대야너야말로 석유파동은 겪어봤어? 
장기적으로 보면 낮은 가격인 건 맞지만 앞으로 기업 이익도 줄어들면 심리가 더 안좋아져서 0.85, 0.8 깨고 내려갈 수도 있음. 발바닥에서 살 거 아니라면 지금부터 조금씩 사 모아가도 좋을 거 같기는 한데 경제위기(리먼, 코로나 급은 아니더라도 남유럽 재정위기 급) 터지면 더 떨어질 듯.
ㄱㅅㄱㅅ
50% 확 사지 말고 조금씩 조금씩 사는 거 추천.
ㅇㅇ 나도 오늘 레버좀 샀는데근데 뭐 바닥에서 살수가있나 그건 불가능임만약 지수 2000오잖아? 그럼 그때가명 또못삼 매력적이면 사는거지 
지금 0.93
현금 많고 장기 투자목적이면 코스피, 나스닥 둘다 차근차근 담아볼 시기같음
발목이라는데 이견있는 사람은 없을걸하지만 발바닥언저리에서 얼마나 오래 놀지 모르니 그러는거. 버틸 수 있으면 들어가는것도 나쁘지 않다 봄 
환율1300원으로 계산해도 pbr 0.9임?그게 궁금하다 ㅠ 
글고보니 외환위기는 환율 상승으로자국 자산가치 하락외화채무 증가로발생하니기업에도 적용해 보는게 맞네재계산 필요한듯 
주가/순자산가치 인데환율 변동성이 어디들어가는거지?기업의 자산에 변동? 재고자산?근데 보통 수출기업들도 환헷지해서 환에대한 변동이 크게 없지않나? 
자산은 원화자산부채는 달러채권 발행했으면Pbr을 달러로 계산하면분모인 순자산가치가 작아지는거 같은데그런기업이 얼마나 될지는 모르겠지만근데 위에 쓴것처럼외환위기는 자국화폐가치 하락으로자국화폐환산 부채급증으로 생기니까기업들이 외채가 얼마나 있냐에 따라계산이 필요할 수도...(강영현님이 나와서 상세히 설명해라 ㅡㅡ) 
일주일에 10프로씩 분할
코스피 1000까지 내립니다
신용잔고 얼만데 ??
17일 기준 20.35조
19조 중반까진 밀려야 ㅜㅜ
",522,0,26,
7,06.20,늘 사람들은 세상이 망한다고 말하곤 했지,하지만 망한적이 없었다 이거야고로 공포에 매수!,"왜 망한적이 없어
망한적이 얼마나 많은데
세상은 안망해도 너는 망할 수 있지
세상은 안망해 내가 망해
2천깨지면 생각해볼께ㅋㅋ
크게 될 상이로다
",205,1,6,
8,06.20,그래도 오늘 미장은 보합으로 마무리될듯,다들 참고하세요,"미장 안해 오늘
참고 맞으라는거지?
휴장인데
휴장이니까 보합이라고 한거같은데?ㅋㅋ
이거 100% 실현될듯ㅇㅇ 쌉고수
오늘은 갭 없이 시작했다가시가와 종가도 같을거야 내가 예언 한다이건 적중률 100%야 
^^ ㅈㄴ감사
",383,0,7,
9,06.20,인버스좀 샀다,이제 마음이 안정되네,"장기간 조정이나 기술적반등 이런거 거의 없이 쳐내려서 좀 거시기 하긴하네.  양심적 반등이라도 한번 쯤 줄때 되지 않았나 ㅡㅡ?
인버스 매수 게시글 언제 올라오나 기다렸다드디어 반등하겠네 
ㅋㅋㅋㅋㅋ
형 고마워 ㅠ
뭘 나 잘되려고 한건데
ㄱㅅㄱㅅ
감사합니다!😍
웰컴
인버스물탔어
물심양면 감사합니다🙏🏼
오오 감사합니다👍 진작말씀해주셨으면 오늘 샀을텐뎅 ㅎ
다들 잘들있어? 난 수익중인데
성지순례 왔습니다
성지는 여기요
히히히
승자?
잘들지내고있는지? ㅋㅋㅋ패배자들아
긍금한게 왜 인버스 안샀어?
금요일에 정리해야겠당.인버스 쫌밖에 안쌌어 햇지용으로 근데 조롱글이 너무올라와서^^그냥 주식은 매매하려고하면 안될듯 
❤️조롱은 무슨 다 같은 처지임ㅋㅋ
",301,3,44,
