날짜,PBR
2020-06-01,0.54312325
2020-06-02,0.54186153
2020-06-03,0.540975
2020-06-04,0.5353812
2020-06-05,0.5399449
2020-06-08,0.5369538
2020-06-09,0.5492271
2020-06-10,0.5624732
2020-06-11,0.5770664
2020-06-12,0.57157016
2020-06-15,0.52697414
2020-06-16,0.5482764
2020-06-17,0.53644264
2020-06-18,0.54625356
2020-06-19,0.55843747
2020-06-22,0.5658505
2020-06-23,0.56986773
2020-06-24,0.5678023
2020-06-25,0.5600456
2020-06-26,0.5480399
2020-06-29,0.5411159
2020-06-30,0.55298406
2020-07-01,0.52604413
2020-07-02,0.5540904
2020-07-03,0.55694973
2020-07-06,0.56124914
2020-07-07,0.562291
2020-07-08,0.56109846
2020-07-09,0.56310403
2020-07-10,0.5686188
2020-07-13,0.59344363
2020-07-14,0.58856857
2020-07-15,0.622571
2020-07-16,0.61699283
2020-07-17,0.63069344
2020-07-20,0.65191567
2020-07-21,0.66766906
2020-07-22,0.70746267
2020-07-23,0.70335734
2020-07-24,0.711161
2020-07-27,0.68320286
2020-07-28,0.6754277
2020-07-29,0.66881
2020-07-30,0.66989625
2020-07-31,0.6487386
2020-08-03,0.6339338
2020-08-04,0.6402329
2020-08-05,0.643782
2020-08-06,0.6327572
2020-08-07,0.6324202
2020-08-10,0.6376364
2020-08-11,0.6342701
2020-08-12,0.60937726
2020-08-13,0.6273061
2020-08-14,0.6171353
2020-08-18,0.59224725
2020-08-19,0.61375725
2020-08-20,0.6652231
2020-08-21,0.6549287
2020-08-24,0.69429314
2020-08-25,0.74803317
2020-08-26,0.7886232
2020-08-27,0.74984
2020-08-28,0.76631045
2020-08-31,0.8118944
2020-09-01,0.8143431
2020-09-02,0.846756
2020-09-03,0.868477
2020-09-04,0.8542899
2020-09-07,0.8949045
2020-09-08,0.8619623
2020-09-09,0.8432969
2020-09-10,0.8561094
2020-09-11,0.863199
2020-09-14,0.8592695
2020-09-15,0.8525672
2020-09-16,0.8790376
2020-09-17,0.8697976
2020-09-18,0.9213928
2020-09-21,0.94194007
2020-09-22,0.9157311
2020-09-23,0.87933123
2020-09-24,0.8256955
2020-09-25,0.80673087
2020-09-28,0.8084874
2020-09-29,0.80896676
2020-10-05,0.8142437
2020-10-06,0.81395185
2020-10-07,0.82664
2020-10-08,0.8265877
2020-10-12,0.8249903
2020-10-13,0.8227402
2020-10-14,0.8224163
2020-10-15,0.9662968
2020-10-16,0.9146848
2020-10-19,0.8960742
2020-10-20,0.87949944
2020-10-21,0.8892038
2020-10-22,0.8709605
2020-10-23,0.8715937
2020-10-26,0.8276372
2020-10-27,0.81890094
2020-10-28,0.83205676
2020-10-29,0.8482785
2020-10-30,0.83093715
2020-11-02,0.8492006
2020-11-03,0.86954343
2020-11-04,0.8720021
2020-11-05,0.89270484
2020-11-06,0.8951845
2020-11-09,0.91706276
2020-11-10,0.9126377
2020-11-11,0.9094143
2020-11-12,0.9252492
2020-11-13,0.94772065
2020-11-16,0.963658
2020-11-17,0.9482087
2020-11-18,0.9453734
2020-11-19,0.94711447
2020-11-20,0.96541107
2020-11-23,0.9658227
2020-11-24,0.97917604
2020-11-25,0.9644135
2020-11-26,0.98451686
2020-11-27,0.99743915
2020-11-30,1.0173069
2020-12-01,1.0167291
2020-12-02,1.0491699
2020-12-03,1.0582218
2020-12-04,1.072943
2020-12-07,1.1049726
2020-12-08,1.0890207
2020-12-09,1.0973283
2020-12-10,1.0974292
2020-12-11,1.0603197
2020-12-14,1.0629697
2020-12-15,1.0593814
2020-12-16,1.0638614
2020-12-17,1.0549918
2020-12-18,1.0670359
2020-12-21,1.0419893
2020-12-22,1.0252907
2020-12-23,0.96631813
2020-12-24,0.9709673
2020-12-28,0.9298463
2020-12-29,0.9934398
2020-12-30,1.0173515
2021-01-04,0.81241906
2021-01-05,0.82968867
2021-01-06,0.8349378
2021-01-07,0.8247473
2021-01-08,0.80300987
2021-01-11,0.77143943
2021-01-12,0.7737261
2021-01-13,0.7996669
2021-01-14,0.7960415
2021-01-15,0.7943113
2021-01-18,0.7945638
2021-01-19,0.81167686
2021-01-20,0.829543
2021-01-21,0.83275855
2021-01-22,0.8616121
2021-01-25,0.86678123
2021-01-26,0.8562225
2021-01-27,0.8446467
2021-01-28,0.8152071
2021-01-29,0.77696204
2021-02-01,0.810524
2021-02-02,0.89000714
2021-02-03,0.87006617
2021-02-04,0.8673055
2021-02-05,0.86271226
2021-02-08,0.83875847
2021-02-09,0.8348516
2021-02-10,0.84612775
2021-02-15,0.87463546
2021-02-16,0.8936249
2021-02-17,0.8920051
2021-02-18,0.8666668
2021-02-19,0.8396859
2021-02-22,0.8318219
2021-02-23,0.8205644
2021-02-24,0.7858261
2021-02-25,0.7977264
2021-02-26,0.7781396
2021-03-02,0.7809398
2021-03-03,0.80481565
2021-03-04,0.8148445
2021-03-05,0.8091738
2021-03-08,0.7899445
2021-03-09,0.76599
2021-03-10,0.74714124
2021-03-11,0.74975705
2021-03-12,0.78005636
2021-03-15,0.7817669
2021-03-16,0.7904041
2021-03-17,0.7903513
2021-03-18,0.96774256
2021-03-19,0.9615637
2021-03-22,0.9307401
2021-03-23,0.9131248
2021-03-24,0.9127532
2021-03-25,0.9223577
2021-03-26,0.9238092
2021-03-29,0.89994276
2021-03-30,0.8962796
