,number,company,2022,2021,2020
0,095570,AJ네트웍스,True,True,True
1,006840,AK홀딩스,True,True,True
2,027410,BGF,True,True,True
3,282330,BGF리테일,True,True,True
4,138930,BNK금융지주,True,True,True
5,001460,BYC,True,True,True
6,001465,BYC우,True,True,True
7,001040,CJ,True,True,True
8,00104K,CJ4우(전환),True,True,True
9,001045,CJ우,True,True,True
10,097950,CJ제일제당,True,True,True
11,097955,CJ제일제당 우,True,True,True
12,000590,CS홀딩스,True,True,True
13,016610,DB금융투자,True,True,True
14,005830,DB손해보험,True,True,True
15,000990,DB하이텍,True,True,True
16,000995,DB하이텍1우,True,True,True
17,139130,DGB금융지주,True,True,True
18,001530,DI동일,True,True,True
19,000210,DL,True,True,True
20,001880,DL건설,True,True,True
21,000215,DL우,True,True,True
22,375500,DL이앤씨,False,False,False
23,37550K,DL이앤씨우,False,False,False
24,007340,DN오토모티브,True,True,True
25,004840,DRB동일,True,True,True
26,155660,DSR,True,True,True
27,069730,DSR제강,True,True,True
28,017940,E1,True,True,True
29,365550,ESR켄달스퀘어리츠,True,True,False
30,383220,F&F,False,False,False
31,007700,F&F홀딩스,True,True,True
32,078930,GS,True,True,True
33,006360,GS건설,True,True,True
34,007070,GS리테일,True,True,True
35,078935,GS우,True,True,True
36,012630,HDC,True,True,True
37,039570,HDC랩스,True,True,True
38,089470,HDC현대EP,True,True,True
39,294870,HDC현대산업개발,True,True,True
40,267250,HD현대,True,True,True
41,011200,HMM,True,True,True
42,175330,JB금융지주,True,True,True
43,234080,JW생명과학,True,True,True
44,001060,JW중외제약,True,True,True
45,001067,JW중외제약2우B,True,True,True
46,001065,JW중외제약우,True,True,True
47,096760,JW홀딩스,True,True,True
48,105560,KB금융,True,True,True
49,002380,KCC,True,True,True
50,344820,KCC글라스,True,False,False
51,009070,KCTC,True,True,True
52,009440,KC그린홀딩스,True,True,True
53,016380,KG스틸,True,True,True
54,001390,KG케미칼,True,True,True
55,001940,KISCO홀딩스,True,True,True
56,025000,KPX케미칼,True,True,True
57,092230,KPX홀딩스,True,True,True
58,044450,KSS해운,True,True,True
59,030200,KT,True,True,True
60,033780,KT&G,True,True,True
61,058850,KTcs,True,True,True
62,058860,KTis,True,True,True
63,093050,LF,True,True,True
64,003550,LG,True,True,True
65,034220,LG디스플레이,True,True,True
66,051900,LG생활건강,True,True,True
67,051905,LG생활건강우,True,True,True
68,003555,LG우,True,True,True
69,032640,LG유플러스,True,True,True
70,011070,LG이노텍,True,True,True
71,066570,LG전자,True,True,True
72,066575,LG전자우,True,True,True
73,037560,LG헬로비전,True,True,True
74,051910,LG화학,True,True,True
75,051915,LG화학우,True,True,True
76,079550,LIG넥스원,True,True,True
77,006260,LS,True,True,True
78,010120,LS ELECTRIC,True,True,True
79,229640,LS전선아시아,True,True,True
80,001120,LX인터내셔널,True,True,True
81,108670,LX하우시스,True,True,True
82,108675,LX하우시스우,True,True,True
83,023150,MH에탄올,True,True,True
84,035420,NAVER,True,True,True
85,400760,NH올원리츠,True,True,False
86,005940,NH투자증권,True,True,True
87,005945,NH투자증권우,True,True,True
88,338100,NH프라임리츠,True,True,False
89,034310,NICE,True,True,True
90,008260,NI스틸,True,True,True
91,004250,NPC,True,True,True
92,004255,NPC우,True,True,True
93,010060,OCI,True,True,True
94,178920,PI첨단소재,True,True,True
95,005490,POSCO홀딩스,True,True,True
96,010950,S-Oil,True,True,True
97,010955,S-Oil우,True,True,True
98,034120,SBS,True,True,True
99,005090,SGC에너지,True,True,True
100,001770,SHD,True,True,True
101,002360,SH에너지화학,True,True,True
102,009160,SIMPAC,True,True,True
103,123700,SJM,True,True,True
104,025530,SJM홀딩스,True,True,True
105,034730,SK,True,True,True
106,011790,SKC,True,True,True
107,018670,SK가스,True,True,True
108,001740,SK네트웍스,True,True,True
109,001745,SK네트웍스우,True,True,True
110,006120,SK디스커버리,True,True,True
111,006125,SK디스커버리우,True,True,True
112,210980,SK디앤디,True,True,True
113,395400,SK리츠,True,False,False
114,03473K,SK우,True,True,True
115,096775,SK이노베이션우,True,True,True
116,001510,SK증권,True,True,True
117,001515,SK증권우,True,True,True
118,285130,SK케미칼,True,True,True
119,28513K,SK케미칼우,True,True,True
120,017670,SK텔레콤,True,True,True
121,000660,SK하이닉스,True,True,True
122,064960,SNT모티브,True,True,True
123,100840,SNT에너지,True,True,True
124,003570,SNT중공업,True,True,True
125,036530,SNT홀딩스,True,True,True
126,005610,SPC삼립,True,True,True
127,002820,SUN&L,True,True,True
128,002710,TCC스틸,True,True,True
129,069260,TKG휴켐스,True,True,True
130,002900,TYM,True,True,True
131,024070,WISCOM,True,True,True
132,000500,가온전선,True,True,True
133,000860,강남제비스코,True,True,True
134,002100,경농,True,True,True
135,009450,경동나비엔,True,True,True
136,267290,경동도시가스,True,True,True
137,012320,경동인베스트,True,True,True
138,000050,경방,True,True,True
139,214390,경보제약,True,True,True
140,012610,경인양행,True,True,True
141,009140,경인전자,True,True,True
142,013580,계룡건설,True,True,True
143,012200,계양전기,True,True,True
144,012205,계양전기우,True,True,True
145,002140,고려산업,True,True,True
146,010130,고려아연,True,True,True
147,002240,고려제강,True,True,True
148,009290,광동제약,True,True,True
